date,open,high,low,close,volume
2014-01-02,32.2039,32.277,31.7197,31.8933,3686485
2014-01-03,31.8385,32.0121,31.4548,31.537,3491899
2014-01-06,31.6284,31.7745,31.4274,31.4548,4352107
2014-01-07,31.4731,31.875,31.3086,31.8659,3889370
2014-01-08,31.7197,31.7471,31.135,31.4274,5538115
2014-01-09,31.4183,31.9116,31.2264,31.5187,4378304
2014-01-10,31.5553,31.6832,31.3086,31.6466,5979003
2014-01-13,31.6741,31.738,31.0802,31.1624,4603444
2014-01-14,31.2355,31.6101,31.062,31.5736,5999455
2014-01-15,31.5736,31.7015,31.062,31.0711,6925689
2014-01-16,31.0711,31.336,31.0437,31.2173,3732865
2014-01-17,31.3726,31.4274,31.0163,31.0254,3687400
2014-01-21,31.3634,31.4274,30.9889,31.3178,3863298
2014-01-22,31.3908,31.5096,31.1899,31.4274,4199191
2014-01-23,31.1168,31.3908,30.7422,30.797,4617131
2014-01-24,30.6143,30.6326,30.121,30.1484,4796426
2014-01-27,30.1484,30.2968,29.8286,30.0753,3429224
2014-01-28,30.121,30.5503,30.0936,30.4773,3856862
2014-01-29,30.2945,30.5047,30.0844,30.1849,4636062
2014-01-30,30.3128,30.4773,30.0753,30.1849,2969418
2014-01-31,29.856,30.0387,29.6002,29.9565,6718393
2014-02-03,29.9474,30.0113,29.2074,29.2896,8982979
2014-02-04,29.4449,29.6093,29.1206,29.5454,10932959
2014-02-05,29.5545,29.6185,28.8602,29.3261,6537213
2014-02-06,28.9424,30.1027,28.8419,29.0612,9408513
2014-02-07,29.1434,29.9931,28.9424,29.7829,8263961
2014-02-10,29.6824,29.6824,29.2805,29.4814,5871382
2014-02-11,29.5545,30.057,29.5089,29.8743,6144524
2014-02-12,30.1027,30.4681,30.0113,30.4133,5216350
2014-02-13,30.1666,30.5321,29.8926,30.395,6756007
2014-02-14,30.3491,30.7166,30.2021,30.5237,6103249
2014-02-18,30.5788,30.8728,30.4226,30.8177,7382423
2014-02-19,30.6707,31.2863,30.5972,30.6339,6145067
2014-02-20,30.6339,30.9601,30.5696,30.7626,4224744
2014-02-21,30.8499,30.8545,30.5421,30.5604,7255077
2014-02-24,30.7718,31.5436,30.7626,31.1393,6836305
2014-02-25,31.176,31.4012,31.0107,31.2679,5396215
2014-02-26,31.1944,31.2771,30.928,31.029,4798553
2014-02-27,30.5329,31.0566,30.3675,30.6156,6228162
2014-02-28,30.6891,31.0566,30.5329,30.7809,8611326
2014-03-03,30.6707,31.2127,30.5512,30.8177,5809596
2014-03-04,31.0198,31.3322,30.7993,31.1209,5220712
2014-03-05,31.1393,31.2404,30.8177,30.882,4804320
2014-03-06,30.9739,31.4104,30.8453,31.075,7479120
2014-03-07,31.2771,31.5344,31.1485,31.4609,5256680
2014-03-10,31.3782,31.5344,31.2404,31.516,4341819
2014-03-11,31.5528,31.6079,30.9004,31.176,4647834
2014-03-12,30.928,30.9831,30.588,30.7442,4875701
2014-03-13,30.8269,30.882,30.101,30.2021,6292286
2014-03-14,30.0551,30.418,29.9724,30.395,7438992
2014-03-17,30.395,30.6707,30.294,30.4869,3528395
