date,open,high,low,close,volume
2014-01-02,28.95,29.0701,28.6265,28.6727,9843424
2014-01-03,28.8021,29.2918,28.7679,29.1163,7811091
2014-01-06,29.338,29.5044,29.0886,29.2179,9031669
2014-01-07,29.3842,29.4674,29.0239,29.1255,9246079
2014-01-08,29.1625,29.4166,28.9869,29.1625,8930184
2014-01-09,29.2549,29.3288,28.9777,29.1532,7322294
2014-01-10,29.181,29.2272,28.7374,28.9222,10571296
2014-01-13,28.9222,29.1255,28.414,28.5249,9605058
2014-01-14,28.4233,28.8483,28.2754,28.7374,13721984
2014-01-15,29.3473,29.7908,29.0516,29.7723,17610311
2014-01-16,29.5968,29.6337,29.1348,29.5691,21899846
2014-01-17,30.3452,30.9736,30.1235,30.8627,32197936
2014-01-21,30.6871,30.9459,30.0311,30.1512,18535729
2014-01-22,30.2251,30.4654,29.8278,29.837,12202835
2014-01-23,29.8001,29.8185,28.7698,29.0886,16345750
2014-01-24,28.95,28.9869,27.8042,28.1368,23629129
2014-01-27,28.1091,28.3124,27.1943,27.6933,16834654
2014-01-28,27.5362,28.0167,27.3976,27.8411,15797863
2014-01-29,27.1469,28.017,27.1006,27.7115,18926515
2014-01-30,27.8781,28.1188,27.5912,27.7485,13159156
2014-01-31,27.3135,27.5912,27.1006,27.3135,13114108
2014-02-03,27.3135,27.5171,26.6379,26.7952,17608516
2014-02-04,26.8137,27.2299,26.6749,26.86,18800814
2014-02-05,26.823,27.1839,26.8045,27.0081,17399801
2014-02-06,27.0821,27.656,26.9711,27.4801,14873387
2014-02-07,27.6282,27.7393,27.1932,27.4801,14848512
2014-02-10,27.4523,27.7069,27.3876,27.4894,7876060
2014-02-11,27.5079,28.128,27.2765,28.017,16101950
2014-02-12,28.054,28.2761,27.7855,27.9151,9376128
2014-02-13,27.4153,27.8133,27.3417,27.6837,15741041
2014-02-14,27.656,27.7671,27.4061,27.4801,10374958
2014-02-18,27.4153,27.6375,27.2858,27.3598,10921674
2014-02-19,27.3505,27.4431,26.7397,26.8045,17230050
2014-02-20,26.8507,27.2302,26.7767,27.1469,14150762
2014-02-21,27.1377,27.6004,27.1377,27.4153,10467732
2014-02-24,27.4524,28.3224,27.3505,28.054,13224207
2014-02-25,28.0077,28.0956,27.3598,27.4986,11632619
2014-02-26,27.693,27.9822,27.2302,27.7115,15094800
2014-02-27,27.6467,28.2113,27.4616,28.1003,10802929
2014-02-28,28.1003,28.6371,27.9799,28.5075,14171408
2014-03-03,27.9892,28.1743,27.7023,28.0077,11543242
2014-03-04,28.452,28.85,28.3687,28.7852,11178954
2014-03-05,28.7944,29.6552,28.5723,29.5904,14828813
2014-03-06,29.6645,29.8681,29.4516,29.4701,12623645
2014-03-07,30.2661,30.2753,29.683,29.8126,14547381
2014-03-10,29.8218,29.8959,29.3961,29.7385,10757263
2014-03-11,29.8218,29.8496,29.2665,29.3405,9202969
2014-03-12,29.1369,29.1739,28.85,29.0999,8308341
2014-03-13,29.1924,29.6089,28.9055,29.0999,22439666
2014-03-14,28.9795,29.2757,28.6926,28.7852,10855891
2014-03-17,29.0351,29.3776,28.9703,29.0351,6891091
2014-03-18,29.0628,29.3498,29.0119,29.2942,6614854
2014-03-19,29.2942,29.683,29.0536,29.4423,9470327
2014-03-20,29.5627,30.6363,29.3313,30.3494,20199764
2014-03-21,30.7566,30.7752,29.9606,30.1735,23503898
2014-03-24,30.2939,30.3124,29.7755,30.0254,10400085
2014-03-25,30.1458,30.1458,29.2109,29.2387,12610322
2014-03-26,29.4794,29.5904,28.887,28.8962,11233797
2014-03-27,28.8222,29.1091,28.3131,28.6001,13638426
2014-03-28,28.6371,29.0721,28.452,28.6093,8081149
2014-03-31,28.8592,29.1184,28.6649,28.85,9421645
2014-04-01,29.0351,29.0628,28.6926,28.887,11583595
2014-04-02,28.8962,29.2387,28.7111,29.0721,14699769
2014-04-03,29.1276,29.1369,28.4242,28.6463,10064709
2014-04-04,28.8315,28.9333,28.0956,28.1095,12750965
2014-04-07,28.091,28.1206,26.9248,27.3228,20367328
2014-04-08,27.3876,27.4246,26.934,27.332,13228592
2014-04-09,27.5171,28.0355,27.4431,27.9707,10692715
2014-04-10,28.017,28.0262,26.9988,27.0729,13452408
2014-04-11,26.6841,26.9711,26.2028,26.3509,21453617
2014-04-14,26.6379,26.9896,26.5453,26.897,12514483
2014-04-15,27.4153,27.4338,26.6471,27.3505,16657834
2014-04-16,27.656,27.7485,27.221,27.6652,14198027
2014-04-17,28.4335,28.961,28.1373,28.4705,22965994
2014-04-21,28.6649,28.7852,28.3224,28.6741,10698998
2014-04-22,28.6463,29.0443,28.526,28.8777,10803598
2014-04-23,28.9148,28.9703,28.5445,28.7296,9376657
2014-04-24,28.7482,28.924,28.0447,28.6371,8438891
2014-04-25,28.4797,28.5908,28.1928,28.3039,8372927
2014-04-28,28.3689,28.3875,27.3846,27.8489,15303309
2014-04-29,27.9974,28.3875,27.9046,28.341,10419650
2014-04-30,28.3503,28.7775,28.1832,28.7218,11016521
2014-05-01,28.7032,29.0653,28.666,28.991,10110191
2014-05-02,29.0653,29.1953,28.4153,28.4989,11465383
2014-05-05,28.0903,28.1367,27.5981,27.9231,12035090
2014-05-06,27.7931,27.821,27.1896,27.3567,16285597
2014-05-07,27.4867,27.6353,26.9481,27.5796,12460769
2014-05-08,27.6074,28.0624,27.4496,27.5703,13039248
2014-05-09,27.3938,27.6074,27.236,27.561,10064732
2014-05-12,27.7189,28.276,27.6353,28.1646,10196546
2014-05-13,28.1274,28.3364,28.0346,28.1646,7962736
2014-05-14,28.211,28.2574,27.8396,28.0903,10047803
2014-05-15,27.8767,27.9696,27.171,27.6446,20240122
2014-05-16,27.5796,28.0058,27.5238,27.9882,18005349
2014-05-19,27.7839,28.2157,27.7467,28.0067,7022432
2014-05-20,27.951,27.951,27.4031,27.5889,9958066
2014-05-21,27.7281,27.9603,27.7189,27.8674,6654834
2014-05-22,27.8581,28.276,27.7746,28.2203,8235487
2014-05-23,28.2296,28.3364,28.1832,28.3132,5140011
2014-05-27,28.4525,29.056,28.4432,28.8982,10959974
2014-05-28,28.9632,29.0003,28.6939,28.7218,6124364
2014-05-29,28.8053,28.9632,28.601,28.9075,8616278
2014-05-30,28.731,28.8239,28.4989,28.6567,7646374
2014-06-02,28.6567,28.7078,28.341,28.6939,7509356
2014-06-03,28.5175,28.6567,28.2297,28.6475,10079512
2014-06-04,28.5917,28.991,28.4896,28.9725,8074671
2014-06-05,29.0375,29.3996,28.7589,29.3718,8769365
2014-06-06,29.4275,29.7061,29.3606,29.6689,6544239
2014-06-09,29.6689,29.9568,29.5854,29.6968,9027794
2014-06-10,29.6318,29.8918,29.4878,29.7896,7113217
2014-06-11,29.6225,29.6225,29.2928,29.4275,5854239
2014-06-12,29.3068,29.6689,29.2046,29.4646,7086735
2014-06-13,29.5204,29.6132,29.2278,29.3346,8022255
2014-06-16,29.2325,29.5389,29.1582,29.4461,8527452
2014-06-17,29.3811,30.2818,29.3532,30.1797,13256291
2014-06-18,30.0961,30.4025,29.7896,30.3282,10725245
2014-06-19,30.4397,30.4768,29.9893,30.2168,6933717
2014-06-20,30.3004,30.3004,29.9382,29.9847,12071866
2014-06-23,30.1147,30.2818,29.8546,30.1982,6929933
2014-06-24,30.0868,30.2725,29.6271,29.7432,7776622
2014-06-25,29.6318,30.0125,29.5854,29.9289,7671758
2014-06-26,29.6318,29.7061,29.2882,29.6132,10559861
2014-06-27,29.4832,29.6875,29.2789,29.2975,9933909
2014-06-30,29.3346,30.0682,29.3346,30.0218,11757508
2014-07-01,30.0961,30.2632,29.9196,30.0125,7787590
2014-07-02,30.0125,30.3469,29.9939,30.1704,6190608
2014-07-03,30.3932,30.709,30.2911,30.2911,5994198
2014-07-07,30.1889,30.2354,29.8082,30.0775,5635286
2014-07-08,29.8918,29.9382,29.2232,29.4832,9205621
2014-07-09,29.6504,29.7618,29.3625,29.7246,6292072
2014-07-10,29.0189,29.4693,28.9725,29.4182,7784865
2014-07-11,29.3346,29.4275,29.0932,29.1675,10112168
2014-07-14,29.8175,29.8639,29.4739,29.5389,11323129
2014-07-15,29.8918,29.9661,29.46,29.7154,13818568
2014-07-16,29.9661,30.2818,29.8407,30.1797,16389289
2014-07-17,30.1332,30.4397,29.9289,30.3097,9100892
2014-07-18,30.1332,30.4397,29.9289,30.3097,9239453
2014-07-21,30.2261,30.3654,30.0589,30.2261,7125416
2014-07-22,30.2818,30.7554,30.2818,30.5604,8851583
2014-07-23,30.5975,31.0618,30.4675,30.969,9363201
2014-07-24,31.0433,31.2011,30.8668,31.0154,6575520
2014-07-25,30.9597,31.0572,30.8204,30.8668,6292634
2014-07-28,30.8297,30.9967,30.5232,30.709,7114925
2014-07-29,30.8114,30.8301,30.4109,30.4109,5717661
2014-07-30,30.5227,31.1933,30.5041,31.0536,10002410
2014-07-31,30.7649,30.8673,30.1129,30.1222,9134716
2014-08-01,29.9731,30.1129,29.2839,29.4329,11539879
2014-08-04,29.5913,29.7543,29.3724,29.6471,6942084
2014-08-05,29.5261,29.7589,29.1442,29.256,9478467
2014-08-06,29.0883,29.731,29.051,29.3957,9099244
2014-08-07,29.5633,29.6565,29.079,29.2094,6553115
2014-08-08,29.2094,29.8334,28.9881,29.7589,8514493
2014-08-11,29.7962,30.0849,29.5913,29.88,6591186
2014-08-12,29.8241,30.1222,29.6983,29.8148,4525122
2014-08-13,29.9452,30.0477,29.8148,29.8241,4802256
2014-08-14,29.8707,30.0477,29.8707,29.9638,3974828
2014-08-15,30.0663,30.4668,29.7869,30.0104,9457909
2014-08-18,30.2433,30.4947,30.1687,30.3737,4925388
2014-08-19,30.4482,30.5879,30.2991,30.2991,4257034
2014-08-20,30.1781,30.4109,30.1594,30.3085,4234681
2014-08-21,30.4202,30.7835,30.2712,30.7649,7309125
2014-08-22,30.7276,31.2585,30.6637,31.1747,9082557
2014-08-25,31.3703,32.1992,31.3703,31.8546,13975807
2014-08-26,31.8267,32.1806,31.8267,32.0409,8462064
2014-08-27,32.1247,32.134,31.7149,31.7894,5679878
2014-08-28,31.6683,31.7801,31.4075,31.7242,4459182
2014-08-29,31.808,32.1434,31.7428,31.9571,4946707
2014-09-02,32.0595,32.2738,31.836,32.1806,5115701
2014-09-03,32.3576,32.5904,32.1154,32.1899,7151473
2014-09-04,32.1527,32.5159,32.1527,32.3203,7326422
2014-09-05,32.0595,32.2644,31.6124,32.2551,10032464
2014-09-08,32.2179,32.6789,32.2179,32.4694,8149212
2014-09-09,32.0782,32.0782,31.5007,31.5845,11411173
2014-09-10,31.7056,32.0409,31.7056,31.9757,6451437
2014-09-11,31.7801,32.3669,31.7615,32.3483,6850217
2014-09-12,32.3483,32.6743,32.3203,32.6091,10244535
2014-09-15,32.5718,32.814,32.3762,32.7954,9632689
2014-09-16,32.7302,32.814,32.4368,32.7022,8498173
2014-09-17,32.7767,33.3263,32.6929,33.1213,10979777
2014-09-18,33.2517,33.764,33.1959,33.6523,15158451
2014-09-19,33.9131,33.941,33.2704,33.3076,29864622
2014-09-22,33.2517,33.3449,32.6463,32.7674,10144197
2014-09-23,32.7954,33.126,32.5904,32.6184,10882299
2014-09-24,32.3576,32.6696,32.162,32.5811,13351869
2014-09-25,32.6929,32.6929,31.7242,31.8732,12328240
