date,open,high,low,close,volume
2014-01-02,41.624,41.6335,41.1088,41.1661,459664
2014-01-03,41.147,41.4904,41.085,41.1852,313203
2014-01-06,41.3187,41.4427,41.0421,41.1184,482573
2014-01-07,41.5286,41.6717,41.2138,41.5381,424522
2014-01-08,41.6049,41.7385,41.3187,41.4714,469553
2014-01-09,41.5381,41.8911,41.2233,41.6145,287090
2014-01-10,41.6049,41.9484,41.4046,41.7671,306195
2014-01-13,41.7289,41.7862,41.0373,41.1375,444744
2014-01-14,41.2042,41.7576,40.8989,41.6526,274764
2014-01-15,41.7862,41.9102,41.3855,41.4332,565656
2014-01-16,41.2233,41.9961,41.2233,41.977,344493
2014-01-17,41.9198,42.5685,41.9198,42.1869,454346
2014-01-21,42.5399,42.6544,42.1773,42.5589,304911
2014-01-22,42.7307,42.931,42.4349,42.8833,287571
2014-01-23,42.7021,42.8452,42.5112,42.8356,380695
2014-01-24,42.6162,42.7021,40.9753,40.9944,1078190
2014-01-27,41.0134,41.2138,40.1262,40.2788,407037
2014-01-28,40.2788,40.67,40.1834,40.3933,307060
2014-01-29,39.9735,40.2884,39.5442,39.5919,641336
2014-01-30,40.0403,40.6509,39.7398,40.6223,536996
2014-01-31,40.193,41.1947,39.8495,40.7558,592207
2014-02-03,40.7368,40.7821,39.0481,39.1245,948523
2014-02-04,39.3153,39.8591,38.7953,39.8018,657085
2014-02-05,39.7541,39.8018,39.3057,39.6015,455674
2014-02-06,39.9258,40.3781,38.4948,38.8669,1426034
2014-02-07,38.5902,38.8287,37.951,38.428,1589706
2014-02-10,38.428,38.9623,38.1609,38.8096,794796
2014-02-11,39.3821,39.8972,38.7858,39.5538,504311
2014-02-12,39.5538,40.4954,39.5061,40.317,634834
2014-02-13,40.7177,40.7869,40.2216,40.4983,529268
2014-02-14,40.3933,40.8369,40.2693,40.7749,352858
2014-02-18,40.7749,42.0008,40.7749,41.853,701742
2014-02-19,41.6717,42.2537,41.4714,41.4904,750016
2014-02-20,41.5095,42.9406,41.4523,42.9119,861655
2014-02-21,43.0455,43.0455,42.4635,42.4826,433351
2014-02-24,42.5017,42.7688,42.1583,42.1773,554635
2014-02-25,42.0247,42.1964,41.6908,41.8339,359370
2014-02-26,41.9675,42.3491,41.8053,41.8148,469696
2014-02-27,41.7385,42.0629,41.5763,41.7099,489226
2014-02-28,41.748,42.2775,41.4523,41.7003,1032541
2014-03-03,41.376,42.7307,41.147,42.1487,825216
2014-03-04,42.7307,43.5511,42.7307,43.5034,618290
2014-03-05,43.4271,43.4271,42.7927,43.0646,461132
2014-03-06,43.2745,43.6942,43.055,43.637,438685
2014-03-07,43.8183,43.9041,43.3222,43.6465,535137
2014-03-10,43.5607,43.761,43.1504,43.637,415956
2014-03-11,43.6465,44.1426,43.513,43.8755,626940
2014-03-12,43.6847,44.1522,43.6465,44.1426,481478
2014-03-13,44.1712,44.2666,43.1504,43.1886,436603
2014-03-14,43.1218,43.4939,42.7021,43.1314,430447
2014-03-17,43.4366,43.8564,43.3985,43.5225,340661
2014-03-18,43.866,43.866,42.8833,43.5321,757468
2014-03-19,43.4271,43.6942,42.9024,43.1791,477918
2014-03-20,43.0837,43.6752,42.9119,43.3889,482226
2014-03-21,43.4844,43.5893,42.8185,43.2363,1764824
2014-03-24,43.16,43.3794,42.3204,42.3968,732155
2014-03-25,41.1852,41.6908,40.7081,40.7558,942264
2014-03-26,40.918,41.0611,39.8018,39.8495,803226
2014-03-27,39.8018,40.2311,39.3248,39.9449,875896
2014-03-28,39.9735,40.7654,39.8686,40.1739,566757
2014-03-31,40.4696,41.0993,40.317,41.0421,793792
2014-04-01,41.0516,41.8053,40.8608,41.7957,828842
2014-04-02,41.9293,41.9961,41.3187,41.7862,515552
2014-04-03,41.8434,41.9388,41.3378,41.748,831363
2014-04-04,41.9579,42.0724,40.8274,41.0898,473454
2014-04-07,40.9562,41.2042,40.2454,40.3361,697634
2014-04-08,40.3361,40.8799,40.0764,40.6795,545875
2014-04-09,40.8035,41.1947,40.5364,41.1184,520560
2014-04-10,41.0611,41.1661,39.7446,40.1357,556396
2014-04-11,39.7827,40.2407,39.5252,39.8018,565944
2014-04-14,40.0594,40.3647,39.3868,39.6396,585810
2014-04-15,39.8304,39.9068,38.5425,39.3821,709877
2014-04-16,39.7923,40.2216,39.4679,40.1834,976225
2014-04-17,40.2216,40.5555,39.9545,40.2311,376513
2014-04-21,40.1548,40.5555,39.8781,40.441,467502
2014-04-22,40.441,40.9944,40.3075,40.6032,507890
2014-04-23,40.5841,40.7558,40.2407,40.3361,1008787
2014-04-24,40.6318,40.8512,40.2788,40.3361,492582
2014-04-25,40.0785,40.565,39.6301,39.7732,577966
2014-04-28,39.9545,40.3838,39.5347,39.8686,532013
2014-04-29,40.0403,40.1739,39.7255,39.7923,709963
2014-04-30,39.3916,39.735,38.409,38.6761,4041076
2014-05-01,38.6379,40.0212,38.5521,39.1054,904904
2014-05-02,39.1913,40.0642,39.01,39.3439,731086
2014-05-05,39.1149,39.4202,38.6379,39.2962,632401
2014-05-06,39.3344,39.4965,39.0577,39.363,602432
2014-05-07,39.4298,40.3265,39.2008,40.2025,865593
2014-05-08,40.069,40.2121,39.4775,39.5156,744435
2014-05-09,39.4488,39.9258,39.3248,39.6301,1443673
2014-05-12,39.7255,41.6431,39.6873,41.3473,1467158
2014-05-13,41.3473,41.5954,40.7272,40.7368,517045
2014-05-14,40.6127,40.6891,40.2311,40.2311,339895
2014-05-15,40.1644,40.446,39.3916,40.193,600878
2014-05-16,40.1834,40.4696,39.8018,40.3361,322904
2014-05-19,40.3075,40.7845,40.2979,40.6032,230391
2014-05-20,40.5173,40.5269,39.4679,39.4775,926641
2014-05-21,39.5919,40.1357,39.425,40.1262,897351
2014-05-22,40.1262,40.7177,40.0737,40.6032,384231
2014-05-23,40.6795,41.0898,40.5555,40.9753,421646
2014-05-27,41.1565,41.748,41.0325,41.4141,407230
2014-05-28,41.395,41.624,41.0802,41.3283,519333
2014-05-29,41.4523,41.4904,41.1184,41.4809,250309
2014-05-30,41.4714,41.4714,40.8656,41.1756,436465
2014-06-02,41.1661,41.4427,40.794,41.3473,335869
2014-06-03,41.2996,41.3664,40.8512,41.3569,488118
2014-06-04,41.2615,41.4809,41.0421,41.4523,399328
2014-06-05,41.5668,41.9388,41.2424,41.8816,288639
2014-06-06,41.977,42.6734,41.9675,42.3681,515830
2014-06-09,42.3586,42.8642,42.2155,42.7593,197881
2014-06-10,42.5589,42.807,42.4731,42.6448,173043
2014-06-11,42.3586,42.9024,42.1774,42.8356,291953
2014-06-12,42.7402,42.931,42.4445,42.7021,318184
2014-06-13,42.8261,42.9119,42.5112,42.7784,185490
2014-06-16,42.7402,42.8738,42.3681,42.7116,181857
2014-06-17,42.5971,43.5607,42.5685,43.3794,501360
2014-06-18,43.3508,43.6179,42.7975,43.036,642164
2014-06-19,43.1314,43.5225,42.5017,42.8547,455812
2014-06-20,42.9692,43.2458,42.5112,42.5303,1193379
2014-06-23,42.5876,42.8547,42.3014,42.7975,475072
2014-06-24,42.807,43.3222,42.3681,42.3968,575550
2014-06-25,42.3491,42.8356,42.33,42.5399,345908
2014-06-26,42.4731,42.6544,42.1296,42.4158,319637
2014-06-27,42.4158,43.1791,42.4158,43.1218,757999
2014-06-30,43.1218,43.7515,43.0837,43.7419,644749
2014-07-01,43.885,44.6387,43.637,44.4098,904975
2014-07-02,44.2666,44.6483,44.1712,44.3811,393209
2014-07-03,44.6578,45.2398,44.6101,45.1634,401067
2014-07-07,45.0012,45.2015,44.7771,44.9154,415983
2014-07-08,44.7532,45.0394,44.0663,44.3334,496433
2014-07-09,44.2762,44.5529,43.885,44.1903,311159
2014-07-10,43.5798,44.1235,43.4691,43.8183,320643
2014-07-11,43.8278,44.0663,43.5416,43.9709,289884
2014-07-14,44.2666,44.5433,44.1522,44.238,363618
2014-07-15,44.4002,44.6292,43.9518,44.2571,368228
2014-07-16,44.4956,44.6769,43.9614,44.4956,545131
2014-07-17,44.238,44.8295,44.1235,44.7723,463359
2014-07-18,44.238,44.8295,44.1235,44.7723,463359
2014-07-21,44.467,44.8677,44.3621,44.5433,253638
2014-07-22,44.7914,45.1253,44.6912,44.7818,284062
2014-07-23,44.7818,44.7818,44.5338,44.6673,365438
2014-07-24,44.6387,45.0108,44.2666,44.944,341800
2014-07-25,44.7055,44.8677,44.3048,44.6483,268910
2014-07-28,44.6483,44.7914,44.1999,44.5815,263824
2014-07-29,44.6387,45.1157,44.2476,44.2666,559792
2014-07-30,44.3811,44.7818,43.9424,44.4193,660408
2014-07-31,44.8391,45.0012,43.1266,43.1695,803522
2014-08-01,42.7975,42.9787,41.8434,42.3204,1119255
