date,open,high,low,close,volume
2014-01-02,63.8983,63.9831,62.2506,62.7025,2281302
2014-01-03,62.8625,63.3729,62.0245,62.2787,1755197
2014-01-06,62.3164,62.3352,61.3748,61.9115,1555386
2014-01-07,62.1469,62.7401,61.5819,62.0057,2468992
2014-01-08,62.1846,62.6742,61.4689,61.8738,1957168
2014-01-09,62.5141,62.9567,60.6686,61.5349,2735723
2014-01-10,61.4784,61.8079,60.7345,60.9605,2699214
2014-01-13,60.6403,61.1959,59.322,59.4821,2340690
2014-01-14,59.6893,61.0075,59.6234,60.6026,2240510
2014-01-15,60.5085,61.017,60.4332,60.6874,1556370
2014-01-16,60.4991,61.1959,60.3107,60.8851,1506425
2014-01-17,60.8851,61.1865,60.1318,60.1695,1874324
2014-01-21,60.4332,60.7305,59.4393,60.3296,2342357
2014-01-22,60.9605,62.0433,60.6686,61.8456,2383907
2014-01-23,61.3936,61.6196,61.017,61.3089,3224019
2014-01-24,60.8946,60.9228,59.1337,59.2938,3270510
2014-01-27,59.2091,59.3785,58.145,58.5123,2238462
2014-01-28,59.1808,59.9435,58.7382,59.614,2001887
2014-01-29,58.9642,60.1883,58.5593,59.5575,2593309
2014-01-30,59.8305,59.9812,59.1902,59.3032,1645435
2014-01-31,58.3522,59.3315,58.1827,58.6912,2496063
2014-02-03,58.7759,59.6422,58.0979,58.1827,2684279
2014-02-04,58.5405,59.3691,58.2392,58.7006,2753908
2014-02-05,58.7382,58.8512,57.533,57.6177,2700700
2014-02-06,57.3346,59.2788,56.7589,59.09,7679575
2014-02-07,59.8545,62.7,59.8545,62.4782,6021481
2014-02-10,62.3649,63.0067,61.3656,62.9029,4255946
2014-02-11,62.9973,63.0256,62.4027,62.6009,3814658
2014-02-12,62.9312,63.1384,62.3555,62.7991,2005728
2014-02-13,62.0724,63.2049,61.9119,62.7141,2303085
2014-02-14,62.6764,62.9973,62.0629,62.6292,2082905
2014-02-18,62.6103,63.1483,62.431,62.8085,2646452
2014-02-19,62.3649,63.6296,62.3649,62.8557,3994291
2014-02-20,62.4782,63.6249,62.3744,63.3465,2835606
2014-02-21,63.7334,63.7712,63.035,63.1011,2117860
2014-02-24,63.4031,66.5364,63.4031,65.4322,3751455
2014-02-25,65.2623,65.4794,64.4129,64.9131,2326837
2014-02-26,64.8565,65.6682,64.3893,64.6394,2398595
2014-02-27,64.4696,64.7244,63.8089,64.1204,2285705
2014-02-28,64.243,65.2151,64.1109,64.8943,2200522
2014-03-03,64.63,65.7814,64.0449,64.1487,1878727
2014-03-04,64.9509,65.3237,64.3091,65.1396,1598210
2014-03-05,65.2718,65.3001,64.0637,64.3091,1560649
2014-03-06,64.1959,65.1113,63.941,64.9131,1426054
2014-03-07,65.1585,65.3567,64.6489,65.3378,1321765
2014-03-10,65.3095,65.3095,64.7716,65.1868,1439140
2014-03-11,65.0924,65.9419,64.3469,64.5073,2543290
2014-03-12,64.026,64.4224,63.2332,64.3657,1292848
2014-03-13,64.5356,64.5356,62.9312,63.1766,1502824
2014-03-14,62.9973,63.3181,62.5254,62.8934,2384478
2014-03-17,63.0444,63.4125,62.6481,62.9029,1116926
2014-03-18,62.9878,63.7995,62.7236,63.6107,1294565
2014-03-19,63.5541,63.5918,62.0063,62.2517,2064336
2014-03-20,62.0818,63.1483,61.6948,63.0728,1227395
2014-03-21,63.5541,63.9033,62.8085,63.3465,2075443
2014-03-24,63.5918,63.8844,62.5254,63.0256,1068906
2014-03-25,63.4691,64.0732,63.2521,63.8183,1335657
2014-03-26,64.1392,64.8188,63.6579,63.875,1357676
2014-03-27,63.9882,65.5832,63.573,65.1491,2151279
2014-03-28,65.47,67.3103,65.3095,67.1405,2953815
2014-03-31,67.3009,67.9332,66.3949,67.0461,2132499
2014-04-01,67.0744,67.1593,66.2844,66.6025,2189218
2014-04-02,65.923,66.6402,65.7059,66.4232,1674869
2014-04-03,66.7913,67.6878,66.6025,67.282,2002637
2014-04-04,67.8672,68.5656,66.259,66.3949,2530492
2014-04-07,66.225,66.4421,65.3284,65.47,1217416
2014-04-08,65.3945,66.7913,65.385,66.5836,1585415
2014-04-09,66.7629,66.9423,66.1967,66.8007,1286242
2014-04-10,66.8573,66.9894,65.385,65.621,1341371
2014-04-11,65.3378,66.3949,65.3378,65.5455,1369482
2014-04-14,66.3099,66.9894,65.6115,66.6119,985735
2014-04-15,66.4987,67.8388,66.0834,67.8105,1655329
2014-04-16,68.5467,68.8393,68.1597,68.8015,1716251
2014-04-17,68.6033,70.4531,68.5467,70.236,2210499
2014-04-21,70.17,70.5758,69.783,70.4626,1371115
2014-04-22,70.1983,70.4248,69.7016,70.1228,1631295
2014-04-23,69.2073,70.9722,69.2073,70.8495,2554010
2014-04-24,69.1979,72.0009,68.5184,70.7362,2906292
2014-04-25,70.2738,70.3776,68.1692,68.6977,2530433
2014-04-28,69.028,69.1413,67.4896,68.1125,2375026
2014-04-29,68.8864,69.6131,68.2352,68.9525,2395782
2014-04-30,69.0752,69.1318,67.4802,67.7445,1805878
2014-05-01,67.6877,68.0662,67.0633,67.3944,1716274
2014-05-02,67.2998,68.2649,67.0541,67.4512,1523408
2014-05-05,67.0349,67.6546,66.7435,67.262,3302448
2014-05-06,67.3093,68.0567,67.0065,67.3566,2410356
2014-05-07,67.9621,68.3349,66.8835,67.858,1800287
2014-05-08,67.5742,67.9243,66.8551,66.9308,1229239
2014-05-09,66.8362,66.9308,66.155,66.9119,1306606
2014-05-12,67.3282,67.3566,66.6659,66.8835,2405384
2014-05-13,66.8078,67.612,66.8078,67.2146,2173540
2014-05-14,67.4417,67.8864,66.6753,66.893,1289412
2014-05-15,66.7794,66.8456,65.1236,65.8711,1607982
2014-05-16,65.9563,66.4672,65.4926,65.9752,1551659
2014-05-19,65.7008,66.3158,65.4737,65.8143,1602602
2014-05-20,65.8143,66.0887,65.4075,65.6062,942199
2014-05-21,65.2845,66.77,65.2845,66.5429,1773015
2014-05-22,66.7794,67.3471,66.3915,66.4104,1506115
2014-05-23,66.5429,66.751,66.1833,66.2306,906485
2014-05-27,66.3631,66.4956,65.8616,66.0793,1456840
2014-05-28,66.2023,67.2146,66.0225,66.9592,1990808
2014-05-29,67.1768,68.0898,67.0538,68.0189,1660323
2014-05-30,67.981,68.5582,67.858,68.1892,2142098
2014-06-02,68.4636,68.596,67.7161,67.8107,1308648
2014-06-03,67.508,68.1703,67.4228,68.1324,1093338
2014-06-04,68.123,68.5866,67.7066,68.2743,1069776
2014-06-05,68.1986,68.5014,67.6688,68.4636,1511863
2014-06-06,68.4636,70.1099,68.4541,70.0153,1968968
2014-06-09,70.1477,70.9236,69.9396,70.2329,1427257
2014-06-10,70.0247,70.7816,69.9585,70.7533,1848244
2014-06-11,70.2991,71.8508,70.1572,71.3209,2095912
2014-06-12,71.917,73.2322,71.4061,71.7278,1963734
2014-06-13,71.917,72.1157,71.1033,72.0873,1195105
2014-06-16,72.1819,72.3805,71.6237,72.1441,1214858
2014-06-17,72.0306,72.3901,71.4014,71.9265,1625582
2014-06-18,71.9076,72.5793,71.4629,72.4847,1412850
2014-06-19,72.6361,73.27,72.5036,73.2511,1428395
2014-06-20,73.5255,74.4432,73.3362,74.4054,2652972
2014-06-23,74.7082,75.3421,74.3865,74.9636,2199003
2014-06-24,74.6514,74.7555,73.2606,73.3268,2565585
2014-06-25,73.0619,74.5095,73.0524,74.3392,2067510
2014-06-26,74.3392,74.3959,73.5397,73.9229,1601111
2014-06-27,73.5728,74.0648,72.5793,73.2511,4454552
2014-06-30,73.4687,74.0269,72.7307,73.2889,2370563
2014-07-01,73.639,73.7336,71.8035,72.2293,2439659
2014-07-02,72.1725,72.5131,71.5007,71.6994,1817587
2014-07-03,71.6143,71.9643,71.0371,71.7089,904803
2014-07-07,71.5386,71.652,70.3748,70.6965,1950846
2014-07-08,70.7911,71.5386,70.7249,71.2831,1415704
2014-07-09,71.2169,71.7656,70.9425,71.7089,1479635
2014-07-10,70.8195,71.4345,70.2896,70.8763,1469100
2014-07-11,70.8384,70.8763,69.6368,69.7219,1541996
2014-07-14,70.1288,70.9425,70.1288,70.8006,1455240
2014-07-15,70.5735,70.8952,69.7882,70.1666,1784575
2014-07-16,70.3937,72.0873,70.3464,72.0306,2078214
2014-07-17,72.04,72.3144,69.6936,69.7409,2190073
2014-07-18,69.5895,69.7882,69.0218,69.0786,2838368
2014-07-21,68.9177,69.1543,68.5408,68.9934,1507104
2014-07-22,69.2773,69.703,68.7947,69.5138,1544571
2014-07-23,69.6084,70.3748,69.2678,70.2139,2614508
2014-07-24,66.4483,68.8988,66.0698,67.7729,7557456
2014-07-25,67.6499,67.7445,65.4643,65.8238,6736940
2014-07-28,66.0225,66.4388,65.2656,65.4075,4872429
2014-07-29,65.4075,65.417,64.679,64.7547,3713125
2014-07-30,65.1615,65.4926,63.0705,63.43,4436341
2014-07-31,62.8703,63.7052,62.3011,63.079,5085192
2014-08-01,63.3257,69.1127,62.9177,66.6272,8070188
2014-08-04,63.3257,69.1127,62.9177,66.6272,8083150
2014-08-05,66.2287,66.3141,64.4641,64.9005,3673904
2014-08-06,64.4736,66.039,64.3787,65.4413,3237132
2014-08-07,65.5362,65.7733,64.6159,65.2515,3374439
2014-08-08,65.4603,66.9118,65.28,66.8454,2199882
2014-08-11,67.111,67.3482,66.0295,66.1908,1983861
2014-08-12,65.8397,66.2172,65.3654,65.5456,1928890
2014-08-13,65.9536,66.371,65.4508,65.9915,1363233
2014-08-14,66.001,66.6461,65.5646,65.9346,3568576
2014-08-15,66.1623,66.5702,65.9251,66.4184,1840025
2014-08-18,66.5133,66.9639,65.9915,66.2382,1721000
2014-08-19,66.3236,67.1774,66.2477,66.6461,1107141
2014-08-20,66.4943,66.6936,65.8682,66.3236,1708575
2014-08-21,66.5038,66.6746,66.039,66.5418,1406260
2014-08-22,66.0959,66.4374,65.5172,65.982,1741852
2014-08-25,66.352,67.4146,66.2002,67.3861,1266909
2014-08-26,67.6518,68.3728,67.443,67.7371,1865864
2014-08-27,67.6518,67.9553,67.0161,67.2818,900168
2014-08-28,67.2438,67.3861,66.7505,67.2818,1136184
2014-08-29,67.462,68.4581,67.1821,68.4392,1755535
2014-09-02,68.2399,68.3633,66.8454,66.9307,1626322
2014-09-03,67.2628,67.9458,67.2628,67.5569,1297632
2014-09-04,67.4905,67.7751,66.5038,67.3577,2260299
2014-09-05,67.1015,68.0028,66.8264,67.9838,2038030
2014-09-08,67.3766,67.5664,66.6177,66.9877,1785519
2014-09-09,66.9782,68.1356,66.7125,66.9687,1861785
2014-09-10,66.6651,66.6841,65.4935,66.352,2223486
2014-09-11,65.7544,66.5607,65.4128,66.409,1325797
2014-09-12,66.2097,66.4659,65.2136,65.2705,1531209
2014-09-15,65.4318,66.2477,64.9954,65.9156,1959827
2014-09-16,66.1243,67.7656,65.7544,67.462,2233465
2014-09-17,67.832,67.9553,66.9592,67.5189,1955639
2014-09-18,67.5664,67.7941,67.1774,67.5664,2740763
2014-09-19,67.8794,68.3633,67.5094,67.6328,2726003
2014-09-22,67.3102,67.3102,66.3141,66.7505,2201925
2014-09-23,66.6651,67.5379,66.4184,66.6936,2338085
2014-09-24,66.2097,67.2817,65.5836,66.8074,1799147
2014-09-25,66.8169,66.8169,65.4508,65.65,2459664
2014-09-26,65.4887,66.6082,65.0428,66.2951,1617098
2014-09-29,65.6026,66.4279,65.5362,66.3046,1666216
2014-09-30,66.0674,66.2002,64.4167,64.8531,2335855
2014-10-01,64.8341,65.2041,63.117,63.3636,2593430
2014-10-02,62.7659,62.9462,61.2006,62.747,3417141
2014-10-03,62.6426,63.1265,61.8172,61.8267,2700962
2014-10-06,62.1019,62.3295,61.2196,61.5896,2110655
2014-10-07,61.0678,61.1626,59.3696,59.3696,3101187
2014-10-08,59.0376,59.844,57.8991,59.7775,2880382
2014-10-09,59.2937,59.2937,57.1402,57.2066,2976730
2014-10-10,57.3109,57.4722,55.6981,55.7076,3386857
2014-10-13,55.5369,56.2389,52.6623,52.7192,3472791
2014-10-14,53.0513,53.6015,51.6662,51.9792,4134741
2014-10-15,50.9167,52.1405,49.949,52.0362,5319050
2014-10-16,50.7493,54.7808,50.5596,53.7563,4292610
2014-10-17,54.8253,55.5274,53.2742,53.6869,3137291
2014-10-20,53.6489,54.8064,53.5636,54.5597,2046051
2014-10-21,55.0625,56.4476,55.0246,55.8689,3150430
2014-10-22,56.2199,56.3527,54.1802,54.1992,3114133
2014-10-23,55.1858,55.8879,54.7684,55.4799,2486410
2014-10-24,55.3946,55.497,54.1518,54.4838,2663864
2014-10-27,53.3643,53.6489,52.52,53.4877,3327923
2014-10-28,53.6584,55.4799,52.3492,55.3661,3305123
2014-10-29,55.831,57.2066,54.6071,55.1479,3353928
2014-10-30,52.8472,53.5419,52.4761,52.5522,2701926
2014-10-31,53.903,54.9023,53.037,54.8452,4056289
2014-11-03,55.2734,55.3876,53.056,53.1702,3798986
2014-11-04,52.3993,52.5516,51.048,51.5809,3221997
2014-11-05,52.2661,53.2463,51.5428,52.8657,2599562
2014-11-06,52.2566,52.6182,51.6095,52.1519,4548830
2014-11-07,52.4945,54.3122,52.3898,53.7793,4604751
2014-11-10,54.5311,54.9118,53.2273,53.5128,3167579
2014-11-11,53.6651,53.7888,52.6087,53.4272,3366297
2014-11-12,52.8466,53.5414,52.4755,52.5516,2703116
2014-11-13,52.4374,53.0179,50.6958,51.3811,3158676
2014-11-14,51.7237,53.5604,51.629,53.3986,2577621
2014-11-17,52.1234,54.0743,52.0282,53.8078,3358662
2014-11-18,52.1043,52.7419,51.638,52.3518,1934772
2014-11-19,52.6848,52.7419,51.4096,52.1234,2789800
2014-11-20,52.1234,54.0743,52.0282,53.8078,3358662
2014-11-21,54.8737,55.2163,54.0838,54.9213,3252540
2014-11-24,54.5692,55.0545,53.7507,53.9506,3901832
2014-11-25,54.0933,54.2551,52.4469,52.7419,2255409
2014-11-26,52.3803,52.3993,51.1717,51.2288,2091612
2014-11-28,48.5451,48.6973,46.5751,46.8035,3881459
2014-12-01,46.7369,47.384,45.4426,47.2984,5976387
2014-12-02,46.9653,48.3738,46.7654,48.1073,4978894
2014-12-03,48.4023,49.8298,48.0882,49.6204,4357523
2014-12-04,48.8972,49.6871,48.6212,49.0875,4211298
2014-12-05,48.6878,48.9162,47.6314,48.1453,2932320
2014-12-08,47.3935,47.3935,45.2237,45.3093,4898059
2014-12-09,44.7764,46.1849,44.6527,45.5758,5749638
2014-12-10,44.7859,44.7859,43.1348,43.5678,4925920
2014-12-11,43.2442,44.5575,42.9587,43.1966,3032228
2014-12-12,42.5495,43.2537,41.5407,41.7406,4236509
2014-12-15,42.3401,42.7113,40.846,40.9221,3840660
2014-12-16,40.589,42.7684,40.0751,41.4551,5206103
2014-12-17,41.6549,45.8708,41.6549,45.6234,6719865
2014-12-18,47.0129,47.5648,45.376,47.0319,5930689
2014-12-19,47.4887,48.7639,47.0245,48.7164,5030760
2014-12-22,47.974,48.6117,47.2793,48.488,3752379
2014-12-23,48.4118,48.507,46.0898,46.6131,6276656
2014-12-24,46.2134,46.3181,45.2427,46.1563,2284842
2014-12-26,46.2705,46.6798,44.6527,44.9382,2918946
2014-12-29,45.2998,46.2801,45.2047,45.5187,3149133
2014-12-30,45.2237,45.6995,44.7288,45.0429,2460002
2014-12-31,44.6337,45.6805,44.0531,45.138,2447812
2015-01-02,44.7954,45.2998,43.7391,44.6146,2962394
2015-01-05,43.8152,43.977,40.1513,40.3416,7058559
2015-01-06,40.2369,40.8079,39.3138,39.8753,3831904
2015-01-07,40.4463,40.865,39.4851,39.723,3108522
2015-01-08,40.1037,41.3218,39.5517,41.0934,3824767
2015-01-09,41.122,41.7596,40.5319,41.4646,2997982
2015-01-12,40.4368,40.7508,39.0283,39.5136,3513397
2015-01-13,39.7611,40.7508,39.3233,40.4843,5025671
2015-01-14,40.0085,40.8841,39.3899,40.7794,3661791
