date,open,high,low,close,volume
2014-01-02,37.0537,37.1187,36.3663,36.4127,1051348
2014-01-03,36.4963,37.1373,36.4963,36.9515,1222295
2014-01-06,36.8679,37.2023,36.6914,37.0444,1524984
2014-01-07,37.258,37.4996,36.9701,37.2209,917291
2014-01-08,37.8061,37.8432,37.1744,37.3231,1714852
2014-01-09,37.6017,37.8432,37.2952,37.3788,833217
2014-01-10,37.3788,37.6482,36.998,37.0816,1054708
2014-01-13,36.8958,37.4067,36.1434,36.3663,1072741
2014-01-14,36.5242,36.9701,36.422,36.9144,836549
2014-01-15,37.0537,37.0723,36.3013,36.71,1066735
2014-01-16,36.5799,37.1373,36.5799,37.1373,1860571
2014-01-17,37.1094,37.1559,36.6264,36.8958,1042750
2014-01-21,36.9608,37.2673,36.4917,36.5985,1212096
2014-01-22,36.5521,36.9235,36.422,36.6914,998325
2014-01-23,36.5149,36.6821,35.7067,35.9483,1220335
2014-01-24,35.586,35.8577,34.9079,34.9265,1302364
2014-01-27,35.1402,35.3724,34.541,34.6664,1003149
2014-01-28,34.555,35.1309,34.5271,34.973,1603475
2014-01-29,34.7593,35.0751,34.4249,34.555,1492962
2014-01-30,34.7407,35.8833,34.7407,35.6789,1441902
2014-01-31,35.2052,35.9019,34.8429,35.4374,1513973
2014-02-03,35.4467,35.7904,34.4435,34.4899,1492435
2014-02-04,34.4621,35.456,33.784,35.103,1938439
2014-02-05,34.6478,35.6069,34.2298,35.4374,1430561
2014-02-06,35.6418,35.8517,35.0473,35.1587,1366683
2014-02-07,35.2981,35.3724,34.7965,34.8708,1918762
2014-02-10,34.9358,35.0473,34.6943,34.8429,1820107
2014-02-11,34.8429,35.7904,34.8429,35.6418,1066152
2014-02-12,35.6139,35.9762,35.4815,35.8461,731558
2014-02-13,35.7254,36.0876,35.5767,35.939,391528
2014-02-14,35.8554,36.0133,35.5953,35.9669,593734
2014-02-18,36.1434,36.8029,35.9762,36.3291,1064465
2014-02-19,36.4127,36.9608,36.2177,36.7564,1907657
2014-02-20,36.6171,36.8215,36.3942,36.6728,957709
2014-02-21,36.6264,36.9144,36.1248,36.1619,1621634
2014-02-24,36.0412,36.8308,35.8926,36.3384,1063133
2014-02-25,36.1991,36.6008,35.9297,36.292,1021911
2014-02-26,36.2641,36.5056,35.5814,35.6232,1713135
2014-02-27,35.5675,35.809,35.3631,35.6882,1481068
2014-02-28,35.7625,36.2827,35.5396,35.6603,1133515
2014-03-03,35.233,35.9297,35.1587,35.6232,1325758
2014-03-04,36.7379,37.063,36.3013,36.9887,1557117
2014-03-05,36.5428,37.2302,35.939,37.193,1075302
2014-03-06,37.128,38.0383,37.0816,37.8061,1245380
2014-03-07,37.8618,38.317,37.6714,37.8897,1316297
2014-03-10,37.7782,37.9826,37.3509,37.4067,1107233
2014-03-11,37.2673,37.4996,36.6914,36.7379,1227903
2014-03-12,36.6726,36.8497,36.188,36.7192,1094281
2014-03-13,36.7845,36.9895,36.1507,36.1787,1172307
2014-03-14,36.1507,36.7285,35.8991,36.654,1840949
2014-03-17,36.8031,37.1852,36.6913,37.0268,902278
2014-03-18,36.7472,37.0268,35.5356,35.8805,2943291
2014-03-19,35.955,36.1134,34.7621,34.9485,2710072
2014-03-20,34.8833,35.1163,34.7528,34.9392,2241518
2014-03-21,35.3772,35.3865,34.7807,34.9858,2400550
2014-03-24,35.2467,35.5636,34.9112,35.4984,2142319
2014-03-25,35.6102,35.9737,35.1722,35.5543,1355700
2014-03-26,35.7034,35.8525,35.0044,35.0417,1526570
2014-03-27,35.0697,35.3306,33.8861,34.613,2484171
2014-03-28,34.7062,35.0976,34.0911,34.2216,1971828
2014-03-31,34.147,35.0697,34.147,34.4266,2167629
2014-04-01,34.7714,34.7714,33.0939,33.3455,5836374
2014-04-02,33.5692,34.585,33.2057,34.4639,2352642
2014-04-03,34.5757,34.7901,33.6344,33.9606,2462986
2014-04-04,34.1284,34.3241,32.6186,33.8301,4030934
2014-04-07,33.8301,33.9233,33.2151,33.3548,4113411
2014-04-08,33.3828,33.8022,32.3204,32.4415,3528561
2014-04-09,31.5841,32.5813,31.3884,32.5068,3826212
2014-04-10,32.5254,33.2896,31.9383,32.5161,4076136
2014-04-11,32.4415,32.8329,31.7239,32.4042,3862609
2014-04-14,32.4322,32.9634,31.7379,32.0687,1999689
2014-04-15,32.0221,32.1713,31.2113,31.8078,2976635
2014-04-16,32.0408,32.6,31.9103,32.367,2141164
2014-04-17,32.4415,33.038,32.1619,32.6279,1672989
2014-04-21,32.6559,33.2057,32.4788,33.0659,1540399
2014-04-22,33.5692,34.3148,33.3921,34.1284,2859918
2014-04-23,33.9793,34.175,33.6251,34.1191,1890414
2014-04-24,32.4881,34.5012,32.4881,33.8022,2240533
2014-04-25,33.9793,33.9979,33.4853,33.5972,2010469
2014-04-28,33.7835,33.9606,33.3921,33.8301,1644586
2014-04-29,33.8115,34.1936,33.7276,34.0165,2096897
2014-04-30,34.1377,34.613,33.914,34.3893,1615868
2014-05-01,34.4359,34.7901,34.147,34.4173,887987
2014-05-02,34.4173,34.818,34.3241,34.3427,929678
2014-05-05,33.9606,34.4359,33.7463,34.2029,834642
