date,open,high,low,close,volume
2014-01-02,40.0288,40.1162,39.2248,39.3996,1904066
2014-01-03,39.5219,39.7841,39.5219,39.6355,1150409
2014-01-06,39.8453,39.854,39.3908,39.5481,1477465
2014-01-07,39.5918,39.6355,39.3296,39.3559,1622701
2014-01-08,39.3559,39.3821,39.0325,39.216,2827422
2014-01-09,39.3559,39.3559,38.5256,38.7266,2565038
2014-01-10,38.9538,38.9713,38.4119,38.5518,3554155
2014-01-13,38.5343,38.6916,38.1585,38.176,2237359
2014-01-14,38.3595,38.814,38.2459,38.779,1692769
2014-01-15,38.7878,38.8489,38.3945,38.6916,1719177
2014-01-16,39.1985,39.4957,38.4993,38.5518,3023506
2014-01-17,38.5431,38.8664,38.0798,38.8227,3823852
2014-01-21,39.0412,39.3646,38.9451,39.3471,2166519
2014-01-22,39.4957,39.6618,39.3471,39.6181,1572097
2014-01-23,39.2947,39.4957,39.1811,39.3384,2035023
2014-01-24,38.9451,38.9713,37.7914,37.7914,1907046
2014-01-27,37.7914,37.8526,36.7863,37.3719,3425111
2014-01-28,37.4943,37.9575,37.0223,37.1359,2528071
2014-01-29,36.8737,37.0048,36.6377,36.8737,2427004
2014-01-30,37.0747,37.6865,37.0398,37.538,1726699
2014-01-31,36.8825,37.2408,36.7863,36.9611,2811020
2014-02-03,36.8562,36.9349,35.7288,35.8686,2935320
2014-02-04,36.3318,36.865,35.7987,36.8038,2987595
2014-02-05,36.5503,37.3107,36.4629,37.1272,2651318
2014-02-06,37.3544,38.0536,37.3369,38.0099,2083489
2014-02-07,38.1585,38.7178,38.0012,38.613,1618992
2014-02-10,38.9713,39.452,38.2022,39.4433,3298550
2014-02-11,39.3471,39.6355,38.779,39.3296,2843959
2014-02-12,39.4258,39.9414,39.4083,39.889,2373472
2014-02-13,39.1723,39.6355,38.3857,39.5656,2790998
2014-02-14,39.6967,39.854,39.3733,39.7055,1669638
2014-02-18,39.8453,40.7368,39.7841,40.6931,3270714
2014-02-19,40.6494,41.0776,40.4746,40.5358,1884025
2014-02-20,40.5795,40.728,40.2473,40.5532,1241829
2014-02-21,40.5358,40.7674,40.291,40.4746,1211363
2014-02-24,40.6756,41.0864,40.5707,40.8242,1573955
2014-02-25,40.8941,41.0601,40.2211,40.3173,1746228
2014-02-26,40.562,40.8329,40.2998,40.5532,1997468
2014-02-27,40.5795,41.0164,40.5401,40.9203,1254265
2014-02-28,41.0252,41.4709,40.9116,41.3748,1814892
2014-03-03,41.165,41.2699,40.326,40.6319,2238154
2014-03-04,41.2288,41.5448,41.0796,41.22,1320627
2014-03-05,40.5792,41.1761,40.5046,40.5968,14125380
2014-03-06,40.9742,41.062,40.2457,40.272,3705052
2014-03-07,40.4914,40.9303,40.1842,40.6231,3957219
2014-03-10,40.7548,40.8864,40.2808,40.5968,2022486
2014-03-11,40.5968,40.7197,40.2106,40.5441,2410697
2014-03-12,40.272,40.2983,39.4206,39.5786,2254084
2014-03-13,39.7805,39.8243,38.4638,38.7447,2955141
2014-03-14,38.7271,38.9027,38.3672,38.4989,1861330
2014-03-17,38.6306,38.872,38.4814,38.5516,2045519
2014-03-18,38.5955,39.3591,38.5516,39.1309,1705305
2014-03-19,39.0607,39.2275,38.5077,38.8325,2032569
2014-03-20,38.8764,38.9992,38.3892,38.4638,1720849
2014-03-21,38.771,38.771,38.4024,38.692,4755771
2014-03-24,38.8588,39.1221,38.6042,38.9202,2474687
2014-03-25,39.1046,39.1221,38.7008,38.7535,2447364
2014-03-26,38.771,39.0563,38.5165,38.5428,1271050
2014-03-27,38.5252,39.0431,38.5252,38.7271,1885564
2014-03-28,39.087,39.0958,38.6481,38.85,949275
2014-03-31,38.9378,39.2099,38.8061,39.1748,1296023
2014-04-01,39.1748,39.6839,39.1748,39.6663,1586285
2014-04-02,39.64,39.9736,39.4996,39.8946,1375400
2014-04-03,39.7629,39.9999,39.4952,39.7717,1071982
2014-04-04,39.9648,39.9648,38.7886,39.0519,2092406
2014-04-07,38.8588,38.929,37.8318,37.9196,2496824
2014-04-08,37.9635,38.2707,37.7528,37.9898,2042237
2014-04-09,38.1741,38.7447,37.981,38.7271,1076347
2014-04-10,38.7447,38.8149,38.0337,38.0951,1427795
2014-04-11,37.5685,37.9547,37.3403,37.4631,1553126
2014-04-14,37.8143,38.2005,37.5509,37.9723,980681
2014-04-15,38.0337,38.2707,37.6387,38.2444,1265330
2014-04-16,38.4462,38.85,38.2093,38.771,900317
2014-04-17,38.692,39.403,38.6569,39.3503,1108146
2014-04-21,39.2889,39.3328,38.9466,39.3152,795820
2014-04-22,39.3152,39.7366,39.2187,39.5873,1268128
2014-04-23,39.5786,39.8331,39.4293,39.6225,1198402
2014-04-24,39.719,40.509,39.4996,40.43,3080452
2014-04-25,40.5968,40.5968,40.1842,40.3686,1404253
2014-04-28,40.509,41.0972,40.0964,40.8952,2341045
2014-04-29,40.904,41.672,40.8338,41.2463,3479670
2014-04-30,41.2902,41.3868,41.0883,41.2112,2423773
2014-05-01,41.2639,41.694,41.1322,41.4131,2181201
2014-05-02,41.4219,41.536,41.2156,41.2463,1246288
2014-05-05,41.0883,41.3868,40.8513,41.3517,857377
2014-05-06,41.2463,41.5887,41.1322,41.3429,1006227
2014-05-07,41.4833,41.5799,40.9567,41.3692,3528877
2014-05-08,41.2639,41.5623,40.904,41.062,910684
2014-05-09,41.0444,41.4921,41.0005,41.1234,1496364
2014-05-12,41.2551,41.5974,41.1673,41.4482,1290563
2014-05-13,41.3517,41.7203,41.2727,41.5711,1347901
2014-05-14,41.7291,42.1855,41.4307,41.5535,2276738
2014-05-15,41.4043,41.4745,40.2544,40.7636,1708811
2014-05-16,40.667,40.9742,40.272,40.9567,1024928
2014-05-19,40.9479,41.5974,40.8429,41.5009,1501177
2014-05-20,41.4833,41.536,41.0971,41.2727,1300870
2014-05-21,41.3253,41.6896,41.2639,41.6677,745335
2014-05-22,41.7291,42.0363,41.536,41.9398,1156576
2014-05-23,41.9398,42.0978,41.7642,41.7642,1572580
2014-05-27,41.9749,42.2558,41.8871,42.1592,1157907
2014-05-28,42.247,42.4664,41.852,41.8608,871005
2014-05-29,41.8783,42.2426,41.8696,42.2206,961238
2014-05-30,42.0627,42.4576,41.7554,42.3611,2105479
2014-06-02,42.5103,42.5805,42.0012,42.0627,1448147
2014-06-03,41.8244,41.9038,41.4185,41.5156,8294369
2014-06-04,41.595,41.7273,41.5509,41.6744,2470361
2014-06-05,41.7273,41.9038,41.6656,41.8244,1778134
2014-06-06,41.9744,42.3891,41.9126,42.0715,1748970
2014-06-09,42.0715,42.3009,41.9215,41.9921,1925973
2014-06-10,41.9215,41.9744,41.595,41.7715,1560874
