date,open,high,low,close,volume
2014-01-02,105.6692,105.9561,104.3551,104.79,1083625
2014-01-03,104.79,105.9284,104.79,105.114,1278925
2014-01-06,105.5119,106.5114,104.9751,105.3176,1277242
2014-01-07,105.3268,106.3541,104.716,105.9746,1666575
2014-01-08,105.7155,106.7335,105.1787,106.604,1282393
2014-01-09,106.8908,107.6034,106.6595,107.0112,1931232
2014-01-10,107.3443,107.8811,106.4466,107.696,1502424
2014-01-13,107.7608,108.7695,106.6872,107.0112,1201670
2014-01-14,107.6405,108.4271,106.5947,108.3808,1378726
2014-01-15,108.4086,109.6302,108.2837,109.0934,1094691
2014-01-16,109.1397,109.7135,108.7048,109.4729,871558
2014-01-17,109.4544,109.8153,109.0379,109.4266,889170
2014-01-21,110.1855,111.4626,109.6765,110.3058,990918
2014-01-22,110.8703,111.4534,110.0004,111.3516,1215794
2014-01-23,110.5001,111.6847,108.6909,108.7418,1427811
2014-01-24,107.9829,108.0107,104.9751,104.9936,2172258
2014-01-27,104.9936,105.4286,103.1612,104.2996,1687312
2014-01-28,104.9844,105.1232,103.3371,103.661,2168903
2014-01-29,102.8003,104.3736,102.2635,103.772,1682012
2014-01-30,104.9474,109.7968,103.6887,104.8086,2070107
2014-01-31,103.9016,107.8626,103.6702,106.9371,2079574
2014-02-03,107.4369,108.4734,103.8091,104.8086,2657273
2014-02-04,102.7355,103.6425,101.0327,102.5412,2732427
2014-02-05,101.9211,103.698,101.5232,103.0965,1657641
2014-02-06,103.3926,104.3828,103.152,103.9109,1150021
2014-02-07,104.6512,107.3443,104.5217,106.4003,1695404
2014-02-10,106.169,106.4003,104.6882,105.7988,1726168
2014-02-11,105.8173,108.6492,105.7895,108.1865,1682678
2014-02-12,108.3346,109.5006,108.1125,109.2693,1499493
2014-02-13,108.3161,110.4076,108.279,110.0004,979544
2014-02-14,109.8338,111.7865,109.186,111.3146,1234163
2014-02-18,111.5552,111.8513,110.7037,111.111,1088062
2014-02-19,111.0462,112.3224,110.0467,110.1762,1100300
2014-02-20,111.9439,112.1567,110.1022,111.62,992761
2014-02-21,112.3973,112.3973,110.2605,111.4904,1027240
2014-02-24,111.7588,114.1094,111.758,113.0174,1343795
2014-02-25,112.9063,113.531,110.5464,110.7593,1588979
2014-02-26,111.1017,111.694,109.8246,109.8708,1574207
2014-02-27,110.2429,111.6941,109.8615,111.6476,1374399
2014-02-28,111.3313,113.3313,111.1732,112.5871,1394976
2014-03-03,111.3871,113.2932,111.3406,112.5778,1293806
2014-03-04,114.4197,115.843,114.3639,115.5825,1766528
2014-03-05,115.8616,116.0104,114.4848,115.0244,1118065
2014-03-06,115.0337,115.5267,114.5499,115.0616,1187146
2014-03-07,115.5546,116.6244,115.2104,115.629,1206715
2014-03-10,114.9592,115.2141,113.5546,114.1592,1230466
2014-03-11,114.3639,114.5127,113.0708,113.2755,915056
2014-03-12,112.829,114.0755,112.0383,113.8802,1051171
2014-03-13,114.0104,115.4895,112.3257,112.5034,1462831
2014-03-14,112.4662,114.0197,112.2801,112.9685,1401585
2014-03-17,113.2848,114.1033,112.6615,113.9639,1359808
2014-03-18,114.3918,115.4058,114.3267,115.3406,934662
2014-03-19,115.6662,116.6151,113.602,114.3081,1674480
2014-03-20,114.1778,114.9778,113.6011,113.8057,1162574
2014-03-21,114.7918,114.9313,112.9778,113.3778,3311536
2014-03-24,113.5453,113.8336,111.5546,112.5778,1173279
2014-03-25,113.3127,113.8709,112.8476,113.6104,1053186
2014-03-26,113.8057,114.8662,113.1546,113.1732,1089405
2014-03-27,112.6894,112.8122,111.3313,111.5732,1458745
2014-03-28,112.0848,114.0383,112.0197,113.3127,946499
2014-03-31,114.0569,115.1546,114.0429,114.7732,1007087
2014-04-01,114.5685,115.3499,114.1871,115.3034,1408687
2014-04-02,115.2197,116.7732,114.9313,115.8988,1417067
2014-04-03,116.1965,116.4011,115.536,116.2988,712773
2014-04-04,116.7918,117.2104,112.0662,112.2708,2437072
2014-04-07,112.1592,113.1332,110.922,110.9685,1354930
2014-04-08,110.8848,111.3034,109.4336,110.5778,1184524
