date,open,high,low,close,volume
2014-01-02,72.5379,73.3236,71.9258,72.1908,2505462
2014-01-03,72.2182,72.9399,71.935,71.9441,1916517
2014-01-06,73.3693,73.3784,72.1725,72.6201,3605777
2014-01-07,72.6749,72.9764,72.3095,72.9125,2809978
2014-01-08,72.5471,72.5653,71.0762,71.4142,4266156
2014-01-09,71.5056,71.5056,70.3545,71.0488,3380948
2014-01-10,71.0853,71.6152,70.7199,71.3046,2615640
2014-01-13,71.1676,71.4142,69.9342,70.1078,4021553
2014-01-14,70.1535,70.93,69.9525,70.8295,3127341
2014-01-15,70.9848,71.1676,70.2448,70.5098,3427395
2014-01-16,70.6468,70.7656,70.19,70.4915,1865763
2014-01-17,70.8935,70.8935,70.1535,70.3179,2828315
2014-01-21,70.8387,71.2406,69.7698,70.4824,3661745
2014-01-22,70.6194,71.0031,70.4276,70.8752,2183718
2014-01-23,70.4824,70.4824,69.2582,69.5414,7956303
2014-01-24,68.911,69.0024,67.5863,67.6046,8067464
2014-01-27,67.5315,67.7873,66.8646,66.9742,5360880
2014-01-28,67.1113,67.2483,66.6362,66.9742,4261446
2014-01-29,66.7184,67.3579,66.3895,66.7184,3854079
2014-01-30,66.9103,67.6868,66.7915,67.2849,4831447
2014-01-31,68.3355,69.1211,66.8189,68.5273,9563448
2014-02-03,68.6918,68.6918,66.9925,67.3762,7473359
2014-02-04,67.7599,68.2715,67.6137,68.0705,3740638
2014-02-05,67.7873,67.9244,66.7824,66.9651,5168574
2014-02-06,67.2757,68.0614,67.0016,67.6594,4148795
2014-02-07,68.0888,68.6735,67.696,68.5821,4279052
2014-02-10,68.4816,68.5365,67.7782,68.5182,3568283
2014-02-11,68.4542,69.2125,68.3811,69.0663,4418951
2014-02-12,69.5231,69.6053,69.1485,69.45,3043303
2014-02-13,69.1029,69.5528,68.8197,69.3769,5197902
2014-02-14,69.4774,70.1443,69.1211,69.8155,5075043
2014-02-18,69.9068,69.9342,68.7466,69.7972,3126341
2014-02-19,69.6602,70.5737,69.4592,69.852,3837690
2014-02-20,69.852,70.0438,69.3495,69.7789,3727322
2014-02-21,69.4957,69.5231,68.1984,68.3355,5264825
2014-02-24,68.4999,70.1718,68.4999,69.3769,6324473
2014-02-25,68.9841,69.0206,67.4676,68.3629,5625483
2014-02-26,68.0888,68.3263,67.4767,67.9152,3670077
2014-02-27,68.0614,68.531,67.8513,68.2441,5339488
2014-02-28,68.4816,70.7108,68.3994,70.3819,6419360
2014-03-03,69.9616,70.8843,69.7242,70.3636,3948074
2014-03-04,71.0305,71.3959,70.4641,71.1127,2930453
2014-03-05,71.0305,71.3959,70.4367,70.7839,3020243
2014-03-06,70.7564,71.5787,70.6011,71.469,1867319
2014-03-07,71.8619,72.2456,71.4964,72.2273,3617511
2014-03-10,72.0172,72.1908,71.469,72.0903,2435963
2014-03-11,72.1816,72.2821,71.0122,71.332,3193268
2014-03-12,70.8462,71.167,70.2229,70.8645,4839052
2014-03-13,70.8187,70.8737,68.3163,68.9121,7832452
2014-03-14,68.9854,69.3429,68.1513,68.3805,3953435
2014-03-17,68.0871,68.7077,67.0009,67.8946,6024296
2014-03-18,68.2063,68.8296,67.9588,68.0963,3483326
2014-03-19,68.0413,68.3071,67.4547,67.8213,4102361
2014-03-20,67.7113,68.1055,67.198,67.5738,4902362
2014-03-21,68.298,68.7654,67.9405,68.2613,5608815
2014-03-24,68.3346,68.8388,67.7113,67.968,3072170
2014-03-25,68.463,68.7104,68.22,68.5455,2683330
2014-03-26,68.8754,69.1963,68.3805,68.5363,3021305
2014-03-27,68.518,69.8562,68.463,69.6912,4400490
2014-03-28,70.2045,71.222,69.7004,71.1945,3808506
2014-03-31,71.4053,71.497,70.8645,71.3778,3633154
2014-04-01,71.332,71.7262,70.8462,71.552,2931057
2014-04-02,71.7078,72.0561,71.4787,71.9095,3267631
2014-04-03,71.9095,72.3311,71.5428,71.6437,2853989
2014-04-04,72.0745,72.8261,71.7628,72.377,3681986
2014-04-07,71.992,72.157,70.6812,70.7545,3873766
2014-04-08,70.5804,71.9553,70.5256,71.607,3558247
2014-04-09,71.827,72.2945,71.2312,72.1936,2658984
2014-04-10,72.1845,72.8536,71.6528,72.0561,3170694
2014-04-11,71.6803,72.2945,71.222,71.6437,3579745
2014-04-14,71.8636,73.2523,71.6528,72.8811,4234234
2014-04-15,72.9453,74.3477,72.7253,73.9811,4195184
2014-04-16,74.4119,74.9307,73.9169,74.5127,3515356
2014-04-17,74.7327,75.851,74.3844,75.5027,4636714
2014-04-21,75.3652,75.6677,75.0168,75.5668,2294681
2014-04-22,75.1635,75.7639,74.8152,75.3743,1973050
2014-04-23,75.301,76.2176,75.2552,75.7593,3343790
2014-04-24,76.0801,76.0801,75.2002,75.9701,5272130
2014-04-25,75.8418,76.8318,75.4568,76.5109,4848795
2014-04-28,73.6419,73.7794,70.6445,70.8645,10833030
2014-04-29,71.552,73.0644,70.892,71.5978,7251480
2014-04-30,71.497,72.2578,71.0478,71.9828,3786722
2014-05-01,72.0653,72.6428,71.7262,72.2303,3715970
2014-05-02,72.3861,73.7611,72.1845,72.7803,3401402
2014-05-05,72.6519,73.7244,72.4136,73.2203,2845007
2014-05-06,73.4952,73.9169,73.1469,73.3944,2116212
2014-05-07,73.6694,74.256,73.3305,73.9536,1977614
2014-05-08,73.8252,74.1735,73.5411,73.6144,2555262
2014-05-09,73.7702,73.8711,73.0736,73.3394,2589797
2014-05-12,73.5411,74.2285,73.3211,73.7152,2312101
2014-05-13,73.8436,74.6319,73.7886,74.5494,3065521
2014-05-14,74.4394,74.7877,74.0773,74.2744,3481704
2014-05-15,74.0361,74.256,73.2386,73.7336,4705117
2014-05-16,73.7886,75.0627,73.6236,74.8244,4524014
2014-05-19,74.476,75.576,74.3844,75.4385,3128896
2014-05-20,75.2918,75.6035,75.1085,75.2277,3695142
2014-05-21,75.3468,76.2818,75.2552,75.4935,2836629
2014-05-22,75.521,75.8418,75.0535,75.5302,2081316
2014-05-23,75.8326,76.0801,74.8335,75.0718,2455171
2014-05-27,75.4018,75.521,74.8518,75.0993,2248777
2014-05-28,75.1635,75.356,74.5677,75.0443,2157400
2014-05-29,75.3835,75.4386,74.7877,75.2368,3456310
2014-05-30,74.9802,75.1745,74.7144,67.6288,3579415
2014-06-02,68.4721,69.0221,67.638,68.0046,4134751
2014-06-03,68.078,69.7096,67.7388,69.6821,4756113
2014-06-04,69.5721,70.1679,68.9763,69.9479,4771743
2014-06-05,70.3145,70.3787,69.6637,69.8929,2816183
2014-06-06,70.3054,70.7729,70.1405,70.7087,2023992
2014-06-09,70.727,71.9416,70.727,71.552,3130825
2014-06-10,71.4328,72.0882,71.3412,71.9186,2952494
2014-06-11,70.9136,70.9136,69.9686,70.425,4933306
2014-06-12,70.7292,71.3839,70.6094,71.0519,3664087
2014-06-13,71.4761,71.5406,70.7938,71.4945,2617297
2014-06-16,71.4576,72.151,71.3378,71.7711,2522471
2014-06-17,71.513,72.1031,71.3654,71.8449,2199932
2014-06-18,71.5591,71.9463,70.9966,71.891,2898978
2014-06-19,71.9924,72.3612,71.3285,72.1676,2838956
2014-06-20,72.0385,73.3755,71.9463,73.3755,3972695
2014-06-23,73.3939,74.2237,73.357,74.1039,2470789
2014-06-24,73.8826,74.6078,73.2464,73.3386,4294072
2014-06-25,73.3847,74.5649,73.1062,74.5003,3538142
2014-06-26,74.5003,74.8599,74.1546,74.6387,2687354
2014-06-27,74.5741,76.243,74.4081,76.1877,4374260
2014-06-30,76.1692,76.2983,75.616,75.9295,3421640
2014-07-01,76.2153,76.3168,75.4224,75.9848,2738208
2014-07-02,75.9664,76.409,75.7543,76.1692,2360390
2014-07-03,76.0494,76.5657,75.7728,76.5473,1430770
2014-07-07,76.3536,76.7409,76.1692,76.6579,2342837
2014-07-08,76.1231,76.8239,76.0678,76.6579,2889005
2014-07-09,76.6579,78.0686,76.6026,77.9119,3302733
2014-07-10,77.0452,77.2388,76.3075,76.8608,3699075
2014-07-11,76.787,76.8054,75.6898,76.2983,2824362
2014-07-14,76.6395,77.2296,76.5934,77.2203,1919181
2014-07-15,76.9345,77.5431,76.4366,77.3402,3391869
2014-07-16,77.6814,78.8062,77.5753,78.7048,3565413
2014-07-17,77.9949,78.7878,77.7828,78.7878,3178454
2014-07-18,77.9949,78.7878,77.7828,78.7878,3178475
2014-07-21,78.5204,79.0736,78.4743,78.9077,2507947
2014-07-22,79.1566,79.6084,79.1105,79.3226,2536005
2014-07-23,79.4056,79.5715,78.4282,79.4609,3123902
2014-07-24,79.4148,79.673,78.4374,78.7878,3306871
2014-07-25,78.3729,78.7325,78.17,78.5296,2611398
2014-07-28,78.5296,78.5573,77.2538,78.0963,4034808
2014-07-29,79.0552,79.1013,76.4551,76.9069,4670738
2014-07-30,76.5288,76.9437,75.3578,75.3578,5051018
2014-07-31,74.9614,75.5422,74.5926,74.7216,4249436
2014-08-01,74.7677,76.515,74.2422,76.409,3384145
2014-08-04,74.7677,76.515,74.2422,76.409,3384645
2014-08-05,76.1231,76.1231,74.4635,75.2011,3584992
2014-08-06,74.8415,76.2614,74.8138,75.616,2724874
2014-08-07,75.7728,76.2707,74.966,75.2749,2496199
2014-08-08,75.3855,75.9572,75.0628,75.8926,4121135
2014-08-11,76.0678,76.4274,75.4869,75.5791,2452020
2014-08-12,75.3671,76.0217,75.2103,75.5054,2081875
2014-08-13,75.9295,76.3721,75.699,75.8096,1637193
2014-08-14,75.8742,76.2522,74.2698,74.4727,2745263
2014-08-15,74.8138,75.7912,74.8138,75.7082,2780480
2014-08-18,76.2522,76.3997,75.616,76.0586,2124490
2014-08-19,76.0955,77.5799,76.0217,77.1005,3038981
2014-08-20,76.621,77.331,76.0494,77.3033,2279636
2014-08-21,77.4509,78.041,76.8054,77.8289,2547876
2014-08-22,77.6168,77.7459,77.0037,77.4509,2246839
2014-08-25,77.6353,78.1793,77.2297,78.0686,2097270
2014-08-26,78.2069,79.2534,78.17,78.2899,2200775
2014-08-27,78.502,79.0644,77.7275,78.9446,1736694
2014-08-28,78.5296,79.046,78.0871,78.7601,1847817
2014-08-29,78.88,79.7191,78.5665,79.6914,2116885
2014-09-02,79.7559,79.802,77.6346,78.0317,3297143
2014-09-03,78.6864,79.0275,78.4374,78.4928,2095904
2014-09-04,78.5204,78.6034,76.704,77.1097,3715445
2014-09-05,77.1097,77.3494,75.8373,77.0359,2911888
2014-09-08,76.7132,76.7132,75.4224,76.1877,2562824
2014-09-09,76.0678,76.243,74.8784,75.3763,3814932
2014-09-10,75.3577,75.5803,74.3099,75.5617,4836678
2014-09-11,75.0703,76.5261,74.9219,76.489,3132239
2014-09-12,76.1737,76.1923,74.4676,74.7736,3221826
2014-09-15,74.9034,75.5988,74.4583,75.3856,2815961
2014-09-16,75.3856,76.8321,75.2743,76.3592,2715578
2014-09-17,76.7115,76.7486,74.5789,75.0239,3455063
2014-09-18,75.2187,75.4363,74.4305,74.7272,2435746
2014-09-19,75.0888,75.2836,74.3285,74.3934,4738642
2014-09-22,74.3192,74.4861,72.4369,72.9747,4082745
2014-09-23,72.9283,73.2992,72.5482,73.086,3389299
2014-09-24,73.1045,73.6237,72.0011,73.1231,3643989
2014-09-25,73.1138,73.1787,71.6766,72.2607,3544978
2014-09-26,72.4554,73.0952,71.9362,72.7893,2792893
2014-09-29,72.0845,72.5667,71.4447,72.4184,2641360
2014-09-30,72.5204,72.7058,69.7571,70.5639,8969900
2014-10-01,70.6566,71.1438,68.7001,69.1173,6559164
2014-10-02,69.2842,69.7386,67.5874,68.7928,6760338
2014-10-03,68.9968,69.0061,67.6337,68.153,4436911
2014-10-06,68.2735,68.8484,67.796,68.1901,4300648
2014-10-07,67.9397,69.4813,67.847,68.3292,4801320
2014-10-08,67.745,68.5888,66.0667,68.5517,6261475
2014-10-09,68.1437,68.3292,65.858,66.1501,5254153
2014-10-10,66.2429,66.9012,64.6943,65.2043,5695315
