date,open,high,low,close,volume
2014-01-02,26.6032,26.6403,26.3811,26.4551,3896367
2014-01-03,26.4551,26.7051,26.4551,26.5292,2473410
2014-01-06,26.6495,27.1216,26.5292,26.5755,3808033
2014-01-07,26.6125,26.8902,26.3973,26.5199,5670467
2014-01-08,26.5107,26.6958,26.2978,26.3348,6504334
2014-01-09,26.3718,26.4551,25.7516,25.9831,4994721
2014-01-10,26.1589,26.2978,25.8535,25.9738,4682318
2014-01-13,25.8627,25.9923,25.3351,25.4184,4146190
2014-01-14,25.3814,25.7331,25.3629,25.7239,3154923
2014-01-15,25.7146,26.0502,25.6498,25.946,3042944
2014-01-16,25.9553,26.0293,25.7887,25.9923,4884654
2014-01-17,26.0478,26.0478,25.6498,25.9831,5667971
2014-01-21,25.9738,26.1497,25.7887,25.9831,2432656
2014-01-22,26.0293,26.2793,25.7887,25.8164,4933932
2014-01-23,25.6406,25.6776,25.1222,25.3073,6312213
2014-01-24,25.0296,25.4369,24.7797,24.826,7102955
2014-01-27,24.863,24.9648,24.5946,24.7612,4162668
2014-01-28,24.7982,25.187,24.7427,25.1777,3093068
2014-01-29,25.0296,25.4277,24.9,25.1685,3479830
2014-01-30,25.2521,25.7356,25.2521,25.6891,2818275
2014-01-31,25.4381,26.075,25.4009,25.8937,3628989
2014-02-03,25.9402,26.0145,25.4102,25.5032,5047514
2014-02-04,25.5404,25.6426,25.2614,25.466,3882443
2014-02-05,25.2707,25.5683,25.1778,25.4381,4670608
2014-02-06,25.5125,25.7356,25.4381,25.7077,2673329
2014-02-07,25.8658,26.061,25.6287,25.6705,3922419
2014-02-10,25.7449,25.7821,25.5032,25.6426,2916337
2014-02-11,25.6055,25.8611,25.5683,25.8007,5500062
2014-02-12,25.8286,25.8797,25.5032,25.5497,3193961
2014-02-13,25.4846,26.2935,25.4753,26.2935,4396378
2014-02-14,26.3121,26.6468,26.2656,26.4329,3259541
2014-02-18,26.4329,26.7676,26.4329,26.7026,2510054
2014-02-19,26.6933,26.8885,26.4701,26.5259,3548845
2014-02-20,26.498,26.7676,26.2377,26.7026,3346389
2014-02-21,26.6561,26.8234,26.4329,26.5538,2665250
2014-02-24,26.6468,27.0559,26.5445,26.8513,4171361
2014-02-25,26.8699,26.9675,26.6375,26.7862,2871989
2014-02-26,26.8513,26.8699,26.5631,26.6933,2914636
2014-02-27,26.6282,26.7676,26.5352,26.6375,2480281
2014-02-28,26.6375,27.2697,26.5631,27.028,3843526
2014-03-03,26.7119,26.8792,26.4469,26.5724,4059965
2014-03-04,26.8141,27.0931,26.5631,26.8327,3672804
2014-03-05,26.8606,26.9443,26.6468,26.842,2465295
2014-03-06,26.8513,27.121,26.7212,26.7398,2486435
2014-03-07,26.8048,26.8327,26.4329,26.684,3480645
2014-03-10,26.7026,27.0559,26.684,26.9815,2952486
2014-03-11,26.9629,27.5022,26.8141,27.2697,4238955
2014-03-12,27.0652,27.8183,26.9536,27.8183,3770941
2014-03-13,27.8648,28.0228,27.5905,27.6974,3557511
2014-03-14,27.6788,27.8834,27.5951,27.8648,2450167
2014-03-17,27.9484,27.967,27.6556,27.7904,1473328
2014-03-18,27.7718,28.0972,27.6509,28.0414,2171968
2014-03-19,28.0786,28.4877,27.5486,27.6974,3597308
2014-03-20,28.0693,28.3389,27.6881,28.3296,3384184
2014-03-21,28.6086,28.7573,28.2274,28.246,3731911
2014-03-24,28.3854,28.5435,28.1437,28.2274,2228603
2014-03-25,28.3017,28.6086,28.0042,28.5993,3128070
2014-03-26,28.7666,28.8689,28.3854,28.6922,5050954
2014-03-27,28.7294,29.1106,28.5342,29.0827,3362803
2014-03-28,29.185,29.3431,29.092,29.3338,1920733
2014-03-31,29.4175,29.7894,29.3524,29.5662,4806915
2014-04-01,29.5476,29.7708,29.3803,29.4546,3608544
2014-04-02,29.6034,29.9335,29.2873,29.8916,4933657
2014-04-03,29.9102,30.152,29.4732,29.6871,6291068
2014-04-04,29.7987,30.4402,29.7894,30.3658,7799899
2014-04-07,30.3286,30.4727,29.8265,29.8544,4462350
2014-04-08,29.8637,30.1613,29.6871,30.0683,2887661
2014-04-09,30.1241,30.7098,30.059,30.5703,4146087
2014-04-10,30.561,30.7005,30.0125,30.1241,4003863
2014-04-11,30.0218,30.1241,29.4732,29.4918,4295269
2014-04-14,29.7429,29.9753,29.5941,29.7708,2196398
2014-04-15,29.5383,30.4495,29.5383,30.0869,4006265
