date,open,high,low,close,volume
2014-01-02,17.061,17.2427,16.9845,17.1088,758530
2014-01-03,17.1662,17.1662,16.8506,16.9558,431552
2014-01-06,17.0419,17.0897,16.6689,16.7837,620049
2014-01-07,16.7454,16.7837,16.4681,16.5637,1174392
2014-01-08,16.5063,16.5733,16.3246,16.4872,630328
2014-01-09,16.5733,16.7071,16.4489,16.5446,594248
2014-01-10,16.5254,16.6498,16.4776,16.5828,303784
2014-01-13,16.5254,16.6115,16.2864,16.3342,458220
2014-01-14,16.3342,16.535,16.3342,16.4872,594165
2014-01-15,16.4968,16.4968,16.3437,16.4011,480321
2014-01-16,16.3151,16.4202,16.2481,16.2959,506010
2014-01-17,16.2194,16.3342,16.1429,16.2768,813430
2014-01-21,16.3724,16.3724,15.9325,16.0282,885898
2014-01-22,16.009,16.2672,15.8464,15.9421,644117
2014-01-23,15.856,15.856,15.6743,15.8273,372693
2014-01-24,15.6839,15.9995,15.3587,15.4448,838783
2014-01-27,15.4352,15.7938,15.3492,15.4448,3012679
2014-01-28,15.397,15.5595,15.3012,15.3109,1214597
2014-01-29,15.1675,15.3205,15.1101,15.2248,1283202
2014-01-30,15.3492,15.3492,15.0623,15.1101,1937256
2014-01-31,14.9475,15.1292,14.8997,14.9284,783649
2014-02-03,14.871,15.0431,14.4024,14.4119,1966634
2014-02-04,14.5171,14.6893,14.345,14.4119,4492491
2014-02-05,14.5363,14.8136,14.4598,14.6415,2498295
2014-02-06,14.7275,15.0527,14.5171,14.9762,1457774
2014-02-07,15.7795,16.7358,15.7795,16.2577,1909404
2014-02-10,16.3151,16.4394,15.9995,16.4011,920734
2014-02-11,16.3916,16.7852,16.3342,16.7358,1025785
2014-02-12,16.688,16.8123,16.4872,16.5446,443786
2014-02-13,16.5063,16.6306,16.2768,16.5063,540101
2014-02-14,16.4298,16.6306,16.3629,16.4681,637942
2014-02-18,16.5254,16.6211,16.3246,16.535,1097722
2014-02-19,16.6593,16.755,16.4489,16.4968,879729
2014-02-20,16.5254,16.5254,16.229,16.3629,448098
2014-02-21,16.3342,16.5541,16.2672,16.4681,725189
2014-02-24,16.4681,16.8506,16.4681,16.7358,811632
2014-02-25,16.8123,16.9367,16.8123,16.8506,1054802
2014-02-26,16.9367,16.9558,16.7454,16.8219,860689
2014-02-27,16.7932,16.908,16.7263,16.8888,550447
2014-02-28,16.9271,17.1853,16.7454,17.1088,662163
2014-03-03,16.9367,17.1088,16.7454,16.9271,654364
2014-03-04,17.0419,17.1566,17.0132,17.1088,638286
2014-03-05,17.0706,17.2331,16.9271,17.1088,541012
2014-03-06,17.0801,17.2236,16.9701,17.0801,321821
2014-03-07,17.1949,17.1949,16.7071,16.7741,391799
2014-03-10,16.8697,16.8697,16.5733,16.7167,586718
2014-03-11,16.7167,16.755,16.535,16.6115,853720
2014-03-12,16.5733,16.8219,16.3485,16.7358,687024
2014-03-13,16.841,16.841,16.2864,16.3246,516165
2014-03-14,16.2385,16.4489,16.2051,16.3055,805023
2014-03-17,16.4011,16.4968,16.1716,16.3342,652885
2014-03-18,16.3246,16.6689,16.3055,16.5924,780770
2014-03-19,16.5637,16.6498,16.3724,16.4872,763744
2014-03-20,16.3916,16.4776,16.229,16.3629,475229
2014-03-21,16.3629,16.5063,16.1286,16.2672,1578957
2014-03-24,16.3533,16.4681,16.1716,16.2194,457498
2014-03-25,16.2577,16.3763,16.0282,16.1047,193284
2014-03-26,16.1142,16.1333,15.7891,15.7986,617717
2014-03-27,15.7221,15.9612,15.7221,15.7795,441930
2014-03-28,15.8656,16.0282,15.7699,15.8178,220059
2014-03-31,15.8464,15.9995,15.7795,15.9708,238574
2014-04-01,15.9516,16.2385,15.9325,16.1907,530370
2014-04-02,16.1429,16.2481,16.0664,16.2099,364920
2014-04-03,16.2099,16.2768,15.9325,15.9612,761726
2014-04-04,15.9325,16.3246,15.9325,15.9803,784294
2014-04-07,15.923,16.1812,15.8464,15.9995,599348
2014-04-08,15.9612,16.2481,15.8464,15.923,294225
2014-04-09,15.9612,16.1812,15.9038,16.0855,229627
2014-04-10,16.0473,16.1907,15.7413,15.7604,354326
2014-04-11,15.6456,15.856,15.4065,15.55,587647
2014-04-14,15.703,15.7604,15.4735,15.6839,327898
2014-04-15,15.7604,15.7604,15.2822,15.5787,361128
2014-04-16,15.703,15.8369,15.5882,15.6934,266905
2014-04-17,15.7126,15.8656,15.6361,15.7508,168185
2014-04-21,15.7795,15.9325,15.4926,15.9325,516314
2014-04-22,15.8751,16.0568,15.7986,16.0282,665100
2014-04-23,16.0664,16.1955,16.0282,16.1812,316321
2014-04-24,16.2577,16.2577,15.9995,16.2099,434411
2014-04-25,16.2194,16.2194,16.0282,16.0473,337558
2014-04-28,16.0664,16.1764,15.8082,16.0473,613517
2014-04-29,16.0664,16.3103,15.9995,16.076,694499
2014-04-30,16.076,16.076,15.6217,15.8178,1150186
2014-05-01,15.8751,16.1333,15.856,16.0282,592047
2014-05-02,16.0568,16.2194,15.9756,16.0951,607245
2014-05-05,15.9516,16.1812,15.9421,16.1047,611038
2014-05-06,16.0473,16.0664,15.9038,15.923,478794
2014-05-07,16.009,16.009,15.703,15.8178,603488
2014-05-08,15.8656,15.8943,15.6361,15.8464,652476
2014-05-09,15.9995,16.6737,15.9995,16.6402,1558927
2014-05-12,16.6593,16.8793,16.5637,16.688,936562
2014-05-13,16.688,16.7263,16.4489,16.5541,559536
2014-05-14,16.4681,16.5302,16.0664,16.076,824146
2014-05-15,16.0855,16.0855,15.7986,15.8369,583720
2014-05-16,15.9038,15.9995,15.6074,15.9708,379859
2014-05-19,15.9708,16.0664,15.856,15.9421,164526
2014-05-20,15.8847,15.8847,15.6361,15.7126,774360
2014-05-21,15.7604,15.9421,15.6647,15.7795,431158
2014-05-22,15.7891,16.0377,15.6934,16.0377,377390
2014-05-23,16.1142,16.1142,15.856,16.009,431300
2014-05-27,16.0282,16.1429,15.9612,16.1238,317388
2014-05-28,16.1525,16.1525,15.923,15.9803,310211
2014-05-29,15.9803,15.9899,15.8273,15.9134,394164
2014-05-30,15.9038,15.9899,15.8369,15.8656,336151
2014-06-02,15.923,16.0855,15.8464,16.0473,1075172
2014-06-03,16.0664,16.2864,15.9995,16.1812,598168
2014-06-04,16.1907,16.4107,16.1429,16.2672,321210
2014-06-05,16.3342,16.5159,16.1429,16.5159,568534
2014-06-06,16.5254,16.6785,16.4202,16.5159,730994
2014-06-09,16.4776,16.755,16.4298,16.4968,440986
2014-06-10,16.4489,16.535,16.3246,16.4298,396035
2014-06-11,16.4011,16.5159,16.3055,16.4202,524616
2014-06-12,16.3246,16.3246,16.1047,16.1142,611730
2014-06-13,16.1716,16.1716,15.9134,15.9995,343238
2014-06-16,15.9134,16.009,15.7126,15.9995,827611
2014-06-17,16.0186,16.1333,15.856,16.076,404502
2014-06-18,16.0282,16.3437,16.009,16.3246,730338
2014-06-19,16.4107,16.4298,16.0377,16.4107,538416
2014-06-20,16.382,16.5446,16.1142,16.3629,625667
2014-06-23,16.2959,16.3916,16.0329,16.1047,469289
2014-06-24,16.1047,16.382,16.1047,16.2577,662368
2014-06-25,16.2577,16.5159,16.162,16.4489,652032
2014-06-26,16.5159,16.7741,16.2959,16.7741,1889532
2014-06-27,16.6785,16.8315,16.5876,16.7837,1241684
2014-06-30,16.7358,16.841,16.6211,16.688,1063142
2014-07-01,16.688,16.8936,16.6785,16.8315,687591
2014-07-02,16.7837,17.0036,16.7071,16.9462,550631
2014-07-03,16.994,17.0419,16.908,16.994,293248
2014-07-07,16.994,16.994,16.7932,16.8602,789180
2014-07-08,16.8506,16.8984,16.6976,16.8123,1499382
2014-07-09,16.8697,17.0036,16.7933,16.8984,673358
2014-07-10,16.7454,16.8219,16.6306,16.7454,757709
2014-07-11,16.755,16.8984,16.6976,16.7932,869959
2014-07-14,16.9367,16.9367,16.7268,16.8219,759791
2014-07-15,16.8506,17.0036,16.8315,16.8888,1358983
2014-07-16,16.9654,17.0132,16.8028,16.8602,842651
2014-07-17,16.841,16.8697,16.6976,16.7358,711948
2014-07-18,16.7741,16.9749,16.7263,16.8793,1047421
2014-07-21,16.8602,16.9462,16.755,16.7741,504742
2014-07-22,16.8602,16.8984,16.6976,16.7454,283790
2014-07-23,16.7071,16.7837,16.6019,16.7837,442235
2014-07-24,16.7454,16.9654,16.7454,16.9558,804626
2014-07-25,16.9271,16.9271,16.7932,16.841,843433
2014-07-28,16.8028,16.8888,16.6115,16.7263,489237
2014-07-29,16.7167,16.8793,16.578,16.6306,538316
2014-07-30,16.6593,16.7358,16.5254,16.6211,607320
2014-07-31,16.4776,16.6785,16.4155,16.4585,729518
2014-08-01,16.4011,16.6402,16.3533,16.6019,384754
2014-08-04,16.6019,16.6689,16.4298,16.6306,432498
2014-08-05,16.5828,16.5828,16.4107,16.4681,867544
2014-08-06,16.382,16.4394,16.3055,16.4011,724646
2014-08-07,16.4489,16.5063,16.1907,16.2577,1064015
2014-08-08,16.1525,16.1525,15.3109,16.0186,2848037
2014-08-11,16.1238,16.2864,15.9995,16.2003,711751
2014-08-12,16.1525,16.3151,16.0712,16.0951,697259
2014-08-13,16.2003,16.2003,15.9038,16.0282,653030
2014-08-14,15.9325,16.2385,15.9325,16.229,1081042
2014-08-15,16.3055,16.3055,16.0473,16.076,913237
2014-08-18,16.2003,16.382,16.0473,16.1047,1182893
2014-08-19,16.1429,16.1429,15.9708,16.0186,290539
2014-08-20,15.9708,16.382,15.9708,16.3437,1115803
2014-08-21,16.3724,16.4681,16.2864,16.4394,930761
2014-08-22,16.4681,16.4681,16.2959,16.3916,966548
2014-08-25,16.4681,16.5637,16.3485,16.5541,1298020
2014-08-26,16.5254,16.5541,16.4776,16.4968,359293
2014-08-27,16.535,16.5637,16.4394,16.535,844270
2014-08-28,16.4681,16.6019,16.2433,16.535,541963
2014-08-29,16.5924,16.5924,16.4107,16.5063,706784
2014-09-02,16.4968,16.5828,16.3151,16.3151,1021437
2014-09-03,16.4202,16.5159,16.4202,16.4968,1329494
2014-09-04,16.535,16.6785,16.4872,16.5446,678199
2014-09-05,16.5637,16.6498,16.4968,16.6306,605684
2014-09-08,16.5541,16.5924,16.4585,16.5063,704788
2014-09-09,16.4585,16.5446,16.2003,16.229,1540402
2014-09-10,16.1907,16.4202,16.1333,16.3724,909844
2014-09-11,16.3055,16.3916,16.1907,16.2099,619682
2014-09-12,16.1812,16.1812,15.9899,16.0568,438555
2014-09-15,16.0186,16.076,15.8273,15.9899,362077
2014-09-16,15.923,16.0999,15.8943,15.9803,409107
2014-09-17,15.9803,16.0377,15.9038,15.9421,736151
2014-09-18,15.9421,15.9899,15.8656,15.9612,357106
2014-09-19,15.9708,16.1238,15.9325,16.1047,454647
2014-09-22,16.0282,16.0282,15.9134,15.9516,565522
2014-09-23,15.923,15.9899,15.856,15.9325,883285
2014-09-24,15.8943,15.9421,15.7986,15.9038,342807
2014-09-25,15.8369,15.8751,15.6743,15.703,761155
2014-09-26,15.7221,15.9516,15.6743,15.9038,410799
2014-09-29,15.7699,15.8799,15.6934,15.7795,1847011
2014-09-30,15.7126,15.7126,15.3683,15.4257,1591433
2014-10-01,15.3587,15.397,15.0718,15.1292,1413099
2014-10-02,15.0623,15.2416,14.8519,14.9666,833598
2014-10-03,15.0909,15.1292,15.024,15.0718,653489
2014-10-06,15.0718,15.1961,15.0336,15.0718,789889
2014-10-07,15.0336,15.0623,14.651,14.6558,550599
2014-10-08,14.6032,15.0623,14.5745,15.0527,987591
2014-10-09,15.0144,15.0144,14.5171,14.5937,730162
2014-10-10,14.5745,14.6271,14.2972,14.3163,952098
2014-10-13,14.2398,14.3928,13.8764,13.8955,682524
2014-10-14,13.9051,14.0677,13.886,13.9433,744153
2014-10-15,13.7234,14.0724,13.6278,13.8477,1407285
2014-10-16,13.6373,13.8286,13.4747,13.6182,2296334
2014-10-17,13.7234,13.8955,13.5512,13.6373,1807561
2014-10-20,13.5895,13.7999,13.5895,13.7951,1863680
2014-10-21,13.9051,14.4024,13.9051,14.3546,1449251
2014-10-22,14.4119,14.4119,14.192,14.2111,3676821
2014-10-23,14.345,14.5554,14.3354,14.4406,810600
2014-10-24,14.4311,14.6893,14.4311,14.651,798443
2014-10-27,14.6415,14.6415,14.3546,14.4119,440887
2014-10-28,14.4406,14.4789,14.2685,14.4119,946735
2014-10-29,14.4119,14.5554,14.3546,14.4789,635665
2014-10-30,14.4311,14.5267,14.3259,14.4024,475855
2014-10-31,14.6032,14.6893,14.2589,14.3928,375631
2014-11-03,14.3641,14.565,14.3641,14.4406,349661
2014-11-04,14.345,14.4502,14.0485,14.0964,621246
2014-11-05,14.2302,14.345,14.125,14.2111,311259
2014-11-06,14.3354,14.7658,14.3067,14.3354,1647590
2014-11-07,14.3737,14.4024,14.1633,14.192,985014
2014-11-10,14.3163,14.3163,14.125,14.2876,294172
2014-11-11,14.3163,14.3928,14.2063,14.2685,528720
2014-11-12,14.1824,14.455,14.1824,14.345,999396
2014-11-13,14.4119,14.4119,14.0246,14.1681,1626263
2014-11-14,14.1824,14.3593,14.1346,14.3259,1165681
2014-11-17,14.2589,14.4072,14.1346,14.2876,2000017
2014-11-18,14.2494,14.345,14.1824,14.2589,1958365
2014-11-19,14.2685,14.3641,14.1824,14.3259,4737863
2014-11-20,13.7616,14.2111,13.7138,14.1155,5445664
2014-11-21,14.2876,14.3354,14.1537,14.1824,2172438
2014-11-24,14.2589,14.4454,14.149,14.3928,3770059
2014-11-25,14.4024,14.4693,14.3498,14.3641,2622925
2014-11-26,14.3737,14.565,14.3354,14.5363,1732123
2014-11-28,14.5458,14.6128,14.3641,14.3928,980246
2014-12-01,14.3163,14.5171,14.3067,14.3928,2908982
2014-12-02,14.3833,14.6128,14.2589,14.565,2036013
2014-12-03,14.6223,14.6223,14.4598,14.5841,2691711
2014-12-04,14.498,14.6032,14.4311,14.498,1955993
2014-12-05,14.4885,14.5841,14.4406,14.565,2038502
2014-12-08,14.5554,14.6176,14.2972,14.3354,1668773
2014-12-09,14.2589,14.4502,14.2207,14.4502,3162193
2014-12-10,14.4311,14.4311,14.2111,14.2207,1923729
2014-12-11,14.3641,14.3976,14.1203,14.1346,1431728
2014-12-12,14.0772,14.1346,13.9912,14.0103,1970363
2014-12-15,14.1155,14.1155,13.6182,13.6278,2108887
2014-12-16,13.5895,13.9242,13.5895,13.6182,1635726
2014-12-17,13.6469,13.7903,13.5512,13.7425,1458621
2014-12-18,13.9242,14.0103,13.7903,13.8477,1226422
2014-12-19,13.886,14.039,13.886,13.9529,2727212
2014-12-22,14.0294,14.2302,13.9434,14.1059,1629555
