date,open,high,low,close,volume
2014-01-02,30.5745,30.599,30.2678,30.5499,1632128
2014-01-03,30.6154,30.9262,30.6072,30.8608,1230459
2014-01-06,31.0571,31.1221,30.7626,31.0244,1896609
2014-01-07,31.3106,31.3679,31.0244,31.1798,2024024
2014-01-08,31.1798,31.1961,30.6808,30.8199,1810727
2014-01-09,30.8281,30.9344,30.5091,30.9017,1505843
2014-01-10,30.9835,31.6214,30.8444,31.5397,2433732
2014-01-13,31.5151,31.6133,31.2043,31.3188,1507135
2014-01-14,31.3842,31.7564,31.3188,31.646,1304512
2014-01-15,31.7687,31.8995,31.646,31.7114,1367261
2014-01-16,31.5806,31.6951,31.4333,31.5397,2133460
2014-01-17,31.5397,31.6051,31.3597,31.417,1291427
2014-01-21,31.466,32.1449,31.466,32.1449,1613604
2014-01-22,32.2758,32.5416,32.0018,32.3412,2340033
2014-01-23,32.3412,32.374,32.1204,32.3412,1876954
2014-01-24,32.3003,32.4476,32.104,32.3412,1887718
2014-01-27,32.423,32.6521,32.2349,32.4476,2489652
2014-01-28,32.4966,33.2082,32.4966,33.1673,3127169
2014-01-29,32.9629,33.2082,32.8893,33.1592,2017930
2014-01-30,33.276,33.6457,33.1363,33.4978,1817486
2014-01-31,33.2513,33.6868,33.0542,33.5061,1921987
2014-02-03,33.5225,33.5389,32.5406,32.6351,3332069
2014-02-04,32.6187,32.857,32.2572,32.7995,2588044
2014-02-05,32.7748,33.0624,32.6598,33.0049,257415
2014-02-06,33.0131,33.2678,32.8487,33.0706,1513065
2014-02-07,33.1281,33.3499,32.9802,33.3253,1414538
2014-02-10,33.3664,33.7608,33.0377,33.6786,1451863
2014-02-11,33.6704,33.8758,33.4814,33.7032,1299020
2014-02-12,33.7772,33.9128,33.5554,33.8429,1672518
2014-02-13,33.8429,34.2537,33.6868,34.0812,1469014
2014-02-14,34.073,34.4427,34.0319,34.2784,1724703
2014-02-18,34.5413,34.911,33.9826,34.8617,2642021
2014-02-19,34.796,35.4451,34.7221,34.9932,2721357
2014-02-20,35.1164,35.5848,35.0178,35.2561,2367052
