date,open,high,low,close,volume
2014-01-02,48.8861,48.8861,48.0363,48.1231,1096077
2014-01-03,48.1231,48.422,47.9815,48.2332,710023
2014-01-06,48.4141,48.8861,48.3827,48.6108,1406054
2014-01-07,48.6108,49.2872,48.3905,49.1457,1193332
2014-01-08,49.0198,49.6963,48.6265,49.6019,1259742
2014-01-09,49.7592,50.058,49.5626,49.8615,1253091
2014-01-10,49.948,51.1279,49.9322,50.6244,1431511
2014-01-13,50.5222,50.593,49.5783,49.7985,946607
2014-01-14,49.8929,50.7818,49.5547,50.7188,1059812
2014-01-15,50.6402,51.1161,50.3806,51.0177,1260071
2014-01-16,51.2616,52.3942,50.7346,52.3628,2405263
2014-01-17,52.2055,53.2438,52.0639,52.8033,3090441
2014-01-21,52.9685,53.6056,52.5673,53.582,2543136
2014-01-22,53.5584,53.8966,52.9802,53.5112,1548636
2014-01-23,53.6449,53.6449,52.5288,52.9606,1461650
2014-01-24,52.7718,52.8347,51.4032,51.411,2044048
2014-01-27,51.3796,51.7807,50.9989,51.4975,1484764
2014-01-28,51.6077,52.1268,51.4897,52.0403,1704202
2014-01-29,51.8515,53.11,51.6155,52.5201,2134674
2014-01-30,52.819,53.2988,52.4493,52.8033,1227438
2014-01-31,52.0796,53.9202,52.0796,53.873,7196664
2014-02-03,47.7534,47.777,45.551,45.5588,4195033
2014-02-04,45.724,47.9422,45.6061,47.7219,3235341
2014-02-05,46.8882,47.6276,46.2196,46.6994,1831705
2014-02-06,46.7865,47.032,46.3905,46.7231,1595195
2014-02-07,47.0161,47.1587,46.6756,46.7865,1904011
2014-02-10,46.739,46.9607,46.1371,46.6043,1140912
2014-02-11,46.5647,47.0399,46.2662,46.9528,1341899
2014-02-12,47.0241,47.4359,46.9924,47.4042,1127081
2014-02-13,47.0795,47.7368,46.9813,47.5546,1050685
2014-02-14,47.6022,47.6655,47.1824,47.4834,964161
2014-02-18,47.6734,48.1248,47.5546,48.0456,1311463
2014-02-19,47.9031,48.893,47.8833,48.1882,1646183
2014-02-20,48.1803,48.5881,48.0338,48.2911,1211647
2014-02-21,48.4178,48.497,47.9981,48.0773,1299701
2014-02-24,48.3941,48.9247,47.7447,48.4891,1679392
2014-02-25,46.8815,47.4897,45.9075,46.5727,2862209
2014-02-26,47.1508,47.2141,46.1292,46.7548,3251472
2014-02-27,46.8102,46.9686,46.4697,46.7073,1116239
2014-02-28,46.9053,47.1587,46.5331,46.834,1483555
2014-03-03,46.3984,46.8498,46.1767,46.6202,1483262
2014-03-04,46.8815,47.3804,46.8578,47.2616,1080907
2014-03-05,47.222,47.3646,46.7936,47.0161,803704
2014-03-06,47.0399,47.1745,46.6994,46.8894,1110611
2014-03-07,46.7231,47.0637,46.5093,46.6915,1084897
2014-03-10,46.6915,46.8894,46.4032,46.5489,726886
2014-03-11,46.4935,46.5647,45.9708,46.05,941284
2014-03-12,45.9075,46.5568,45.6699,46.4697,740946
2014-03-13,46.5331,46.5489,46.054,46.1925,792069
2014-03-14,46.2638,46.6994,46.2163,46.5647,835222
2014-03-17,46.6994,47.3487,46.4222,47.1904,910405
2014-03-18,47.2141,47.8952,47.0082,47.6972,891688
2014-03-19,47.6972,47.7368,46.9845,47.1191,709090
2014-03-20,46.9132,47.1666,46.446,47.0478,844526
2014-03-21,47.42,47.6338,46.9765,47.0637,2149807
2014-03-24,47.2616,47.3171,46.1846,46.3588,1187287
2014-03-25,46.5885,46.6915,46.1529,46.248,1244110
2014-03-26,46.2559,46.5251,45.7412,45.757,1303381
2014-03-27,45.8203,46.3113,45.3769,46.248,1158310
2014-03-28,46.3668,46.5331,45.8283,46.3193,1030903
2014-03-31,46.3905,47.0161,46.1134,46.9211,1345264
2014-04-01,47.0637,47.1983,46.3858,46.834,1120382
2014-04-02,46.9053,47.5546,46.7667,47.4121,1093439
2014-04-03,47.5705,47.7051,47.127,47.222,912326
2014-04-04,47.4596,47.9189,47.0557,47.3329,905365
2014-04-07,47.2458,47.3883,46.2797,46.3113,827098
2014-04-08,46.2638,46.8102,46.0183,46.5251,1196769
2014-04-09,46.8974,47.1706,46.5885,47.1666,709449
2014-04-10,47.1983,47.3963,46.2955,46.4143,1201447
2014-04-11,46.3113,46.731,46.1134,46.3351,1094662
2014-04-14,46.5568,47.0716,46.2876,46.6598,771467
2014-04-15,46.6598,47.23,46.4618,47.0478,1029912
2014-04-16,47.9268,48.1882,47.2696,48.1644,874447
2014-04-17,48.1486,48.6554,48.0456,48.3307,1092302
2014-04-21,48.5762,49.0039,48.5129,48.8613,1005660
2014-04-22,48.9088,49.6374,48.6475,49.4869,906412
2014-04-23,49.4236,49.574,49.1147,49.2652,1020810
2014-04-24,49.4077,49.772,49.1741,49.2573,1180014
2014-04-25,49.2256,49.7007,48.7584,49.6453,1260835
2014-04-28,49.7172,49.9689,49.4695,49.877,1226588
2014-04-29,49.9809,50.5003,49.941,50.1807,889774
2014-04-30,50.1407,50.629,50.1247,50.5163,1308808
2014-05-01,50.5323,50.9318,50.3005,50.5722,880280
2014-05-02,50.5482,50.8695,50.2126,50.4843,630974
2014-05-05,50.4364,51.0117,50.2766,50.9238,481375
2014-05-06,50.8039,51.0916,50.4763,50.5003,1269163
2014-05-07,51.3393,52.1863,50.5722,51.627,2252094
2014-05-08,51.1875,51.8747,50.2286,50.2925,1711125
2014-05-09,49.7652,50.1008,49.142,49.4535,1155497
2014-05-12,49.6933,50.0528,49.5095,49.6373,1038927
2014-05-13,49.7412,49.8451,49.4376,49.4456,1132949
2014-05-14,49.5974,50.4923,49.5414,50.4284,1144273
2014-05-15,50.5403,50.5482,49.945,50.0129,1055760
2014-05-16,50.4124,50.4124,49.7412,49.941,1057738
2014-05-19,49.941,50.1168,49.6373,49.7012,664996
2014-05-20,49.8051,50.788,49.7971,50.5083,945268
2014-05-21,50.6441,51.0197,50.5323,50.9078,711485
2014-05-22,50.772,51.8827,50.5882,51.4192,750524
2014-05-23,51.619,51.9865,51.4192,51.7868,644782
2014-05-27,51.9226,52.1144,51.5471,51.7788,1023556
2014-05-28,51.8747,52.0385,51.6909,51.8187,982613
2014-05-29,51.9386,51.9786,51.3473,51.619,851944
2014-05-30,51.6669,51.7708,51.3873,51.5311,1183095
2014-06-02,51.643,51.7069,51.3393,51.5071,840733
2014-06-03,51.5071,51.6669,51.3713,51.5231,872475
2014-06-04,51.4512,51.9386,51.3073,51.8986,819504
2014-06-05,51.8267,52.5699,51.8108,52.3781,802322
2014-06-06,52.3701,52.9055,52.3381,52.6498,650148
2014-06-09,52.5379,52.7776,52.2982,52.482,647193
2014-06-10,52.2982,52.7057,51.9146,52.1464,761413
2014-06-11,51.8827,52.1783,51.3633,51.7548,1184703
2014-06-12,51.7149,51.8907,51.4672,51.635,871030
2014-06-13,51.7468,52.1224,51.5231,52.0585,654293
2014-06-16,51.9626,52.9095,51.9386,52.1943,1217313
2014-06-17,52.0185,52.3142,51.4991,51.5471,1515602
2014-06-18,51.5151,51.7468,50.8599,51.4432,1894579
2014-06-19,51.4991,51.8108,51.3793,51.5071,982961
2014-06-20,51.6749,53.0573,51.6749,53.0093,2261901
2014-06-23,53.1132,53.6726,52.8815,53.5527,1152230
2014-06-24,53.5207,54.12,53.3769,53.6406,1022396
2014-06-25,53.4728,54.3837,53.4728,54.3517,1430753
2014-06-26,54.3517,54.3517,53.7884,54.0321,772565
2014-06-27,53.9282,54.1,53.6246,53.9522,1627760
2014-06-30,54.0881,54.4476,53.7445,54.3997,770171
2014-07-01,54.3917,54.7033,54.2718,54.5675,589428
2014-07-02,54.5355,54.5355,53.9602,54.136,698440
2014-07-03,54.136,54.136,53.4888,54.0241,858569
2014-07-07,54.0002,54.16,52.8415,53.0013,1356788
2014-07-08,53.0972,53.3929,52.9134,53.3609,1027291
2014-07-09,53.3849,53.5687,53.098,53.5687,707557
2014-07-10,53.1612,53.3369,52.8655,53.281,598480
2014-07-11,53.3369,53.4488,52.9334,53.289,799826
2014-07-14,53.5687,53.7205,53.2411,53.281,505966
2014-07-15,53.1372,53.1612,52.6506,53.0653,821472
2014-07-16,53.0972,53.4089,52.7856,53.4089,641748
2014-07-17,53.1052,53.7844,52.7057,52.7456,736314
2014-07-18,52.9214,53.1212,52.6338,53.1212,795665
2014-07-21,52.9134,53.1052,52.6737,52.9854,553385
2014-07-22,53.0573,53.5287,52.8815,53.5207,996242
2014-07-23,53.5367,53.8843,53.4248,53.6646,526941
2014-07-24,53.9123,54.3278,53.5767,54.152,880561
2014-07-25,53.8643,54.1839,53.2491,53.4009,533941
2014-07-28,53.5127,53.6965,52.6737,52.8096,742756
2014-07-29,53.8004,54.104,53.3889,53.4009,765067
2014-07-30,53.5127,53.6965,52.6737,52.8096,742756
2014-07-31,52.4347,53.2005,51.6367,51.935,1506563
2014-08-01,51.6529,52.1768,51.0024,52.0801,1097508
2014-08-04,51.6529,52.1768,51.0024,52.0801,1097508
2014-08-05,51.943,52.1687,51.0805,51.3546,1328946
2014-08-06,50.0085,50.9758,49.0815,50.3712,1959121
2014-08-07,50.605,50.9516,49.8392,50.0004,1220718
2014-08-08,50.1455,51.0805,49.9117,51.0644,942884
2014-08-11,51.4836,51.6529,50.5647,50.7984,1504820
2014-08-12,50.8065,51.3385,50.6291,51.2015,1230321
2014-08-13,51.403,52.3904,51.3224,52.2493,878867
2014-08-14,52.4025,52.9103,52.3058,52.7733,924287
2014-08-15,52.8942,53.8937,52.8942,53.5632,1005683
2014-08-18,53.9582,53.9582,53.3778,53.5229,808429
2014-08-19,53.5955,54.2,53.5472,54.1678,755702
2014-08-20,54.2081,54.724,54.0469,54.6111,1106815
2014-08-21,54.7159,54.9255,54.3411,54.5386,634271
2014-08-22,54.5144,54.6537,53.934,54.4096,637044
2014-08-25,54.6837,54.9739,54.4338,54.8126,698704
2014-08-26,54.8126,55.4414,54.6031,55.1673,796041
2014-08-27,55.3446,55.5462,54.9416,55.5462,854207
2014-08-28,55.4494,56.1467,55.3124,56.1185,656093
2014-08-29,56.1185,56.6102,56.0298,56.586,586254
2014-09-02,56.6021,57.0293,56.3522,56.6102,928483
2014-09-03,56.9245,57.384,56.6827,57.1099,991329
2014-09-04,57.0857,57.3598,56.6263,56.8036,648892
2014-09-05,56.9084,57.2631,56.6344,57.1825,814836
2014-09-08,57.1583,57.3759,56.8681,57.2147,563099
2014-09-09,56.9971,57.0938,56.2797,56.5054,668449
2014-09-10,56.4973,56.5296,55.5462,55.9976,892131
2014-09-11,56.1346,56.1346,55.127,55.8847,905365
2014-09-12,55.6268,55.6671,54.1839,54.5063,1381447
2014-09-15,54.4096,54.5708,54.1678,54.3129,808772
2014-09-16,54.1678,55.0867,54.1517,54.9335,786264
2014-09-17,55.0786,55.4253,54.861,55.1189,724598
2014-09-18,55.1592,55.3688,54.5708,55.2479,785625
2014-09-19,55.5623,55.5865,54.998,55.1431,1088488
2014-09-22,54.9658,55.0045,54.1033,54.2242,808358
2014-09-23,54.0227,54.0952,53.4988,53.5713,964232
2014-09-24,53.531,53.7156,52.8297,53.5149,855033
2014-09-25,53.4665,53.4826,52.87,52.9103,871088
2014-09-26,52.8216,53.5773,52.5153,53.3375,854997
2014-09-29,52.8216,53.3645,52.4347,53.2569,1254659
2014-09-30,53.265,53.4826,52.6202,52.8378,1235918
2014-10-01,52.8781,53.3617,52.0962,52.1687,1183582
2014-10-02,51.7093,51.9269,50.2785,51.6287,1657148
2014-10-03,51.7576,51.9322,51.3949,51.7899,916024
2014-10-06,51.8785,52.1687,51.2015,51.669,615723
2014-10-07,51.2901,51.4884,50.4437,50.4679,795073
2014-10-08,50.4921,50.605,49.3072,50.5566,1478688
2014-10-09,50.4437,50.4679,47.155,47.3968,2685831
2014-10-10,47.1953,47.6225,45.0108,47.018,3726001
2014-10-13,47.018,47.2759,44.3902,44.4547,2031105
2014-10-14,44.4466,44.4466,42.1171,43.2939,4391496
2014-10-15,42.9634,44.1322,41.9639,43.9146,2360406
2014-10-16,43.116,46.928,43.0516,45.574,3757124
2014-10-17,46.0829,47.1937,45.5267,46.2361,2287298
2014-10-20,46.2361,47.3968,46.1796,47.3162,1723309
2014-10-21,47.6144,49.5248,47.4291,49.2588,2421321
2014-10-22,49.6216,49.6216,48.1062,48.1787,1314598
2014-10-23,48.7591,49.1823,48.3722,48.7349,1141519
2014-10-24,48.8477,49.2024,48.0658,49.1782,779193
2014-10-27,49.1863,49.2911,48.0014,48.6946,1230099
2014-10-28,49.0331,49.15,47.8111,48.2674,1858223
2014-10-29,48.5898,48.9848,47.2477,47.8563,1948604
2014-10-30,45.5349,46.5442,45.4209,45.9582,1360497
2014-10-31,48.099,48.4978,47.6594,47.9769,1804530
2014-11-03,48.1315,48.5629,47.3908,47.5292,1666177
2014-11-04,47.1954,47.521,45.5023,45.9907,2125826
2014-11-05,46.9431,46.9561,45.1849,45.9907,2381269
2014-11-06,45.8198,46.1291,45.2256,45.543,1843917
2014-11-07,45.6895,46.8128,45.5919,46.6093,1547018
2014-11-10,46.7884,47.1873,45.5512,45.7384,1542394
2014-11-11,45.7791,46.1861,45.3965,45.7872,1069139
2014-11-12,45.5349,46.5442,45.4209,45.9582,1360497
2014-11-13,45.8198,46.0558,44.9814,45.2988,1692341
2014-11-14,45.3965,45.8849,45.1523,45.5186,1009153
2014-11-17,45.3477,45.893,45.0139,45.657,1179327
2014-11-18,45.5919,46.1942,45.5186,45.9744,1161429
2014-11-19,45.9419,46.4791,45.7465,46.2593,911207
2014-11-20,45.7872,47.0815,45.079,46.6826,1379730
2014-11-21,47.2687,48.2211,46.8291,47.5536,1691956
2014-11-24,47.5454,47.871,47.1873,47.2443,1360007
2014-11-25,47.4722,47.692,47.0163,47.057,1322234
2014-11-26,47.0408,47.1222,46.5605,46.7721,2135353
2014-11-28,45.7547,45.9663,43.9639,44.086,1415102
2014-12-01,44.0371,44.2813,41.7091,42.287,3486744
2014-12-02,42.1324,43.1906,41.7335,42.7266,2611137
2014-12-03,43.1173,44.9814,42.9789,43.3208,4531201
2014-12-04,43.1499,43.5894,42.9545,43.215,1697671
2014-12-05,42.9871,43.39,42.4335,42.7347,1887882
2014-12-08,42.5312,42.6859,39.1043,39.3485,3496862
2014-12-09,39.1043,40.1381,38.5996,39.4136,3022081
2014-12-10,39.1776,39.1776,35.9232,36.3449,4550464
2014-12-11,36.467,37.7449,36.467,37.1751,4060065
2014-12-12,36.7519,37.1426,35.9786,36.5158,2337283
2014-12-15,36.7274,37.0042,35.8565,36.0763,2018991
2014-12-16,35.7669,36.7193,35.2948,36.06,3715478
2014-12-17,36.2065,38.8764,36.1658,38.6566,3886624
2014-12-18,39.2427,40.1137,38.7746,40.0648,4284717
2014-12-19,40.6183,40.6509,38.6892,40.3253,6227996
2014-12-22,40.309,40.5451,39.3648,40.5207,2387837
2014-12-23,40.5369,41.123,40.3009,41.0091,1501946
2014-12-24,40.9032,41.2777,40.0892,41.2777,866164
2014-12-26,40.8137,41.066,40.2765,40.5858,956219
2014-12-29,40.6102,41.3916,40.5858,40.8707,2015508
2014-12-30,40.8707,41.237,40.4067,40.6672,1593395
2014-12-31,40.5939,41.1474,39.845,40.5288,1944557
2015-01-02,40.6183,40.9846,40.3172,40.6346,1569846
2015-01-05,40.0892,40.1137,38.2333,38.3066,2151241
2015-01-06,38.3066,38.5427,36.4385,36.7112,2960065
2015-01-07,37.1263,37.3135,36.117,36.4425,2441936
2015-01-08,36.9472,37.1182,36.5809,36.8414,1624103
2015-01-09,36.7519,36.9879,35.1971,35.5879,2742333
2015-01-12,35.0588,35.1402,32.9505,33.4552,4277296
2015-01-13,33.5284,34.1715,32.1772,32.747,2932483
2015-01-14,32.8284,34.489,32.4703,34.4483,4809949
2015-01-15,34.7087,35.5227,34.375,34.432,3498031
2015-01-16,34.2936,35.0995,34.2057,34.9122,2134072
2015-01-20,35.0669,35.6123,34.5948,35.5634,2803982
2015-01-21,35.653,36.9798,35.6123,36.9309,3137577
2015-01-22,37.3949,37.6391,35.946,36.2228,4600889
2015-01-23,36.1332,36.5117,35.6204,35.8646,2130598
2015-01-26,35.9867,36.8131,35.8646,36.6542,1252385
2015-01-27,36.4995,36.9879,36.0763,36.3774,1662199
2015-01-28,36.4806,36.7694,34.7065,34.7972,2225890
2015-01-29,34.987,35.5729,34.2271,35.5069,1611104
2015-01-30,35.2676,36.5879,34.9623,36.3321,2573543
2015-02-02,36.6374,37.3429,36.4146,37.2893,2077760
2015-02-03,37.4955,38.7745,37.4295,38.6013,2222263
2015-02-04,37.7513,38.0319,36.9428,37.5203,2214187
2015-02-05,38.0897,39.4677,37.8834,38.9643,1835960
2015-02-06,39.0469,39.1376,37.9576,38.6838,2105487
2015-02-09,38.7415,39.0964,37.9576,38.1227,1420105
2015-02-10,38.3207,38.3702,37.2397,38.0649,1662161
2015-02-11,37.7266,37.8999,37.215,37.6853,1370706
2015-02-12,38.1804,39.6245,37.9659,39.0138,2981630
2015-02-13,39.3934,39.8473,38.8488,39.0469,2571733
2015-02-17,39.0386,40.1443,38.4857,40.0288,2618135
2015-02-18,39.8885,40.1608,39.4099,39.7895,2030242
2015-02-19,39.2036,39.7647,38.9148,39.1954,2007618
2015-02-20,39.1706,39.5585,38.9231,39.3357,1670813
2015-02-23,38.9313,39.3439,37.9741,39.1294,2466264
2015-02-24,38.1227,38.1392,36.9097,37.215,3532668
2015-02-25,37.1077,37.5533,36.7364,37.4543,2564718
2015-02-26,37.2562,37.3553,35.969,36.2825,2315127
2015-02-27,36.5549,36.5961,35.9607,36.5218,1609375
2015-03-02,36.5218,36.5466,35.969,36.3651,1398606
2015-03-03,36.3816,37.3635,36.3486,37.3223,1564732
2015-03-04,37.2975,37.3553,36.5879,37.1572,1842758
2015-03-05,37.2315,38.0649,37.215,37.9494,1774153
2015-03-06,37.512,38.9148,37.4213,38.8901,3267839
2015-03-09,39.2449,39.8349,38.5105,38.7745,3905248
2015-03-10,38.2794,38.6838,38.0484,38.2629,2268302
2015-03-11,37.7348,38.4857,37.7348,38.0484,1729053
2015-03-12,38.2382,38.3619,37.8669,38.2382,1612273
2015-03-13,38.1804,38.2134,36.5631,37.0252,2629951
2015-03-16,37.0004,37.2645,36.4476,37.2397,2323875
2015-03-17,37.0087,37.8297,36.8973,37.7761,1614297
2015-03-18,37.8586,39.1954,37.3965,39.1376,2345752
2015-03-19,38.8736,38.9396,38.0649,38.3042,1683644
2015-03-20,38.7498,39.5089,38.5765,39.0881,5568680
2015-03-23,39.0881,40.2021,39.0881,40.1196,1869096
2015-03-24,40.0371,40.0536,38.593,38.7415,2152977
2015-03-25,38.8736,39.2944,38.6095,38.8323,1432283
2015-03-26,39.4842,39.4842,38.593,38.9148,1013485
2015-03-27,38.7333,39.1871,38.2134,38.8241,1213333
2015-03-30,39.1459,39.7565,38.9973,39.641,2092980
2015-03-31,39.4512,40.1938,39.3604,39.806,2363749
2015-04-01,39.7895,40.5569,39.7895,39.8885,1620637
2015-04-02,39.8143,40.5157,39.4017,39.6657,1272767
2015-04-06,39.74,40.5157,39.7317,40.3259,1491437
2015-04-07,40.2598,40.3589,39.806,39.9793,1658482
2015-04-08,40.1361,40.3259,39.2284,39.3357,1274886
2015-04-09,39.4347,39.7895,39.2449,39.674,1101099
2015-04-10,39.7647,39.971,39.6657,39.8143,879390
2015-04-13,39.8885,40.0618,38.9973,39.3192,1469822
2015-04-14,39.5832,40.6147,39.5007,40.5982,1381221
2015-04-15,40.8457,42.5208,40.6394,42.1412,2730355
2015-04-16,41.9432,42.0587,41.0768,41.5389,1297137
2015-04-17,41.217,41.3408,40.6147,40.8787,1420675
2015-04-20,40.9035,41.2418,40.4909,40.5404,1993117
2015-04-21,40.7467,40.821,39.5007,39.6575,2178873
2015-04-22,39.872,40.4166,39.4182,40.3836,1580972
2015-04-23,40.4744,41.0685,40.4414,40.6477,867785
2015-04-24,40.6807,40.9365,40.4001,40.6229,1035325
2015-04-27,40.7962,40.854,40.0082,40.0783,1320380
2015-04-28,40.0741,40.5003,39.8903,40.3081,1424908
2015-04-29,40.0825,40.7008,39.9154,40.6005,995168
2015-04-30,40.6005,40.7493,39.4892,40.1911,2809448
2015-05-01,40.2078,40.7092,39.9822,40.659,1318412
2015-05-04,40.6507,40.8261,40.1953,40.2078,1470311
2015-05-05,40.4084,40.9181,40.0323,40.0658,1917259
2015-05-06,39.1801,39.1801,36.9825,37.4671,7018711
2015-05-07,37.4086,37.5256,36.1636,36.6984,3742761
2015-05-08,36.9407,37.4588,36.289,37.3919,2672398
2015-05-11,37.4254,37.4254,36.1511,36.2472,1912522
2015-05-12,36.1971,36.4477,35.8545,36.2305,2571400
2015-05-13,37.0995,39.5143,36.9407,37.1914,5341979
2015-05-14,37.3084,37.4671,37.0326,37.3,1452447
2015-05-15,37.2917,38.3863,36.9157,38.1774,1750150
2015-05-18,38.0353,38.6202,37.7855,38.3111,1532236
2015-05-19,37.9267,38.154,37.3669,37.6927,1836097
2015-05-20,37.7596,37.8515,37.3368,37.7262,1165115
2015-05-21,37.7679,38.3779,37.559,37.676,1445089
2015-05-22,37.4838,37.6175,36.8405,36.8906,1690938
2015-05-26,36.6566,36.9658,36.4561,36.4728,1358246
2015-05-27,36.4812,36.7569,35.7459,36.0132,1747480
2015-05-28,35.8127,35.9715,34.9521,35.2696,2404099
2015-05-29,35.303,35.3949,34.7682,35.0273,2346531
2015-06-01,34.9938,35.1359,34.4507,34.5176,1750945
2015-06-02,34.5426,35.1526,34.4841,34.7348,1569674
2015-06-03,34.4758,34.576,33.9995,33.9995,1781934
2015-06-04,33.7572,34.0079,33.189,33.2141,2019184
2015-06-05,32.6876,33.4982,32.2866,33.331,4608693
2015-06-08,33.1723,33.4564,32.8715,32.9717,2164211
2015-06-09,33.2308,33.4313,32.8631,32.955,1811690
2015-06-10,33.3895,33.4647,32.8297,32.8548,2336210
2015-06-11,32.9717,33.1472,32.6747,32.9049,3169449
2015-06-12,32.7545,32.7629,32.1195,32.4453,3557405
2015-06-15,32.2448,33.0302,32.1947,32.6041,2526725
2015-06-16,32.5874,32.9049,32.1779,32.5456,2476248
2015-06-17,32.6459,32.8297,32.3116,32.7629,1709168
2015-06-18,32.8297,32.9968,32.3785,32.813,1688965
2015-06-19,32.7461,33.0469,32.4286,32.6208,2078696
2015-06-22,33.2475,34.5092,33.2475,34.0831,3713848
2015-06-23,34.1081,34.3254,33.9159,33.9577,1801708
2015-06-24,33.8742,34.1081,33.6485,33.7238,1501162
2015-06-25,33.5984,33.7238,32.8381,32.8464,1796584
2015-06-26,32.8046,33.3645,32.5372,33.3561,1906554
2015-06-29,32.8798,33.3227,32.6459,32.6793,1582305
2015-06-30,32.9634,33.1138,32.5513,32.9885,2106129
2015-07-01,33.0386,33.2057,32.2866,32.4203,2363165
2015-07-02,32.6459,33.0286,32.3868,32.7712,1136514
2015-07-06,32.3952,32.569,31.568,31.6933,1708464
2015-07-07,31.6348,32.7796,31.3006,32.6876,2565524
2015-07-08,32.5289,33.2224,31.9816,32.1779,2173036
2015-07-09,32.7879,33.3645,32.6292,32.7044,1893727
2015-07-10,32.7211,33.0971,32.4203,33.0386,1693743
2015-07-13,33.3812,34.576,33.3812,34.4256,2168359
2015-07-14,34.3672,34.668,34.2752,34.5928,1890884
2015-07-15,34.2585,34.4173,33.6903,33.9494,1925838
2015-07-16,34.0663,34.2585,33.8825,34.2418,1638563
2015-07-17,34.1081,34.1583,33.6486,33.7488,2053357
2015-07-20,33.6318,33.7572,32.4537,32.6626,2581196
2015-07-21,32.6626,33.1071,32.5038,32.9885,2749826
2015-07-22,32.8046,32.8213,31.7685,32.0025,2939158
2015-07-23,32.0192,32.3618,31.71,32.3116,3574034
2015-07-24,32.3952,32.4361,31.4176,31.4844,2937960
2015-07-27,31.2505,31.8771,30.8494,31.6432,1830406
2015-07-28,31.6181,32.7503,31.4176,32.3868,2537241
2015-07-29,32.2448,33.4898,31.8688,33.423,2572146
2015-07-30,33.1981,33.7581,31.7423,32.1631,2686523
2015-07-31,32.2734,32.5618,32.0104,32.0613,2633804
2015-08-03,31.8576,31.8576,30.8905,31.0262,2783198
2015-08-04,30.9668,31.0941,30.1354,30.2796,3039830
2015-08-05,32.6806,32.9775,29.3803,29.5415,5601715
2015-08-06,29.4991,30.2372,28.6083,29.9572,3157995
2015-08-07,29.8469,30.339,28.9731,29.1173,1911674
2015-08-10,29.5076,30.3042,29.3039,30.2881,2418964
2015-08-11,29.8384,30.5935,29.4567,30.5766,2545287
2015-08-12,30.4323,32.1885,30.4323,32.0358,2479335
2015-08-13,31.8407,32.4261,30.5087,30.8311,5006763
2015-08-14,30.9753,31.1938,30.4747,30.7802,3051502
2015-08-17,30.7632,31.2129,30.6784,31.0432,2615711
2015-08-18,31.2638,31.3232,29.5585,30.2202,3507206
2015-08-19,29.9318,30.1693,28.6337,29.6857,4263159
2015-08-20,29.7197,30.2881,29.2955,29.5924,4489009
2015-08-21,29.3379,29.83,28.8373,28.9561,3383529
2015-08-24,27.8447,28.5743,26.6654,27.2932,4431914
2015-08-25,28.4555,28.4555,26.8266,26.8351,3818015
2015-08-26,27.658,27.6665,26.8011,27.6241,3317883
2015-08-27,27.9635,29.4142,27.5817,29.253,2767891
2015-08-28,29.3124,30.6105,29.2615,30.2287,3194660
2015-08-31,29.9572,30.848,29.3294,30.5511,3446251
2015-09-01,29.5245,30.0421,29.4312,29.6433,4036498
2015-09-02,30.1439,30.2881,29.0325,29.9827,2606064
2015-09-03,30.1948,30.9329,29.8469,30.2626,2218650
2015-09-04,29.287,30.2032,29.147,30.0336,3084324
2015-09-08,30.0081,30.9499,29.8978,30.9074,2414010
2015-09-09,30.8141,31.3401,30.2966,30.4069,2607590
2015-09-10,30.6105,30.7802,29.9402,30.6784,2127043
2015-09-11,30.0166,30.339,29.429,29.8554,1935435
2015-09-14,29.7197,29.7875,29.1597,29.27,2104973
2015-09-15,29.6603,29.8724,29.3294,29.5669,2459663
2015-09-16,29.83,30.7293,29.83,30.602,3049288
2015-09-17,30.7887,31.4419,30.4917,30.7802,2219888
2015-09-18,30.1778,30.4493,29.813,30.322,4600672
2015-09-21,30.5002,31.1195,30.1778,30.9583,1682693
2015-09-22,30.2626,31.5777,30.2287,31.145,2499941
2015-09-23,31.1959,31.5522,29.9106,29.9742,1950207
2015-09-24,29.8384,29.8978,28.727,29.55,2217917
2015-09-25,29.7706,29.9318,29.3548,29.8554,1736377
2015-09-28,29.4312,29.6348,27.8871,27.9974,2773950
2015-09-29,28.2434,28.481,26.0206,26.1818,4358873
2015-09-30,26.5297,27.3526,26.1648,27.3187,3112673
2015-10-01,27.5732,27.9974,27.3102,27.8107,3053907
2015-10-02,27.4205,29.3803,27.3356,29.3548,3265551
2015-10-05,29.8215,31.3741,29.7875,31.3401,2782211
2015-10-06,31.2807,32.6806,31.2383,32.1037,2435745
