date,open,high,low,close,volume
2014-01-02,35.3892,35.6233,35.1737,35.4454,18163750
2014-01-03,35.3796,35.5769,35.295,35.3514,11693898
2014-01-06,35.3702,35.5205,35.1587,35.2104,15329991
2014-01-07,35.389,35.6427,35.2386,35.5675,16793331
2014-01-08,35.5111,35.6239,35.295,35.4453,16111614
2014-01-09,35.5675,35.5675,35.201,35.3796,13623514
2014-01-10,35.4735,35.84,35.3232,35.8118,15403532
2014-01-13,35.6615,35.8941,35.4266,35.4735,20848697
2014-01-14,35.5017,35.9434,35.436,35.9058,13486406
2014-01-15,35.8964,36.2441,35.8212,36.0937,17075566
2014-01-16,36.0749,36.432,35.8682,35.981,13463041
2014-01-17,35.8212,36.1501,35.7367,35.9058,14092823
2014-01-21,36.1971,36.1971,35.5205,35.8118,13544217
2014-01-22,35.7367,35.9716,35.6615,35.6897,14021552
2014-01-23,35.8682,35.9528,35.6427,35.8494,14174259
2014-01-24,35.6333,35.6709,34.8721,34.8721,27047143
2014-01-27,35.0131,35.1165,34.2895,34.2895,19075513
2014-01-28,34.3929,34.8909,34.3741,34.8627,13900000
2014-01-29,34.9379,35.0037,34.4916,34.7406,16553600
2014-01-30,34.9473,35.295,34.8439,35.1446,12976123
2014-01-31,34.797,34.9567,34.4681,34.6748,17049593
2014-02-03,34.8533,34.8533,33.6599,33.6787,21285905
2014-02-04,33.5002,33.8479,33.3028,33.7915,16227983
2014-02-05,33.378,34.064,33.331,33.7821,11458447
2014-02-06,33.9418,34.609,33.9324,34.5057,14762157
2014-02-07,34.656,34.9849,34.4963,34.9473,13202455
2014-02-10,34.9943,35.1822,34.8345,35.0507,10976921
2014-02-11,35.2386,35.6098,35.1353,35.5581,12068980
2014-02-12,35.5205,35.9434,35.389,35.7742,12387370
2014-02-13,35.5581,36.1689,35.5017,36.1031,11690786
2014-02-14,36.0186,36.0186,35.6333,35.6897,15656237
2014-02-18,35.7648,35.8212,35.4547,35.6803,10560341
2014-02-19,35.5487,35.9857,35.5205,35.5863,12491370
2014-02-20,35.5581,36.0374,35.4266,35.9622,11786612
2014-02-21,36.0186,36.1689,35.7836,35.8024,13243620
2014-02-24,35.8588,36.136,35.7461,35.84,10389140
2014-02-25,35.8118,36.1125,35.6051,35.9434,11766754
2014-02-26,36.1031,36.4884,36.0374,36.1783,11483026
2014-02-27,36.1783,36.7421,36.0468,36.6012,14055693
2014-02-28,36.6012,36.9958,36.3193,36.7515,19257757
2014-03-03,36.385,36.6388,36.0655,36.1877,13293728
2014-03-04,36.7797,37.118,36.7045,37.0334,13683328
2014-03-05,37.0334,37.3059,36.9301,37.118,11936067
2014-03-06,37.2872,37.4469,37.0428,37.0804,13082468
2014-03-07,37.1838,37.2026,36.2723,36.4884,13822256
2014-03-10,36.479,36.6012,36.3193,36.5166,8670269
2014-03-11,36.6482,36.667,36.2864,36.5542,12841483
2014-03-12,36.479,36.479,35.9716,36.1971,13230256
2014-03-13,36.2911,36.3287,35.2574,35.3796,15361198
2014-03-14,35.4172,35.7085,35.2388,35.3326,14308317
2014-03-17,35.5205,36.1595,35.5205,35.9152,14984028
2014-03-18,36.0562,36.5918,35.8541,36.4978,29707187
2014-03-19,35.5205,36.6106,35.1446,36.2253,45154897
2014-03-20,36.1783,36.3569,35.7179,36.0562,18960231
2014-03-21,36.3663,36.5072,35.2386,35.2386,33905684
2014-03-24,35.2292,36.0233,35.1259,35.8776,22547666
2014-03-25,35.8306,36.1783,35.8024,36.0843,19758703
2014-03-26,36.0843,37.0804,36.0468,36.7233,31358444
2014-03-27,36.6388,37.1697,36.4602,36.8737,26283593
2014-03-28,37.1368,37.4563,36.8267,37.1838,18405080
2014-03-31,37.3529,38.9316,37.2402,38.443,48340333
2014-04-01,38.5651,39.4672,38.49,38.988,35431875
2014-04-02,38.8752,39.1102,38.3866,38.6497,22754952
2014-04-03,38.5651,38.6591,37.9074,37.9355,22500195
2014-04-04,38.2654,38.388,37.3795,37.6811,23836605
2014-04-07,37.5114,37.6245,36.7951,37.2004,27316444
2014-04-08,37.1721,38.0298,37.0967,37.9261,22197641
2014-04-09,38.1429,38.567,37.8696,38.5293,20314322
2014-04-10,38.5388,38.6896,37.2098,37.502,26397893
2014-04-11,37.2381,37.5868,36.7245,36.7386,18656251
2014-04-14,36.8328,37.4643,36.8328,37.2947,16022027
2014-04-15,37.4172,37.6811,36.9793,37.4455,14553478
2014-04-16,37.6434,37.8413,37.2381,37.8225,13615175
2014-04-17,37.6622,37.8696,37.125,37.7753,14644119
2014-04-21,37.9261,38.1146,37.7565,37.9261,8594742
2014-04-22,37.9544,38.2843,37.8319,38.1335,10396090
2014-04-23,37.9638,38.0204,37.4643,37.502,10049267
2014-04-24,37.4737,37.568,36.7763,37.4643,13966368
2014-04-25,37.5209,37.5209,36.9695,37.1816,11647816
2014-04-28,37.4643,37.9638,37.3701,37.8225,20141168
2014-04-29,37.9356,38.2749,37.7659,37.8036,14996285
2014-04-30,37.7848,38.5765,37.7188,38.5293,16480870
2014-05-01,38.3785,38.8215,38.3031,38.6142,13946266
2014-05-02,38.7932,38.8404,38.4633,38.4634,10710578
2014-05-05,38.765,38.8875,38.4248,38.8404,13722701
2014-05-06,38.6424,38.9158,38.6142,38.6519,12647648
2014-05-07,38.7838,38.9063,38.1618,38.699,12570390
2014-05-08,38.7273,38.8875,38.2183,38.5199,10212874
2014-05-09,38.4539,38.8875,38.2089,38.6801,10262412
2014-05-12,38.8498,39.7169,38.8215,39.5378,18751387
2014-05-13,39.6038,39.6698,39.2456,39.4813,10319189
2014-05-14,39.5661,39.6038,39.3116,39.4718,14015154
2014-05-15,39.4341,39.7452,39.2456,39.519,19267105
2014-05-16,39.4813,39.5567,38.944,39.2928,15497383
2014-05-19,39.0948,39.7734,39.0289,39.7357,11929730
2014-05-20,39.6509,39.6792,39.0666,39.1702,10580239
2014-05-21,39.2739,39.387,39.0948,39.2833,11152077
2014-05-22,39.2079,39.5284,39.1184,39.1325,12276366
2014-05-23,39.2551,39.8017,39.1043,39.7263,12045353
2014-05-27,39.83,39.9148,39.3305,39.5001,12680220
2014-05-28,39.5755,39.764,39.1702,39.1797,11308761
2014-05-29,39.387,39.7829,39.2174,39.7734,9630468
2014-05-30,39.6603,39.7734,39.4436,39.6038,13495246
2014-06-02,39.5472,39.6038,39.2174,39.5567,11284911
2014-06-03,39.4341,39.5095,39.1891,39.4059,10969468
2014-06-04,39.387,39.387,38.9535,39.3022,8940290
2014-06-05,39.4436,39.896,39.3399,39.6792,10648457
2014-06-06,39.8583,40.1787,39.8206,40.1787,11447836
2014-06-09,40.1976,40.3484,39.9714,40.2447,10307711
2014-06-10,40.1222,40.4143,40.0468,40.207,13457215
2014-06-11,40.0091,40.4143,39.9242,40.1127,9622823
2014-06-12,40.0845,40.1693,39.4341,39.5849,11060987
2014-06-13,39.6321,39.7546,39.3116,39.7169,10325253
2014-06-16,39.5849,39.8017,39.3682,39.7263,8150287
2014-06-17,39.764,40.2447,39.5661,39.8865,12794058
2014-06-18,39.9431,40.3955,39.8677,40.3484,10306985
2014-06-19,40.4615,40.7065,39.9902,40.0656,27255839
2014-06-20,37.945,38.5859,37.634,38.4728,65103666
2014-06-23,38.5765,38.9535,38.4068,38.7367,16957045
2014-06-24,38.633,39.01,38.322,38.4162,16460153
2014-06-25,38.388,38.4916,38.0675,38.1335,13889764
