date,open,high,low,close,volume
2014-01-02,12.4893,12.5638,12.3899,12.4313,2828870
2014-01-03,12.4562,12.4893,12.4065,12.4727,2271393
2014-01-06,12.4727,12.5473,12.4396,12.5059,3755171
2014-01-07,12.5473,12.5804,12.4645,12.5473,2780429
2014-01-08,12.5638,12.7957,12.5224,12.7709,5247852
2014-01-09,12.8289,13.0028,12.7875,12.9117,5344053
2014-01-10,12.92,12.9862,12.7046,12.7378,5324425
2014-01-13,12.7875,12.9117,12.6798,12.7626,5031254
2014-01-14,12.9531,12.9821,12.6882,12.8786,5736547
2014-01-15,12.9034,12.9945,12.7957,12.8123,4833337
2014-01-16,12.7295,12.9779,12.6135,12.7295,5799189
2014-01-17,12.3899,12.4313,12.1083,12.2988,34202752
2014-01-21,12.3237,12.5224,12.3071,12.4313,10169418
2014-01-22,12.4479,12.5721,12.4479,12.5142,4054255
2014-01-23,12.5059,12.5473,12.2077,12.216,5412040
2014-01-24,12.1249,12.1994,12.0421,12.0752,4824952
2014-01-27,12.0918,12.1829,11.9675,11.9841,6587843
2014-01-28,11.951,12.1249,11.951,12.0918,3802661
2014-01-29,12.0436,12.0939,11.9766,12.0185,4180871
2014-01-30,12.0604,12.1022,11.985,12.0771,2606844
2014-01-31,11.9682,12.0394,11.8929,11.9012,3995527
2014-02-03,11.9012,11.9347,11.5578,11.5913,4822262
2014-02-04,11.5997,11.7672,11.4992,11.6248,10527804
2014-02-05,11.6248,11.6332,11.516,11.6081,5043165
2014-02-06,11.6667,11.6919,11.5746,11.6416,8165123
2014-02-07,12.0185,12.0185,11.5495,11.6919,3999461
2014-02-10,11.6919,11.7672,11.6415,11.7337,4561472
2014-02-11,11.7337,11.8342,11.7086,11.7672,3904093
2014-02-12,11.7421,11.8342,11.6584,11.7086,3585543
2014-02-13,11.6584,11.7337,11.5913,11.7254,3351779
2014-02-14,11.7421,11.8677,11.6751,11.8594,3317294
2014-02-18,11.9012,11.9012,11.784,11.8677,2410178
2014-02-19,11.8761,11.8761,11.6207,11.65,2978039
2014-02-20,11.6751,11.7505,11.5369,11.717,2454648
2014-02-21,11.7254,11.784,11.6751,11.7756,2733772
2014-02-24,11.8091,12.0352,11.7924,11.8929,3291283
2014-02-25,11.8677,11.9012,11.7714,11.7756,2869885
2014-02-26,11.8091,11.8929,11.7756,11.8426,2787812
2014-02-27,11.8677,11.9515,11.8342,11.9096,2091349
2014-02-28,11.9515,11.9934,11.7924,11.8677,3004056
2014-03-03,11.784,11.8342,11.7086,11.8259,2608855
2014-03-04,11.8929,12.0604,11.7924,12.0017,2528763
