date,open,high,low,close,volume
2014-01-02,52.1333,52.1864,51.4965,51.753,1077979
2014-01-03,51.8414,52.2218,51.554,51.8591,1076446
2014-01-06,52.779,53.2213,52.1068,52.3279,3502134
2014-01-07,52.3191,52.5137,52.0095,52.2925,1555475
2014-01-08,52.2925,52.3987,51.6822,52.1598,1780806
2014-01-09,52.266,52.3987,51.5142,52.1864,1054496
2014-01-10,52.2925,52.3633,51.7353,52.3544,1234158
2014-01-13,52.0626,52.4252,51.4611,51.6557,1455477
2014-01-14,51.7176,51.952,51.3373,51.8503,1592803
2014-01-15,51.921,52.465,51.6291,52.0891,1368870
2014-01-16,52.1864,52.4097,51.921,52.4075,1130755
2014-01-17,52.3456,52.8321,52.1864,52.6552,1700051
2014-01-21,52.9205,53.0709,52.1687,52.496,1205139
2014-01-22,52.5225,52.7259,52.1024,52.1687,1099996
2014-01-23,51.6115,52.0272,51.4788,51.523,1719228
2014-01-24,51.2488,51.2488,49.7186,49.7451,2461489
2014-01-27,49.5948,50.6385,49.2144,50.0193,2091086
2014-01-28,50.0547,50.5323,49.574,50.2405,1313682
2014-01-29,49.7097,50.665,49.4267,50.0105,1775027
2014-01-30,50.4704,51.0807,49.8442,50.8154,2129037
2014-01-31,48.9491,50.4174,48.7546,49.5328,3482067
2014-02-03,49.241,50.8578,47.6311,47.7638,2992114
2014-02-04,48.1795,48.9668,47.4012,48.7014,4733689
2014-02-05,49.5505,50.3908,49.0464,50.3289,6092212
2014-02-06,50.2493,52.0449,50.1697,51.8591,3101628
2014-02-07,51.9918,52.6994,51.8237,52.3191,2272537
2014-02-10,52.1245,52.2571,51.5053,51.7353,1584766
2014-02-11,51.7088,52.6021,51.6291,52.3544,1393083
2014-02-12,52.6207,53.0201,52.3544,52.5675,1650325
2014-02-13,52.1503,53.1621,51.7864,53.1177,2040405
2014-02-14,52.7893,54.7285,52.7805,54.6176,3775646
2014-02-18,54.804,55.727,54.7596,55.2832,2677907
2014-02-19,55.0259,55.5495,54.7419,54.8572,2310491
2014-02-20,54.9815,55.2832,54.7152,55.0259,1402644
2014-02-21,57.6352,57.7683,54.8839,55.3542,2058482
2014-02-24,55.6471,58.0079,55.4962,56.9695,4335421
2014-02-25,56.7299,57.5287,56.3216,57.3867,2481513
2014-02-26,57.6352,57.8038,56.8896,57.2003,1647797
2014-02-27,58.1233,58.1322,56.9784,57.6795,1657256
2014-02-28,57.9458,58.9842,57.5198,58.4339,2614772
2014-03-03,57.715,58.0967,57.4222,57.7594,1819180
2014-03-04,58.4872,58.709,57.999,58.496,2480131
2014-03-05,58.4694,58.9132,57.7328,57.9635,2018540
2014-03-06,58.3008,58.5299,58.0221,58.4783,1226753
2014-03-07,58.5049,58.9664,58.2387,58.5138,1278318
2014-03-10,58.2653,58.5493,57.7505,58.1854,993120
2014-03-11,57.8215,59.0108,57.8215,58.3807,1456436
2014-03-12,58.0345,58.9221,57.8393,58.8866,1488378
2014-03-13,59.1351,59.1351,57.5198,57.9547,2170830
2014-03-14,57.6795,58.2032,57.5198,57.6884,1796457
2014-03-17,58.283,59.3924,58.2032,59.0286,1695701
2014-03-18,59.0019,59.8273,58.7259,59.6853,1707944
2014-03-19,59.4901,59.8042,58.6025,59.1883,1591175
2014-03-20,58.7889,59.6232,58.6735,59.4146,1076599
2014-03-21,60.0669,60.4486,59.4013,59.8096,3210382
2014-03-24,59.9161,59.9782,58.5582,59.1351,2017566
2014-03-25,60.7415,61.0698,59.5167,60.0403,3014154
2014-03-26,60.1912,60.5373,59.0197,59.0374,1760432
2014-03-27,59.0374,59.1706,58.212,58.5049,2137808
2014-03-28,58.6913,59.5433,58.5582,59.0729,1501730
2014-03-31,59.4901,60.6793,59.3126,59.8539,2602020
2014-04-01,60.3509,60.4397,59.8717,60.1823,2322157
2014-04-02,60.3687,60.6793,60.1557,60.5906,1697157
2014-04-03,60.4752,60.5728,59.6054,59.8273,2120368
2014-04-04,60.4486,60.6838,58.07,58.3363,3352575
2014-04-07,58.354,58.496,57.2624,57.5597,2081135
2014-04-08,57.5198,58.5404,57.3174,58.1943,1799454
2014-04-09,58.6114,59.5167,58.283,59.1883,2059670
2014-04-10,59.1084,59.1865,57.4754,57.6529,2522521
2014-04-11,57.5819,57.928,56.6766,56.9163,2430551
2014-04-14,57.3778,57.6707,56.6908,57.0583,1950909
2014-04-15,57.2447,57.7505,56.3394,57.289,1560021
2014-04-16,58.1943,58.5049,57.3867,58.2919,1391271
2014-04-17,58.1677,58.4517,57.857,58.0257,1332564
2014-04-21,58.1588,58.6025,57.8482,58.4783,997914
2014-04-22,58.4073,58.7978,58.2564,58.4605,1159457
2014-04-23,58.5315,58.8333,58.3629,58.5937,843432
2014-04-24,58.638,59.246,58.638,58.8333,1321441
2014-04-25,57.928,58.9221,57.928,58.2742,1572389
