date,open,high,low,close,volume
2014-01-02,72.8204,72.8731,71.8458,72.0916,3276752
2014-01-03,72.1092,72.7678,72.1092,72.2146,3288547
2014-01-06,72.1794,72.5395,72.0741,72.2497,3888671
2014-01-07,72.5482,73.7512,72.5395,73.3034,6334320
2014-01-08,73.1717,73.4263,72.7128,73.0927,5653400
2014-01-09,73.1805,73.2244,72.3287,72.7502,4565939
2014-01-10,73.0575,73.4439,72.6624,73.321,3712915
2014-01-13,72.9346,73.3824,72.2848,72.3287,4487238
2014-01-14,72.557,72.759,72.2321,72.3287,4389269
2014-01-15,72.4253,73.0531,72.2497,72.7853,4190224
2014-01-16,72.6009,73.0312,72.2673,72.759,3724717
2014-01-17,72.8292,72.8643,72.0389,72.1794,6281006
2014-01-21,72.1882,72.939,72.1355,72.8117,4790747
2014-01-22,72.7326,72.8819,72.4165,72.7502,3920420
2014-01-23,72.7502,72.7502,71.8897,72.3814,5429063
2014-01-24,72.0653,72.557,71.5033,71.5033,5920924
2014-01-27,71.5033,72.68,71.4945,72.0565,5814988
2014-01-28,72.3463,72.5921,71.7492,72.2848,3867847
2014-01-29,71.8897,71.8897,70.3354,70.4408,7545185
2014-01-30,70.7921,71.4418,70.7306,71.196,4589057
2014-01-31,70.4232,70.9677,70.1598,70.5637,6729456
2014-02-03,70.555,70.6955,68.948,68.992,7076924
2014-02-04,69.3432,69.5188,68.7373,69.2115,5431834
2014-02-05,68.992,69.914,68.8778,69.7383,4829740
2014-02-06,70.4145,70.4232,69.2378,69.712,6115224
2014-02-07,69.9666,70.4759,69.5978,70.4408,4578150
2014-02-10,70.3969,70.8799,70.3881,70.7745,4742012
2014-02-11,70.6691,71.4155,70.5374,71.3453,5077734
2014-02-12,71.5472,71.8721,71.1082,71.556,4471389
2014-02-13,70.9238,71.0116,68.8076,69.9754,11205919
2014-02-14,70.0369,70.0896,68.544,68.5705,13254694
2014-02-18,69.0446,69.0446,68.2983,68.6495,9843869
2014-02-19,68.5266,68.869,67.6221,67.7012,10353796
2014-02-20,67.9909,69.2554,67.9382,68.5002,9580424
2014-02-21,68.5002,69.2905,68.4036,68.6846,7531842
2014-02-24,68.7637,69.8889,68.7637,69.2642,7751126
2014-02-25,69.3871,70.0281,69.3081,69.5715,7513012
2014-02-26,69.8086,70.1423,68.992,69.0622,6586262
2014-02-27,69.0622,69.7735,68.8427,69.431,7809766
2014-02-28,69.4486,70.5989,69.2378,70.3091,9871334
