date,open,high,low,close,volume
2014-01-02,70.4815,70.5075,69.6063,69.7969,6985476
2014-01-03,69.9876,70.0656,69.4893,69.7189,6925922
2014-01-06,69.8576,70.1782,69.5889,69.8836,7209873
2014-01-07,69.9442,70.6982,69.8662,70.5595,7158171
2014-01-08,70.1696,70.3255,69.3723,69.5369,13462911
2014-01-09,69.7969,70.0222,69.3549,69.6929,10839420
2014-01-10,69.8402,70.1002,69.5023,69.5889,8452355
2014-01-13,69.3376,69.7622,69.0603,69.3376,9366118
2014-01-14,69.3809,70.1262,69.3463,70.0829,8737186
2014-01-15,69.9356,70.3472,69.5456,70.0136,8223578
2014-01-16,69.8922,70.0482,69.5543,69.8142,11673888
2014-01-17,69.6929,69.8836,69.1556,69.2249,13633468
2014-01-21,69.8402,69.9529,68.9303,69.4849,13216873
2014-01-22,69.4775,69.7482,69.0235,69.1806,8455602
2014-01-23,68.7266,68.9536,68.2114,68.3162,12674650
2014-01-24,69.268,71.3374,69.0235,69.137,20190733
2014-01-27,69.1894,69.2374,68.4734,68.517,10396538
2014-01-28,68.6917,69.4339,68.4821,69.0759,10061868
2014-01-29,68.8052,68.8052,67.5653,67.7923,13443126
2014-01-30,68.1503,68.1503,67.0327,67.12,9462515
2014-01-31,66.3865,67.4003,65.7142,66.9017,12996679
2014-02-03,66.9628,67.0239,66.0111,66.0984,14304728
2014-02-04,66.3603,66.7009,65.8364,66.4389,15598441
2014-02-05,66.3079,67.0589,66.0722,66.7533,9734258
2014-02-06,66.8231,67.2248,66.7794,67.1462,7821991
2014-02-07,67.2248,67.574,67.0152,67.5042,7301419
2014-02-10,67.6089,68.1852,67.3994,68.1328,8964308
2014-02-11,68.194,69.0759,67.7958,68.8401,10516106
2014-02-12,68.2202,68.5694,67.2859,67.6613,11035220
2014-02-13,67.3121,68.0368,67.2335,67.932,7422665
2014-02-14,67.836,69.6347,67.4518,69.3291,10819496
2014-02-18,69.3989,69.5299,67.7225,68.0805,15763668
2014-02-19,67.7923,68.9431,67.7137,68.2289,8740119
2014-02-20,68.0717,68.4908,67.6701,68.0368,8275272
2014-02-21,68.1503,68.8838,68.0281,68.0805,8095885
2014-02-24,68.1328,68.7789,67.7661,67.9844,7838896
2014-02-25,67.8709,68.3773,67.5828,68.2114,8182444
2014-02-26,68.3075,68.779,67.9495,67.9844,7772528
2014-02-27,67.9058,68.3075,67.7181,68.2726,6549833
2014-02-28,68.3162,68.9012,68.1115,68.6829,8489944
2014-03-03,68.3337,68.4633,67.5391,67.6526,8598611
2014-03-04,68.1852,68.7353,68.015,68.4996,8306976
2014-03-05,68.3861,68.4647,67.7137,67.9495,8542659
2014-03-06,68.1416,68.4952,67.9669,68.159,6475573
2014-03-07,68.4647,68.6262,68.2027,68.4385,5865449
2014-03-10,68.3599,68.6044,68.2813,68.5694,5233421
2014-03-11,68.6218,69.3204,68.6044,68.9362,6599692
2014-03-12,68.6829,69.3727,68.648,69.1894,7470100
2014-03-13,69.2592,69.6434,69.1457,69.1457,9676644
2014-03-14,69.0671,69.1806,68.6917,68.9624,14850696
2014-03-17,68.9973,69.8093,68.9973,69.7133,8452219
2014-03-18,69.7133,69.9228,69.425,69.6522,7703150
2014-03-19,69.5736,69.7744,68.552,68.7877,8607176
2014-03-20,68.7179,68.9187,68.2419,68.3861,8659509
2014-03-21,69.0147,69.6347,68.0019,68.0019,21250203
2014-03-24,68.5389,69.7045,68.517,69.2418,11221570
2014-03-25,69.4339,69.8442,69.364,69.6871,8892450
2014-03-26,69.8792,70.0101,69.268,69.4164,8270011
2014-03-27,69.4601,70.2284,69.3116,69.5474,8134097
2014-03-28,69.8006,70.1324,69.4339,69.6434,6413509
2014-03-31,69.853,70.5777,69.4601,70.3769,8493091
2014-04-01,70.3769,70.5864,70.0363,70.1499,8222389
2014-04-02,70.0189,70.1411,69.6783,69.9665,6741554
2014-04-03,70.0975,70.3594,69.7919,69.9403,5647193
2014-04-04,70.2634,70.3385,69.6347,69.6522,8649667
2014-04-07,69.8704,70.7873,69.7919,70.2808,13228988
2014-04-08,70.2983,71.0579,69.8704,71.0317,11886367
2014-04-09,71.4247,71.8089,71.0055,71.154,11555284
2014-04-10,71.2326,71.7128,70.6301,70.8047,12202694
2014-04-11,70.7087,71.3024,70.2896,70.5166,11831591
2014-04-14,70.7261,70.9008,70.2983,70.5602,7105587
2014-04-15,70.5428,70.8047,70.307,70.5864,9007674
2014-04-16,70.9706,71.4945,70.7523,71.2937,8301006
2014-04-17,71.1365,71.5033,71.023,71.3897,8374713
2014-04-21,71.4334,71.4334,70.9794,71.2151,6395150
2014-04-22,71.1976,71.3112,70.8571,70.9444,9260267
2014-04-23,71.0444,71.0444,69.865,70.7275,9580599
2014-04-24,70.6395,71.6253,70.4195,71.4229,9528562
2014-04-25,71.4669,71.8013,71.2644,71.6517,7497404
2014-04-28,71.7661,73.0335,71.7397,72.9983,11595127
2014-04-29,72.8311,73.0071,72.4878,72.5582,7214281
2014-04-30,72.5142,72.8311,72.38,72.655,6253243
2014-05-01,72.5142,72.5846,71.9597,72.4702,5312492
2014-05-02,72.3646,72.699,71.9509,72.1006,6629371
2014-05-05,71.8541,72.0689,71.7045,71.9069,4563610
2014-05-06,71.9597,71.9597,71.3964,71.4052,4591267
2014-05-07,71.6869,72.2942,71.6605,72.2502,6639614
2014-05-08,72.2238,72.4526,72.0125,72.3118,4631207
