date,open,high,low,close,volume
2014-01-02,40.0159,40.4064,39.889,39.9671,832589
2014-01-03,40.1623,40.6114,40.0256,40.2307,802254
2014-01-06,40.8066,41.2664,40.6407,40.6993,1242223
2014-01-07,40.7383,41.2459,40.5919,41.1093,702938
2014-01-08,41.1776,41.8122,41.0116,41.6852,1062055
2014-01-09,41.9293,42.4467,41.8219,42.3979,957648
2014-01-10,42.3393,42.3979,41.9586,42.1538,892165
2014-01-13,42.1831,42.1831,41.1971,41.3436,589154
2014-01-14,41.5291,41.8707,41.2459,41.7341,787347
2014-01-15,41.9589,42.2523,41.7243,42.0274,554703
2014-01-16,41.9883,42.5554,41.8318,42.2719,696605
2014-01-17,42.3696,42.575,42.0274,42.0567,516921
2014-01-21,42.399,42.4381,41.6949,42.1643,551854
2014-01-22,42.1936,42.4283,41.8123,42.0861,387946
2014-01-23,41.9589,41.9589,41.206,41.5483,648120
2014-01-24,41.3136,41.382,40.238,40.2673,739393
2014-01-27,40.6095,40.7073,39.7295,40.1499,1363001
2014-01-28,40.5606,41.8123,40.4335,41.7634,1298777
2014-01-29,41.3625,41.7536,41.2451,41.6558,1348893
2014-01-30,42.135,43.2497,41.9883,43.0639,2500512
2014-01-31,44.824,44.8436,42.1838,42.6337,2378156
2014-02-03,42.8781,43.0541,41.7829,42.0763,2238548
2014-02-04,42.1936,42.3892,41.7243,41.8905,1226782
2014-02-05,41.8318,41.9003,40.9616,41.7243,1541565
2014-02-06,41.7829,42.0958,41.7243,41.9101,923510
2014-02-07,42.047,42.9466,41.9003,42.8097,1699419
2014-02-10,42.8292,42.9759,42.399,42.575,703950
2014-02-11,42.6337,43.0639,42.5848,43.015,882010
2014-02-12,43.2106,43.4355,42.9759,43.191,1021281
2014-02-13,42.927,43.3964,42.8586,43.2888,651994
2014-02-14,43.0835,43.2204,42.8097,43.0052,832143
2014-02-18,43.0932,43.1715,42.6092,42.7021,734072
2014-02-19,42.6043,42.6043,41.734,42.0372,1443065
2014-02-20,42.2132,43.0786,42.0372,43.0737,1830957
2014-02-21,43.1519,43.1824,42.6972,42.751,1917574
2014-02-24,42.8879,43.3377,42.839,43.1715,1624797
2014-02-25,43.2204,43.2986,42.9172,43.2888,1309577
2014-02-26,43.3181,43.8853,43.2204,43.6408,1005234
2014-02-27,43.6213,44.428,43.4941,44.296,1296149
2014-02-28,44.4524,44.5013,44.0711,44.3155,851944
2014-03-03,43.8364,44.1542,43.4648,43.7875,774132
2014-03-04,44.2471,44.472,44.1493,44.3938,1086652
2014-03-05,44.4133,45.6845,44.1493,44.8044,1925141
2014-03-06,44.9707,45.2054,44.6871,45.0685,1166849
2014-03-07,45.3423,45.3423,44.5404,44.824,716584
2014-03-10,44.8338,44.8631,44.1982,44.4915,447496
2014-03-11,44.5013,44.648,43.8168,43.9928,667538
2014-03-12,43.8168,44.4427,43.6408,44.3644,555160
2014-03-13,44.4622,44.6676,43.4355,43.6213,441075
2014-03-14,43.543,43.8951,43.3979,43.7582,681038
2014-03-17,43.9635,44.4427,43.8657,44.3938,592171
2014-03-18,44.4915,44.9413,44.4133,44.8925,749522
2014-03-19,44.9022,45.0391,44.5404,44.8827,605795
2014-03-20,44.736,45.3716,44.2862,45.1858,779218
