date,open,high,low,close,volume
2014-01-02,32.0701,32.0875,31.6886,32.0008,1985472
2014-01-03,31.9401,32.3909,31.9314,32.2869,1840099
2014-01-06,32.6163,32.7204,32.2088,32.4256,3030580
2014-01-07,32.5036,32.8764,32.4256,32.7117,2850112
2014-01-08,32.6683,32.8071,32.3215,32.6683,2382929
2014-01-09,32.703,32.7204,31.8794,32.2522,2916914
2014-01-10,32.4169,32.7074,32.3302,32.599,1721505
2014-01-13,32.3476,32.547,31.7233,31.862,2397424
2014-01-14,32.0008,32.3996,31.9193,32.2695,1597010
2014-01-15,32.3129,32.651,32.2452,32.521,1909421
2014-01-16,32.4949,32.5816,32.2002,32.3302,2250449
2014-01-17,32.3952,32.4949,31.9141,32.0614,2432530
2014-01-21,32.2522,32.5383,31.9574,32.3736,1522324
2014-01-22,32.5123,32.8678,32.4516,32.729,1995654
2014-01-23,32.5036,32.6163,32.2609,32.4429,2216822
2014-01-24,32.1915,32.2609,31.654,31.8534,2855041
2014-01-27,31.7753,31.9921,31.4979,31.654,3319431
2014-01-28,31.706,32.3649,31.6366,32.2782,2752921
2014-01-29,31.9487,32.2609,31.667,32.0875,3230181
2014-01-30,31.6453,33.9342,31.6453,33.648,4294299
2014-01-31,33.1105,33.9515,32.9978,33.6047,4104532
2014-02-03,33.6567,33.7174,32.9501,33.0932,2916138
2014-02-04,33.0845,33.7521,32.9978,33.596,3206504
2014-02-05,33.492,33.9688,33.3012,33.9168,3138880
2014-02-06,33.9602,34.4023,33.8084,34.3156,3014126
2014-02-07,34.437,34.7925,34.2116,34.6191,2457765
2014-02-10,34.6191,35.0526,34.463,34.9745,1942365
2014-02-11,34.8965,35.4601,34.7578,35.2173,2496556
2014-02-12,35.2173,35.408,35.0873,35.2953,1672994
2014-02-13,35.1219,35.5901,35.0699,35.3994,1759331
2014-02-14,35.304,35.5294,35.2173,35.2607,2041767
2014-02-18,35.2867,35.382,34.9312,35.3734,2594079
2014-02-19,35.2693,35.8502,35.174,35.304,2051713
2014-02-20,35.33,35.4601,34.8402,35.0179,2063368
2014-02-21,34.9919,35.304,34.8618,35.2086,2416537
2014-02-24,35.2086,35.7722,35.1653,35.278,3029047
2014-02-25,35.278,35.6248,35.2433,35.4687,1804812
2014-02-26,35.5554,35.7462,35.356,35.5641,2009285
2014-02-27,35.6161,35.8069,35.1826,35.4601,1900673
2014-02-28,35.4601,35.8849,35.3907,35.7115,3511324
2014-03-03,35.4774,35.7202,35.0959,35.4861,2779910
2014-03-04,35.7548,36.5005,35.7548,36.3877,3041190
2014-03-05,36.3704,36.4224,35.9456,36.2057,2682285
2014-03-06,36.2317,36.3184,35.6768,35.8242,2472694
2014-03-07,35.6768,35.7635,35.1826,35.4341,2214394
2014-03-10,35.4078,35.4865,35.0407,35.2417,2178889
2014-03-11,35.2068,35.5739,35.2068,35.3554,1384994
2014-03-12,35.233,35.5652,35.198,35.5127,1875336
2014-03-13,35.4952,35.6613,35.233,35.2767,1669452
2014-03-14,35.2767,35.4865,35.1019,35.1281,1542341
2014-03-17,35.3991,35.6875,35.2855,35.3991,1131685
2014-03-18,35.3292,35.7924,35.3117,35.6963,1217991
2014-03-19,35.6089,35.9323,34.8135,34.9795,2035664
2014-03-20,34.8484,35.198,34.6124,35.1806,3269111
2014-03-21,35.4952,35.6394,35.2505,35.4777,2887093
2014-03-24,35.4603,35.5914,34.9533,35.0582,1588933
2014-03-25,35.2942,35.5477,35.0582,35.3729,2084637
2014-03-26,35.4515,35.469,34.8746,34.8834,1519284
2014-03-27,34.7348,35.0844,34.6037,35.0669,1653720
2014-03-28,35.2068,35.6001,35.1543,35.434,1250832
2014-03-31,35.6351,36.0022,35.2417,35.6875,1890952
2014-04-01,35.7487,35.7924,35.3554,35.7312,2301638
2014-04-02,35.7574,35.9323,35.5652,35.67,2634653
2014-04-03,35.8274,35.8448,35.4909,35.7312,2430120
2014-04-04,35.8623,36.2207,35.67,35.8711,1720275
2014-04-07,35.8711,36.2644,35.7749,35.9148,1568445
2014-04-08,35.906,36.0284,35.6789,35.976,1809104
2014-04-09,36.1245,36.2556,35.8186,36.1071,3628261
2014-04-10,36.1158,36.2644,35.1194,35.3554,3711696
2014-04-11,35.1369,35.3816,34.9271,35.0058,2552695
2014-04-14,35.2417,35.3379,34.7173,35.0495,2318632
2014-04-15,35.1194,35.5914,34.997,35.5826,3184440
2014-04-16,35.7749,35.8274,35.4297,35.7487,2850087
2014-04-17,35.4865,36.1333,35.469,36.0896,3288723
2014-04-21,36.0109,36.2294,35.8274,36.177,2791198
2014-04-22,34.7872,36.2207,34.7872,36.0371,3451452
2014-04-23,36.2906,36.378,35.5652,35.7837,3600291
2014-04-24,35.9148,36.1901,35.7137,36.0371,2104933
2014-04-25,35.9847,35.9934,35.4909,35.6001,2092205
2014-04-28,35.8361,35.8536,35.2243,35.7837,3318507
2014-04-29,35.7924,36.0459,35.5258,35.74,2194201
2014-04-30,35.6438,35.6963,35.2767,35.5127,2455411
2014-05-01,35.5127,35.8011,35.2767,35.7837,1833804
2014-05-02,35.6788,36.0808,35.5127,35.6526,2403710
2014-05-05,35.4865,36.0808,35.3554,36.0022,2026272
2014-05-06,35.5652,35.8361,35.3466,35.5127,2887598
2014-05-07,35.7225,36.0634,35.4777,36.0284,2659791
2014-05-08,36.0371,36.3605,35.9934,36.1682,3137192
2014-05-09,36.1945,36.4086,35.8186,36.0109,2758716
2014-05-12,36.1158,36.2469,35.9148,36.1945,2070742
2014-05-13,36.2207,36.5266,36.0197,36.1508,1825523
2014-05-14,36.1245,36.2906,35.8623,36.0721,1812816
2014-05-15,36.0022,36.1682,35.3991,35.8274,2402805
