date,open,high,low,close,volume
2014-01-02,72.2798,72.4459,71.2413,71.4656,3760670
2014-01-03,71.6567,71.8644,71.0419,71.0585,3846961
2014-01-06,71.0751,71.0917,70.2443,70.56,5323966
2014-01-07,70.7178,71.1748,70.2277,70.3523,7510832
2014-01-08,70.2027,70.2941,68.8984,69.1809,10925115
2014-01-09,69.1642,69.48,68.6325,69.2141,6690090
2014-01-10,69.7541,69.8289,68.4664,68.5993,9052164
2014-01-13,68.4913,68.9233,68.3501,68.4996,7027686
2014-01-14,68.7405,68.9565,68.3833,68.4996,6105366
2014-01-15,68.4996,69.2058,68.4165,69.023,5530825
2014-01-16,68.9233,70.2443,68.6408,70.2194,6878677
2014-01-17,69.8954,70.0034,69.1227,69.2307,6193608
2014-01-21,70.0532,70.236,69.2972,69.779,4528119
2014-01-22,69.7209,70.128,69.3304,69.9452,3405841
2014-01-23,69.4633,70.128,68.9565,69.4052,4539037
2014-01-24,68.9233,69.1061,67.7103,67.7103,8093091
2014-01-27,67.8183,68.0094,67.1039,67.1122,5444275
2014-01-28,67.2036,67.3033,66.8878,67.1371,5973530
2014-01-29,66.8546,66.8546,65.0767,65.9989,10377658
2014-01-30,66.1401,66.298,65.5752,65.7081,7011930
2014-01-31,65.0601,65.5918,64.1296,64.9188,8008154
2014-02-03,64.8773,64.9604,62.5428,62.6341,9839835
2014-02-04,63.0163,64.1628,62.7837,63.872,7935112
2014-02-05,63.6062,64.0382,63.1908,63.8887,7040279
2014-02-06,63.872,65.4589,63.6893,64.8939,8401351
2014-02-07,65.0767,66.7051,64.9438,66.6718,8663204
2014-02-10,66.4226,66.5443,65.1681,65.4755,6532396
2014-02-11,65.3093,66.0487,64.8108,66.0155,6015419
2014-02-12,66.1651,66.1817,65.0601,65.1681,5160136
2014-02-13,65.0102,65.8992,64.4287,65.8327,4595600
2014-02-14,65.6583,66.9211,65.5336,66.7882,6642446
2014-02-18,66.6386,67.2451,66.4641,66.4724,5989021
2014-02-19,66.2731,66.6256,66.0487,66.1318,4474066
2014-02-20,66.1567,66.5888,65.841,66.2232,4546128
2014-02-21,66.1651,66.4143,65.5503,65.6084,5429540
2014-02-24,65.4589,66.1651,65.2346,65.7746,5051968
2014-02-25,65.9657,66.5389,65.9075,66.406,5363118
2014-02-26,66.5057,66.5306,65.5669,66.0487,5278235
2014-02-27,66.0487,67.4113,65.92,67.1122,5978275
2014-02-28,67.4279,67.7934,66.8887,67.2202,4568955
2014-03-03,66.6718,67.27,66.2731,66.838,5289863
2014-03-04,67.2949,68.0094,67.2866,67.7768,5595714
2014-03-05,68.0177,68.026,67.1039,67.3531,3844436
2014-03-06,67.4611,67.7103,67.1245,67.2202,5149998
2014-03-07,67.3116,67.3282,65.8161,66.7466,5384591
2014-03-10,66.73,66.9377,66.4974,66.8214,4571415
2014-03-11,66.9792,67.1703,65.758,66.0654,5324948
2014-03-12,65.758,66.0072,65.4589,65.7746,4363910
