date,open,high,low,close,volume
2014-01-02,70.5288,70.8351,69.6808,70.0911,1063549
2014-01-03,70.1002,70.7294,69.8175,69.8723,939952
2014-01-06,70.2461,70.4084,69.3981,69.4346,1358438
2014-01-07,69.7446,70.5288,69.6078,70.1823,872914
2014-01-08,70.0273,70.6655,69.7446,70.4467,949292
2014-01-09,70.6108,71.0029,70.3008,70.4923,900465
2014-01-10,70.6655,70.7841,70.0364,70.2279,908867
2014-01-13,69.8631,70.0455,68.3222,68.459,1888030
2014-01-14,68.6595,69.2887,68.1681,69.1155,1495903
2014-01-15,69.3616,70.3829,69.2613,70.3829,1163522
2014-01-16,70.164,70.6108,69.9908,70.3738,905139
2014-01-17,70.3646,70.9847,69.4072,70.7567,2282428
2014-01-21,71.0759,71.2856,70.1294,70.8935,1534784
2014-01-22,71.3874,71.4149,70.4361,70.7837,918786
2014-01-23,70.3629,70.555,69.0182,69.256,1288933
2014-01-24,68.7987,68.9542,65.8898,66.0636,2564896
2014-01-27,66.5484,66.7862,65.2138,65.8715,1756077
2014-01-28,71.1496,71.1496,66.8502,68.4236,2724682
2014-01-29,68.4145,69.2652,67.3259,67.6735,2362572
2014-01-30,68.3047,68.4922,67.6003,68.3687,1171744
2014-01-31,68.0211,68.5608,66.7771,67.9937,1255078
2014-02-03,67.9937,68.5242,65.3775,65.469,2891419
2014-02-04,65.9172,67.6369,65.2586,67.5546,2037614
2014-02-05,67.2985,68.6157,67.143,68.4328,2191263
2014-02-06,68.259,68.8261,67.8382,68.5517,1246604
2014-02-07,68.8353,69.8964,68.6432,69.8598,1515453
2014-02-10,69.8598,70.1525,69.3109,70.0244,1330417
2014-02-11,69.8598,71.0398,69.8598,70.7197,1774173
2014-02-12,70.7654,71.5704,70.7471,71.049,984780
2014-02-13,70.5001,71.296,69.9055,71.2868,1009394
2014-02-14,71.2136,71.7716,70.7745,71.6984,929184
2014-02-18,72.1558,72.3388,71.4972,72.3113,887265
2014-02-19,72.165,72.476,71.0993,71.1953,1214891
2014-02-20,71.3783,72.4906,71.2685,72.2564,1382269
2014-02-21,72.4668,73.1346,71.9546,72.4211,1254507
2014-02-24,72.54,73.1712,72.4394,72.7413,1025359
2014-02-25,72.7962,73.6835,72.6041,73.345,2566586
2014-02-26,73.4456,73.9213,72.97,73.5371,1200288
2014-02-27,73.5188,74.1683,73.281,74.0402,919843
2014-02-28,74.2232,74.4519,73.4914,73.9213,870790
2014-03-03,73.2718,73.7795,72.7779,73.4365,787857
2014-03-04,74.4244,75.1196,74.3329,74.9367,880357
2014-03-05,74.9275,75.1837,74.5067,74.9275,1001046
2014-03-06,74.8452,75.7325,74.8452,75.6685,1012063
2014-03-07,75.9521,76.2667,75.3758,75.7508,1024424
2014-03-10,75.5496,75.6776,74.9092,75.3575,602069
2014-03-11,75.3392,75.7142,74.0677,74.4153,1480221
2014-03-12,73.8481,73.8664,72.6955,73.3999,1703973
2014-03-13,73.6469,73.8207,71.4057,71.8722,2152427
2014-03-14,71.8814,72.1284,70.7745,70.8294,1924511
2014-03-17,71.5521,72.6223,71.4972,72.3388,1420257
2014-03-18,72.5858,72.9196,72.3113,72.6864,823365
2014-03-19,72.723,72.9882,71.4423,71.9088,764781
2014-03-20,71.6619,72.3022,71.3051,72.2839,908032
2014-03-21,72.9425,73.1712,71.424,71.5795,2191889
2014-03-24,72.0095,72.5766,71.0215,71.5704,841678
2014-03-25,72.0278,72.6315,71.2594,71.9271,927136
2014-03-26,72.3388,72.6864,70.6282,70.6556,881254
2014-03-27,70.6739,70.7928,69.5854,69.997,1042182
2014-03-28,70.1159,71.2411,70.0061,71.0398,946127
2014-03-31,71.6024,72.6223,71.4332,72.5766,1031952
2014-04-01,72.5949,73.8298,72.5949,73.3999,1004157
2014-04-02,73.5371,74.1317,73.4639,73.6835,886291
2014-04-03,73.7932,73.9762,72.9425,73.1803,881783
2014-04-04,73.9396,73.9396,71.3335,71.5612,955620
2014-04-07,71.1679,71.2502,69.6585,70.18,1153792
2014-04-08,70.3629,71.8082,70.18,71.7625,1391670
2014-04-09,71.982,73.3359,71.5704,73.2718,1229313
2014-04-10,73.2352,73.2901,71.4332,71.4698,1618185
2014-04-11,71.049,71.7442,70.2806,70.4818,1191195
2014-04-14,71.1039,71.5612,70.4635,70.8203,1103350
2014-04-15,71.1039,71.4789,69.7134,71.1039,797063
2014-04-16,71.9271,73.1803,71.4377,73.1712,772773
2014-04-17,73.4914,73.4914,72.7687,72.7687,1467826
2014-04-21,72.8144,73.7018,72.5949,73.6194,1211001
2014-04-22,71.3508,71.4972,68.1035,68.5608,5360155
2014-04-23,67.1933,69.7632,67.1658,69.0014,2610167
2014-04-24,69.4053,69.4053,68.3773,68.6894,2000974
2014-04-25,68.5058,68.827,67.6431,67.7624,1443159
2014-04-28,68.001,68.1203,66.0461,67.1015,2481246
2014-04-29,67.3769,67.8266,66.7711,67.5513,1804501
2014-04-30,67.4962,68.3957,67.1566,68.1846,1433689
2014-05-01,68.1846,68.3957,67.6339,68.1111,1000515
2014-05-02,68.3773,69.1758,68.1662,68.5609,1287553
2014-05-05,68.1662,68.8683,67.8266,68.7628,1187765
2014-05-06,68.57,69.0014,68.1203,68.7077,1215409
2014-05-07,68.7995,69.185,68.3635,68.9647,1679741
2014-05-08,68.6802,69.699,68.6664,69.3594,1161593
2014-05-09,69.1666,69.2951,68.2305,68.8087,1247319
2014-05-12,69.1483,70.1762,69.1483,70.1395,1440019
2014-05-13,70.3139,70.5984,69.855,70.0844,873481
2014-05-14,69.8275,70.0844,68.9463,69.0381,636629
2014-05-15,68.6435,68.7169,67.0282,68.0102,1851213
2014-05-16,67.4962,67.9735,66.8078,67.331,1745293
2014-05-19,67.2025,68.4416,66.8996,68.2488,851142
2014-05-20,68.2488,68.3498,66.7711,67.0189,903894
2014-05-21,67.1107,67.9377,67.0832,67.7165,934041
2014-05-22,67.9643,68.4783,67.7807,68.0102,672153
2014-05-23,68.2213,68.6526,68.0285,68.5792,598320
2014-05-27,69.029,69.6898,68.928,68.9647,1120503
2014-05-28,69.1207,69.5705,68.4232,68.4783,822305
2014-05-29,68.5517,68.7261,67.8542,68.2855,967504
2014-05-30,68.2121,68.5609,67.6614,68.5058,1533512
2014-06-02,68.6435,68.8729,67.8587,68.7995,672450
2014-06-03,68.5976,68.772,67.9,68.1846,659163
2014-06-04,68.0744,68.6802,68.0377,68.414,944467
2014-06-05,68.7628,70.2038,68.3314,69.9192,1087107
2014-06-06,70.0569,71.0757,70.0569,71.039,617696
2014-06-09,70.8829,72.691,70.8646,72.0486,991238
2014-06-10,71.8099,71.9843,71.5071,71.6447,671873
2014-06-11,71.296,71.4896,70.8921,71.0573,774653
2014-06-12,71.0206,71.2409,68.9808,69.1574,1265818
2014-06-13,69.1758,69.3685,68.7444,69.0014,783015
2014-06-16,68.928,69.6806,68.7811,69.2768,1200245
2014-06-17,68.9739,69.5338,68.8821,69.2584,1298524
2014-06-18,69.3685,69.4695,68.1855,68.7444,951344
2014-06-19,68.7811,68.7811,68.1203,68.5333,1647678
2014-06-20,68.671,69.3777,68.4966,69.1758,1600450
2014-06-23,69.1758,69.3961,69.0473,69.2217,673247
2014-06-24,69.4053,69.4787,68.7444,68.7811,1042332
2014-06-25,68.5884,68.7169,67.7991,68.0469,1378403
2014-06-26,67.845,68.0285,67.0098,67.1566,1293532
2014-06-27,66.7436,67.1383,66.4224,66.7803,2021876
2014-06-30,66.6702,67.3333,66.0185,66.1929,2119027
2014-07-01,66.6059,66.7895,66.0002,66.5417,1460392
2014-07-02,66.3398,66.6702,65.9451,65.991,1402660
