date,open,high,low,close,volume
2014-01-02,88.8678,89.2383,88.4129,88.6052,1368442
2014-01-03,88.8209,89.1492,88.577,88.8256,814210
2014-01-06,88.9287,89.0976,87.6626,87.9392,1564888
2014-01-07,87.9768,88.699,87.2358,88.2956,2334806
2014-01-08,88.4223,89.1937,87.8877,88.8537,2006506
2014-01-09,88.9663,89.6791,88.7505,89.1632,2365968
2014-01-10,89.3696,89.8245,88.9287,89.3743,2090224
2014-01-13,89.0694,89.7354,87.7845,88.0518,2608954
2014-01-14,88.4316,89.5759,87.9627,89.5196,1919416
2014-01-15,89.6978,89.8291,89.3039,89.4305,2139978
2014-01-16,85.6179,89.0525,85.6179,88.0096,3294232
2014-01-17,88.3988,90.148,88.3988,88.8584,3656372
2014-01-21,89.257,89.8244,88.6849,89.1023,2339614
2014-01-22,89.1726,89.4258,87.5031,87.7704,2843852
2014-01-23,87.5594,88.1831,87.1186,87.6438,2456858
2014-01-24,86.8653,87.0857,85.1583,85.163,2485314
2014-01-27,85.3506,86.5183,84.6143,85.9086,2780934
2014-01-28,85.8617,86.598,85.2183,85.5522,2033198
2014-01-29,85.374,86.6965,85.1911,85.9133,1590910
2014-01-30,86.1478,87.0618,85.7586,86.6027,1190058
2014-01-31,85.4491,86.523,85.0833,85.5194,2721166
2014-02-03,85.5898,85.9743,82.851,82.9448,2567098
2014-02-04,83.3481,84.15,82.9097,83.1183,1938010
2014-02-05,82.4852,83.3012,81.5168,83.109,2258642
2014-02-06,83.2074,84.0891,82.9233,83.9062,1659072
2014-02-07,84.694,85.6085,84.6471,85.6038,1630078
2014-02-10,85.4115,86.7153,85.224,86.2557,2010686
2014-02-11,86.4808,87.5172,86.0587,86.8325,1994692
2014-02-12,87.2405,87.7282,86.8747,87.1139,1361850
2014-02-13,86.7575,88.0893,86.3635,87.8032,1374444
2014-02-14,87.8032,88.8584,87.74,88.5864,1424170
2014-02-18,88.3801,88.3988,87.3296,87.5031,2619898
2014-02-19,87.3478,88.797,87.3196,88.0112,1718042
2014-02-20,87.983,88.8675,87.5548,88.8064,1690740
2014-02-21,88.8158,89.7732,88.7828,89.3333,2260026
2014-02-24,89.1545,89.8603,88.6887,88.6982,1695460
