date,open,high,low,close,volume
2014-01-02,148.7277,150.7471,148.396,149.3618,1209456
2014-01-03,149.2545,150.6105,148.8838,150.4642,712255
2014-01-06,151.1081,151.4788,148.7082,149.1959,1029774
2014-01-07,150.952,151.5373,149.9569,150.8057,1384571
2014-01-08,150.8349,154.2982,150.8252,154.1714,1720224
2014-01-09,154.3373,155.108,153.2114,155.069,949197
2014-01-10,154.9519,157.8103,154.1373,157.7518,1278862
2014-01-13,157.7323,158.3859,155.3129,156.9518,2047019
2014-01-14,156.1616,156.7177,151.9666,154.1519,2052208
2014-01-15,153.547,154.9519,153.2836,153.8495,1049673
2014-01-16,153.6934,154.23,152.6105,153.3227,532303
2014-01-17,153.4983,154.9616,152.0251,152.2202,1177956
2014-01-21,151.8788,153.2788,149.8398,151.4203,1436437
2014-01-22,152.0154,153.6251,151.9617,153.2349,806967
2014-01-23,151.4886,152.2105,150.3764,151.3715,795398
2014-01-24,151.0203,152.069,149.0301,149.0594,751961
2014-01-27,149.1569,150.7861,147.44,149.5764,1043047
2014-01-28,150.152,153.3227,150.152,153.2153,803821
2014-01-29,151.1569,151.752,149.2252,149.9276,1159494
2014-01-30,150.0154,152.3666,149.4594,152.0934,914282
2014-01-31,150.952,152.8641,148.3228,151.8593,784958
2014-02-03,151.2349,151.5569,147.8301,148.3569,1062509
2014-02-04,148.9228,152.3373,148.7569,151.9861,1187696
2014-02-05,151.8398,151.9471,148.2009,149.5374,1549147
2014-02-06,150.113,151.43,140.9328,142.9132,3765158
2014-02-07,142.9132,142.9132,141.1376,142.1815,2259855
2014-02-10,142.1717,144.0546,141.2937,143.7229,1914556
2014-02-11,143.8205,144.2614,142.3473,144.2205,1059972
2014-02-12,144.0546,145.4985,143.801,145.2351,1012812
2014-02-13,145.3131,147.2155,144.7863,147.0789,1450785
2014-02-14,147.274,148.2399,145.2253,145.6351,930226
2014-02-18,146.9033,152.5617,146.8545,152.3276,1520358
2014-02-19,152.1422,153.5373,150.7179,150.9422,892204
2014-02-20,151.3227,157.5664,150.7666,157.0982,1546682
2014-02-21,156.2982,157.0982,154.5421,155.1763,1554375
2014-02-24,154.9909,157.0689,154.559,156.5909,881519
2014-02-25,156.5811,157.9859,155.5177,157.2152,818641
2014-02-26,157.5814,162.7846,157.1714,159.0848,1409657
2014-02-27,159.2605,162.4039,158.665,162.3649,1278633
2014-02-28,162.5992,164.3856,157.7376,160.5296,2114786
2014-03-03,159.075,161.086,158.1574,161.0274,1375712
2014-03-04,163.1361,164.0147,161.8768,163.6144,864807
2014-03-05,163.839,163.9756,162.0622,162.9799,523230
2014-03-06,163.8878,164.2392,159.5143,159.9926,659623
2014-03-07,160.6662,161.5156,158.4405,160.5686,694103
2014-03-10,160.3539,161.4667,159.6119,161.3886,775458
2014-03-11,161.1348,161.8963,159.9146,160.0122,477034
2014-03-12,159.7974,162.6089,159.7388,161.906,823604
2014-03-13,162.3942,163.2727,158.6162,158.9481,849867
2014-03-14,158.9481,161.6425,157.4154,161.5546,1110152
2014-03-17,161.7889,163.4045,160.7248,161.2227,658513
2014-03-18,161.6034,164.2294,161.0372,163.4973,536972
2014-03-19,163.0287,164.1025,161.0763,162.2087,782989
2014-03-20,162.1501,162.4722,159.4851,160.1,615221
2014-03-21,160.881,162.0427,155.1506,155.2287,1801466
2014-03-24,155.8632,156.2049,151.8022,152.2317,1232184
2014-03-25,153.6667,156.3709,151.8119,154.2915,858652
2014-03-26,154.5063,155.2482,151.6655,151.851,719807
2014-03-27,152.837,153.1005,149.3323,150.3866,997145
2014-03-28,149.6057,152.2708,148.2585,149.5178,741424
2014-03-31,150.494,151.1188,149.0785,150.9821,774114
2014-04-01,151.1774,153.1493,150.699,152.1438,646436
2014-04-02,153.0517,155.2092,152.8565,153.4617,793696
2014-04-03,153.4813,153.4813,148.2585,149.1371,1338387
2014-04-04,149.4592,152.1634,147.3213,147.4385,726029
2014-04-07,148.6978,149.2152,142.9869,143.4945,1315865
2014-04-08,146.0229,146.228,141.5714,144.7441,1442829
2014-04-09,145.2615,146.267,143.8948,146.101,990829
2014-04-10,146.2182,146.433,138.3596,140.8197,1977454
2014-04-11,139.8728,141.054,135.9093,136.7391,1607051
2014-04-14,137.1296,140.2144,134.8159,137.1393,1312453
2014-04-15,137.7153,138.5842,134.2595,137.5103,1359451
2014-04-16,138.1156,140.3511,137.7641,139.9118,934380
2014-04-17,139.1699,140.273,137.9315,138.6134,842652
2014-04-21,138.4475,142.2255,137.8032,141.6983,610605
2014-04-22,144.0998,152.2903,143.9045,147.9461,2188183
2014-04-23,147.9461,148.1999,145.1932,146.3646,1007909
2014-04-24,147.3311,147.4189,143.7808,144.1877,777373
2014-04-25,142.9381,145.037,141.7862,143.2114,878340
2014-04-28,143.9338,145.4567,141.7178,143.5433,1104934
2014-04-29,143.7484,144.3634,141.3761,142.2255,850765
2014-04-30,141.4054,142.0595,140.1803,141.4152,1079092
2014-05-01,141.6983,143.0074,141.5323,142.5476,808967
2014-05-02,141.7764,142.86,141.2297,141.8252,495973
2014-05-05,140.7904,142.8405,139.802,142.3328,727691
2014-05-06,141.5226,142.4305,139.5897,139.5897,921529
2014-05-07,131.1844,132.268,126.1081,127.4455,4591105
2014-05-08,127.4455,128.6267,122.3887,123.853,3195573
2014-05-09,123.238,126.5767,122.8475,126.4302,2092940
2014-05-12,127.4552,129.3686,127.2698,127.7091,1479901
2014-05-13,128.2655,128.7829,127.631,128.1874,1173600
2014-05-14,128.1972,129.0074,127.8653,128.1386,1203017
2014-05-15,128.6267,129.3589,127.1038,129.2222,1491861
2014-05-16,129.5444,129.7689,127.9434,129.642,1810291
2014-05-19,129.7396,130.9404,129.0953,130.0032,1194146
2014-05-20,130.1008,130.2375,128.6267,129.7396,1082591
2014-05-21,130.1789,130.5987,129.3979,129.9739,1252474
2014-05-22,129.8177,133.7616,129.681,133.5761,1104440
2014-05-23,133.9373,135.9288,131.858,135.3333,1723268
2014-05-27,136.5536,136.6805,132.5414,132.6097,1205376
2014-05-28,132.2433,134.0019,131.7841,133.572,2031465
2014-05-29,134.168,136.4736,133.8553,135.6041,936380
2014-05-30,134.9886,135.7702,134.3047,135.0179,1002314
2014-06-02,135.5553,136.6104,135.057,135.4673,861053
2014-06-03,134.8616,135.5162,133.5134,134.3438,935621
2014-06-04,133.8065,134.5099,133.0444,133.3962,1371703
2014-06-05,134.0898,136.9817,133.1128,136.1317,1575591
2014-06-06,136.6593,136.6593,135.0375,135.7507,659893
2014-06-09,137.2064,137.392,136.0144,136.8058,1128713
2014-06-10,136.9035,137.5483,135.7995,136.2001,943404
2014-06-11,135.8484,137.9977,135.3306,137.9195,780885
2014-06-12,138.4569,140.2741,137.773,139.3948,1671593
2014-06-13,139.3948,139.3948,136.7765,137.1575,874112
2014-06-16,136.9817,138.9942,136.8937,138.4178,871347
2014-06-17,138.3885,138.7402,137.392,138.242,502281
2014-06-18,138.2713,140.362,138.154,140.3131,1093443
2014-06-19,140.2838,140.2936,138.0954,138.5937,1244319
2014-06-20,138.6523,140.743,138.6523,140.5965,1344601
2014-06-23,141.0947,141.3546,139.9712,140.9775,558334
