date,open,high,low,close,volume
2014-01-02,79.8785,80.0007,78.6475,79.2325,1694875
2014-01-03,78.6214,79.4856,78.569,78.7523,1660229
2014-01-06,78.9356,79.4245,78.6126,79.0055,2166502
2014-01-07,79.5642,80.2495,79.0666,79.3023,1701946
2014-01-08,79.3634,79.9396,79.1102,79.3809,2005940
2014-01-09,79.6078,80.2364,79.2674,79.6428,1676967
2014-01-10,79.4158,79.607,78.4293,79.2063,1804561
2014-01-13,78.9444,79.3285,77.1024,77.2857,2074233
2014-01-14,77.8793,78.4468,77.4516,78.2809,1574027
2014-01-15,78.5952,79.4857,78.3158,79.4682,1961559
2014-01-16,79.0229,79.4332,78.5166,78.8833,1715842
2014-01-17,78.8134,79.2586,78.4817,78.7698,2348008
2014-01-21,79.0753,79.5205,78.3071,78.6825,1676334
2014-01-22,78.6126,79.0317,77.7484,78.1412,1710317
2014-01-23,77.373,77.5214,75.9675,76.3952,3180247
2014-01-24,75.7929,76.2381,73.6366,73.6453,3554157
2014-01-27,73.7021,74.0382,71.8557,72.7985,3138757
2014-01-28,73.1826,74.1997,73.1565,73.7326,1946573
2014-01-29,73.008,73.8112,72.6763,73.1739,2438368
2014-01-30,74.012,74.658,73.5929,74.3874,1489230
2014-01-31,73.1041,74.6405,72.7636,73.6715,2228825
2014-02-03,73.6977,74.0206,70.1487,70.2319,3285113
2014-02-04,70.8605,72.4231,70.7208,72.039,2494133
2014-02-05,71.7597,72.4319,70.7732,72.2136,3305120
2014-02-06,71.3406,71.8208,69.4393,71.8033,7595849
2014-02-07,72.0565,72.9906,71.3581,72.816,4519555
2014-02-10,72.7549,73.043,71.8295,72.2747,1975160
2014-02-11,72.4144,74.0905,72.0303,73.7937,2874260
2014-02-12,73.7937,74.5009,73.2525,73.6279,1793436
2014-02-13,72.9469,73.9072,72.5541,73.8723,2343508
2014-02-14,73.6628,74.4048,73.5205,74.1953,1995383
2014-02-18,74.0905,74.7889,74.0207,74.562,2169762
2014-02-19,74.3437,75.9762,73.4795,73.5755,2673074
2014-02-20,73.6017,74.1255,72.5541,73.7588,2942137
2014-02-21,73.7588,74.1454,73.5282,73.7325,1676955
2014-02-24,73.6798,74.9975,73.5436,74.6373,1981902
2014-02-25,74.3035,74.5934,73.6973,73.8994,1982103
2014-02-26,74.0224,74.3298,73.3547,73.9345,1443287
2014-02-27,73.7764,74.2156,73.0648,73.9345,1994146
2014-02-28,74.1366,75.1029,73.7764,74.3035,2297271
2014-03-03,73.3723,73.6183,72.5553,72.9067,2393339
2014-03-04,73.9609,75.2171,73.9609,74.9624,2806263
2014-03-05,74.9711,75.9287,74.6725,75.551,2781237
2014-03-06,75.8936,76.7194,75.8936,76.2274,2276015
2014-03-07,77.264,78.8629,77.2465,77.8175,4371974
2014-03-10,77.387,78.2567,77.0752,77.6154,2147535
2014-03-11,77.7823,77.879,76.4997,76.8248,2014966
