date,open,high,low,close,volume
2014-01-02,130.3093,130.3093,128.1879,128.9758,665493
2014-01-03,129.123,130.4998,128.4476,129.9803,517915
2014-01-06,130.4912,130.7509,129.1144,129.911,398122
2014-01-07,129.911,131.1752,129.4954,129.7638,633078
2014-01-08,129.9023,130.4565,128.8026,129.9976,655947
2014-01-09,131.1752,132.578,130.1535,132.526,978827
2014-01-10,132.5174,133.8682,132.5174,133.5738,644426
2014-01-13,132.933,134.3011,132.933,133.314,594749
2014-01-14,134.405,135.6952,133.5348,134.8466,713503
2014-01-15,134.7947,135.167,133.9288,134.2492,854866
2014-01-16,134.379,135.3056,134.2578,135.0891,487639
2014-01-17,135.2796,135.3748,134.024,134.1885,541441
2014-01-21,134.9852,136.3013,133.7902,134.2405,843945
2014-01-22,134.3011,135.3662,133.3746,134.4916,649298
2014-01-23,133.5911,134.5262,133.0109,133.7469,640510
2014-01-24,133.34,133.34,131.7467,131.9805,666713
2014-01-27,132.119,133.0282,131.48,132.1623,693233
2014-01-28,132.5607,134.4137,132.5607,133.9807,753993
2014-01-29,132.7338,134.5262,132.4914,133.7902,714959
2014-01-30,134.5003,136.7256,134.5003,135.7818,638732
2014-01-31,134.6648,137.4443,134.2925,136.4572,984345
2014-02-03,136.2494,136.3013,134.2145,134.9592,802507
2014-02-04,135.6259,137.5136,134.7427,137.3058,981412
2014-02-05,136.8902,137.479,136.1541,136.7256,745127
2014-02-06,136.717,137.2582,136.1715,137.1672,848522
2014-02-07,137.5309,138.8471,136.9161,138.7605,876309
2014-02-10,138.7172,140.5875,138.2843,140.3191,734337
2014-02-11,139.9468,142.709,139.6264,141.4708,733241
2014-02-12,141.7219,141.7305,140.2776,141.5833,543239
2014-02-13,141.0551,143.038,140.5269,142.4579,614665
2014-02-14,142.5964,143.826,142.0682,143.523,464953
2014-02-18,143.2285,144.6313,142.7177,144.5274,711457
2014-02-19,144.4928,145.3587,143.7654,144.1291,642718
2014-02-20,144.3629,145.2374,143.4017,144.3542,686115
2014-02-21,144.207,145.0296,142.4579,144.1204,1213055
2014-02-24,144.233,145.3154,144.233,144.3456,868837
2014-02-25,144.3889,146.112,144.259,145.1768,776008
2014-02-26,144.1204,146.06,143.6095,144.7006,929244
2014-02-27,144.8131,145.8436,143.5576,144.207,680124
2014-02-28,144.3715,146.8567,144.3715,146.3371,1315870
2014-03-03,145.6444,146.3198,144.5793,146.0687,759816
2014-03-04,146.0687,148.1122,146.0687,147.9737,617727
2014-03-05,147.8525,149.0301,147.1987,148.2161,733249
2014-03-06,148.1469,148.4283,146.5068,146.6229,751566
2014-03-07,146.1813,146.1813,144.3109,145.0816,818689
2014-03-10,145.1075,145.3223,143.7948,144.6313,665491
2014-03-11,145.4712,145.6271,144.5274,145.3067,620207
2014-03-12,144.8876,145.8306,144.8178,145.6473,617072
2014-03-13,146.0402,146.4244,144.9487,145.9529,745229
2014-03-14,145.3242,147.2365,145.3242,146.8435,989977
2014-03-17,148.0049,148.1533,146.3982,146.7824,687568
2014-03-18,146.6602,148.4415,145.9704,147.0095,619430
2014-03-19,147.3413,148.0922,144.8667,145.7259,896598
2014-03-20,145.3766,146.372,143.7699,146.3371,667491
2014-03-21,147.6207,148.4415,146.3458,147.8826,1454488
2014-03-24,147.7429,147.8826,146.276,146.6078,666984
2014-03-25,147.1579,147.7342,146.1275,147.4635,773952
