date,open,high,low,close,volume
2014-01-02,67.8517,67.9836,67.1395,67.2186,2861834
2014-01-03,67.1395,67.6934,66.9549,67.078,1958161
2014-01-06,67.2714,68.1331,67.1747,67.711,2819578
2014-01-07,67.7638,68.432,67.4121,67.7198,4012670
2014-01-08,67.922,68.0627,66.9549,67.5879,4499972
2014-01-09,67.711,68.8013,67.6002,68.6958,4197844
2014-01-10,68.9244,69.4606,67.9132,68.5815,3020914
2014-01-13,68.7573,68.7573,66.3746,66.6559,3061318
2014-01-14,66.9549,67.4472,66.6471,67.2538,3359138
2014-01-15,67.2626,67.2846,65.7239,66.4185,3705929
2014-01-16,66.2163,66.5856,65.6536,66.2866,3231899
2014-01-17,65.8294,67.3681,65.8118,66.8406,3901615
2014-01-21,66.8494,68.0539,66.8494,67.6143,2791986
2014-01-22,67.966,68.2298,66.9021,67.7902,2754224
2014-01-23,68.1594,68.6694,66.8581,67.8781,4105669
2014-01-24,67.0164,67.1307,64.7128,65.4514,4742237
2014-01-27,65.5657,66.5592,64.871,65.8558,3408700
2014-01-28,64.9941,66.3482,64.9941,66.0141,2792193
2014-01-29,65.0909,67.6143,62.2597,65.2227,5942040
2014-01-30,65.4514,65.9174,64.5106,64.6776,4595404
2014-01-31,64.2732,65.5744,63.9654,64.2644,5799904
2014-02-03,64.2907,64.6952,62.5498,62.7433,5630267
2014-02-04,62.8751,63.0862,60.4749,62.5498,4647450
2014-02-05,62.2069,62.9103,60.7649,62.1366,6079314
2014-02-06,62.6905,64.7304,62.33,64.449,5388975
2014-02-07,64.8007,65.4426,64.1061,65.3107,3344294
2014-02-10,65.3722,65.6712,63.3324,63.5434,3749016
2014-02-11,63.5698,65.2931,63.517,65.1436,3711935
2014-02-12,65.214,65.592,64.5018,64.7479,3045312
2014-02-13,64.306,66.2241,64.1999,65.9855,3234445
2014-02-14,65.8263,67.1611,65.6407,67.1169,2421841
2014-02-18,67.3644,68.0538,66.5335,66.6307,2819125
2014-02-19,66.4893,68.0185,66.3125,66.5335,3700371
2014-02-20,66.3125,66.9666,66.0738,66.5512,3165048
2014-02-21,66.3655,66.9047,66.1269,66.2506,3215484
2014-02-24,66.3037,68.7442,66.3037,67.3997,3646536
2014-02-25,67.3821,69.2206,67.0904,68.5312,4208275
2014-02-26,68.4516,68.8847,67.5765,67.8505,3389079
2014-02-27,67.603,67.8859,65.7026,66.065,5639991
