date,open,high,low,close,volume
2014-01-02,134.9221,136.8104,134.6538,135.737,817684
2014-01-03,135.747,138.0825,135.6078,136.7706,616145
2014-01-06,136.7507,137.1383,134.3357,134.5146,834637
2014-01-07,135.2799,135.6078,133.5307,134.2364,378424
2014-01-08,134.455,134.7283,130.9567,131.4834,956902
2014-01-09,132.2288,132.7754,130.8573,132.199,996239
2014-01-10,132.1791,132.6462,130.1716,131.3145,1038997
2014-01-13,131.1853,131.881,128.6113,128.7504,1100199
2014-01-14,128.8101,129.4163,125.3714,125.7192,1714826
2014-01-15,125.2124,126.3553,124.4968,126.0969,1262659
2014-01-16,125.4012,125.5205,123.2744,124.3676,1058560
2014-01-17,124.795,125.3615,122.8471,123.0359,784256
2014-01-21,123.1154,123.7713,121.3265,121.4458,867594
2014-01-22,121.2868,122.6881,120.5116,122.1514,683722
2014-01-23,121.3961,121.7837,119.5078,120.6408,1043911
2014-01-24,119.8457,121.4358,119.806,120.0644,965073
2014-01-27,120.1637,121.4756,119.9849,120.4122,980685
2014-01-28,120.2731,122.2408,120.0544,121.4756,749246
2014-01-29,120.3228,121.5253,119.0705,119.7563,1404919
2014-01-30,120.9886,121.6346,120.5016,120.7004,929322
2014-01-31,119.0705,120.4818,118.9612,120.124,773319
2014-02-03,119.8954,119.9054,114.9163,115.8704,1534573
2014-02-04,116.3574,118.2953,115.7317,115.9996,826542
2014-02-05,115.9996,116.8642,114.0815,116.427,1236761
2014-02-06,116.6158,120.7302,116.3176,119.955,1051209
2014-02-07,120.8296,123.0061,120.6607,121.1079,905007
2014-02-10,120.8793,121.3116,118.355,120.0345,878265
2014-02-11,120.0544,120.442,118.3252,119.5774,1468047
2014-02-12,120.0644,120.8296,116.4766,116.8145,1415719
2014-02-13,116.6754,119.4084,116.1785,118.7227,982479
2014-02-14,118.2655,118.6929,117.1425,117.5202,936314
2014-02-18,117.7686,118.5935,116.2679,116.8543,1104959
2014-02-19,116.8444,118.1065,116.4866,117.4705,842158
2014-02-20,117.3413,118.0966,116.4369,117.3612,862615
2014-02-21,117.3612,121.8731,117.3612,120.4917,1928797
