date,open,high,low,close,volume
2014-01-02,116.2293,116.9313,115.8693,116.5533,777690
2014-01-03,116.5533,117.0033,116.4273,116.7153,737579
2014-01-06,117.0033,117.1383,116.3013,116.5443,1160085
2014-01-07,116.6163,117.5163,116.3013,117.2193,1183602
2014-01-08,117.0393,117.9033,116.4453,117.8403,1262549
2014-01-09,117.9033,118.1013,117.4803,117.9033,1664971
2014-01-10,117.9033,119.2983,117.8763,119.2443,1311543
2014-01-13,118.4613,119.5684,117.5973,117.7233,1246047
2014-01-14,117.9123,118.8933,117.4083,118.6773,709578
2014-01-15,118.7763,119.9914,118.4613,119.6314,924683
2014-01-16,119.0913,119.6224,118.9203,119.3163,865559
2014-01-17,119.0283,120.0273,119.0283,119.1993,1230047
2014-01-21,120.0724,120.8104,119.0013,119.8924,771569
2014-01-22,120.1624,120.2299,119.4514,119.8924,717774
2014-01-23,118.7043,119.8744,117.9393,118.1553,1601985
2014-01-24,117.4353,117.4353,114.2582,114.2762,2071523
2014-01-27,114.4652,114.7622,113.0792,113.1692,2671588
2014-01-28,113.3582,113.9342,112.9082,113.1332,1915220
2014-01-29,113.8532,116.5353,112.5032,114.6002,2654807
2014-01-30,114.2042,114.5372,112.7282,112.9442,1806796
2014-01-31,111.5401,113.0972,111.2521,112.2511,1799084
2014-02-03,112.3862,113.2052,109.1461,109.3621,2278389
2014-02-04,110.5411,111.0271,109.7671,110.1451,1354146
2014-02-05,109.2901,110.6761,109.1011,110.4421,1384559
2014-02-06,110.4421,111.8911,110.0587,111.8551,1342427
2014-02-07,112.5842,114.4562,112.0621,114.3572,1695079
2014-02-10,114.3482,115.2752,113.6912,114.9152,1097660
2014-02-11,114.9242,115.8243,114.4832,115.5902,1227480
2014-02-12,115.7972,116.2833,115.1042,115.2752,1013519
2014-02-13,114.7532,116.8143,114.6002,116.4723,994265
2014-02-14,116.4183,117.4533,116.1483,116.8323,1248674
2014-02-18,117.1833,117.3273,116.5083,116.7513,1356260
2014-02-19,116.7603,117.0663,115.1852,115.3382,1244933
2014-02-20,115.4732,115.7162,114.5462,115.2662,1101851
2014-02-21,115.4372,115.9863,114.9872,115.2662,1415305
2014-02-24,115.0322,115.4912,114.4202,114.4382,1602545
2014-02-25,114.8882,116.3373,114.4832,115.9233,1006969
2014-02-26,115.9233,117.0033,115.7343,115.9503,1222777
2014-02-27,115.5092,117.0033,115.4012,116.8683,965532
2014-02-28,116.9673,118.0347,116.8233,117.3363,1292871
2014-03-03,116.7423,117.6423,116.2023,117.2643,936650
2014-03-04,118.8483,118.8483,117.5523,117.9033,1462719
2014-03-05,118.3556,118.3737,117.1707,117.1797,1045742
2014-03-06,117.5867,118.4732,117.0983,118.3375,901174
2014-03-07,118.5636,118.7445,118.143,118.5546,761166
2014-03-10,118.3918,119.0792,118.1204,119.0159,790600
2014-03-11,118.9707,119.5405,118.7445,119.0249,1297931
2014-03-12,118.7536,122.3264,118.1837,119.4681,1652238
2014-03-13,119.649,120.0108,119.1244,119.441,1657601
2014-03-14,118.9254,120.0742,118.8802,119.1696,1426050
2014-03-17,119.5224,120.843,119.242,119.7757,983881
2014-03-18,120.0018,120.2641,119.2239,120.1556,1168300
2014-03-19,120.4812,121.9375,119.4342,119.9928,1629803
2014-03-20,119.5676,120.0289,119.4139,119.8571,952348
2014-03-21,120.8068,121.2138,119.6038,120.2279,2424845
2014-03-24,120.7073,121.0013,118.9345,119.1696,872061
2014-03-25,119.7395,119.9023,118.1656,118.8078,1110733
2014-03-26,118.9797,119.1968,117.2521,117.2792,1269094
2014-03-27,117.2973,117.4873,116.3657,116.5013,1230728
2014-03-28,116.9717,117.3606,116.2752,116.9898,1243580
2014-03-31,117.7405,118.6088,117.4239,118.4641,1207961
2014-04-01,119.9023,120.0288,117.9486,118.5455,905034
2014-04-02,118.4732,119.441,118.1928,119.043,974173
2014-04-03,119.4591,120.0199,118.6993,118.6993,959918
2014-04-04,119.441,119.6219,117.035,117.0983,851826
2014-04-07,117.1164,117.4239,115.3345,115.3888,1107967
2014-04-08,115.3255,116.6641,115.1174,115.9677,1648843
2014-04-09,115.5606,118.039,115.5606,117.8671,1259099
2014-04-10,117.9214,118.5094,115.8682,115.9044,1250834
2014-04-11,115.4973,116.628,114.828,114.8732,1474518
2014-04-14,115.9496,115.9858,114.3947,115.1084,1222153
2014-04-15,115.3345,116.9355,115.1356,116.8541,1610416
2014-04-16,117.7315,119.1063,117.3787,118.9887,941160
2014-04-17,118.9978,119.6671,118.5727,119.2691,876508
2014-04-21,119.5405,120.3636,119.1109,120.2008,1208222
2014-04-22,120.3907,120.5174,119.2149,119.3686,1532102
2014-04-23,115.4069,119.3686,115.4069,119.1244,1286248
2014-04-24,119.4862,119.4953,118.03,118.1747,1227759
2014-04-25,117.8491,118.1566,116.7275,117.0079,888546
2014-04-28,117.3697,117.8916,116.4742,117.044,1217381
2014-04-29,117.0531,117.6862,116.1667,116.1938,1014132
2014-04-30,116.6732,118.229,116.1305,118.0842,1859967
2014-05-01,118.3375,118.4189,117.1888,117.8491,902453
2014-05-02,117.6501,118.5998,117.6048,118.4913,787554
2014-05-05,118.0661,118.3692,117.5533,118.1747,806079
2014-05-06,117.8129,118.7717,117.679,117.9757,847077
2014-05-07,118.3013,118.5636,117.5234,117.5867,1590272
2014-05-08,118.1204,118.4641,117.1797,117.7405,989507
2014-05-09,117.7496,118.03,117.0259,117.6772,652850
2014-05-12,118.2109,118.7536,117.6727,118.5546,587482
2014-05-13,118.5365,118.8712,118.0752,118.4913,630654
2014-05-14,118.5003,119.1516,117.8943,118.8802,561348
2014-05-15,118.5094,118.7536,117.2702,117.9124,788057
2014-05-16,117.8491,118.636,117.5596,118.4913,775711
2014-05-19,118.1837,119.034,118.1023,118.9797,609222
2014-05-20,118.9254,119.1154,117.6229,117.7586,717899
2014-05-21,117.8038,118.3013,117.6175,118.0481,684210
2014-05-22,117.9486,118.5455,117.5506,117.8491,522828
2014-05-23,117.6229,118.5229,117.6229,118.4279,501591
2014-05-27,118.7355,119.0837,118.2561,118.3375,674148
2014-05-28,118.446,118.6722,117.7224,117.7405,684904
2014-05-29,118.1295,119.9566,117.6772,119.848,752937
2014-05-30,119.45,119.7847,119.1516,119.6129,1097368
