date,open,high,low,close,volume
2014-01-02,140.5327,140.8408,135.593,136.9254,547822
2014-01-03,136.9435,137.5508,136.3679,136.9072,316857
2014-01-06,137.6867,138.4933,135.9827,136.5266,396885
2014-01-07,136.6353,138.2124,135.3211,136.0915,404269
2014-01-08,135.8377,136.5265,134.4673,134.8317,340948
2014-01-09,134.9767,135.4933,133.6987,134.4147,669710
2014-01-10,135.2395,135.3211,134.1156,134.2606,422367
2014-01-13,134.4328,134.9857,133.0098,133.2455,328289
2014-01-14,133.8165,134.7274,133.3543,134.5779,353447
2014-01-15,135.022,135.4389,134.1428,134.6051,225081
2014-01-16,134.17,134.741,132.8921,133.4721,357867
2014-01-17,133.3452,134.1043,132.6065,132.6564,222129
2014-01-21,133.5446,133.8709,131.7228,133.8437,469672
2014-01-22,134.1609,136.164,134.1609,135.8921,309467
2014-01-23,135.2123,135.7793,132.4026,132.7017,352582
2014-01-24,132.6836,133.3089,129.5022,129.5113,412075
2014-01-27,129.9373,131.8588,129.3209,131.0702,327575
2014-01-28,131.2877,133.0098,131.2877,132.5748,256587
2014-01-29,131.9675,132.8014,129.9191,130.4629,416857
2014-01-30,131.75,134.3966,131.2877,134.2516,259264
2014-01-31,132.1579,133.1095,131.2062,131.2062,590060
2014-02-03,131.4328,132.0128,127.7982,127.7982,682039
2014-02-04,128.6683,130.472,127.4629,128.8315,526821
2014-02-05,128.6865,129.4569,127.6623,128.9674,426333
2014-02-06,130.5173,131.3059,124.0277,124.6078,900117
2014-02-07,124.4537,125.922,123.5836,125.8042,715110
2014-02-10,125.5232,127.762,124.5806,127.3722,592635
2014-02-11,127.8345,131.4418,127.6396,130.7711,576647
2014-02-12,130.5717,131.2696,129.1578,130.6714,497971
2014-02-13,130.1004,133.0824,129.8829,133.0189,448607
2014-02-14,133.0189,134.2969,132.5839,133.4449,390480
2014-02-18,133.9615,135.2123,133.0461,135.0854,465317
2014-02-19,134.9857,136.4269,134.4057,135.0401,580927
2014-02-20,135.2667,136.2275,134.8226,135.3302,264828
2014-02-21,135.7471,135.874,134.5779,134.8226,363392
2014-02-24,134.7682,135.8377,132.6201,132.9917,650304
2014-02-25,133.0552,133.6262,131.8859,132.3663,921190
2014-02-26,132.9555,134.5144,132.0219,134.1791,716360
2014-02-27,134.1791,135.593,133.0914,135.1761,502887
2014-02-28,135.2123,136.5356,134.6776,135.2667,372973
2014-03-03,134.2697,134.6322,132.9555,133.4086,317718
2014-03-04,134.3694,135.1942,133.9887,134.6866,569579
2014-03-05,134.7501,135.0175,134.2063,134.8045,375153
2014-03-06,135.0582,135.6564,134.6594,135.0311,409575
2014-03-07,135.9465,136.0462,134.306,135.7652,418585
2014-03-10,135.1367,136.3391,134.2713,136.3391,451557
2014-03-11,136.5304,136.5304,135.0,135.8199,538748
2014-03-12,134.9363,136.5486,134.6357,136.248,308616
