date,open,high,low,close,volume
2014-01-02,40.1372,40.1892,39.3826,39.8683,609032
2014-01-03,39.8336,40.7052,39.8336,40.5795,845696
2014-01-06,40.6055,40.9437,40.3713,40.6228,543746
2014-01-07,40.6662,41.1779,40.5361,40.805,446365
2014-01-08,40.5881,40.9524,40.2933,40.6315,413175
2014-01-09,40.7703,40.9437,40.1502,40.805,337799
2014-01-10,40.9784,41.3557,40.8917,41.2906,366465
2014-01-13,41.1519,41.308,40.6055,40.7182,209311
2014-01-14,40.8396,41.5942,40.7442,41.5248,434912
2014-01-15,41.4641,41.7936,41.2126,41.4381,450581
2014-01-16,41.8543,41.9844,41.4641,41.9411,599183
2014-01-17,41.785,41.9497,41.7416,41.863,512719
2014-01-21,42.1666,42.3834,41.8197,42.0451,229603
2014-01-22,42.2099,42.3227,42.0018,42.2793,253484
2014-01-23,42.0451,42.2793,41.9584,42.0885,330911
2014-01-24,41.8197,41.9757,41.3253,41.4727,352992
2014-01-27,41.5335,41.8283,41.0565,41.1432,287783
2014-01-28,41.1605,41.9151,41.1605,41.6896,425020
2014-01-29,41.4294,41.7243,41.0998,41.1345,343327
2014-01-30,41.3687,41.837,41.334,41.6722,334836
2014-01-31,41.0911,41.9844,41.0825,41.7503,523078
2014-02-03,41.7329,41.7329,40.406,40.5621,888264
2014-02-04,40.7442,41.2646,40.4234,41.0565,718251
2014-02-05,40.9177,41.1952,40.7009,41.1692,324612
2014-02-06,41.2473,41.6982,41.0565,41.6982,269142
2014-02-07,41.837,42.2793,41.7156,42.0712,450050
2014-02-10,42.0625,43.0078,41.9497,42.9471,424943
2014-02-11,42.8517,43.3374,42.739,43.2073,366517
2014-02-12,43.2767,43.32,42.7997,43.0512,733961
2014-02-13,43.3547,44.3954,43.0945,43.5542,984133
2014-02-14,43.3894,44.0832,43.2593,44.0399,596958
2014-02-18,44.0138,44.196,43.4848,44.0832,541017
2014-02-19,43.9965,44.6556,43.8577,44.0138,513556
2014-02-20,44.0926,44.5391,43.5236,43.725,391996
2014-02-21,43.76,44.2414,43.3704,43.83,508614
2014-02-24,44.0226,44.5391,43.8388,43.9438,594752
2014-02-25,44.0576,44.6354,43.8869,44.1539,545522
2014-02-26,44.1977,44.5916,44.0751,44.1627,439755
2014-02-27,44.2327,44.4734,43.795,44.0751,348697
2014-02-28,43.9613,44.6354,43.9613,44.4428,597320
2014-03-03,44.1714,44.5434,43.7775,44.294,613774
2014-03-04,44.294,44.968,44.294,44.8805,490166
2014-03-05,44.933,45.0205,44.399,44.7754,244958
2014-03-06,44.7579,44.7885,44.1189,44.2677,479952
2014-03-07,44.2677,44.2677,43.2172,43.4361,769084
2014-03-10,43.4886,43.5674,42.9809,43.3135,370453
2014-03-11,43.3661,43.7162,43.2741,43.6724,374665
2014-03-12,43.6112,43.9351,43.4536,43.9263,647346
2014-03-13,43.9351,43.9351,43.3923,43.7862,480415
2014-03-14,43.6287,44.1714,43.6287,44.0926,506214
2014-03-17,44.294,44.4472,43.9175,44.1189,398316
2014-03-18,44.1101,44.3115,43.9263,44.2765,379764
2014-03-19,44.3027,44.6091,42.8496,42.9109,477959
2014-03-20,42.8934,43.0947,42.4031,43.0772,460500
2014-03-21,43.1385,43.8388,43.0597,43.6987,683404
2014-03-24,43.9351,43.9351,43.2172,43.8038,474041
2014-03-25,44.1101,44.4515,43.6024,44.3815,518609
2014-03-26,44.6091,44.6091,43.6462,43.9,686217
2014-03-27,43.795,44.434,43.5324,44.4078,596595
