date,open,high,low,close,volume
2014-01-02,8.9503,9.0683,8.9231,8.9775,12170235
2014-01-03,9.0048,9.0411,8.9231,8.9594,6675157
2014-01-06,9.1046,9.2453,9.091,9.1409,26432970
2014-01-07,9.2498,9.2771,9.1001,9.1681,21812844
2014-01-08,9.1772,9.3406,9.1591,9.3043,18254277
2014-01-09,9.3225,9.4904,9.3225,9.4858,33898069
2014-01-10,9.4314,9.5403,9.3769,9.5131,20615563
2014-01-13,9.4949,9.5403,9.3134,9.3588,16696674
2014-01-14,9.4586,9.5222,9.3406,9.4132,17882885
2014-01-15,9.4677,9.7003,9.4677,9.6492,22993575
2014-01-16,9.5766,9.5948,9.4495,9.5131,13848317
2014-01-17,9.5312,9.6946,9.5267,9.5948,23296388
2014-01-21,9.6311,9.9034,9.5312,9.858,39727612
2014-01-22,9.8762,10.0577,9.8353,10.0033,20303165
2014-01-23,9.9306,9.9397,9.7673,9.9125,24656079
2014-01-24,9.8399,9.8762,9.5494,9.5766,22222897
2014-01-27,9.622,9.6311,9.3678,9.4495,16709095
2014-01-28,9.5766,9.6084,9.4132,9.5585,13402679
2014-01-29,9.504,9.5312,9.2861,9.3588,18508695
2014-01-30,9.4677,9.4858,9.3452,9.4677,8568165
2014-01-31,9.3406,9.3588,9.2135,9.2317,15592389
2014-02-03,9.2498,9.2498,8.8867,8.914,18259231
2014-02-04,8.9957,9.2045,8.9004,9.0501,15435894
2014-02-05,9.0138,9.0592,8.9231,8.9866,14990131
2014-02-06,9.0048,9.3315,8.9684,9.3225,17493314
2014-02-07,9.3588,9.4223,9.1772,9.2861,17637104
2014-02-10,9.2952,9.3497,9.1863,9.2589,10865431
2014-02-11,9.2498,9.3769,9.1772,9.3497,12211028
2014-02-12,9.3497,9.4677,9.2771,9.3043,9325426
2014-02-13,9.2181,9.3588,9.1954,9.3497,8496437
2014-02-14,9.3633,9.4586,9.3315,9.3951,7574732
2014-02-18,9.3951,9.4586,9.3769,9.4132,6282536
2014-02-19,9.3951,9.4087,9.1409,9.1681,13759977
2014-02-20,9.1681,9.3134,9.1046,9.2771,13316172
2014-02-21,9.2771,9.4132,9.2498,9.2952,10905002
2014-02-24,9.3406,9.5222,9.3225,9.4768,12909026
2014-02-25,9.4949,9.5494,9.4223,9.4858,13184165
2014-02-26,9.5131,9.5585,9.4314,9.5494,10872859
2014-02-27,9.5403,9.6129,9.4677,9.5948,7873475
2014-02-28,9.6039,9.7718,9.5675,9.6583,13619819
2014-03-03,9.5857,9.622,9.4949,9.5585,11663885
2014-03-04,9.6856,9.8217,9.6492,9.7854,12989953
2014-03-05,9.7673,9.8762,9.7128,9.74,15980061
2014-03-06,9.7854,9.9034,9.7582,9.8308,15090583
2014-03-07,9.967,10.085,9.9488,10.0305,19681019
2014-03-10,9.9851,10.0396,9.8308,9.8943,14406108
2014-03-11,9.9034,9.9579,9.7582,9.8036,14468447
2014-03-12,9.7763,9.8036,9.6306,9.7854,10293269
2014-03-13,9.8218,9.9219,9.6943,9.7125,14290080
2014-03-14,9.6943,9.8218,9.6488,9.6761,10705215
2014-03-17,9.7216,9.8855,9.7216,9.8309,13999196
2014-03-18,9.8491,9.9128,9.7763,9.84,9476429
2014-03-19,9.8491,10.1768,9.8218,10.0948,21808587
2014-03-20,10.0494,10.3497,10.0402,10.286,21195204
2014-03-21,10.4681,10.5045,10.0857,10.0948,50567864
2014-03-24,10.1495,10.3042,10.0402,10.0766,19259381
2014-03-25,10.1313,10.1495,10.0038,10.1131,11775017
2014-03-26,10.1677,10.2314,9.9856,10.0129,13648036
2014-03-27,9.9583,9.9993,9.758,9.8218,18555030
2014-03-28,9.8491,10.0766,9.8036,9.9674,13414330
2014-03-31,10.0311,10.1222,10.0038,10.1131,10591094
2014-04-01,10.1222,10.2678,10.0766,10.2405,14529864
2014-04-02,10.2678,10.2678,10.0129,10.0948,20477084
2014-04-03,10.0903,10.1313,9.931,10.0857,12892086
2014-04-04,10.1313,10.2405,9.9583,9.9856,15491511
2014-04-07,9.9765,9.9856,9.6579,9.7763,15554705
2014-04-08,9.7671,9.8582,9.6124,9.7034,12826947
2014-04-09,9.7125,9.8127,9.6761,9.7307,12992195
2014-04-10,9.758,9.8081,9.3666,9.3666,23123011
2014-04-11,9.1937,9.3757,9.0662,9.2574,21157923
2014-04-14,9.4304,9.485,9.1027,9.2665,14060651
2014-04-15,9.2847,9.3575,9.1436,9.3484,13133731
2014-04-16,9.3939,9.4395,9.2938,9.4121,10698501
2014-04-17,9.3939,9.4759,9.2847,9.3029,17835278
2014-04-21,9.3211,9.3939,9.2574,9.3575,12494486
2014-04-22,9.4668,9.5942,9.3575,9.4577,19540125
2014-04-23,9.4577,9.576,9.4121,9.4759,11884769
2014-04-24,9.5123,9.5305,9.3393,9.3848,11849235
2014-04-25,9.3484,9.3939,9.1937,9.2392,12863528
2014-04-28,9.2847,9.3211,9.0845,9.1664,15474455
2014-04-29,9.2301,9.2665,9.1391,9.1846,7175997
2014-04-30,9.1573,9.2574,9.1027,9.2301,10612627
2014-05-01,9.2756,9.3484,9.2028,9.2938,14076297
2014-05-02,9.312,9.5578,9.3029,9.3211,11708673
2014-05-05,9.4121,9.4121,9.2574,9.3302,12099940
2014-05-06,9.312,9.3575,9.1846,9.2028,10493118
