date,open,high,low,close,volume
2014-01-02,49.5579,49.5674,48.5209,48.8192,466241
2014-01-03,48.8855,49.4632,48.8382,49.3875,547183
2014-01-06,49.6242,49.9557,49.359,49.359,1266866
2014-01-07,49.4822,50.0883,49.4822,49.6242,846969
2014-01-08,49.6242,50.2587,49.4537,50.2303,890780
2014-01-09,50.9027,50.9785,50.4292,50.5712,871644
2014-01-10,50.4292,50.7133,50.2587,50.5334,683839
2014-01-13,50.5807,50.6375,49.6621,49.7947,528687
2014-01-14,49.861,50.5239,49.681,50.4576,656496
2014-01-15,50.8932,51.5088,50.7985,51.4993,650277
2014-01-16,51.4141,51.5277,50.8932,51.2531,460290
2014-01-17,51.2531,51.4899,51.0353,51.1868,294479
2014-01-21,51.594,51.7361,50.9599,51.452,626053
2014-01-22,51.594,51.594,50.9879,51.0258,1454336
2014-01-23,51.2247,53.3271,50.0276,50.4197,1521865
2014-01-24,50.183,50.183,49.539,49.7757,1344826
2014-01-27,50.1451,50.4955,48.573,48.895,1117126
2014-01-28,48.8855,49.5674,48.8855,49.5484,522122
2014-01-29,48.9802,49.2549,48.4546,48.6204,600190
2014-01-30,48.9329,49.4822,48.8666,48.9992,1055240
2014-01-31,48.6204,48.6204,47.8722,48.2131,1182467
2014-02-03,48.251,48.2984,45.5804,45.7887,2343089
2014-02-04,46.1107,46.6316,45.8172,46.4233,2180888
2014-02-05,46.4422,46.499,45.694,45.7319,786251
2014-02-06,45.9308,46.2907,45.7225,46.2149,914598
2014-02-07,46.4801,46.8636,46.016,46.7452,940275
2014-02-10,46.8494,47.1619,46.7547,46.8778,979101
2014-02-11,46.8873,47.4839,46.4043,47.3135,878197
2014-02-12,47.3987,47.9063,47.2756,47.7586,582196
2014-02-13,47.4366,48.6488,47.3513,48.6204,1014014
2014-02-14,48.573,48.6014,48.1374,48.4688,708266
2014-02-18,48.4499,49.4916,48.2984,49.4727,866144
2014-02-19,49.2549,49.7568,48.8761,48.9423,679729
2014-02-20,48.8476,49.4727,47.8343,49.3496,1152166
2014-02-21,49.3022,49.5674,49.0418,49.5106,700999
2014-02-24,49.4727,50.5428,49.1871,50.2966,811235
2014-02-25,50.2492,50.3913,49.4253,49.5769,609288
2014-02-26,49.7663,49.8704,49.217,49.4253,554122
2014-02-27,49.3875,49.8515,49.3212,49.7757,721068
2014-02-28,49.8231,50.3913,49.6905,49.9841,587761
2014-03-03,49.4443,49.4916,48.9518,49.3022,645853
2014-03-04,50.1072,50.8553,50.1072,50.808,728103
2014-03-05,50.7606,50.9216,50.3724,50.6186,478470
2014-03-06,50.8459,50.9785,50.5807,50.6375,579575
2014-03-07,50.9122,51.2436,50.7417,51.0637,580771
2014-03-10,50.808,51.1659,50.5911,50.808,452387
2014-03-11,50.8553,51.0163,50.1025,50.1735,562959
2014-03-12,49.7947,50.2966,49.3922,50.2398,577340
2014-03-13,50.486,50.6281,49.378,49.5579,441299
2014-03-14,49.378,49.8515,49.0228,49.0844,461674
2014-03-17,49.52,50.2966,49.4348,50.0409,412919
2014-03-18,50.1072,50.2114,49.7947,49.8704,424382
2014-03-19,49.8515,50.0693,49.3306,49.8136,474073
2014-03-20,50.0788,51.613,49.9557,51.4614,916875
2014-03-21,51.7266,51.8497,50.9785,51.1489,1221143
2014-03-24,51.2815,51.6698,50.6565,51.1868,576188
2014-03-25,51.4425,51.6186,50.6659,51.3194,718773
2014-03-26,51.4993,51.9217,50.6659,50.6659,723399
2014-03-27,50.6659,50.7985,50.1356,50.5618,1368728
2014-03-28,50.5998,51.7871,50.5998,51.7681,1139930
2014-03-31,52.2431,53.1644,52.0816,53.1264,1419857
2014-04-01,53.4684,53.4968,52.1671,52.794,1447348
2014-04-02,52.7655,53.3307,52.642,53.2309,650103
2014-04-03,53.3734,53.3829,52.699,52.8605,912587
2014-04-04,53.1929,53.2024,50.6473,50.8467,900400
2014-04-07,50.6473,50.8657,48.9185,49.4314,1036683
2014-04-08,49.4409,49.7164,48.852,49.2604,614617
2014-04-09,49.4694,49.8019,49.099,49.6024,788000
2014-04-10,49.6974,49.6974,47.8736,47.8736,806781
2014-04-11,47.4082,47.6742,46.7528,46.8763,743654
2014-04-14,47.4177,47.6362,46.3358,46.8668,626742
2014-04-15,47.0092,47.3797,46.2968,47.0947,618136
2014-04-16,47.5602,47.8546,47.2277,47.8166,493740
2014-04-17,47.8641,48.3296,47.6457,47.6932,692487
2014-04-21,47.7122,47.9116,47.4462,47.7217,730128
2014-04-22,47.8166,48.814,47.6647,48.586,563785
