date,open,high,low,close,volume
2014-01-02,162.4457,163.779,161.9734,162.3809,750575
2014-01-03,162.7327,165.3624,162.3809,164.066,665931
2014-01-06,164.3809,164.3809,161.5753,161.742,637674
2014-01-07,162.0568,162.566,161.3438,162.4086,466856
2014-01-08,162.3438,163.0938,159.103,159.5568,736139
2014-01-09,160.4179,160.4271,157.8345,160.0753,649857
2014-01-10,160.0197,162.1586,159.7882,161.066,550274
2014-01-13,160.7234,161.2605,154.3438,155.0938,992377
2014-01-14,154.853,156.6123,154.5752,155.066,870393
2014-01-15,155.6678,157.4456,154.6863,155.6308,632586
2014-01-16,153.8437,154.066,150.8484,151.2141,1753073
2014-01-17,151.14,152.0011,150.2141,150.4548,1045427
2014-01-21,150.6863,151.9271,148.7882,148.9826,877604
2014-01-22,148.7604,149.4919,147.5057,148.0196,886823
2014-01-23,147.2233,147.7696,146.3622,146.8993,1075873
2014-01-24,146.14,147.9456,144.7603,145.9455,1184674
2014-01-27,145.8622,146.7974,144.4826,145.3252,874679
2014-01-28,145.6955,146.4548,144.5659,145.1307,840232
2014-01-29,144.3529,145.427,143.7974,143.9918,951374
2014-01-30,145.5566,147.677,145.427,146.5104,927180
2014-01-31,144.6122,146.4641,144.1678,145.2696,788574
2014-02-03,144.677,146.4178,141.4733,142.2788,1161857
2014-02-04,142.8714,145.5974,142.3159,142.7603,1890197
2014-02-05,151.6863,151.9734,135.1862,137.6955,11478553
2014-02-06,138.9084,142.8992,138.5844,140.9548,2158377
2014-02-07,141.8529,145.3529,140.4177,144.3437,1944078
2014-02-10,144.1678,144.7418,143.1029,143.7511,1095660
2014-02-11,145.8344,146.603,143.5844,145.1863,1384747
2014-02-12,145.6863,146.2354,142.8344,143.0566,1787710
2014-02-13,142.64,144.9085,142.0844,144.5844,1253323
2014-02-14,143.1122,148.1215,143.1122,146.6585,1659631
2014-02-18,146.853,147.1863,144.6122,145.5104,863793
2014-02-19,144.8159,146.5937,144.8159,145.3437,1049909
2014-02-20,145.4826,147.3437,145.4826,145.9826,961326
2014-02-21,145.9826,147.0719,145.9826,146.6678,791481
2014-02-24,145.9733,149.3808,145.9733,147.4733,1163609
2014-02-25,147.4178,148.677,146.1585,148.14,779152
2014-02-26,152.14,152.2234,149.1493,150.1122,1482841
2014-02-27,148.2882,149.8252,148.0659,149.8067,2940643
2014-02-28,149.9085,150.1863,148.4363,149.1493,1202776
2014-03-03,147.3437,149.0474,147.3437,148.3993,987601
2014-03-04,149.8252,150.4178,148.9826,149.9456,967610
2014-03-05,149.9363,150.3622,148.927,149.4919,986858
2014-03-06,149.6585,150.2419,148.79,150.1493,1054755
2014-03-07,150.4641,152.7789,150.1956,151.8993,1028362
2014-03-10,151.7141,152.2048,150.1585,152.1215,1315194
2014-03-11,152.103,152.7789,149.8252,150.2141,1341872
2014-03-12,149.7511,150.5567,149.0845,150.5289,674928
2014-03-13,150.8715,151.2511,147.0289,147.603,898931
2014-03-14,147.5844,149.2696,147.5844,148.2233,796431
2014-03-17,149.2141,150.0289,148.1863,149.5474,744822
2014-03-18,150.9271,152.316,149.7882,151.6678,947531
2014-03-19,151.8437,151.8437,148.4363,149.3159,720794
2014-03-20,149.1863,149.6585,147.4178,148.5845,637550
2014-03-21,150.1122,150.9271,148.2696,149.1122,1027023
2014-03-24,149.4733,150.2419,147.0594,148.1585,864071
2014-03-25,148.8993,148.9363,144.3066,144.714,1477456
2014-03-26,146.2555,148.7999,145.3083,145.3083,1229265
2014-03-27,145.0855,147.212,145.0855,145.7726,762945
2014-03-28,146.1255,147.8156,145.8748,146.9427,734560
2014-03-31,148.3727,149.7006,147.7041,149.4406,867714
2014-04-01,149.5985,152.0314,149.4963,152.0314,954616
2014-04-02,152.0779,152.9879,151.1121,151.7436,774343
2014-04-03,152.4493,152.9136,150.4212,151.0657,654066
2014-04-04,151.2885,151.6878,147.0077,147.3141,1014866
2014-04-07,147.017,147.4163,143.479,144.4726,1239855
2014-04-08,144.7233,145.3826,143.3675,144.7883,1298230
2014-04-09,143.544,146.6177,143.544,146.1998,712986
2014-04-10,146.3948,146.9891,142.7732,142.8104,784381
2014-04-11,141.9096,143.4604,141.761,142.5875,918049
2014-04-14,143.1911,144.1847,142.6061,143.3675,675279
2014-04-15,143.7111,144.8347,141.8818,144.2497,737774
2014-04-16,145.2805,146.2834,143.5811,143.9804,585075
2014-04-17,143.5161,144.9369,143.1354,143.3582,642940
2014-04-21,143.4975,144.0547,142.6339,142.9311,424253
2014-04-22,143.8504,144.7326,143.0165,143.804,1087084
2014-04-23,144.0918,144.5839,142.8104,142.8568,700474
2014-04-24,143.349,143.8318,141.3803,143.5718,888624
2014-04-25,143.5161,143.9433,142.0489,142.1603,732151
2014-04-28,142.8475,143.8876,138.3716,140.656,1317906
2014-04-29,140.8231,141.9189,140.006,141.436,869814
2014-04-30,141.111,141.3525,139.3374,140.5631,851991
2014-05-01,140.7674,142.6989,139.6438,142.4482,1035751
2014-05-02,142.7732,145.7819,142.5076,143.934,971626
2014-05-05,143.3861,144.8533,141.4639,144.7326,796970
2014-05-06,144.0733,145.0,142.6572,142.9032,1017249
2014-05-07,143.0518,143.3397,139.6698,141.6682,994665
2014-05-08,141.7518,145.2247,141.0367,141.1389,1648178
2014-05-09,133.8865,138.8266,131.7971,138.1859,4800410
2014-05-12,137.3037,138.1395,135.9758,136.8209,2628332
2014-05-13,136.8209,139.4581,136.8209,138.5109,1557758
2014-05-14,138.5109,139.0402,136.7466,136.988,760506
2014-05-15,136.598,137.2294,135.0194,136.9416,1087072
2014-05-16,137.3687,139.1981,136.663,139.0774,1056061
2014-05-19,138.7245,140.4146,138.7245,140.2103,972759
2014-05-20,140.2196,140.3867,139.1424,139.5324,1021834
2014-05-21,139.6995,140.8696,139.1795,140.0524,587417
2014-05-22,139.811,141.385,139.6438,141.0553,661919
2014-05-23,141.1575,141.9468,140.4517,141.8168,578636
2014-05-27,142.2718,143.3861,141.8353,142.5411,789959
2014-05-28,143.414,143.5625,141.501,141.7053,872162
2014-05-29,141.9003,142.1603,141.241,142.1325,474895
2014-05-30,141.7796,142.8057,141.7796,142.5225,586960
2014-06-02,142.6154,142.7918,141.8539,142.2346,575272
2014-06-03,141.3153,143.4325,141.1482,143.2561,658364
2014-06-04,142.5132,144.8254,142.0768,144.3147,848198
2014-06-05,143.3582,143.7575,142.1046,143.2561,1356692
2014-06-06,143.3582,143.8968,142.9032,143.4697,681004
2014-06-09,143.6925,144.6304,143.6461,144.2219,534200
2014-06-10,144.2126,144.2126,143.3397,143.609,577487
2014-06-11,143.5533,143.5533,142.1975,142.4854,458018
2014-06-12,141.9003,142.4018,141.5103,141.7889,674033
2014-06-13,141.8446,142.8197,141.5177,142.5782,791507
2014-06-16,142.1232,142.6525,141.7518,142.0768,507601
2014-06-17,141.9653,143.9897,141.9653,143.6461,527580
2014-06-18,143.7854,145.0669,143.3768,144.8626,611325
2014-06-19,144.909,145.3269,142.9543,143.2375,650181
2014-06-20,144.3983,144.8626,143.1632,144.4633,1022292
2014-06-23,144.3611,145.0297,143.7297,144.9462,667670
2014-06-24,144.9462,148.8277,144.7744,146.6269,1525005
2014-06-25,146.6549,147.4465,145.0159,145.2208,1103474
2014-06-26,145.2114,146.4593,144.1312,146.2824,1071975
2014-06-27,146.2824,149.7001,145.6584,149.3928,1404386
2014-06-30,149.9329,150.0354,148.117,149.6442,674606
2014-07-01,150.0726,152.736,149.4114,150.5196,1085257
2014-07-02,150.5196,151.3196,150.1564,150.352,732383
2014-07-03,150.8828,152.14,150.8642,151.6837,415784
2014-07-07,151.3484,151.7116,150.4731,150.7524,736172
2014-07-08,150.5848,150.7524,149.4207,149.8212,944278
2014-07-09,150.1099,152.019,149.7187,151.7209,881004
2014-07-10,150.0261,150.4079,148.8154,148.9737,662102
2014-07-11,149.1786,149.1786,147.5117,148.1915,565930
2014-07-14,149.0855,149.3649,148.0425,148.4988,412077
2014-07-15,147.94,148.7409,147.6141,147.94,466962
2014-07-16,148.0983,148.6757,146.9343,147.1391,639187
2014-07-17,146.8411,147.3627,146.1054,146.3848,533959
2014-07-18,146.8505,147.2602,145.7702,146.8505,560510
2014-07-21,146.4407,147.4837,146.1706,146.925,411102
2014-07-22,147.1019,149.0575,146.3383,148.2846,530054
2014-07-23,148.4709,148.7409,147.5582,148.536,292440
2014-07-24,149.2531,150.7152,148.7595,150.4172,423749
2014-07-25,150.054,150.4079,148.4802,148.6664,418684
2014-07-28,148.9644,149.5604,148.0238,148.9272,362312
2014-07-29,148.9551,149.0017,147.3999,147.4465,693801
2014-07-30,147.9121,148.8713,147.5768,148.3963,652615
2014-07-31,146.748,147.7165,144.9414,145.1463,809464
2014-08-01,145.2487,146.1334,143.293,143.9263,788461
2014-08-04,143.9263,145.8354,143.6376,145.556,837082
2014-08-05,144.0194,146.6363,143.591,145.8074,1448948
2014-08-06,141.7565,147.1391,141.7565,146.0961,1953908
2014-08-07,148.1635,148.9644,146.6828,147.2509,1345450
2014-08-08,147.2695,149.5139,146.4593,149.4114,649048
2014-08-11,150.3986,152.1866,149.9422,151.5719,1031532
2014-08-12,151.4881,152.615,150.6594,151.5906,1262598
2014-08-13,151.5161,151.6558,148.9551,151.0877,1141850
2014-08-14,150.9853,152.1121,150.1192,151.9631,577413
