date,open,high,low,close,volume
2014-01-02,43.0458,43.0458,42.24,42.3041,773438
2014-01-03,42.8993,43.4945,42.6567,42.8077,958001
2014-01-06,42.4873,42.7894,42.3134,42.414,1176999
2014-01-07,42.5971,43.7234,42.5788,43.4121,990665
2014-01-08,43.3205,43.9157,43.0916,43.76,928948
2014-01-09,43.6227,44.2545,43.348,43.7875,1250860
2014-01-10,43.7417,43.934,43.5494,43.7509,516177
2014-01-13,43.6776,43.8791,42.6704,42.881,1057720
2014-01-14,42.7711,42.7711,41.8554,42.002,1914481
2014-01-15,42.295,42.7675,42.0386,42.7528,1107998
2014-01-16,42.1668,42.2492,41.8188,41.947,1093368
2014-01-17,41.2603,42.1485,41.1137,41.7822,1011669
2014-01-21,41.2053,42.414,40.8574,42.2126,1391856
2014-01-22,42.2583,42.8444,42.24,42.5971,1394255
2014-01-23,42.4873,43.3846,42.295,42.9268,1898768
2014-01-24,39.6395,40.5094,39.3923,40.1798,4124282
2014-01-27,40.1431,40.3537,39.8959,40.1157,1681070
2014-01-28,39.8318,40.4453,39.8318,40.3812,889409
2014-01-29,39.5205,40.1889,39.4198,39.9325,1266946
2014-01-30,39.493,40.4087,39.4472,40.2347,704539
2014-01-31,39.9966,40.1706,39.7036,39.9325,753045
2014-02-03,39.7128,39.7494,38.0188,38.4858,3056046
2014-02-04,39.1084,39.6029,38.8246,39.4747,1605290
2014-02-05,39.5205,40.2072,39.2183,39.8135,1189937
2014-02-06,40.1889,40.6468,39.8226,40.0058,1290451
2014-02-07,39.9417,39.9875,39.4106,39.9875,770274
2014-02-10,40.2805,41.8554,40.2439,41.7364,1391561
2014-02-11,41.9287,42.0844,41.2786,41.6906,1323579
2014-02-12,41.6906,42.2309,41.6906,42.0569,1589655
2014-02-13,41.6632,42.121,41.535,42.0935,657379
2014-02-14,42.1487,42.3145,41.9508,42.1119,411275
2014-02-18,42.3513,42.7656,42.2961,42.471,1104054
2014-02-19,42.1948,42.6091,41.7805,42.4802,946033
2014-02-20,42.4894,42.9037,42.2316,42.8485,926876
2014-02-21,43.0418,43.0418,42.4802,42.5907,528444
2014-02-24,42.5446,42.9405,42.1303,42.5999,822185
2014-02-25,42.6275,42.6275,40.9058,41.1084,2251416
2014-02-26,41.0992,41.2097,40.1601,40.3442,2154833
2014-02-27,39.4972,40.8322,39.1105,40.7033,3225263
2014-02-28,39.9391,41.3846,39.847,40.5283,1895549
2014-03-03,39.3775,40.4271,38.8435,40.0404,708060
2014-03-04,40.5191,41.0255,40.3718,40.6112,911648
2014-03-05,40.8414,41.0992,40.5837,40.7125,614842
2014-03-06,40.4915,40.7217,40.3442,40.5191,500731
2014-03-07,41.1176,41.1728,40.5744,40.7033,800389
2014-03-10,40.7953,41.1084,40.6941,40.9979,908695
2014-03-11,41.136,41.2097,40.6757,40.9611,549220
2014-03-12,41.1176,41.8449,41.0439,41.5319,1006909
2014-03-13,41.3938,41.449,40.3995,40.4823,1021468
2014-03-14,40.2337,40.3626,39.6813,39.8747,949061
2014-03-17,40.6204,40.7033,39.9529,40.2614,809350
2014-03-18,40.3442,40.8322,40.289,40.7309,608945
2014-03-19,41.136,41.4582,40.9704,41.0071,1130972
2014-03-20,40.7953,40.9334,40.2706,40.3902,924979
2014-03-21,40.7401,40.9242,39.5893,40.0956,1735376
2014-03-24,40.4455,40.5191,39.2762,39.5616,1168581
2014-03-25,39.5893,40.1877,39.4419,40.1693,718003
2014-03-26,40.3995,40.4915,40.0404,40.1048,622830
2014-03-27,40.2061,40.6204,39.9575,40.2337,739875
2014-03-28,40.4915,41.0715,40.3626,40.4087,460878
2014-03-31,40.6757,41.2649,40.289,41.1452,537503
2014-04-01,41.1452,41.6884,41.09,41.6516,1533845
2014-04-02,41.4214,41.7989,41.3109,41.7529,504713
2014-04-03,41.0347,41.4398,41.0347,41.2281,698867
2014-04-04,41.3846,42.1119,41.1636,41.2557,509585
2014-04-07,41.6332,42.0014,41.0439,41.4398,1482080
2014-04-08,42.1027,42.2776,41.5503,41.716,869244
2014-04-09,41.7989,41.8449,40.9979,41.8357,831493
2014-04-10,41.9094,41.9186,41.4398,41.6148,1136063
2014-04-11,41.3846,41.554,40.8506,40.9058,766752
2014-04-14,41.0255,42.4157,40.7493,42.3053,1244345
2014-04-15,41.983,43.1615,41.9646,43.1339,2363224
2014-04-16,43.5021,43.631,42.5815,42.8024,767559
2014-04-17,43.2075,43.7231,42.784,43.6771,1415249
2014-04-21,43.5666,44.5701,43.3364,43.6218,2309216
2014-04-22,43.6495,43.8704,43.4285,43.8244,824179
2014-04-23,43.7507,43.7507,42.4157,43.0418,1259718
2014-04-24,44.6806,45.5332,43.0418,43.6495,2762030
2014-04-25,43.4745,44.1098,43.4009,44.0361,1215149
