date,open,high,low,close,volume
2014-01-02,134.6957,134.6957,133.5184,134.2581,359433
2014-01-03,134.2289,135.1818,133.7525,134.404,357277
2014-01-06,135.3179,135.4541,133.4705,133.8497,396250
2014-01-07,134.3651,134.579,133.0427,134.1123,345809
2014-01-08,134.1123,135.3976,133.8007,134.677,348983
2014-01-09,135.6021,136.6342,135.5242,135.8747,489188
2014-01-10,135.8747,136.2837,134.8426,135.7189,274697
2014-01-13,135.1639,136.2545,134.1123,134.3557,352939
2014-01-14,134.8134,136.0403,134.1902,135.9818,422862
2014-01-15,136.0695,136.9069,135.8552,136.8777,286418
2014-01-16,137.5398,138.7881,136.9215,137.1601,322716
2014-01-17,136.9653,137.0335,135.7579,136.3616,391428
2014-01-21,136.7219,138.6012,136.6829,138.1922,379612
2014-01-22,138.1825,138.1825,137.423,137.8222,199973
2014-01-23,136.6732,137.569,134.9789,135.3489,466782
2014-01-24,134.1317,134.5699,131.4559,132.1064,894547
2014-01-27,133.7325,135.1152,131.3371,131.8532,745342
2014-01-28,132.194,135.4171,131.7071,134.1123,455384
2014-01-29,132.8951,134.3557,132.1161,132.603,423729
2014-01-30,133.752,134.3752,132.9827,134.1512,313480
2014-01-31,132.5446,134.6478,131.8337,133.6351,472449
2014-02-03,133.2651,134.4336,128.1238,128.338,735723
2014-02-04,128.7957,129.2339,127.7051,128.523,966631
2014-02-05,128.0556,129.0975,127.2961,128.4549,452455
2014-02-06,129.1073,129.857,128.4744,129.2825,481633
2014-02-07,129.9544,130.9671,129.7402,130.3829,521741
2014-02-10,130.49,130.7042,129.2923,129.5065,505827
2014-02-11,129.9934,130.4802,129.4773,130.1102,572018
2014-02-12,130.4316,131.9311,130.4316,131.3956,480850
2014-02-13,130.6945,132.9584,130.4802,132.9048,418386
2014-02-14,132.9048,133.7715,131.9798,133.2749,618757
2014-02-18,133.1385,133.5378,132.0577,132.3206,439861
2014-02-19,132.1843,133.2456,131.1132,131.5027,335184
2014-02-20,131.8045,132.3206,130.8989,131.9798,368728
2014-02-21,132.0382,132.9827,131.3167,131.3761,357170
2014-02-24,131.8532,133.4501,131.6585,131.7558,623977
2014-02-25,131.8532,132.5543,131.4637,131.7461,443477
2014-02-26,132.2816,132.9048,131.2592,131.4345,500259
2014-02-27,131.3177,131.8629,128.1628,131.0742,436413
2014-02-28,130.9671,132.8756,130.7918,132.0577,897521
2014-03-03,130.9866,131.6974,130.2173,131.1521,374544
2014-03-04,132.1259,133.6157,131.9165,132.7393,557630
2014-03-05,133.0801,134.1123,132.7198,133.4014,668252
2014-03-06,133.3528,135.4171,133.3528,135.0178,745315
2014-03-07,135.5047,136.1084,134.716,135.8358,701616
2014-03-10,135.68,135.9624,133.1288,133.4599,775317
2014-03-11,133.4599,134.1123,130.1784,130.7042,1084375
2014-03-12,130.2465,130.6458,128.747,130.5581,850168
2014-03-13,131.3177,132.048,129.7207,130.4121,654404
2014-03-14,129.5844,131.1326,129.4746,130.5484,635895
2014-03-17,131.4832,133.0996,131.2917,133.0412,745676
2014-03-18,133.2067,133.6838,132.7296,133.343,699839
2014-03-19,133.2554,133.5571,130.9768,131.7948,349870
2014-03-20,131.3079,132.0577,130.7042,131.4832,300832
2014-03-21,132.4764,133.6351,130.9379,131.1716,904273
2014-03-24,131.4637,131.7364,130.1102,130.6945,423923
2014-03-25,131.5319,132.3693,130.0031,131.2787,534439
2014-03-26,131.8337,132.5153,129.672,129.6915,534637
2014-03-27,129.5941,129.8084,128.6788,129.0002,344182
2014-03-28,128.9904,130.8113,128.9904,129.2923,385685
2014-03-31,129.857,130.4997,129.3799,130.0031,462900
2014-04-01,130.6652,131.1424,129.5552,131.0547,525014
