date,open,high,low,close,volume
2014-01-02,34.9737,35.4441,34.8091,34.9361,3027234
2014-01-03,34.9596,35.2089,34.8561,34.9643,2202848
2014-01-06,34.9878,35.3735,34.8843,34.8937,1986890
2014-01-07,34.8937,35.3312,34.6727,34.7009,3815948
2014-01-08,34.7479,34.7997,34.4375,34.6679,4705684
2014-01-09,34.7573,35.1289,34.6774,35.1148,4386992
2014-01-10,35.1807,35.3735,34.8608,35.1148,3253168
2014-01-13,34.8796,34.9784,34.4422,34.4751,5264614
2014-01-14,34.5927,34.715,34.3246,34.4328,2086548
2014-01-15,34.4186,34.5974,34.1035,34.2305,2955932
2014-01-16,34.6256,34.6256,33.8071,33.9059,3291974
2014-01-17,33.8918,33.8918,33.5037,33.5813,3518834
2014-01-21,33.7225,33.7883,32.9463,33.1251,5006648
2014-01-22,33.5531,33.5578,32.5559,32.5794,5955658
2014-01-23,32.4759,32.49,31.9161,32.2172,5468910
2014-01-24,31.9114,32.2831,31.8503,31.9067,5121404
2014-01-27,31.8738,32.4242,31.7374,32.1184,5756348
2014-01-28,32.1702,32.4759,31.8127,31.8785,5254664
2014-01-29,31.7515,32.0432,31.6245,31.8268,5232300
2014-01-30,32.0055,32.0761,31.7797,31.9679,3578336
2014-01-31,31.5257,32.1937,31.5163,31.9444,4569662
2014-02-03,31.9867,32.0827,30.9848,31.013,6106666
2014-02-04,31.2106,31.3987,30.9095,30.9424,4890548
2014-02-05,30.8954,31.2529,30.6461,31.1823,9345448
2014-02-06,31.2576,32.6288,31.1964,32.6029,6051608
2014-02-07,32.4665,32.7393,32.1372,32.6264,3381138
2014-02-10,33.2003,33.2003,32.4101,32.5183,3262446
2014-02-11,32.5888,32.9275,32.5653,32.7064,3353814
2014-02-12,33.3367,33.3461,32.4242,32.5324,2838212
2014-02-13,33.0122,33.0122,32.5277,32.7299,2634614
2014-02-14,32.5794,32.8099,32.4783,32.6547,3811154
2014-02-18,32.6311,32.6735,32.1372,32.1372,4484106
2014-02-19,32.189,32.2831,31.8738,31.8926,4500572
2014-02-20,31.9773,32.2878,31.6386,31.8221,4574260
2014-02-21,32.0714,32.1984,31.6998,31.728,4673804
2014-02-24,31.8221,32.6876,31.7092,32.5841,5954126
2014-02-25,32.7535,33.1204,32.3207,32.9463,5083636
2014-02-26,33.3226,33.8683,32.9228,33.7225,9246352
2014-02-27,33.9765,34.1176,33.6096,34.0141,6023086
2014-02-28,34.7291,34.762,33.666,34.2446,8432626
2014-03-03,34.2963,34.2963,33.6237,34.0047,3297410
2014-03-04,34.1646,34.4704,34.0564,34.08,3306586
2014-03-05,34.5692,34.5692,33.7036,33.8448,3758188
2014-03-06,33.9485,34.0004,33.5853,33.8448,2678066
2014-03-07,34.0287,34.0853,33.5806,33.9863,3537474
2014-03-10,33.8967,34.1985,33.8023,34.1325,2530454
2014-03-11,34.1184,34.2504,33.8589,34.0806,2912780
2014-03-12,34.4486,34.4486,33.9485,34.1419,2660784
2014-03-13,34.1325,34.2316,33.9768,34.1042,2424918
2014-03-14,34.0382,34.5853,34.0382,34.2787,4181656
2014-03-17,34.4297,34.9721,34.3542,34.9486,3955322
2014-03-18,35.3448,35.3448,34.4816,34.5523,3032886
2014-03-19,34.491,34.8118,34.0429,34.274,2075766
2014-03-20,34.1419,34.4721,34.1042,34.3259,1983872
2014-03-21,34.6561,34.9203,34.3684,34.4203,6136134
2014-03-24,34.9533,35.0995,34.2316,34.5712,3690772
2014-03-25,34.6231,34.774,33.7599,33.807,3805860
2014-03-26,33.8967,34.1089,33.5334,33.5901,2636736
2014-03-27,33.6419,33.8306,33.3306,33.6844,3714664
2014-03-28,33.7504,34.2316,33.6797,34.0099,2950928
2014-03-31,34.0806,34.2457,33.6372,33.7599,3185602
2014-04-01,33.9674,34.4014,33.8165,34.3872,3144592
2014-04-02,34.3401,34.8259,34.3118,34.6703,3742286
2014-04-03,34.741,35.0382,34.5287,34.6325,1939094
2014-04-04,34.741,34.8023,34.0995,34.1419,2317202
2014-04-07,34.0523,34.2316,33.2929,33.3825,2634552
2014-04-08,33.2693,33.8731,33.0995,33.7976,2443076
2014-04-09,33.8684,33.9627,33.458,33.6985,2279264
2014-04-10,33.6136,33.7551,32.8542,32.9533,3712106
2014-04-11,32.8306,32.8353,32.4108,32.5712,3353370
2014-04-14,32.807,32.9768,32.4815,32.6749,2860552
2014-04-15,32.8353,33.0146,32.3872,32.6136,2887848
2014-04-16,32.8683,33.0084,32.6749,32.7315,1653064
2014-04-17,32.7032,32.9674,32.5098,32.5429,2246238
2014-04-21,32.6514,32.9155,32.5382,32.5617,2254284
2014-04-22,32.6325,32.8684,32.4815,32.5806,2207454
2014-04-23,32.6136,32.7315,32.274,32.3259,3236850
2014-04-24,32.4438,32.5665,32.274,32.2787,2844572
2014-04-25,32.1985,32.3212,31.9532,31.9674,4095260
2014-04-28,32.1514,32.3259,31.8919,32.2032,4521702
2014-04-29,32.3872,32.5061,32.0098,32.34,2564450
2014-04-30,32.2598,32.3306,31.9532,32.1136,3125026
2014-05-01,32.2032,32.5759,31.9674,32.3259,2338162
2014-05-02,32.5287,32.7268,32.2127,32.2551,2052134
2014-05-05,32.0429,32.307,31.9212,32.1089,1622206
2014-05-06,31.9061,32.0806,31.8542,31.9108,6104064
2014-05-07,31.8825,32.0146,31.708,31.9721,3029346
2014-05-08,32.0759,32.6844,32.0311,32.5712,4098266
2014-05-09,32.5476,32.6797,32.2952,32.6183,3394840
2014-05-12,32.6419,33.0665,32.6419,32.8589,2740034
2014-05-13,32.7457,32.8872,32.5995,32.6183,3151586
2014-05-14,32.6136,32.7929,32.491,32.5523,2976026
2014-05-15,32.5995,32.5995,31.9674,32.274,4021512
2014-05-16,32.34,32.8165,32.34,32.7976,2915756
2014-05-19,32.741,32.807,32.5712,32.6466,2399082
2014-05-20,31.9815,32.0881,31.5712,31.6561,6108938
2014-05-21,31.6372,32.3306,31.6372,32.1136,4836366
2014-05-22,32.1183,32.4202,31.9721,32.1231,4193902
2014-05-23,32.3542,32.6655,32.0098,32.4768,10124638
2014-05-27,33.2976,33.2976,31.8164,32.2174,5913908
2014-05-28,32.2834,32.2976,31.774,31.8306,5174940
2014-05-29,31.958,31.9674,31.6278,31.9627,4283134
2014-05-30,32.0806,32.3966,31.9627,32.2881,3635784
2014-06-02,32.2976,32.4061,32.0193,32.241,3400932
2014-06-03,32.1419,32.2646,32.0051,32.1797,1925692
2014-06-04,32.0429,32.3731,32.0193,32.3683,1991360
2014-06-05,32.307,32.4957,31.84,32.4061,2903952
2014-06-06,32.5811,32.7325,32.4297,32.6805,2121540
2014-06-09,32.6994,33.0684,32.477,32.5101,2736756
2014-06-10,32.477,32.5007,32.0087,32.0181,3268878
2014-06-11,32.0039,32.0181,31.6349,31.8857,3138862
2014-06-12,31.8053,31.8053,31.4741,31.5924,3424818
2014-06-13,31.5829,31.7911,31.4646,31.7532,2783922
2014-06-16,31.6539,31.7579,31.5344,31.6728,2701092
2014-06-17,31.6775,31.8904,31.5782,31.81,2232752
2014-06-18,31.8904,32.3115,31.8407,32.231,2897184
2014-06-19,32.2641,32.3635,32.0039,32.0891,2630314
2014-06-20,32.231,32.4392,32.108,32.1411,4886120
2014-06-23,32.0749,32.1837,31.8999,32.1601,2960688
2014-06-24,32.0276,32.0513,31.5593,31.5829,2804118
2014-06-25,31.6681,31.7296,31.3014,31.3795,2807924
2014-06-26,31.3416,31.4031,30.9632,31.2281,3861044
2014-06-27,31.2186,31.3038,31.0341,31.1287,2968322
2014-06-30,31.2659,31.5119,31.1713,31.2849,2463772
2014-07-01,31.4788,31.5025,31.2186,31.4694,2593588
2014-07-02,31.5687,31.8053,31.4599,31.6823,2408460
2014-07-03,31.7248,31.9141,31.7248,31.7721,1037864
2014-07-07,31.7201,31.8147,31.4646,31.5167,1950818
2014-07-08,31.5309,31.739,31.3606,31.6633,4224324
2014-07-09,31.8289,32.0702,31.6728,32.056,2767218
2014-07-10,31.6113,31.7154,31.4339,31.5072,2667692
2014-07-11,31.3416,31.5309,31.0247,31.1287,2908834
2014-07-14,31.2518,31.3795,30.7361,30.7787,3853794
2014-07-15,30.7314,31.0057,30.703,30.878,3976838
2014-07-16,30.5469,30.7929,29.3878,29.402,11583100
2014-07-17,29.2885,29.5865,29.2506,29.4209,8842724
2014-07-18,29.4446,30.0738,29.3689,29.9508,4440208
2014-07-21,29.8041,29.9555,29.6243,29.7,4219178
2014-07-22,29.8041,29.9224,29.6031,29.6149,3646652
2014-07-23,29.596,29.8514,29.5723,29.8041,2870330
2014-07-24,29.7947,30.2772,29.7805,30.1022,2690346
2014-07-25,29.9744,30.1589,29.9697,30.0217,2277026
2014-07-28,29.9981,30.3765,29.9697,30.2535,2653076
2014-07-29,30.3387,30.457,30.1495,30.2157,2260466
2014-07-30,30.2535,30.6841,30.2535,30.6415,3150988
2014-07-31,30.4239,30.6935,30.4239,30.4664,3757970
2014-08-01,30.509,30.7171,30.3955,30.6036,2792298
2014-08-04,30.5563,30.7692,30.4499,30.6982,3483282
2014-08-05,30.6178,30.8969,30.4191,30.5894,3029044
2014-08-06,30.3529,31.001,30.3529,30.7219,3440334
2014-08-07,30.8638,30.9632,30.509,30.58,3254880
2014-08-08,30.7219,31.7674,30.7219,31.5782,4027784
2014-08-11,31.4978,31.5782,31.3322,31.3747,2378072
2014-08-12,31.4552,31.5214,31.1382,31.2281,2164590
2014-08-13,31.1051,31.1524,30.6557,30.9395,2821838
2014-08-14,31.0057,31.2991,30.9301,31.2707,1757468
2014-08-15,31.4646,31.493,30.8307,31.0105,2539726
2014-08-18,31.2896,31.5734,31.1429,31.5167,2812076
2014-08-19,31.862,32.8555,31.862,32.7893,6220258
2014-08-20,32.6805,33.111,32.4912,33.0542,4628486
2014-08-21,33.092,33.1867,32.6048,32.7609,4846564
2014-08-22,34.1801,35.2162,34.1517,35.1831,11708274
2014-08-25,35.1736,35.2426,34.7762,34.9229,4458268
2014-08-26,34.9229,35.4196,34.9229,35.1736,3661048
2014-08-27,35.3108,35.7318,35.1736,35.5521,3109034
2014-08-28,35.4385,35.6845,35.0506,35.5899,2270946
2014-08-29,35.3013,35.7933,35.3013,35.6798,3906026
2014-09-02,35.6845,35.992,35.623,35.8454,3889028
2014-09-03,35.9924,36.2913,35.7932,36.1015,4590930
2014-09-04,36.1015,36.5379,36.0826,36.462,3308684
2014-09-05,36.3434,36.4478,35.907,36.4478,3697106
2014-09-08,35.8833,36.4525,35.7932,36.1727,3281668
2014-09-09,36.2581,36.2581,35.6557,35.8169,3098288
2014-09-10,35.8549,36.1395,35.6082,35.7173,2389656
2014-09-11,35.6319,35.8264,35.6082,35.8027,1976146
2014-09-12,35.7126,35.8881,35.4185,35.6509,2291040
2014-09-15,35.7885,35.9308,35.5228,35.5513,1822442
2014-09-16,35.5466,35.9355,35.4564,35.8074,2099184
2014-09-17,35.8738,35.9525,35.5892,35.8074,1646524
2014-09-18,35.8549,36.0019,35.76,35.8928,1494608
2014-09-19,36.0493,36.1347,35.6035,35.8122,3890488
2014-09-22,35.6699,35.9165,35.3711,35.3805,2274324
2014-09-23,35.4185,35.4873,35.1481,35.1789,2462522
2014-09-24,35.1766,36.0161,35.1102,35.9142,2650324
2014-09-25,35.6272,35.8169,35.224,35.4944,3067458
2014-09-26,35.428,36.1015,35.3822,36.0541,2849078
2014-09-29,35.7458,36.0493,35.5798,35.7932,2047516
2014-09-30,35.8454,35.926,35.5228,35.8501,3029928
2014-10-01,35.7837,35.8312,35.4801,35.5703,2507502
2014-10-02,35.5845,36.0351,35.4422,35.9592,3073374
2014-10-03,36.0636,36.6897,35.9592,36.5095,3663974
2014-10-06,36.5806,36.6185,35.8264,35.9497,2980570
2014-10-07,35.7695,35.8966,35.4564,35.6224,3736482
2014-10-08,35.6936,36.3766,35.6272,36.2581,3677236
2014-10-09,36.3055,36.481,35.9213,36.13,5177832
2014-10-10,36.2059,37.1119,36.13,36.7751,5284582
2014-10-13,36.6091,37.1403,36.3577,36.462,3700108
2014-10-14,36.7419,37.0502,36.4952,36.9221,3779520
2014-10-15,36.4857,36.8225,35.8786,36.2675,5229076
2014-10-16,35.6604,36.4952,35.6604,36.3909,3587960
2014-10-17,36.5521,36.7751,36.0541,36.6138,3840336
2014-10-20,36.3055,37.2257,36.2818,37.1877,2420460
2014-10-21,36.5284,38.0321,36.5284,37.7475,3600830
2014-10-22,37.8234,38.1174,37.6099,37.6573,3373152
2014-10-23,37.6668,38.4732,37.6668,37.9846,3319168
2014-10-24,38.089,38.1981,37.7475,38.1838,2817288
2014-10-27,38.1791,38.3024,37.9704,38.2408,3369898
2014-10-28,38.1696,38.236,37.6573,38.0985,2735926
2014-10-29,38.089,38.274,37.7759,37.9799,2032230
2014-10-30,37.8898,38.4447,37.7285,38.3404,1686634
2014-10-31,38.8906,38.8953,38.0605,38.2882,2231222
2014-11-03,38.2977,38.6201,38.1696,38.5349,1949562
2014-11-04,38.4874,38.5349,38.0463,38.1554,4103020
2014-11-05,38.2692,38.4637,38.0036,38.3119,1565966
2014-11-06,37.7807,38.9001,37.7807,38.8384,2497472
2014-11-07,38.8859,38.8859,38.4969,38.6155,2402952
2014-11-10,38.5681,39.0756,38.5396,39.0424,2873992
2014-11-11,39.0803,39.2416,38.7436,38.8621,2545008
2014-11-12,38.7578,39.3839,38.6999,39.2701,3440172
2014-11-13,39.3649,39.4171,38.8527,39.161,2607540
2014-11-14,38.81,38.81,38.3521,38.6013,3747978
2014-11-17,38.5918,38.8621,38.4163,38.5823,2605656
2014-11-18,37.9467,38.6914,37.6953,38.5538,3416788
2014-11-19,38.5349,39.04,38.5349,38.9712,3406034
2014-11-20,39.0661,39.6258,38.9191,39.4693,4725700
2014-11-21,42.3532,42.4813,41.5848,42.358,12594296
2014-11-24,42.5762,42.8086,41.822,42.2347,5426646
2014-11-25,42.4054,42.7707,42.1872,42.3532,4367392
2014-11-26,42.4813,42.69,42.3604,42.5809,2348966
2014-11-28,42.7612,43.6339,42.4528,43.392,1984454
2014-12-01,43.2829,43.3304,42.6758,42.7659,2767362
2014-12-02,42.9082,43.1596,42.3627,42.8228,2458758
2014-12-03,42.4386,43.1976,42.3532,43.0932,2332444
2014-12-04,43.0505,43.3636,42.913,43.1881,2198980
2014-12-05,43.3493,43.5533,42.8228,43.0173,1912268
2014-12-08,42.8794,43.3073,42.7748,42.8842,1447100
2014-12-09,42.4944,42.8699,42.2805,42.7178,1943850
2014-12-10,42.6608,43.1979,42.3185,42.4516,1872512
2014-12-11,43.274,43.7732,42.4506,43.1718,2457864
2014-12-12,42.7939,43.6542,42.7939,43.0601,2647098
2014-12-15,43.4642,43.911,43.1267,43.7589,2866782
2014-12-16,43.6923,44.0893,42.7653,42.7701,3214744
2014-12-17,42.8271,43.2074,42.3803,43.1504,3575408
2014-12-18,43.7922,44.0726,43.1789,44.0726,2847818
2014-12-19,44.0299,44.3484,43.1219,43.2692,4843294
2014-12-22,43.5069,44.327,43.1599,44.2866,2207168
2014-12-23,44.9236,44.9616,44.3246,44.3626,1848462
2014-12-24,44.5147,44.5861,44.0394,44.0774,1015648
2014-12-26,44.3008,44.6288,44.1867,44.4054,1008514
2014-12-29,44.2295,45.0139,44.2248,44.7334,1705862
2014-12-30,44.4292,44.8328,44.258,44.6502,1641394
2014-12-31,44.8808,45.727,44.8,44.8095,2512196
2015-01-02,45.0852,45.3134,44.2723,44.5575,1815688
2015-01-05,44.5623,44.8,44.2153,44.5243,3053346
2015-01-06,44.6241,45.1945,44.1535,44.6074,3522932
2015-01-07,44.8095,45.494,44.7287,45.4798,2605356
2015-01-08,45.5939,46.093,45.4227,46.0835,3329926
2015-01-09,46.1215,46.1263,45.0519,45.2563,3018428
2015-01-12,45.3799,45.6889,45.0091,45.5558,2092804
2015-01-13,46.0265,46.4828,44.895,45.0947,3034960
2015-01-14,43.6448,44.3674,43.4356,44.0346,4475732
2015-01-15,43.7399,44.6003,43.2883,43.3263,3435000
2015-01-16,43.1694,44.22,42.6655,44.163,4099148
2015-01-20,44.2723,44.3531,43.2883,43.6424,2876080
2015-01-21,43.6068,43.9015,43.3215,43.8159,2510972
2015-01-22,43.8207,45.0567,43.5046,44.8071,3200930
2015-01-23,44.9236,45.2421,44.6906,45.002,2115722
2015-01-26,44.9901,45.3419,44.7097,45.2706,1808322
2015-01-27,44.1012,45.0305,43.7351,44.8428,2931212
2015-01-28,45.109,45.6319,44.5052,44.5243,2098378
2015-01-29,44.472,44.9759,44.1344,44.51,2899150
2015-01-30,44.4149,44.6478,43.3928,43.5973,6169432
2015-02-02,43.7399,43.8064,42.5229,43.6638,2565740
2015-02-03,43.9158,44.9806,43.7066,44.9664,2720530
2015-02-04,44.6146,45.3372,44.5813,45.0377,3307466
2015-02-05,44.8618,45.5606,44.819,45.128,2044172
2015-02-06,45.3467,45.4631,44.9806,45.1518,1616128
2015-02-09,44.9236,45.2563,44.6954,44.9806,1374520
2015-02-10,45.3419,45.494,45.0789,45.3229,1399278
2015-02-11,45.4845,45.7174,45.0091,45.0757,1471254
2015-02-12,45.166,45.513,44.9046,45.4798,1652592
2015-02-13,45.475,45.7793,45.1613,45.7222,1493598
2015-02-17,45.5035,46.2404,45.4655,46.0407,2290818
2015-02-18,46.0597,46.2071,45.5891,45.9694,1469202
2015-02-19,45.9552,46.2689,45.6557,46.074,1649254
2015-02-20,46.1738,46.5874,45.8743,46.5494,2062188
2015-02-23,46.6492,46.9962,46.4496,46.9844,2562694
2015-02-24,47.0628,47.5144,46.5874,46.6207,2960918
2015-02-25,46.1073,46.9154,46.0407,46.8061,5010408
2015-02-26,46.6825,47.3956,46.6112,47.0866,3157742
2015-02-27,49.7867,50.4998,49.183,50.3001,8778046
2015-03-02,50.11,50.8563,50.1005,50.3857,5623294
2015-03-03,50.419,50.5046,49.8057,50.1718,3620446
2015-03-04,50.1956,50.3714,49.6441,49.9721,2460390
2015-03-05,50.1032,50.4677,49.9841,50.0031,3284250
2015-03-06,49.7982,50.37,49.6339,49.7411,1853892
2015-03-09,49.9269,50.2461,49.8268,50.2413,2299238
2015-03-10,49.7935,50.2223,49.5838,49.9888,1744076
2015-03-11,49.9459,50.4557,49.9269,50.0508,1752796
2015-03-12,50.289,50.6987,50.0698,50.6368,2579036
2015-03-13,50.7321,50.9655,50.127,50.5224,1801742
2015-03-16,50.8512,51.1508,50.7607,50.9084,1904916
2015-03-17,50.4891,50.8369,50.3605,50.6844,1535444
2015-03-18,50.551,50.6368,49.6934,50.3986,2769058
2015-03-19,50.3128,50.8941,50.3033,50.856,1951182
2015-03-20,51.1275,51.5373,50.8655,51.199,4180522
2015-03-23,51.3848,51.5087,50.6701,50.6844,3362252
2015-03-24,51.8898,51.8898,50.7988,50.8083,2453578
2015-03-25,50.713,50.8131,49.8888,49.9507,2721074
2015-03-26,49.7744,49.9054,49.3123,49.4409,2505572
2015-03-27,49.3409,49.9841,49.317,49.6124,1737554
2015-03-30,49.8602,50.5891,49.6363,50.3795,1669272
2015-03-31,50.308,50.9512,50.1889,50.1985,1976460
2015-04-01,50.0269,50.1603,49.217,49.56,2970824
2015-04-02,49.6934,49.8221,49.2789,49.5124,2119292
2015-04-06,49.317,49.9459,49.236,49.5267,1573984
2015-04-07,49.3504,49.7172,48.9835,48.9883,1967090
2015-04-08,49.2694,49.9078,49.0645,49.5505,2304828
2015-04-09,49.6696,49.9078,48.974,49.398,2096630
2015-04-10,49.5219,49.5648,49.074,49.2908,2179534
2015-04-13,49.3504,50.1889,49.2694,49.641,1961270
2015-04-14,49.4457,49.9793,49.3552,49.4552,2884786
2015-04-15,49.541,49.9126,49.2313,49.2456,2645448
2015-04-16,49.4219,49.5362,49.1646,49.2932,2138154
2015-04-17,48.8978,49.0359,47.6352,47.8353,3289120
2015-04-20,48.1831,48.8692,47.8782,48.7334,2088032
2015-04-21,49.2646,49.5457,48.9168,49.3694,2347660
2015-04-22,49.317,49.622,48.9835,49.5052,2394356
2015-04-23,49.2599,50.0555,49.1979,49.7935,1683026
2015-04-24,49.7315,50.0222,49.6553,49.7315,1651576
2015-04-27,49.7458,49.8316,48.8168,48.8239,2122362
2015-04-28,48.6786,49.0931,48.245,48.5166,2381308
2015-04-29,48.3213,48.3832,47.0873,47.5304,2973528
2015-04-30,47.5304,47.9163,46.9014,47.1111,2889658
2015-05-01,47.235,48.5404,47.235,48.4547,2340908
2015-05-04,48.4118,48.6119,48.0544,48.2546,1661354
2015-05-05,48.0211,48.4023,47.6114,47.902,1922678
2015-05-06,47.8972,48.2974,47.7019,48.2164,2124598
2015-05-07,48.2689,48.5261,47.9115,48.0402,2417974
2015-05-08,48.3832,49.2646,48.3832,48.8596,1984716
2015-05-11,48.974,49.2646,48.5833,48.6024,1983798
2015-05-12,48.5357,48.974,48.1879,48.631,1747768
2015-05-13,48.6929,48.9883,48.1116,48.2355,2108798
2015-05-14,48.4737,48.7596,47.1635,47.3398,5068304
2015-05-15,47.4779,47.982,47.2064,47.8734,3748360
2015-05-18,47.9449,48.8311,47.5875,48.7644,2654082
2015-05-19,49.6744,49.9126,48.8882,49.0645,3516922
2015-05-20,48.893,48.9645,48.0783,48.0878,2650724
2015-05-21,47.9639,48.6024,47.74,48.3832,4253168
2015-05-22,49.0359,49.0359,45.8961,46.2297,7419474
2015-05-26,46.3345,46.4631,45.3673,45.5317,4114010
2015-05-27,45.6579,46.2964,45.4578,46.001,2765422
2015-05-28,45.9676,46.3392,45.8771,46.1868,2597330
2015-05-29,46.2487,46.3249,45.8533,46.0581,3848524
2015-06-01,46.1248,46.3249,45.6246,45.9867,2569376
2015-06-02,45.9962,46.5679,45.8437,46.2058,2047864
2015-06-03,46.4393,46.83,46.101,46.7776,1858258
2015-06-04,46.4298,46.9539,46.4298,46.6251,2677000
2015-06-05,46.414,46.8911,46.2757,46.5571,2412074
2015-06-08,46.5238,47.0008,46.4066,46.5476,2662008
2015-06-09,46.4951,46.7766,46.2471,46.5094,2770356
2015-06-10,46.5858,46.8243,46.3473,46.6669,1952696
2015-06-11,46.8052,47.0628,46.5571,46.6812,1548620
2015-06-12,47.2168,47.8012,47.0123,47.2655,1893422
2015-06-15,46.9636,47.4603,46.6227,47.4214,1901964
2015-06-16,47.2753,47.8986,47.1973,47.8888,1588826
2015-06-17,47.772,48.3076,47.6454,48.1421,2120205
2015-06-18,48.3369,48.9504,48.3076,48.8482,1857538
2015-06-19,48.8141,49.4179,48.5414,49.155,3949065
2015-06-22,49.4082,49.4569,48.9407,48.9991,1559499
2015-06-23,48.9017,49.2767,48.8141,49.2232,1689265
2015-06-24,48.556,49.379,48.556,48.7751,1715094
2015-06-25,48.9504,48.9699,48.4927,48.4927,1478118
2015-06-26,48.7264,49.2524,48.5511,48.9602,1925121
2015-06-29,48.6096,48.6875,47.2363,47.2801,1996460
2015-06-30,47.8012,47.9897,47.0172,47.3434,2317687
2015-07-01,47.6843,48.2102,47.548,48.1031,1925623
2015-07-02,49.0186,49.1355,47.6941,48.0252,2015228
2015-07-06,47.5869,48.8238,47.5869,48.5657,2442818
2015-07-07,48.7167,49.3108,48.2589,49.2524,3027628
2015-07-08,49.0965,49.3205,48.6777,48.8628,2439360
2015-07-09,49.3692,49.6712,48.9602,49.0089,2496230
2015-07-10,49.4861,49.6712,49.1842,49.5348,2092893
2015-07-13,49.9147,51.0736,49.8075,51.0444,3138243
2015-07-14,51.1223,51.1223,50.4893,51.0639,2546544
2015-07-15,50.9957,51.3756,50.723,50.9568,2020298
2015-07-16,51.3366,51.6191,50.9568,51.5801,1827465
2015-07-17,51.3853,51.4437,50.7035,50.9081,1757845
2015-07-20,51.1905,51.5509,51.0152,51.4535,1482199
2015-07-21,51.5606,51.8333,51.0639,51.4827,1703290
2015-07-22,51.6093,52.106,51.5704,51.8918,2143183
2015-07-23,51.9015,52.0378,51.4145,51.5119,1167894
2015-07-24,51.5898,51.658,51.1808,51.3171,1505415
2015-07-27,51.1029,51.3171,50.5867,50.723,1773727
2015-07-28,50.7717,50.8983,50.3042,50.6549,1956399
2015-07-29,50.7035,51.473,50.6062,51.4145,1912781
2015-07-30,51.1808,51.5022,50.8594,51.3756,1009169
2015-07-31,51.6288,51.8333,51.1905,51.7749,1194931
2015-08-03,51.8625,52.0573,51.3853,51.6483,1235687
2015-08-04,51.5996,51.9989,51.434,51.8041,1476245
2015-08-05,51.9892,52.7294,51.9892,52.4079,1371484
2015-08-06,52.2716,53.7812,51.7651,52.1742,2502191
2015-08-07,52.0671,52.1645,51.0347,51.6872,2361136
2015-08-10,52.2521,52.6514,52.1645,52.33,1807015
2015-08-11,52.0573,52.6709,51.9502,52.4177,1695556
2015-08-12,52.0768,52.2716,51.3561,52.1645,1659379
2015-08-13,51.9502,52.7196,51.8382,52.2326,2604283
2015-08-14,52.5443,52.856,52.0661,52.3203,2709072
