date,open,high,low,close,volume
2014-01-02,29.8412,29.9311,29.5805,29.6255,1812723
2014-01-03,29.6884,29.7648,29.4817,29.6434,1363758
2014-01-06,29.7333,29.7603,29.4637,29.4996,2232935
2014-01-07,29.4727,29.5446,29.185,29.3828,2610588
2014-01-08,29.4367,29.4367,29.0053,29.185,3246134
2014-01-09,29.2929,29.3648,29.0772,29.0862,2325631
2014-01-10,29.185,29.3289,29.0233,29.1401,2249434
2014-01-13,29.0322,29.1221,28.7446,28.7985,2250699
2014-01-14,28.8794,29.1221,28.7896,28.9693,2179445
2014-01-15,29.0592,29.0592,28.8704,28.9693,1660757
2014-01-16,28.9693,28.9873,28.7716,28.8615,1066338
2014-01-17,28.8794,29.1221,28.812,28.9873,2360589
2014-01-21,29.0592,29.1131,28.7896,29.0053,1339873
2014-01-22,29.0592,29.1491,28.9873,29.0772,1699014
2014-01-23,28.9244,28.9693,28.6727,28.9693,1748599
2014-01-24,28.8075,29.0862,28.466,28.5289,4580444
2014-01-27,28.6098,28.9154,28.5828,28.8435,3384401
2014-01-28,28.7896,29.0682,28.7266,28.8974,2456619
2014-01-29,28.7176,29.0367,28.5648,28.7446,3194093
2014-01-30,28.8615,29.0053,28.6997,28.9513,2039778
2014-01-31,28.6278,28.8345,28.439,28.7896,2526800
2014-02-03,28.7896,28.8704,28.2413,28.3581,1934580
2014-02-04,28.4929,28.6008,28.2503,28.3401,1903678
2014-02-05,28.3851,28.6278,28.2682,28.3581,2567362
2014-02-06,28.3581,28.6817,28.2952,28.6457,1373900
2014-02-07,28.7626,30.4074,28.7626,30.0209,7276049
2014-02-10,29.9311,29.9895,29.5581,29.7783,2175643
2014-02-11,29.8502,30.2187,29.7962,30.1288,1685712
2014-02-12,30.1827,30.2187,30.0659,30.1738,1380900
2014-02-13,30.0749,30.6456,30.0209,30.6142,2008353
2014-02-14,30.5513,30.9917,30.4704,30.9198,2049728
2014-02-18,30.8659,30.8838,30.0389,30.4074,3213711
2014-02-19,30.2906,30.4254,30.2232,30.3176,1998759
2014-02-20,30.3176,30.5378,30.1288,30.3266,2156509
2014-02-21,30.3625,30.5468,30.1917,30.3445,1811783
2014-02-24,30.4254,30.758,30.3445,30.3445,2060396
2014-02-25,30.3985,30.4794,30.1782,30.2636,1394330
2014-02-26,30.2546,30.4704,30.0479,30.1738,1540840
2014-02-27,30.2367,30.2681,29.8322,30.0479,2032065
2014-02-28,30.0929,30.6861,30.0839,30.6591,1804660
2014-03-03,30.4434,30.6591,30.4164,30.5962,1705652
2014-03-04,30.749,30.9647,30.6501,30.8389,1173349
2014-03-05,30.8479,30.8479,30.5962,30.6861,1061391
2014-03-06,30.6591,30.74,30.5423,30.7041,1831767
2014-03-07,30.8299,30.9198,30.5243,30.776,1580796
