date,open,high,low,close,volume
2014-01-02,82.1205,82.1205,80.4537,80.8635,1501605
2014-01-03,81.0093,81.5558,80.6723,80.9,1287885
2014-01-06,81.2825,81.8108,81.0639,81.2006,1574151
2014-01-07,81.7379,81.8928,80.4719,80.7816,2062403
2014-01-08,80.7725,81.1459,79.8434,81.0275,2334761
2014-01-09,81.5558,82.2298,81.2825,81.9748,1713785
2014-01-10,82.0294,82.6852,81.82,82.5759,1310831
2014-01-13,82.2298,83.2044,81.7562,81.911,1561914
2014-01-14,82.3391,83.0495,81.7835,83.0131,1378915
2014-01-15,83.2499,83.6598,82.8127,83.0313,1756862
2014-01-16,82.9493,82.9949,82.2207,82.5941,1135597
2014-01-17,82.4484,82.8856,81.656,82.0385,2075997
2014-01-21,82.7034,83.7563,82.4757,83.3683,2797031
2014-01-22,83.2044,84.4249,83.0313,84.2063,2335613
2014-01-23,83.7873,84.3885,82.7034,82.9767,2213002
2014-01-24,82.0658,82.3026,80.2715,80.2715,1998683
2014-01-27,80.6541,81.237,79.8253,80.6632,2149253
2014-01-28,80.5812,81.5193,80.522,81.2552,1512029
2014-01-29,80.2715,81.0184,79.8981,80.7269,3034173
2014-01-30,80.7087,84.0697,80.0256,83.6962,4058655
2014-01-31,83.9877,86.9843,83.7327,86.5927,6102097
2014-02-03,86.702,87.2849,84.1516,84.2063,3730321
2014-02-04,83.5687,83.7782,81.492,82.8674,4183773
2014-02-05,82.7945,84.8257,82.4211,84.4795,2874148
2014-02-06,84.4431,85.272,84.0615,85.2538,1890176
2014-02-07,85.6454,87.1938,85.4997,85.864,2878063
2014-02-10,85.8913,86.0097,84.3976,84.9167,2459200
2014-02-11,84.5342,86.3103,84.4522,85.8822,2421128
2014-02-12,86.028,87.2029,85.9733,87.1392,2159031
2014-02-13,86.7111,87.7039,86.4479,86.7931,2006901
2014-02-14,86.365,87.5673,86.1282,87.376,1658857
2014-02-18,86.7202,87.7585,86.4014,87.3213,1726098
2014-02-19,87.6037,88.469,86.6382,86.6746,2065366
2014-02-20,86.7566,88.2686,86.5745,87.7585,2043825
2014-02-21,87.8861,88.6694,87.5035,87.9862,2259366
2014-02-24,88.4234,90.6093,88.4052,89.4618,3017406
2014-02-25,89.4527,89.7806,87.9134,88.1502,1763258
2014-02-26,88.305,88.6602,87.6675,87.968,2047300
2014-02-27,87.8678,88.888,87.713,88.888,1699324
2014-02-28,88.2231,90.1267,88.2231,89.1794,1721628
2014-03-03,88.2595,89.7806,88.1138,89.4436,1639243
2014-03-04,91.9301,92.0212,91.1559,91.4383,2092861
2014-03-05,91.9939,92.9047,91.4565,91.7115,1836964
2014-03-06,91.1104,92.0577,91.1104,91.5294,1435957
2014-03-07,91.9939,93.0414,91.7206,92.2398,1765867
2014-03-10,91.8482,92.0668,91.1742,91.748,1440098
2014-03-11,91.6842,91.7298,90.1996,90.3089,1580473
2014-03-12,89.9992,91.1468,89.3161,90.8462,1795050
2014-03-13,91.1286,92.1305,89.8443,90.0174,1777881
2014-03-14,89.7988,91.9347,89.7897,91.165,2795700
2014-03-17,91.5203,92.012,91.1924,91.9575,1272751
2014-03-18,92.3036,92.6406,91.6933,92.2763,1389395
2014-03-19,92.6497,92.7225,89.9221,90.5275,1818416
2014-03-20,90.7096,91.4565,89.4527,89.7806,2651429
2014-03-21,90.0265,90.2633,88.7058,88.806,3773955
2014-03-24,89.1521,89.2523,87.4762,88.6511,2355047
2014-03-25,89.3889,89.9536,88.6876,89.3161,2115624
2014-03-26,89.7441,89.9171,88.4325,88.4325,1395894
2014-03-27,88.3506,89.1066,87.4989,88.8424,2101313
2014-03-28,89.1612,89.981,88.8971,89.8534,1695325
2014-03-31,90.0688,90.9578,90.0688,90.5362,1910324
2014-04-01,91.1411,91.5535,90.2155,90.8478,1321095
2014-04-02,90.9486,91.7322,90.5912,91.471,1483490
2014-04-03,91.9201,92.1675,91.0494,91.6818,1126823
2014-04-04,92.0392,92.3875,89.354,89.4548,1733567
2014-04-07,89.4456,89.9772,88.465,88.8133,1486021
2014-04-08,88.7675,88.7858,87.4753,88.2909,1581100
2014-04-09,89.4365,91.3244,89.0516,91.1136,2481853
2014-04-10,90.8387,90.9211,88.7491,88.9599,1529282
2014-04-11,88.63,89.2074,88.2359,88.3459,1761659
2014-04-14,88.74,89.6656,88.4009,89.3632,1513681
2014-04-15,89.2532,89.7939,87.8602,89.7389,1566899
2014-04-16,90.2979,90.7837,89.5373,90.7562,1278053
2014-04-17,90.637,91.9748,90.637,91.7643,1217836
2014-04-21,93.0198,93.1298,92.1034,92.9923,1932154
