date,open,high,low,close,volume
2014-01-02,36.3374,36.4305,35.8417,35.9185,8528022
2014-01-03,36.0628,36.1978,35.8114,35.8161,6545626
2014-01-06,35.7928,36.0023,35.3786,35.453,10604900
2014-01-07,35.6765,36.0302,35.5927,35.9371,8180398
2014-01-08,35.9697,36.3732,35.9278,36.3188,10190576
2014-01-09,36.3374,36.3513,35.7463,36.1186,8370276
2014-01-10,36.1,36.3002,35.8161,36.1512,6475950
2014-01-13,36.0162,36.0209,34.7968,34.9643,14730286
2014-01-14,34.9643,35.5391,34.7921,35.1226,18668208
2014-01-15,35.1598,35.5275,35.0993,35.4623,8721564
2014-01-16,35.2901,35.4647,34.969,35.0434,9110924
2014-01-17,34.9085,35.1226,34.7549,34.8619,13007820
2014-01-21,34.9317,34.941,34.0986,34.2801,18777272
2014-01-22,34.4197,34.5361,34.2289,34.2568,13989730
2014-01-23,34.201,34.3173,33.3632,34.1591,30451212
2014-01-24,34.7828,35.4484,34.4942,34.8992,33218428
2014-01-27,35.0155,35.0155,34.4523,34.5408,18212030
2014-01-28,34.7083,34.8131,34.2894,34.3918,11103896
2014-01-29,34.2103,34.2848,33.2608,33.3073,16002076
2014-01-30,33.6425,33.7123,33.191,33.4702,15181598
2014-01-31,32.9955,33.4847,32.9862,33.1025,12287056
2014-02-03,33.0467,33.2841,31.9622,32.1018,20353852
2014-02-04,32.7045,33.2652,32.4102,33.0082,21066236
2014-02-05,32.7466,33.0503,32.5223,32.9335,10968328
2014-02-06,33.0129,34.0127,32.9662,33.8071,13819714
2014-02-07,34.3912,34.8023,33.9613,34.5897,14752770
2014-02-10,34.7182,35.1247,34.7182,34.9471,12948390
2014-02-11,34.9798,35.1293,34.4753,34.807,16165852
2014-02-12,34.8023,35.0686,34.4332,34.5313,9973052
2014-02-13,34.3678,34.8957,34.2884,34.8957,8477256
2014-02-14,34.7369,35.0826,34.578,35.0546,8266438
2014-02-18,35.0359,35.0406,34.543,34.5593,10967746
2014-02-19,34.4986,34.7042,34.2136,34.2557,9802100
2014-02-20,34.293,34.4379,33.8632,34.3631,8553032
2014-02-21,34.4706,34.508,33.8819,33.9006,11298258
2014-02-24,33.9473,34.0501,33.6483,33.9006,11953270
2014-02-25,33.8725,33.9473,32.9615,32.9615,18641246
2014-02-26,33.0783,33.7417,32.6812,33.5362,19156536
2014-02-27,33.4614,33.7511,33.3726,33.7277,11298448
2014-02-28,33.424,33.6074,32.9381,33.1531,22465506
2014-03-03,32.7092,33.0456,32.7045,32.9241,12248352
2014-03-04,33.3726,33.6203,33.1951,33.4801,12255104
2014-03-05,33.6343,33.681,33.1157,33.3119,9783410
2014-03-06,33.5595,34.2627,33.5315,33.9613,13781048
2014-03-07,34.1015,34.1529,33.7371,34.1389,8409372
2014-03-10,34.223,34.4052,34.008,34.3678,8648776
2014-03-11,34.5687,35.2312,34.5033,35.0546,18368750
2014-03-12,34.8303,35.3489,34.807,35.3349,10450862
2014-03-13,35.433,35.704,34.5874,34.7743,11380782
2014-03-14,34.6154,34.9892,34.5844,34.6995,8962602
2014-03-17,34.9518,35.0359,34.4893,34.6575,11019894
2014-03-18,34.7369,34.9658,34.5967,34.8537,5997520
2014-03-19,35.0406,36.1292,34.9565,35.4657,24983140
2014-03-20,35.6433,36.0357,35.3209,35.954,13851476
2014-03-21,36.5403,36.7412,35.7974,35.8395,18036904
2014-03-24,35.9283,36.0264,35.1387,35.4003,10018724
2014-03-25,35.7133,35.7461,34.7089,34.8584,10568158
2014-03-26,35.0079,35.0359,34.3491,34.3584,8371118
2014-03-27,34.1389,34.5547,33.9613,34.293,12675658
2014-03-28,34.2416,34.6014,34.1295,34.4332,6582750
2014-03-31,34.5266,34.7602,34.1856,34.2837,7721754
2014-04-01,34.4052,35.0312,34.2977,34.578,8741780
2014-04-02,34.7369,34.7462,34.2183,34.4192,8275518
2014-04-03,34.508,34.7322,34.0221,34.1482,7165454
2014-04-04,34.3631,34.522,33.3212,33.4287,11708546
2014-04-07,33.2652,33.3493,32.7279,32.9054,11089724
2014-04-08,33.0035,33.4964,32.9381,33.396,10679090
2014-04-09,33.4661,33.9567,33.2652,33.8632,9055586
2014-04-10,33.9847,33.9847,32.784,32.8073,13375470
2014-04-11,32.6064,32.7652,32.0878,32.1112,16368844
2014-04-14,32.5317,32.7232,32.0972,32.3822,12176480
2014-04-15,32.6858,32.7513,31.7374,32.1859,15461760
2014-04-16,32.541,33.1157,32.3121,33.0736,11278644
2014-04-17,32.9708,33.3539,32.7699,32.7746,9245966
2014-04-21,32.8494,32.9849,32.6344,32.9288,6098442
2014-04-22,32.9522,33.3002,32.8587,33.2414,8862690
2014-04-23,33.3867,33.3913,32.8073,32.8867,8881548
2014-04-24,33.4147,33.6576,32.7559,33.2138,15577016
2014-04-25,33.6389,33.7557,33.1437,33.382,18122130
2014-04-28,33.5876,33.6483,32.6111,33.139,10733556
2014-04-29,33.2558,33.382,32.8283,33.0035,9830164
2014-04-30,32.9942,33.0596,32.7606,32.9942,7283078
2014-05-01,33.0549,33.2652,32.854,33.2278,7919194
2014-05-02,33.2885,33.417,32.9708,32.9849,8306490
2014-05-05,32.9381,33.1974,32.7886,33.1344,5486598
2014-05-06,33.1672,33.2141,32.5107,32.6279,10926786
2014-05-07,32.7217,32.8225,32.4216,32.7029,10961996
2014-05-08,32.6373,33.057,32.5154,32.6279,7531344
2014-05-09,32.6842,32.9702,32.601,32.9609,6623136
2014-05-12,33.125,33.4063,33.0124,33.3641,7227204
2014-05-13,33.2797,33.4532,33.2469,33.3688,5802916
2014-05-14,33.3782,33.3876,32.8389,32.9046,8586022
2014-05-15,32.9468,32.9796,32.4872,32.7545,9124686
2014-05-16,32.8249,33.3126,32.7358,33.2657,9294826
2014-05-19,33.0875,33.3501,32.9562,33.3032,6757810
2014-05-20,33.1813,33.245,32.7499,32.9327,8699878
2014-05-21,33.1578,33.1766,32.8577,33.0124,6089286
2014-05-22,32.989,33.6549,32.9655,33.4814,7359636
2014-05-23,33.8987,34.0019,33.683,33.7533,7166310
2014-05-27,34.0628,34.5974,34.016,34.5411,10100398
2014-05-28,34.3723,34.4989,34.1918,34.3583,8212030
2014-05-29,34.4755,34.4942,34.0675,34.2832,6448878
2014-05-30,34.3067,34.4661,34.0112,34.3442,6879534
2014-06-02,34.3348,34.7264,34.3067,34.6302,5926156
2014-06-03,34.5693,34.8647,34.5036,34.785,6768354
2014-06-04,34.7568,35.0288,34.5318,35.0148,6495704
2014-06-05,34.8694,35.2352,34.7944,35.0382,5188766
2014-06-06,35.1976,35.4227,35.0757,35.3242,6204706
2014-06-09,35.3477,35.3571,35.0053,35.2539,5701018
2014-06-10,35.2867,35.3758,34.8506,34.9819,6640912
2014-06-11,34.7662,35.1085,34.6302,35.0757,7510866
2014-06-12,35.0241,35.0288,34.574,34.6818,7193748
2014-06-13,34.6396,35.1203,34.4802,35.0241,7728298
2014-06-16,34.9257,35.2445,34.9163,35.2117,6759676
2014-06-17,35.1836,35.4743,35.1648,35.3149,5778600
2014-06-18,35.2633,35.4906,34.9819,35.4321,5786570
2014-06-19,35.8963,36.3418,35.8541,36.2152,12555078
2014-06-20,36.4028,36.4028,35.8307,35.9198,12446594
2014-06-23,35.962,36.0136,35.728,35.9807,4780230
2014-06-24,36.0605,36.459,35.8916,36.309,10912302
2014-06-25,36.1261,36.6607,36.0886,36.6326,7813834
2014-06-26,36.581,36.731,36.3278,36.6044,6983266
