date,open,high,low,close,volume
2014-01-02,39.7932,39.9029,38.7809,38.8315,1001867
2014-01-03,38.8568,38.9875,38.5057,38.7725,813972
2014-01-06,38.7725,38.8642,38.5025,38.5784,877009
2014-01-07,38.57,39.0424,38.5194,38.9918,711132
2014-01-08,39.0087,39.0087,38.4519,38.5278,934953
2014-01-09,38.7303,38.8652,38.4941,38.8231,935250
2014-01-10,39.0087,39.6751,38.9243,39.4811,795725
2014-01-13,39.4305,39.5823,39.0677,39.1436,875461
2014-01-14,39.1605,39.363,39.0255,39.0846,501148
2014-01-15,39.228,39.2533,38.8821,38.958,504093
2014-01-16,38.9327,39.1521,38.9074,39.1268,456477
2014-01-17,39.2364,39.2449,39.0087,39.093,500390
2014-01-21,39.228,39.6329,39.1099,39.5486,649063
2014-01-22,39.5739,39.7932,39.4811,39.692,580696
2014-01-23,39.5148,39.7004,39.3461,39.6582,708909
2014-01-24,39.5233,39.9619,39.2702,39.2786,982400
2014-01-27,39.3377,39.751,38.705,39.0508,1823302
2014-01-28,39.0677,39.2111,38.899,39.1858,507504
2014-01-29,39.0762,39.2111,38.8062,38.9412,990432
2014-01-30,39.1268,39.6667,39.034,39.6161,781684
2014-01-31,39.2533,39.9788,39.228,39.8776,724280
2014-02-03,39.886,40.544,39.3967,39.5064,1310102
2014-02-04,39.6245,39.7342,38.8821,39.0424,781621
2014-02-05,38.9918,38.9918,38.705,38.7556,477115
2014-02-06,38.8315,39.1268,38.6122,39.1015,480627
2014-02-07,39.2786,39.3967,39.093,39.3461,492810
2014-02-10,39.2786,39.7257,39.0508,39.6751,537646
2014-02-11,39.6498,40.4006,39.5992,40.2825,659547
2014-02-12,40.3163,40.5778,40.1897,40.3753,783844
2014-02-13,40.2741,40.9658,40.2319,40.873,883004
2014-02-14,40.814,41.1261,40.7043,41.084,774961
2014-02-18,41.1599,41.337,41.1093,41.278,1011434
2014-02-19,41.2105,41.2949,40.7971,40.9152,1459118
2014-02-20,40.8309,41.4551,40.6875,41.4045,991093
2014-02-21,41.5058,42.1553,41.4467,41.8432,1199343
2014-02-24,41.8179,42.1638,41.6154,41.6323,949535
2014-02-25,41.6492,41.9444,41.5648,41.7167,1047543
2014-02-26,41.6745,41.8432,41.4931,41.5142,664715
2014-02-27,41.607,41.801,41.3539,41.4889,647894
2014-02-28,41.4973,41.8601,41.4467,41.7588,639378
2014-03-03,41.5058,41.7335,41.3455,41.5142,883032
