date,open,high,low,close,volume
2014-01-02,173.7258,174.6515,172.4469,174.0885,515691
2014-01-03,173.5636,175.625,173.4299,174.4607,407228
2014-01-06,174.9092,176.1881,173.9644,174.3557,584144
2014-01-07,176.4649,179.5857,176.1499,179.0512,1238673
2014-01-08,179.0417,181.1032,177.9203,181.0268,1248362
2014-01-09,180.9505,181.2654,179.4912,180.2538,681404
2014-01-10,181.2559,184.1763,180.5496,184.0426,931811
2014-01-13,183.1073,184.1953,181.9335,182.4679,573629
2014-01-14,183.6132,184.6916,181.7617,184.6534,557468
2014-01-15,184.4721,184.997,183.6227,184.329,548626
2014-01-16,183.7372,185.3883,183.3173,184.6821,415657
2014-01-17,185.2929,186.7913,184.8634,185.2642,797176
2014-01-21,187.068,189.1104,186.3713,188.9959,954950
2014-01-22,188.2419,189.4158,187.6025,188.3374,618992
2014-01-23,186.8485,187.9842,185.6842,186.2186,677410
2014-01-24,186.0182,186.2282,181.9239,182.0957,815390
2014-01-27,182.7542,183.7372,180.6737,181.8762,720065
2014-01-28,185.751,185.751,181.6758,182.9356,539150
2014-01-29,181.4563,184.0045,179.1849,180.4923,1021794
2014-01-30,175.5964,178.1923,173.3059,175.3578,1610769
2014-01-31,173.4204,175.2986,172.4278,174.8997,1089942
2014-02-03,175.1669,175.3005,168.5531,168.8107,1253049
2014-02-04,169.1734,171.2444,168.3914,169.8319,723433
2014-02-05,168.6867,169.5074,166.3389,167.5891,1246741
2014-02-06,168.3335,171.0535,167.446,171.0154,1070556
2014-02-07,169.9655,174.3748,169.9655,174.2316,931460
2014-02-10,173.0673,174.6325,172.571,174.0312,578486
2014-02-11,174.7565,175.7491,173.4967,175.0524,663356
2014-02-12,176.1213,179.8243,175.8063,178.3068,1170368
2014-02-13,177.2952,181.8762,176.608,181.733,1047398
2014-02-14,181.2559,183.1837,180.4351,182.4488,741157
2014-02-18,182.2961,183.4724,182.1196,182.7256,741604
2014-02-19,182.2866,185.8751,182.0671,184.2717,1029067
2014-02-20,185.0066,186.0182,183.7563,184.5771,836084
2014-02-21,184.2621,185.7604,183.6895,184.7584,734686
2014-02-24,184.7775,188.8527,184.7775,185.6555,956121
2014-02-25,185.4933,189.6353,184.9588,188.366,975617
2014-02-26,188.6046,190.8569,188.3374,189.5017,716413
2014-02-27,189.1763,190.9181,188.7361,190.2769,634871
2014-02-28,190.296,192.8417,189.3869,191.8656,901523
2014-03-03,190.0089,191.5976,189.0998,190.9277,560294
2014-03-04,193.5212,194.641,191.5019,194.44,639653
2014-03-05,194.3826,195.0477,193.5978,194.5453,597672
2014-03-06,194.574,196.0861,193.4925,194.2773,604011
2014-03-07,195.8085,199.6654,195.3492,197.8279,1341571
2014-03-10,196.9761,197.9714,195.799,197.2441,565348
2014-03-11,197.3972,198.0743,196.0095,196.1722,537762
2014-03-12,195.2343,196.0957,194.5309,195.464,606628
2014-03-13,196.2105,197.3273,193.0906,193.5021,472895
2014-03-14,193.3203,195.3492,192.6025,193.3968,508889
2014-03-17,194.0955,196.5455,194.0955,195.4449,400982
2014-03-18,195.6554,196.7847,195.2343,195.9999,456114
2014-03-19,196.1914,197.0431,192.4685,193.5404,654479
2014-03-20,192.6503,193.9041,191.5976,193.4351,475623
2014-03-21,195.196,195.2056,191.2244,191.7986,1026586
2014-03-24,192.3632,192.8226,189.205,190.0376,519300
2014-03-25,191.2722,192.2101,189.339,189.4634,483938
2014-03-26,190.3535,190.9947,187.358,187.358,401514
2014-03-27,187.358,187.358,184.2476,185.865,540497
2014-03-28,186.0755,188.0087,185.597,186.3244,361628
2014-03-31,187.0804,188.8739,186.3626,188.6595,399237
2014-04-01,189.2337,190.6501,188.516,190.5353,493856
2014-04-02,190.3726,192.3441,189.5208,191.4732,604963
2014-04-03,192.1431,194.2558,190.7171,191.8847,665652
2014-04-04,190.2769,190.5449,184.0658,185.5587,1523899
2014-04-07,186.7072,187.3197,181.855,182.1421,953282
2014-04-08,182.4484,184.171,181.4052,183.6542,550780
2014-04-09,184.6017,186.4009,183.2332,186.2765,630428
2014-04-10,186.0181,186.9656,181.5392,181.8646,567099
2014-04-11,180.563,182.8599,180.1611,180.4291,541536
2014-04-14,181.4244,183.9509,180.3621,181.9412,534349
2014-04-15,182.4005,183.5155,180.1611,183.3289,723512
2014-04-16,185.1664,185.8937,183.0705,183.9892,898019
2014-04-17,185.664,191.4062,184.9942,189.0998,1405728
2014-04-21,189.9802,190.8128,188.114,189.2624,636668
2014-04-22,189.2624,194.3251,189.1572,194.0189,861934
2014-04-23,194.6601,195.531,193.148,193.2724,690054
2014-04-24,194.8707,195.1673,191.7603,192.4015,667386
2014-04-25,191.5689,192.3728,190.4396,192.1048,896750
2014-04-28,193.2246,193.3203,187.2048,190.2769,956005
2014-04-29,190.6406,191.4062,188.9026,191.2052,574829
2014-04-30,190.966,191.8464,190.6358,191.2531,675693
2014-05-01,190.9277,191.7794,190.0951,191.3009,435702
2014-05-02,191.2914,192.9087,191.2435,192.2292,597628
2014-05-05,190.7458,192.1144,189.7649,191.0808,500500
2014-05-06,190.4109,191.2722,188.8509,189.9037,611693
2014-05-07,190.9373,191.4732,188.8126,190.6884,651065
2014-05-08,190.7554,191.3009,188.2289,188.9753,677582
2014-05-09,189.0232,191.2722,187.6929,191.2148,465175
2014-05-12,191.4445,193.8753,190.9852,193.1671,614053
2014-05-13,193.0332,193.4734,191.4349,191.655,461071
2014-05-14,191.6933,192.1348,190.6953,190.8968,384886
2014-05-15,190.4266,191.0408,187.9506,190.3498,496062
2014-05-16,190.2058,191.8757,189.131,191.7797,521753
2014-05-19,191.3574,193.5743,191.2663,191.3862,480935
2014-05-20,191.6933,193.4399,191.4457,192.2403,648963
2014-05-21,192.3459,193.3248,191.2999,192.3555,450231
2014-05-22,192.2116,193.3536,191.5974,192.3555,338828
2014-05-23,192.0772,194.5339,191.7077,194.246,592378
2014-05-27,195.4744,195.4744,193.6798,193.8718,436436
2014-05-28,194.2556,195.6855,193.5743,193.5743,429506
2014-05-29,194.5435,195.388,193.6223,195.1673,380699
2014-05-30,194.8698,197.0387,194.5627,196.3573,440630
2014-06-02,196.2613,196.8563,194.8602,195.3593,456109
2014-06-03,194.5435,196.5684,194.5435,195.5512,363702
2014-06-04,194.8122,196.0429,193.5071,195.6472,413136
2014-06-05,195.6663,196.4821,193.3727,195.7239,386710
2014-06-06,196.1846,197.6912,195.7431,196.1846,374682
2014-06-09,195.7527,196.9811,195.4072,196.0598,383343
2014-06-10,195.8007,196.5684,195.1001,196.175,342297
2014-06-11,195.8199,196.2613,194.7739,195.0522,285421
2014-06-12,194.9178,196.175,193.5263,194.0637,393883
2014-06-13,194.6587,195.081,193.5263,194.5531,260978
2014-06-16,194.4668,195.8103,193.3919,194.1693,332023
2014-06-17,193.5839,195.5608,193.3727,194.5915,275355
2014-06-18,194.6491,195.6999,193.2384,195.5032,338531
2014-06-19,195.0618,195.412,194.4668,195.1193,326648
2014-06-20,195.7143,196.6884,195.1481,195.7623,544193
2014-06-23,196.0214,196.8275,195.388,196.3381,343609
2014-06-24,195.7719,197.7872,195.6568,196.5109,523592
2014-06-25,196.5492,198.0655,196.3957,197.7392,396375
2014-06-26,197.6433,197.6433,195.3976,197.0099,356151
2014-06-27,196.0502,199.3035,196.0502,199.0924,623952
2014-06-30,199.6106,199.6106,198.1903,198.5645,677363
2014-07-01,198.6701,199.8697,198.5549,198.9868,431352
2014-07-02,198.6509,199.5146,197.7296,198.2574,297364
2014-07-03,198.6317,199.3035,198.1423,199.0924,197292
2014-07-07,198.8716,199.2747,196.4917,196.9619,389429
2014-07-08,197.0483,197.1346,194.4764,195.0138,545738
2014-07-09,195.2153,196.9427,194.8026,196.8467,506651
2014-07-10,194.7259,194.7259,193.7086,194.1213,658794
2014-07-11,194.294,194.7547,193.344,194.5819,346514
2014-07-14,194.6395,195.4264,194.5819,195.0234,354889
2014-07-15,195.7527,196.3957,193.6319,194.1597,586937
2014-07-16,194.8122,194.9706,193.3632,193.5935,759205
2014-07-17,202.3072,203.8139,201.2804,203.622,1241142
2014-07-18,202.3072,203.8139,201.2804,203.622,1241142
2014-07-21,203.5548,204.0826,202.6815,204.0058,615275
2014-07-22,204.0874,206.2611,204.0058,205.3302,593517
2014-07-23,206.3282,206.9232,205.1862,205.954,474045
2014-07-24,206.3762,206.3762,204.5816,204.8599,544107
2014-07-25,204.8599,205.8484,203.9579,204.1882,347949
