date,open,high,low,close,volume
2014-01-02,93.09,93.099,91.4643,91.6439,878923
2014-01-03,91.6619,91.908,91.0511,91.1769,620874
2014-01-06,91.59,91.608,90.3685,90.629,776228
2014-01-07,91.7248,92.0391,90.9523,91.1858,817810
2014-01-08,90.9793,90.9793,87.9254,88.1769,1424205
2014-01-09,88.1589,88.2936,87.7278,88.0062,1168315
2014-01-10,88.0242,88.6709,87.7547,88.4014,908134
2014-01-13,88.3206,88.9134,87.2293,87.4763,1055344
2014-01-14,87.593,89.3894,87.5032,89.2278,972475
2014-01-15,89.2278,89.7128,88.3745,88.6439,907041
2014-01-16,88.6439,88.9134,88.123,88.5182,623853
2014-01-17,88.5541,88.5631,87.1888,87.3056,668072
2014-01-21,87.8445,87.9613,86.5601,87.3056,875040
2014-01-22,87.6739,88.7921,87.5068,88.4284,832073
2014-01-23,88.0511,88.4014,87.6649,88.096,717096
2014-01-24,87.8984,88.7248,87.2966,87.9972,1076731
2014-01-27,88.0691,89.2188,87.8535,88.59,997765
2014-01-28,88.4822,89.5331,88.4104,89.2008,931171
2014-01-29,88.1499,88.4014,86.7667,87.2248,1081606
2014-01-30,87.7188,88.1769,87.3909,87.8984,566602
2014-01-31,86.7846,87.8086,86.4972,86.5781,932629
2014-02-03,86.5781,86.6787,84.2337,84.3685,1119759
2014-02-04,84.6469,84.9613,83.8565,84.1709,746440
2014-02-05,83.6319,83.7936,82.5765,83.3715,1105939
2014-02-06,83.8834,84.2517,83.6858,84.0631,598844
2014-02-07,84.2248,84.7008,83.5511,83.8655,875356
2014-02-10,83.7218,84.7277,83.605,84.1619,901888
2014-02-11,84.3505,84.8894,83.6589,84.4583,1648894
2014-02-12,84.386,84.865,83.7173,84.6932,1199664
2014-02-13,84.386,86.076,84.2414,85.9857,1261187
2014-02-14,82.4248,83.3647,78.7193,82.9761,4272235
2014-02-18,83.8347,86.8262,83.6991,86.1393,1869457
2014-02-19,86.1393,87.0792,85.7416,86.3562,1500111
2014-02-20,87.0431,89.0947,86.677,88.8235,2207066
2014-02-21,88.8326,89.1218,88.2722,88.5162,1618138
2014-02-24,88.8145,89.8177,88.6789,89.2031,1136633
2014-02-25,89.0675,90.369,89.0314,89.4833,1109438
2014-02-26,89.42,90.0572,89.0766,89.1218,1153599
2014-02-27,89.0314,90.1792,88.9952,90.0527,1071450
2014-02-28,89.9804,91.1824,89.8719,90.3871,1185414
2014-03-03,89.5556,90.2876,89.1444,89.5194,1244908
2014-03-04,90.369,90.9293,89.4923,89.7183,1155195
2014-03-05,89.6189,89.7815,88.7964,88.9591,723816
2014-03-06,88.9049,89.167,88.1728,88.2361,794801
2014-03-07,88.6518,88.6518,87.5311,88.1547,613729
2014-03-10,87.9649,88.2813,87.4859,87.8565,462651
2014-03-11,87.8113,88.0011,87.025,87.26,848499
2014-03-12,86.8623,88.5885,86.8352,88.5524,763313
2014-03-13,88.9591,88.9591,87.4317,87.6576,599544
2014-03-14,86.9979,87.5402,86.8352,86.9256,1052783
2014-03-17,87.26,87.513,86.7448,86.8714,531824
2014-03-18,86.8623,88.5434,86.781,88.3174,808008
2014-03-19,88.1728,88.1728,86.2658,86.8894,672584
2014-03-20,86.4827,87.4679,86.2026,87.3956,624689
2014-03-21,88.218,88.3536,86.6454,86.781,1213522
2014-03-24,87.1786,87.7986,86.6545,86.9527,664533
2014-03-25,86.7358,87.5944,86.5008,86.7087,496420
2014-03-26,86.8714,87.3142,86.2929,86.6996,456596
2014-03-27,86.8714,87.1967,86.4014,86.8262,503225
2014-03-28,87.3052,87.513,86.9617,87.1967,344413
2014-03-31,87.5492,87.8926,86.9165,87.8836,791397
2014-04-01,87.9197,88.1095,87.2239,87.7932,742279
2014-04-02,87.7932,88.4801,87.3323,88.3807,572735
2014-04-03,88.1005,88.5931,87.8203,88.4801,468951
2014-04-04,88.6247,88.8958,88.0033,88.1638,615959
2014-04-07,88.0734,89.0675,88.0734,88.4801,891432
2014-04-08,88.4982,88.5614,87.2329,87.7661,743562
2014-04-09,87.8926,88.0011,87.4228,87.8746,600325
2014-04-10,87.8746,88.2632,86.302,86.311,582074
2014-04-11,85.8591,86.7629,85.0638,85.2536,771367
2014-04-14,85.9314,86.6002,85.3711,86.2116,575828
2014-04-15,86.546,86.546,85.3892,85.9314,482889
