date,open,high,low,close,volume
2014-01-02,129.2526,129.999,128.0906,128.9982,1378535
2014-01-03,129.0406,131.0847,128.5486,130.5758,1143502
2014-01-06,130.6436,131.8141,130.4358,131.4579,1470921
2014-01-07,131.4579,132.3145,130.3637,131.3646,1660659
2014-01-08,131.2882,131.7123,129.8803,130.915,1678452
2014-01-09,130.8557,131.3221,129.6088,130.7878,1294539
2014-01-10,131.6445,132.4333,131.2797,132.0601,1566995
2014-01-13,131.1695,132.8319,131.1525,131.6105,1247718
2014-01-14,131.602,132.8149,131.0423,132.5181,1413133
2014-01-15,132.5181,133.926,131.7886,133.3154,1494051
2014-01-16,132.7895,133.7564,132.7895,133.5019,836681
2014-01-17,133.468,133.7648,132.3824,132.9167,1569366
2014-01-21,133.3069,134.6046,132.2891,133.9345,1691303
2014-01-22,134.1974,134.8421,133.3662,133.5528,1221046
2014-01-23,132.9167,133.9175,131.9498,132.4248,1481513
2014-01-24,132.0516,132.1279,129.9312,129.9312,2104643
2014-01-27,130.0329,130.8387,128.2518,128.8625,1880914
2014-01-28,128.9473,130.0329,128.8455,128.9642,1269009
2014-01-29,128.1415,129.0745,126.8862,127.7514,1836051
2014-01-30,128.4384,129.9057,128.2518,129.7276,1817561
2014-01-31,129.7785,132.306,129.1763,131.3306,2469361
2014-02-03,130.703,130.703,127.8616,128.2263,1972526
2014-02-04,128.4469,130.3892,127.5732,130.1177,1825311
2014-02-05,129.77,130.8387,129.2272,130.5588,1440887
2014-02-06,130.5418,132.1194,130.3468,131.7378,1422402
2014-02-07,132.3315,133.256,130.3298,133.1372,1597326
2014-02-10,133.5359,134.859,132.9082,134.2992,1433148
2014-02-11,134.0872,135.4358,133.731,135.0287,1484140
2014-02-12,134.7808,135.4048,134.2165,135.0201,1066717
2014-02-13,134.4816,136.4307,134.3277,135.6955,1100742
2014-02-14,135.4732,137.2343,135.3877,136.9436,1015809
2014-02-18,137.012,137.1915,135.5245,137.012,1411127
2014-02-19,136.4392,138.2345,136.3965,136.9351,1268141
2014-02-20,136.8154,137.6361,135.9092,136.7128,1059426
2014-02-21,136.4734,137.3796,135.6955,136.405,1216572
2014-02-24,136.5675,138.2687,136.2597,136.7043,1444931
