date,open,high,low,close,volume
2014-01-02,73.3554,73.6774,72.4934,73.649,1293116
2014-01-03,73.7248,73.7674,72.9007,73.4501,946591
2014-01-06,73.6964,73.829,73.0238,73.2985,919556
2014-01-07,73.6774,74.151,73.5448,73.9426,1117178
2014-01-08,73.7343,73.9995,73.1754,73.829,1604757
2014-01-09,74.1226,74.2742,73.8385,74.0279,1093919
2014-01-10,73.9995,74.3121,73.2417,73.9237,1050597
2014-01-13,73.9237,74.2174,72.5218,72.5881,1335969
2014-01-14,72.7017,73.4785,72.2944,73.469,1731444
2014-01-15,71.6029,73.9048,71.6029,73.2417,2383507
2014-01-16,72.4555,72.6544,72.0197,72.4081,1125157
2014-01-17,72.5218,73.0901,71.6787,72.7017,1757976
2014-01-21,73.1754,73.6016,72.1618,72.5123,826593
2014-01-22,72.6923,72.876,72.0197,72.5218,682830
2014-01-23,71.8397,72.3039,70.9872,71.1293,968313
2014-01-24,70.4757,71.0914,69.3579,69.4053,1703239
2014-01-27,69.5379,70.6367,68.9885,69.9358,1448531
2014-01-28,70.04,71.3282,69.9642,71.2051,1317409
2014-01-29,70.5041,71.9724,70.3904,71.0251,2419858
2014-01-30,71.1009,73.2227,71.0251,72.7207,2289636
2014-01-31,71.5556,72.7491,71.4608,72.0292,2434148
2014-02-03,71.9913,72.8912,70.1631,70.4662,3697813
2014-02-04,70.6651,74.2363,70.2768,72.9575,2887393
2014-02-05,72.5691,73.1848,71.8587,72.8438,2094658
2014-02-06,72.8438,73.3648,72.7207,73.2701,1680745
2014-02-07,74.3216,76.8034,73.6679,75.7519,2815690
2014-02-10,75.5625,75.714,74.8331,75.1551,1725183
2014-02-11,75.894,76.3676,74.8236,76.1687,2188628
2014-02-12,76.254,77.5896,75.8561,77.2391,1694774
2014-02-13,76.6139,77.6464,76.3108,77.5896,1145217
2014-02-14,77.2107,77.7222,76.756,77.2296,1310445
2014-02-18,77.1823,77.7601,76.9265,76.9644,1592426
2014-02-19,76.4245,77.4096,76.235,76.254,1273448
2014-02-20,76.5855,76.7655,75.6382,76.3866,1686268
2014-02-21,76.5476,76.8034,75.9129,75.9887,1299488
2014-02-24,76.5782,76.9395,76.1123,76.2074,1765836
2014-02-25,76.293,76.5307,75.7035,76.0553,1400887
2014-02-26,76.0933,76.4356,75.5514,75.6464,1366294
2014-02-27,75.6845,76.0173,75.3517,75.7701,1019682
2014-02-28,75.4563,75.9317,75.1901,75.7415,1575539
2014-03-03,74.5625,75.0094,74.1252,74.534,2828538
2014-03-04,75.5609,76.3025,75.3517,76.2835,2677427
2014-03-05,76.0648,77.1392,75.4373,76.8635,1663486
2014-03-06,76.9776,78.014,76.6923,77.5195,1300294
2014-03-07,77.7668,78.0235,77.1583,77.6812,969678
2014-03-10,77.5195,78.2422,77.2248,78.0045,1437506
2014-03-11,78.0615,78.3372,76.8445,76.9586,1947105
2014-03-12,76.7969,77.9189,76.4451,77.8809,1600816
2014-03-13,77.9664,77.9664,75.7986,75.9032,1472639
2014-03-14,75.7796,76.5022,75.5514,75.6369,2149439
2014-03-17,76.0648,76.892,75.8366,76.3215,1919313
2014-03-18,76.5022,76.5212,75.4278,75.4373,1728728
2014-03-19,75.3517,75.5609,74.4579,74.9524,3730612
2014-03-20,74.6861,74.7907,73.5737,73.6212,2532422
2014-03-21,74.6386,75.0379,73.0888,73.0888,3329650
2014-03-24,73.1934,73.4976,71.5675,72.0239,2173242
2014-03-25,72.1285,72.8035,71.8812,72.214,1669964
2014-03-26,72.4042,73.4786,71.7196,71.7576,2983020
2014-03-27,71.9098,72.0524,70.5406,70.8639,2207649
2014-03-28,71.2157,71.8812,70.7878,71.3203,2676152
2014-03-31,71.9858,72.5943,71.9383,72.5468,1758898
2014-04-01,72.6704,74.0586,72.4612,73.9825,1669399
2014-04-02,73.916,74.0396,72.9385,73.1268,1702367
2014-04-03,73.412,73.6022,72.4612,72.6134,1154173
2014-04-04,73.0698,73.3265,71.4439,71.4724,1257486
2014-04-07,71.5389,71.9478,70.669,71.1681,1850335
2014-04-08,70.9114,71.5009,70.2839,71.3488,2033365
2014-04-09,71.653,72.8416,71.4629,72.8321,1588825
2014-04-10,72.7845,72.7845,69.6563,69.799,1264167
2014-04-11,69.5327,69.7419,68.4393,68.4393,1281838
2014-04-14,68.8862,69.6183,68.3918,69.3901,1923695
2014-04-15,69.6468,70.7878,68.4964,69.7704,1211940
2014-04-16,70.379,71.7291,70.1127,71.7196,1002886
2014-04-17,71.5485,73.1173,71.5485,72.8986,1435352
2014-04-21,72.8986,72.9557,72.195,72.7465,1043719
2014-04-22,72.756,73.3645,72.5183,72.9366,859036
2014-04-23,72.9366,73.4786,72.6609,72.9461,578849
2014-04-24,73.2314,73.2599,72.0904,72.2521,869188
2014-04-25,72.1855,72.2521,70.9304,71.3583,1277450
2014-04-28,71.8622,72.195,70.5691,71.3773,914017
2014-04-29,71.8242,72.4232,70.2934,70.4075,1116280
2014-04-30,70.9114,71.5865,69.837,70.2934,1653277
2014-05-01,70.3695,70.6167,69.6278,70.4265,2456440
2014-05-02,70.3599,70.9304,69.856,70.4265,1716516
2014-05-05,69.9131,71.9858,69.4472,71.9098,1865830
2014-05-06,72.1285,72.8035,71.5199,72.4422,2111072
2014-05-07,72.5658,72.7845,71.3298,72.3281,1184688
2014-05-08,72.4232,74.4009,72.3376,73.7543,1485340
2014-05-09,73.5166,74.8668,73.2314,74.8192,1745064
2014-05-12,75.171,75.7986,75.0569,75.5609,1829999
2014-05-13,75.3042,75.8937,74.8715,75.2091,1165835
2014-05-14,75.0665,75.2186,73.6402,73.6973,1560317
2014-05-15,73.6117,73.6497,72.3757,72.6419,1466200
2014-05-16,72.718,74.4009,72.5183,74.1442,1499768
2014-05-19,73.7638,74.7527,73.6878,74.6766,867339
2014-05-20,74.4484,74.7812,73.6783,73.7543,1039196
2014-05-21,74.1822,74.9238,74.1156,74.7717,621484
2014-05-22,74.8288,75.8176,74.6814,75.7225,1039186
2014-05-23,75.6462,76.1138,75.3503,75.9516,608043
2014-05-27,76.1615,77.4977,76.0279,77.345,1320360
