date,open,high,low,close,volume
2014-01-02,79.4044,79.5108,78.1453,78.4201,1495162
2014-01-03,78.3935,79.0497,78.1276,78.7393,1177189
2014-01-06,77.1699,79.1295,76.9039,79.0586,1614008
2014-01-07,79.032,80.3531,79.032,80.2467,1472491
2014-01-08,80.1226,80.3709,79.4132,79.5728,2138248
2014-01-09,79.7236,80.1137,79.5994,80.096,1275369
2014-01-10,80.6192,82.4369,80.5926,81.5147,1349322
2014-01-13,81.1778,81.7275,80.3797,80.566,872920
2014-01-14,80.6014,81.3019,80.2733,81.2842,995952
2014-01-15,81.4704,82.2418,81.3817,81.5768,1486848
2014-01-16,81.6211,81.7453,80.9738,81.7009,672011
2014-01-17,81.8694,81.9758,81.3338,81.5325,650933
2014-01-21,81.8251,82.4369,81.3817,82.4014,700939
2014-01-22,82.2862,82.9335,82.1709,82.295,880854
2014-01-23,81.9581,82.1088,81.1334,81.763,812205
2014-01-24,81.1068,81.7453,80.0339,80.0517,1490345
2014-01-27,80.2556,80.5394,79.7413,79.8566,1216920
2014-01-28,79.9807,80.5127,79.7413,79.9807,1484252
2014-01-29,79.7502,80.2645,79.7502,79.9985,2082446
2014-01-30,80.4152,81.3995,80.2733,81.1334,968358
2014-01-31,80.5482,82.4103,80.4329,82.2064,1956676
2014-02-03,82.3482,83.7404,81.3019,81.5325,1514164
2014-02-04,81.8694,81.8694,80.5394,80.8231,1416802
2014-02-05,80.4241,80.5482,79.8566,80.229,1498783
2014-02-06,80.1403,81.0802,79.6881,80.894,1054407
2014-02-07,81.1866,82.1088,80.566,81.7896,1008532
2014-02-10,81.6034,82.366,81.1689,82.1798,1212625
2014-02-11,82.1798,83.6517,82.1354,82.9069,2467768
2014-02-12,82.3837,82.8625,81.6743,81.9581,2603582
2014-02-13,81.5857,82.4103,81.3817,82.3748,1656607
2014-02-14,82.4103,82.632,81.8783,82.5965,1056019
2014-02-18,82.6586,83.2438,82.6586,82.8359,1062130
2014-02-19,82.8536,83.829,82.1177,82.1354,1422948
2014-02-20,82.2773,82.8583,81.9758,82.4014,961167
2014-02-21,82.6231,83.1285,82.428,82.4635,1151647
2014-02-24,82.6763,83.563,82.0734,82.0822,1103063
2014-02-25,82.2862,83.297,82.0572,82.5344,1124490
2014-02-26,82.6142,83.0133,80.7117,81.8428,1411928
2014-02-27,82.0734,84.9815,81.5768,83.4389,2792666
2014-02-28,83.5896,84.0108,83.2527,83.767,1058221
2014-03-03,83.4655,84.0238,83.2881,83.4211,1093859
2014-03-04,84.0773,84.432,83.7847,84.1837,932887
2014-03-05,83.6694,83.8822,82.8093,83.0487,1118252
2014-03-06,83.3857,83.4921,82.8004,83.0044,1027922
2014-03-07,82.8536,83.0665,82.295,83.0576,880739
2014-03-10,82.7472,83.5098,82.5344,83.4921,1309692
2014-03-11,83.4832,83.696,82.4635,83.3147,1384683
2014-03-12,83.0044,83.9,82.9955,83.8645,860161
2014-03-13,83.9443,85.3054,83.8911,84.7157,1741305
2014-03-14,84.6359,85.567,84.4409,85.0527,2372686
2014-03-17,85.1945,85.7576,84.831,85.4694,821696
2014-03-18,85.4606,85.5581,84.9019,85.5138,1129078
2014-03-19,85.5138,85.9926,84.4497,84.8133,1749518
2014-03-20,84.4941,85.3187,83.8382,85.2744,1391285
2014-03-21,86.0369,86.4359,85.2566,85.3896,1325011
2014-03-24,85.5404,86.3827,84.8487,85.2478,1270179
2014-03-25,85.4977,86.0156,85.221,85.8102,1157440
2014-03-26,86.337,86.7924,85.5692,85.6406,1498345
2014-03-27,85.7388,86.5424,85.2031,85.8906,1275378
2014-03-28,85.8906,85.9352,84.7567,85.4888,1194030
2014-03-31,86.0781,86.712,85.3808,86.3906,1057958
2014-04-01,86.3906,86.4352,85.3013,86.1227,1095516
2014-04-02,86.1138,86.3013,85.4799,85.7567,1059590
2014-04-03,86.0424,86.2656,85.6585,85.7924,997549
2014-04-04,86.212,87.3995,85.7924,86.1049,962173
2014-04-07,86.0245,86.2745,85.2924,85.3281,1351075
2014-04-08,85.2299,86.5156,84.9531,85.962,1380305
2014-04-09,86.0781,86.5245,85.2388,86.4441,1005067
2014-04-10,86.4799,87.6852,86.0334,86.3638,1194161
2014-04-11,86.2567,87.087,85.8995,86.087,1789876
2014-04-14,86.8013,86.8281,85.9888,86.2745,1592704
2014-04-15,86.5513,86.6941,85.6049,86.4709,2016519
2014-04-16,86.6674,87.9709,86.3727,87.8191,1629968
2014-04-17,87.337,87.9977,86.5959,86.7209,1176173
2014-04-21,86.7209,87.1648,86.2031,86.5156,759324
2014-04-22,86.4977,86.8906,86.1227,86.3013,948106
2014-04-23,86.4888,87.3281,86.3995,86.5781,1326520
2014-04-24,86.6584,87.0423,86.1495,86.7745,778303
2014-04-25,86.8727,88.1495,86.8727,88.087,1108629
2014-04-28,88.1852,88.9441,87.6316,88.7923,1310480
2014-04-29,88.7744,89.1137,87.837,88.1227,1008946
2014-04-30,88.2209,88.8459,87.828,88.0423,923163
2014-05-01,88.0691,88.5423,87.3816,88.1405,821682
2014-05-02,87.3727,88.4977,86.2299,87.578,1569960
2014-05-05,87.4798,88.4798,87.1495,88.0334,868548
2014-05-06,87.9798,88.462,87.8191,88.1673,750535
2014-05-07,88.328,89.703,88.1718,89.6494,1075291
2014-05-08,89.5512,89.8806,88.9084,88.953,1206416
2014-05-09,88.8102,88.953,87.7522,87.8102,1305342
2014-05-12,88.1852,88.212,87.3548,87.3906,897770
2014-05-13,87.7298,88.0512,86.9709,87.2209,817130
2014-05-14,87.1852,88.3459,87.1852,87.9352,1106698
2014-05-15,88.0423,88.2923,87.2209,87.3548,805067
2014-05-16,87.4888,87.7298,87.0959,87.6763,1095057
2014-05-19,87.7388,87.8013,86.6495,86.6763,812586
2014-05-20,86.6674,87.2745,86.2388,86.7477,851961
2014-05-21,87.0245,87.8638,86.8102,87.6316,1110177
2014-05-22,87.5691,88.2745,87.4441,87.9441,563160
2014-05-23,87.9441,88.8102,87.6539,88.5155,732357
2014-05-27,89.0155,89.1673,88.3637,88.4441,638598
2014-05-28,88.5066,89.078,88.453,89.0244,723161
2014-05-29,88.9441,89.3994,88.6048,89.328,960544
2014-05-30,89.1584,89.8994,89.1584,89.5959,1175696
2014-06-02,89.3726,89.9441,89.1941,89.703,719691
2014-06-03,89.578,89.828,89.3012,89.7476,686623
2014-06-04,89.3994,89.7655,89.078,89.5066,1613577
2014-06-05,89.5066,90.4976,89.3101,90.2744,794652
2014-06-06,90.3905,90.7565,89.828,89.9173,905832
2014-06-09,90.1673,91.0422,89.8816,90.1851,933553
2014-06-10,89.953,90.1048,89.3459,89.4351,515106
2014-06-11,89.2655,89.3191,88.1048,88.578,1025323
2014-06-12,88.5334,89.1851,87.7834,89.0423,988602
2014-06-13,89.0602,90.2923,88.6361,90.2833,1439463
2014-06-16,90.2744,91.319,89.9476,90.7744,1137166
2014-06-17,90.3548,90.6405,89.9083,90.5423,862798
2014-06-18,90.5423,93.0243,90.5199,92.9708,1262117
2014-06-19,92.9618,93.9707,92.536,93.435,1408007
2014-06-20,93.8011,93.8368,92.7654,92.819,1232024
2014-06-23,93.0154,93.2565,92.2744,92.569,544431
2014-06-24,92.6851,93.2743,92.4529,92.9975,865519
2014-06-25,92.8547,93.7207,92.8101,93.4975,639687
2014-06-26,93.31,93.4886,92.8904,93.319,647258
2014-06-27,92.9955,93.7683,92.3528,93.4718,1032728
2014-06-30,93.2112,94.1636,93.0045,94.0827,1045787
2014-07-01,93.921,93.9839,92.9416,92.9955,784192
2014-07-02,92.8158,92.8518,91.4411,91.8005,847667
2014-07-03,91.513,91.522,90.2551,90.5067,774989
2014-07-07,90.7672,91.2704,90.3809,91.1626,1259748
2014-07-08,91.0278,91.9857,91.0278,91.6298,1117363
2014-07-09,91.6118,92.124,90.7583,91.8634,1135225
2014-07-10,91.5759,92.3756,91.5759,92.0521,590834
2014-07-11,91.8814,92.3666,91.6837,91.8634,815331
2014-07-14,91.9173,92.3396,90.8526,90.8841,841595
2014-07-15,91.0548,91.6747,90.9469,91.4771,1431251
2014-07-16,91.8275,92.0162,90.8481,91.8544,850002
2014-07-17,91.6298,92.1509,91.2524,91.2794,908613
2014-07-18,91.7286,92.1779,91.0458,92.106,837723
2014-07-21,91.6388,91.9892,91.2165,91.7466,729676
2014-07-22,91.8455,91.9533,91.531,91.8455,750326
2014-07-23,91.8275,91.9892,91.5801,91.7017,690665
2014-07-24,91.9712,92.4025,91.3243,91.7197,967932
2014-07-25,91.4681,91.8455,91.0907,91.2345,676793
2014-07-28,91.1895,92.7979,91.1356,92.6272,782183
2014-07-29,92.5463,92.9776,92.0252,92.5014,1020178
2014-07-30,92.5912,92.9955,90.8122,91.1177,914868
2014-07-31,90.7403,91.1177,89.4914,89.5902,1060200
2014-08-01,89.5453,89.6621,87.9909,89.4914,2034515
2014-08-04,89.5453,89.6621,87.9909,89.4914,2034515
2014-08-05,89.0601,89.4914,87.6135,87.8741,1212340
2014-08-06,87.3978,87.5154,86.3735,87.3799,2663812
2014-08-07,87.8381,90.5786,87.4248,89.4195,2205334
2014-08-08,89.7969,90.911,89.4375,90.6954,1146164
2014-08-11,90.7493,91.513,90.5696,90.7043,750739
2014-08-12,90.6594,91.1177,90.3539,90.5606,861990
2014-08-13,90.5696,91.2435,90.5516,90.9739,496030
2014-08-14,90.9829,92.1959,90.9829,91.9802,684519
2014-08-15,92.4385,93.1932,92.2408,92.5822,1186776
2014-08-18,92.6721,93.0674,92.2588,92.3756,553833
2014-08-19,92.4564,93.3999,92.3756,93.3639,594117
2014-08-20,93.3639,93.5526,92.7889,93.301,777125
2014-08-21,92.8787,93.9929,92.8787,93.4538,617859
2014-08-22,93.4448,93.7862,92.5643,92.8787,735156
2014-08-25,93.6155,93.6155,92.7979,93.1124,759376
2014-08-26,93.2651,93.4403,92.0252,92.0701,607827
2014-08-27,92.4385,93.4807,92.0521,93.3909,850906
2014-08-28,93.2921,94.6308,93.1303,94.2355,807211
2014-08-29,94.1277,95.3227,94.1277,95.2149,918409
2014-09-02,95.4934,95.6461,94.4781,94.8555,1438045
2014-09-03,95.0441,95.709,94.9004,95.2867,606945
2014-09-04,95.0531,95.6551,94.9094,95.3406,907547
2014-09-05,95.3227,96.4907,95.3227,96.4638,646926
2014-09-08,96.639,96.8681,95.9696,96.329,789395
2014-09-09,95.8258,96.0325,94.8555,94.9812,761258
2014-09-10,94.6578,94.9633,93.8671,94.2355,954874
2014-09-11,94.2804,95.2733,93.8491,95.2238,653704
2014-09-12,94.9633,95.0046,92.9012,93.0944,840029
2014-09-15,93.31,94.0468,93.1842,93.7233,637524
2014-09-16,93.6425,94.7476,93.5257,94.4691,526658
2014-09-17,95.3047,95.8528,94.2445,94.6488,1485048
2014-09-18,94.7117,95.2149,94.2984,94.6398,836101
2014-09-19,95.1879,95.3317,94.6398,95.2418,1293883
2014-09-22,95.0531,95.1025,94.1726,94.6308,728848
2014-09-23,94.2511,94.5857,94.0432,94.1697,663482
2014-09-24,94.3144,94.667,93.5187,94.224,601797
2014-09-25,94.224,94.7213,93.2746,93.356,922654
2014-09-26,93.4464,94.0703,92.5332,93.8171,891224
2014-09-29,93.4374,94.8931,93.2746,94.7846,918780
2014-09-30,94.9021,95.9871,94.5404,95.2819,1144682
2014-10-01,95.4175,95.9871,94.7484,95.0016,1128042
2014-10-02,94.8569,95.4717,94.5766,94.8388,776460
2014-10-03,95.2909,96.7014,94.5224,96.5477,1008912
2014-10-06,96.5568,97.0631,96.0866,96.7195,1160782
2014-10-07,96.611,96.9971,96.0956,96.168,991202
2014-10-08,95.9871,97.7683,95.8108,97.687,1156218
2014-10-09,97.7683,98.2476,95.5079,95.5802,1473907
2014-10-10,95.9871,97.2168,95.4356,95.5712,1315641
2014-10-13,95.4989,96.1137,92.5693,92.8316,2300835
2014-10-14,93.1119,93.3641,89.8026,92.2258,4334309
2014-10-15,91.6923,92.054,88.9165,90.6344,2712753
2014-10-16,89.7574,92.2167,89.3867,91.8731,2112759
