date,open,high,low,close,volume
2014-01-02,67.7516,67.9409,67.3544,67.5761,1733439
2014-01-03,67.5853,69.2664,67.5853,68.9985,2059539
2014-01-06,69.2664,70.421,68.8415,68.9893,2520841
2014-01-07,69.4511,69.8853,69.2018,69.4973,1521808
2014-01-08,69.4419,69.4604,68.666,69.3218,1508687
2014-01-09,69.6359,69.8853,69.1186,69.5989,1298846
2014-01-10,69.5712,69.7005,68.9801,69.1648,1391996
2014-01-13,69.0909,69.174,67.2343,67.3636,2042732
2014-01-14,67.6777,68.0194,67.3082,67.8624,1514055
2014-01-15,68.1026,68.7769,67.8116,68.6475,2084706
2014-01-16,68.3982,68.5737,67.8809,68.0933,1281459
2014-01-17,68.1211,68.9154,67.7793,67.8901,2353459
2014-01-21,68.1488,68.9616,68.0841,68.509,1866410
2014-01-22,68.7492,69.5897,68.7492,69.4142,1868191
2014-01-23,68.8692,68.8692,67.0034,67.2066,2607351
2014-01-24,62.6437,65.2115,61.5722,64.2139,5519713
2014-01-27,64.0661,64.4818,62.9208,63.087,4251184
2014-01-28,64.2231,64.2231,62.9485,63.6228,3583304
2014-01-29,62.8469,63.2533,62.2373,62.4404,4065528
2014-01-30,63.124,63.4103,62.8376,63.0316,3082027
2014-01-31,61.9509,62.4774,61.6461,61.8401,3857562
2014-02-03,61.8308,62.1079,59.5632,59.6694,5548361
2014-02-04,60.0481,60.9995,59.6325,60.4638,2955185
2014-02-05,60.4084,60.6578,59.3923,59.4293,3961209
2014-02-06,59.6325,60.9995,59.5309,60.8887,2327236
2014-02-07,61.2766,63.087,61.2397,63.0224,4661291
2014-02-10,62.9208,63.1055,62.5698,62.9577,2665315
2014-02-11,62.9392,63.7983,62.6991,63.5027,1651003
2014-02-12,63.5858,64.0199,63.3364,63.5489,1670354
2014-02-13,62.9485,63.6597,62.8376,63.2718,2540122
2014-02-14,63.1794,63.6135,63.0408,63.5581,2704631
2014-02-18,62.736,63.2117,62.736,63.0131,3031184
2014-02-19,62.5421,63.6689,62.422,62.8561,2938055
2014-02-20,62.93,63.0131,61.9141,62.6437,1868503
2014-02-21,63.6874,63.7613,62.579,63.2902,2970874
2014-02-24,62.0617,64.4079,61.9417,63.7983,2339854
2014-02-25,63.7428,63.7521,62.5605,62.6898,2246177
2014-02-26,62.8007,63.2348,62.1356,62.2649,3216137
2014-02-27,62.1726,63.1794,61.9324,62.2465,3414523
2014-02-28,60.3807,61.4521,60.3807,60.6578,7469795
2014-03-03,60.122,60.3899,59.5124,60.2236,2822088
2014-03-04,60.9349,61.683,60.8979,61.3413,2620769
2014-03-05,61.5075,61.7107,60.9903,61.4244,2100503
2014-03-06,61.7846,62.9577,61.5445,62.5605,3306852
2014-03-07,62.9115,63.5304,62.9115,62.9392,2833860
2014-03-10,62.8561,63.2256,62.7822,62.9947,1426741
2014-03-11,62.7453,62.9577,61.5722,61.7292,2628808
2014-03-12,61.1473,61.5352,60.9349,61.1104,2357088
2014-03-13,61.4614,61.5075,59.5032,59.5586,4026601
2014-03-14,59.5771,60.159,59.3092,59.7895,2164438
2014-03-17,60.2421,61.0457,60.2421,60.4453,2013184
2014-03-18,60.4545,60.8148,60.1867,60.3529,2288406
2014-03-19,60.3529,61.6738,59.8449,61.1011,3253550
2014-03-20,60.9718,63.2348,60.9164,62.8099,3823483
2014-03-21,63.6135,64.648,63.2718,63.5581,6591505
2014-03-24,63.9276,65.3685,63.8952,64.8512,5065640
2014-03-25,64.9898,65.1468,64.0661,64.8051,2990842
2014-03-26,65.2484,65.3223,63.4011,63.4011,3182178
2014-03-27,63.3087,63.6025,62.1356,63.2625,4528399
2014-03-28,63.3552,64.1341,63.2811,63.9672,2526911
2014-03-31,64.6255,64.9036,64.1526,64.4864,2177723
2014-04-01,64.8017,64.8944,64.2546,64.5049,2030619
2014-04-02,64.5977,64.7182,63.9394,64.2361,2622790
2014-04-03,64.3288,64.5606,63.8745,64.4308,1542123
2014-04-04,64.8851,65.0891,63.244,63.2811,3350532
2014-04-07,63.3367,63.3923,61.575,61.677,2644336
2014-04-08,61.6306,61.6863,60.7452,61.1207,3678050
2014-04-09,61.3154,62.428,61.1856,62.187,2595184
2014-04-10,62.2704,62.3075,60.3882,60.4067,2548416
2014-04-11,59.9524,60.1842,58.9418,59.1179,3290051
2014-04-14,59.8782,60.1008,59.0438,59.7484,2549712
2014-04-15,60.0173,60.0173,58.5158,59.665,3599298
2014-04-16,60.3233,60.3975,59.6464,60.1842,2182552
2014-04-17,60.2677,61.13,60.1564,60.7591,1922332
2014-04-21,60.6478,60.7832,60.0544,60.2677,1572608
2014-04-22,60.2862,60.7776,59.9153,60.6015,2779595
2014-04-23,60.314,61.3061,60.0173,61.1114,2260326
2014-04-24,61.4174,61.5379,60.3604,60.9445,3045350
2014-04-25,60.7313,60.7313,59.016,59.1458,5063601
2014-04-28,59.2292,59.3312,58.1082,58.8676,4464660
2014-04-29,59.2848,59.8297,59.2756,59.6557,1670198
2014-04-30,59.6186,60.0451,59.2756,59.8597,2208781
2014-05-01,59.8504,60.1657,59.6372,59.8968,2037347
2014-05-02,59.9802,61.2412,59.8597,60.6015,2497001
2014-05-05,59.9988,60.0081,58.8861,59.461,2323251
2014-05-06,59.2014,59.4703,58.5616,58.9232,4913597
2014-05-07,59.155,59.6372,58.6729,59.5723,2179266
2014-05-08,59.7114,60.4624,59.3266,60.2306,2660709
2014-05-09,60.1008,60.2677,59.3312,60.1379,1909727
2014-05-12,60.5644,61.1207,60.4902,61.0651,2415957
2014-05-13,61.0558,61.1949,60.7962,60.8147,3016175
2014-05-14,60.6478,61.0558,60.1193,60.1471,2637218
2014-05-15,59.9153,59.971,58.2278,58.608,4434559
2014-05-16,58.5245,58.8769,58.1073,58.5894,4565058
2014-05-19,58.3113,59.3497,58.1815,59.1643,2430035
2014-05-20,59.1643,59.2756,58.3206,58.6265,3205326
2014-05-21,58.9789,59.9895,58.8305,59.5908,2240829
2014-05-22,59.5723,60.1286,59.3312,59.9802,1736662
2014-05-23,59.9339,59.9802,59.5815,59.7948,1776311
2014-05-27,60.1471,60.7498,60.0822,60.4253,2117176
2014-05-28,60.4253,60.7127,59.9339,60.11,2636894
2014-05-29,60.416,60.722,60.0173,60.2769,2257394
2014-05-30,60.0173,60.7313,59.9617,60.518,2118866
2014-06-02,60.6478,60.722,59.9526,60.3326,1590973
2014-06-03,60.0359,61.028,60.0359,61.0002,2279145
2014-06-04,60.9074,61.5379,60.7405,61.4916,1965410
2014-06-05,61.8068,61.9644,61.1763,61.5936,2315095
2014-06-06,61.8161,62.3353,61.6028,62.1221,1831675
2014-06-09,62.0664,62.5532,61.946,62.3168,1518399
2014-06-10,62.1221,62.3631,61.7234,62.085,1531942
2014-06-11,61.7697,62.0479,61.4916,61.6399,1463319
2014-06-12,61.6585,61.8995,61.3154,61.4081,1926288
2014-06-13,61.5101,61.9923,61.3432,61.4359,2100310
2014-06-16,61.269,61.575,61.0465,61.2783,2073768
2014-06-17,61.1763,63.2254,61.0372,62.7989,3688602
2014-06-18,62.6413,63.1002,62.289,62.8824,2660382
2014-06-19,62.9009,63.0122,62.085,62.326,3163555
2014-06-20,61.9923,62.9843,61.9923,62.8638,1826635
2014-06-23,62.9194,63.0863,62.3168,63.0771,1136775
2014-06-24,62.7711,63.4479,62.5578,62.632,1665836
2014-06-25,62.3353,63.1837,62.3353,63.0771,1620518
2014-06-26,62.9194,62.9194,61.9644,62.7433,1845277
2014-06-27,62.7991,62.8457,62.0727,62.231,2016362
2014-06-30,62.4918,62.8643,62.082,62.6408,2169600
2014-07-01,62.9761,63.4837,62.7246,63.0133,1556402
2014-07-02,62.9575,64.0192,62.9575,63.4231,2374254
2014-07-03,63.7398,64.4243,63.7118,64.1123,1259879
2014-07-07,63.8702,63.9447,63.181,63.8329,1367091
2014-07-08,63.5349,63.5908,62.8923,63.1344,1661007
2014-07-09,63.4324,63.8515,63.1903,63.4697,2092565
2014-07-10,62.5104,63.3486,62.2311,63.0506,1458113
2014-07-11,61.8585,63.3766,61.8585,62.9668,1597668
2014-07-14,63.7863,64.2986,63.7863,63.8702,1994856
2014-07-15,64.1402,64.5593,63.8888,64.3638,2211147
2014-07-16,64.5314,64.9878,64.3917,64.6525,3062989
2014-07-17,64.2241,64.699,64.0192,64.3731,2967311
2014-07-18,64.4476,65.2066,64.3917,65.0995,3713799
2014-07-21,64.6804,65.351,64.5407,64.9598,2961800
2014-07-22,65.0902,65.4068,62.5291,65.2578,6265323
2014-07-23,65.1926,65.5605,65.1368,65.4627,2096397
2014-07-24,65.6304,66.6921,65.4907,66.6455,2846784
2014-07-25,66.3009,66.571,66.0215,66.5431,2060874
2014-07-28,67.6793,68.0425,65.9191,66.3568,1292687
2014-07-29,66.3195,66.6362,65.9377,66.1426,1346910
2014-07-30,67.94,68.117,66.1798,66.9249,1756123
2014-07-31,66.4592,66.8085,65.5838,65.6024,2459325
2014-08-01,65.3975,65.7607,64.9784,65.6304,1951092
2014-08-04,65.3975,65.7607,64.9784,65.6304,1951092
2014-08-05,64.2427,65.5861,64.1682,64.8387,1786787
2014-08-06,64.3544,65.9004,64.3544,65.4907,1945938
2014-08-07,65.6956,65.9563,64.727,64.9039,2015967
2014-08-08,64.9784,65.5559,64.7456,65.5279,1323016
2014-08-11,65.6397,65.7607,65.2765,65.472,1234341
2014-08-12,65.2578,65.5652,64.6897,64.9784,2418034
2014-08-13,65.1647,65.4627,64.9179,65.1833,1817039
2014-08-14,65.3789,65.4348,65.025,65.351,1387085
2014-08-15,65.5931,65.6956,64.4755,64.8481,2053468
2014-08-18,65.3882,65.5186,64.9039,65.3696,1965459
2014-08-19,65.2765,65.649,65.2206,65.3789,1411478
2014-08-20,65.2578,65.8353,65.0343,65.6024,1676360
2014-08-21,65.6862,65.9656,65.3417,65.9098,1726709
2014-08-22,65.798,66.4965,65.5093,66.0495,1747583
2014-08-25,66.4406,67.2602,66.4127,66.8225,1324503
2014-08-26,66.869,67.5768,66.8038,67.2416,1771163
2014-08-27,67.2416,67.3347,66.5524,66.6921,1355734
2014-08-28,66.3009,66.9249,66.1798,66.748,1171284
2014-08-29,66.9342,67.2322,66.6548,67.0832,1175824
2014-09-02,67.3533,67.8469,67.1857,67.4185,1609184
2014-09-03,67.8376,67.9587,67.0413,67.344,1385706
2014-09-04,67.7817,68.0797,67.2602,67.4558,1984596
2014-09-05,67.2136,67.7724,66.8038,67.67,1753032
