date,open,high,low,close,volume
2014-01-02,67.7093,67.9076,66.5683,66.9551,1070520
2014-01-03,67.2548,67.777,66.9164,67.1001,741699
2014-01-06,67.2935,67.4192,66.2782,66.3459,1401588
2014-01-07,66.723,68.1068,66.5103,67.6223,1860335
2014-01-08,72.3413,75.8128,72.1479,74.0819,8367496
2014-01-09,74.4106,75.4801,74.0915,74.8941,2750093
2014-01-10,75.0392,77.4857,74.3913,77.4083,3212137
2014-01-13,77.5437,78.8202,77.1666,77.418,2025405
2014-01-14,77.7951,78.8685,77.36,78.2593,1534119
2014-01-15,78.3173,78.5687,77.4567,78.1046,1015998
2014-01-16,77.9499,78.3753,77.5341,77.8145,934069
2014-01-17,77.8242,77.9789,76.7024,76.9152,1781853
2014-01-21,78.2883,78.3367,76.7024,76.7411,1614199
2014-01-22,77.1763,77.36,75.484,75.5614,2113752
2014-01-23,75.4357,75.895,74.634,74.6911,2023097
2014-01-24,74.1689,74.4783,73.2889,73.2986,2093651
2014-01-27,73.5017,74.3043,72.9505,73.2696,1700391
2014-01-28,73.3083,75.7644,73.3083,75.6484,2251409
2014-01-29,74.8941,75.7354,74.1689,75.2519,1919088
2014-01-30,75.6097,75.8031,74.4542,75.0295,1449716
2014-01-31,73.5307,74.5364,72.8441,74.1399,1841491
2014-02-03,73.7821,74.43,72.9215,73.0665,1597801
2014-02-04,73.1922,74.2946,73.0665,73.9562,1214604
2014-02-05,73.434,73.4532,72.2252,72.9795,1454999
2014-02-06,73.2309,75.1262,73.1149,75.0295,1164389
2014-02-07,75.4067,75.4647,74.2076,74.9425,1240396
2014-02-10,75.2713,75.3196,73.7724,74.5267,1051330
2014-02-11,74.8651,76.2286,74.6911,76.1803,1327581
2014-02-12,76.1609,76.8088,75.8128,76.393,1194219
2014-02-13,76.0062,77.0119,75.8225,76.8185,1562666
2014-02-14,76.7895,77.5727,76.3156,76.7508,1389365
2014-02-18,77.0699,78.0176,76.8862,77.5244,1242107
2014-02-19,77.505,78.268,77.0796,77.3793,1083528
2014-02-20,77.5244,78.327,77.418,77.9402,1016445
2014-02-21,77.9692,78.327,77.331,77.6984,1026368
2014-02-24,77.8822,79.1296,77.8628,78.4044,1070307
2014-02-25,78.414,79.8162,78.3463,79.3617,1272290
2014-02-26,79.4874,80.1063,78.6558,79.178,1283745
2014-02-27,79.236,79.3037,78.5011,78.7041,911759
2014-02-28,78.8975,79.4971,78.0079,78.356,1252901
2014-03-03,78.1046,78.5591,77.5727,78.472,1751538
2014-03-04,78.9942,80.0096,78.9846,79.7872,1221197
2014-03-05,79.5938,80.4641,79.41,79.9999,2195560
2014-03-06,80.2223,81.1458,79.9322,81.0829,1102428
2014-03-07,81.0829,81.1506,80.5027,81.141,975328
2014-03-10,81.0733,81.5471,80.5124,81.1796,1112023
2014-03-11,81.3634,81.4117,79.6083,79.8162,986912
2014-03-12,79.3714,80.6671,79.0426,80.3674,899259
2014-03-13,80.6091,80.7252,79.2166,79.5551,985107
2014-03-14,79.3617,80.7542,79.3617,79.7775,1301828
2014-03-17,78.9942,79.4487,78.8202,79.1586,1000869
2014-03-18,79.4004,80.2707,79.0861,80.0386,1226583
2014-03-19,80.0676,80.348,78.6848,78.9846,1228764
2014-03-20,78.8975,79.9709,78.1819,79.7485,884360
2014-03-21,80.29,81.4407,79.9419,80.319,2451131
2014-03-24,80.7252,80.9476,78.2786,78.5301,1311716
2014-03-25,79.3907,80.2513,79.1103,79.7098,1160695
2014-03-26,79.8935,80.7638,79.5357,79.5648,959527
2014-03-27,79.6421,80.0192,79.0909,79.352,1181327
2014-03-28,79.6324,80.8412,79.4816,80.4641,970945
2014-03-31,81.0346,82.3884,80.7058,82.166,1833667
2014-04-01,82.5818,83.075,82.0209,82.5334,1603654
2014-04-02,82.6978,82.7559,81.8275,82.0983,1022991
2014-04-03,82.2337,82.4271,81.2087,82.0886,1197096
2014-04-04,82.3497,82.7268,80.8509,81.5471,1404584
2014-04-07,81.228,81.315,78.0466,78.1336,2120980
2014-04-08,78.4527,79.1489,77.9499,78.7912,2750385
2014-04-09,82.195,82.5818,75.0972,77.9789,6799789
2014-04-10,78.1143,79.2843,76.6948,77.4664,2139647
2014-04-11,77.0699,77.2923,75.0005,75.455,3040978
2014-04-14,76.2962,76.2962,74.5557,75.426,1496866
2014-04-15,75.4743,75.571,73.7434,75.397,1651257
2014-04-16,75.8805,77.1279,75.6387,77.1182,1534989
2014-04-17,76.8088,78.327,76.1126,78.1143,1788536
2014-04-21,77.2246,78.3947,77.0699,78.3367,1255271
2014-04-22,78.2883,78.8782,77.505,78.2206,1260178
