date,open,high,low,close,volume
2014-01-02,26.9033,26.9414,25.8576,26.0478,3534856
2014-01-03,26.0478,26.3805,26.0478,26.352,1974176
2014-01-06,26.4946,26.5478,26.0002,26.2664,2180925
2014-01-07,26.2854,26.6181,26.2474,26.4185,1799073
2014-01-08,26.5706,26.6562,26.3852,26.5421,2729946
2014-01-09,26.6752,26.6752,26.1713,26.352,2920379
2014-01-10,26.2949,26.466,26.0478,26.3805,1956470
2014-01-13,26.9794,27.7684,26.7512,27.0364,4978289
2014-01-14,27.2266,27.7304,27.198,27.4927,2492653
2014-01-15,27.7019,27.854,27.4737,27.6734,2792672
2014-01-16,27.6734,27.7114,26.9746,27.2076,6670100
2014-01-17,29.993,30.2306,28.7761,29.0233,13657239
2014-01-21,29.0993,29.7743,29.0518,29.6792,6948187
2014-01-22,29.8218,30.126,29.7734,30.031,4008836
2014-01-23,29.993,30.107,29.4891,29.8789,3103281
2014-01-24,29.7268,29.8028,29.1421,29.2514,3002899
2014-01-27,29.4511,29.6174,28.7286,28.8807,3038835
2014-01-28,28.0536,28.624,27.5878,28.567,6464453
2014-01-29,28.4719,28.7818,28.1487,28.6525,4446423
2014-01-30,29.1279,29.1754,28.662,29.0518,1865349
2014-01-31,28.7191,29.1659,28.7096,28.7571,1936671
2014-02-03,28.662,28.7951,27.8397,28.1107,4866445
2014-02-04,28.2913,28.3673,27.892,28.2438,2782035
2014-02-05,28.0726,28.6525,27.8065,28.3864,2348289
2014-02-06,28.624,29.2134,28.5194,28.7666,2566549
2014-02-07,28.9092,29.1754,28.8474,28.9663,1617969
2014-02-10,29.0613,29.5271,28.9948,29.1849,2131702
2014-02-11,29.2895,30.0262,29.1469,29.5557,3382245
2014-02-12,29.7648,30.5491,29.7553,30.5348,3846157
2014-02-13,30.4112,30.6004,30.1831,30.5253,2927643
2014-02-14,30.5158,30.6109,30.2591,30.4207,1813355
2014-02-18,30.5538,30.5586,30.012,30.2306,2682262
2014-02-19,30.1165,30.2306,29.7268,29.7743,2468019
2014-02-20,30.4207,31.7517,30.3257,31.6756,8262415
2014-02-21,31.7897,31.7897,31.0767,31.1052,3552614
2014-02-24,32.0368,32.7498,31.6566,32.7023,7786308
2014-02-25,32.7879,32.8924,31.9228,32.0939,4152612
2014-02-26,32.0368,33.3202,32.0368,33.2917,4803711
2014-02-27,33.1586,33.3963,32.7974,33.2252,3528286
2014-02-28,33.1206,34.2043,33.1111,33.71,5197808
2014-03-03,33.5674,34.5085,33.1396,34.4135,5168755
2014-03-04,34.8127,35.155,34.2994,34.9363,5712677
2014-03-05,35.0124,35.1407,34.7367,34.9839,2752521
2014-03-06,35.2025,35.4734,35.0123,35.174,3119122
2014-03-07,35.3831,35.4021,34.6131,34.8413,2843498
2014-03-10,34.6321,35.1265,34.3374,34.6987,1871986
2014-03-11,34.8413,34.9553,34.2519,34.442,2538653
2014-03-12,34.4325,35.6303,34.2723,35.4782,4157962
2014-03-13,35.5828,35.8299,34.7177,35.0124,3270414
2014-03-14,34.7937,35.2215,34.7937,34.8698,2514402
2014-03-17,35.0029,35.25,34.8698,35.0599,1963417
2014-03-18,35.3641,35.7349,35.0599,35.6398,1714287
2014-03-19,35.5733,36.2577,35.4687,35.8299,2169628
2014-03-20,35.8299,37.3937,35.7444,37.332,4667520
2014-03-21,37.2844,37.389,35.6303,35.6968,5640475
2014-03-24,35.9725,36.2767,35.212,35.5352,3035209
2014-03-25,35.944,36.3728,35.7254,35.8584,1975840
2014-03-26,36.0106,36.3148,34.8603,34.9268,3192969
2014-03-27,35.5733,35.5923,34.7367,35.0884,2440143
2014-03-28,35.3071,35.4021,34.9625,35.1169,1812796
2014-03-31,35.4782,36.1056,35.4592,35.6683,2785048
