date,open,high,low,close,volume
2014-01-02,70.8333,70.8333,70.1544,70.3713,1204442
2014-01-03,69.7961,70.8899,69.7961,70.5693,719536
2014-01-06,71.1728,71.2859,70.6447,71.0502,2301772
2014-01-07,70.5976,71.583,70.5976,71.4557,1576204
2014-01-08,71.8706,72.8041,71.7668,72.6249,2146257
2014-01-09,72.8229,72.9361,72.276,72.5966,2129195
2014-01-10,72.7663,74.0487,72.5023,73.6904,1879839
2014-01-13,73.3887,73.8224,72.9455,73.0115,1482295
2014-01-14,73.3132,73.9262,73.0587,73.6998,1573644
2014-01-15,73.7941,74.011,73.2378,73.7847,1166150
2014-01-16,73.7659,74.3693,73.6338,74.1902,951836
2014-01-17,74.3222,74.3882,73.6244,73.7376,1632875
2014-01-21,74.1336,74.4919,73.7941,74.1053,1285778
2014-01-22,74.1053,74.7182,74.011,74.0959,2041807
2014-01-23,73.1152,74.4919,71.7951,73.3415,2333338
2014-01-24,73.2284,73.6857,71.7668,71.7857,1791263
2014-01-27,71.7857,72.3986,71.4651,71.9648,1235939
2014-01-28,72.3703,73.0398,72.1629,73.0209,1243554
2014-01-29,72.8323,72.9549,72.1157,72.5118,2155514
2014-01-30,72.8701,73.9733,72.8041,73.681,2097340
2014-01-31,72.5683,73.4075,72.5495,73.1718,1563572
2014-02-03,73.3981,73.3981,71.9554,72.1063,3528302
2014-02-04,72.4646,72.8701,71.88,72.3703,3908010
2014-02-05,72.0874,73.0021,71.8611,72.606,1793696
2014-02-06,72.8701,73.8554,72.7663,73.747,2302092
2014-02-07,73.9733,75.0011,73.813,74.8974,1344533
2014-02-10,74.8974,75.8497,74.5674,75.8309,2735973
2014-02-11,75.7554,76.6418,75.5951,76.5098,1229397
2014-02-12,76.5475,76.7738,76.0855,76.3306,1340346
2014-02-13,75.9252,78.1976,75.8592,78.0279,2446517
2014-02-14,78.3391,79.0746,77.7639,78.5937,2560619
2014-02-18,79.0274,79.0369,77.8346,77.9053,1805699
2014-02-19,77.5093,77.8865,76.9153,76.9813,1756987
2014-02-20,76.9341,78.1175,76.5475,77.9336,1428144
2014-02-21,77.8771,78.3768,77.3207,77.415,1602080
2014-02-24,77.4622,78.3202,77.415,77.8959,1745537
2014-02-25,77.6225,77.9619,76.8115,76.9341,1594607
2014-02-26,77.0378,77.2924,76.1327,76.5004,1853372
2014-02-27,76.4909,76.6795,76.0478,76.5381,1552771
2014-02-28,76.5381,76.8681,75.284,75.6612,2490517
2014-03-03,74.9162,75.7272,74.8974,75.3406,1503770
2014-03-04,76.4155,77.3679,76.1986,77.1981,1747698
2014-03-05,77.1321,77.217,76.3495,76.4532,1339201
2014-03-06,76.6418,76.7738,76.1043,76.3306,1024731
2014-03-07,76.7172,77.0473,76.0855,76.9813,1380275
2014-03-10,76.7172,77.2076,76.7172,77.1321,994656
2014-03-11,77.0661,77.2076,76.6324,76.9718,1030850
2014-03-12,76.6135,76.9813,76.6041,76.9718,920419
2014-03-13,77.481,77.5753,76.4721,76.5852,1970650
2014-03-14,76.5098,76.9813,75.5574,75.6894,1490287
2014-03-17,75.9535,76.5287,75.8875,76.1798,1204541
2014-03-18,76.2458,76.9435,75.6612,76.8775,1414268
2014-03-19,76.9058,77.2924,76.1232,76.5852,985860
2014-03-20,76.4438,76.689,75.9252,76.6607,912316
2014-03-21,77.2359,77.6036,76.1232,76.2458,2765700
2014-03-24,76.5758,76.6135,74.6616,74.7842,2157197
2014-03-25,75.0294,76.0289,74.8502,75.3783,1154929
2014-03-26,75.7272,76.0855,75.0482,75.0482,1166100
2014-03-27,75.0908,75.7061,74.5418,75.602,1163718
2014-03-28,75.9333,76.8136,75.8291,76.2362,828082
2014-03-31,76.4633,77.3058,76.132,77.1165,1112315
2014-04-01,77.5046,77.7885,76.9982,77.5046,1082808
2014-04-02,77.4194,78.1766,77.4194,77.8927,2052722
2014-04-03,78.1482,79.729,77.94,79.6343,2873837
2014-04-04,79.852,80.3159,78.082,78.1861,1570728
2014-04-07,77.9495,78.0823,76.4349,76.8893,1505845
2014-04-08,76.8704,77.2869,76.1226,76.9177,1764717
2014-04-09,76.9366,77.7696,76.5959,77.7128,1426037
2014-04-10,77.7507,77.8169,75.1855,75.3843,1201565
2014-04-11,75.0246,75.7534,74.8353,75.1192,1894608
2014-04-14,75.9711,76.0563,74.9015,75.5357,1572204
2014-04-15,75.6114,75.7913,73.2545,75.318,2291088
2014-04-16,75.9522,75.9617,74.0969,74.8258,2154840
2014-04-17,74.5513,75.2044,74.2986,74.5702,1337167
2014-04-21,74.6554,75.4695,74.5892,75.2328,2066777
2014-04-22,75.3653,75.5168,74.4945,74.5324,1729931
2014-04-23,74.5324,74.8779,73.8603,74.2011,1904469
2014-04-24,76.1983,76.4633,72.7812,73.7183,4159739
2014-04-25,73.4343,74.2579,72.573,72.6203,2050607
2014-04-28,73.0084,73.1693,71.7305,72.7244,2373696
2014-04-29,73.0368,74.0875,72.7907,73.7372,1612419
2014-04-30,73.7372,73.8538,73.1598,73.5953,1116890
2014-05-01,73.5858,73.7751,72.9989,73.2924,1164304
2014-05-02,73.2924,73.8603,73.1314,73.6615,1057447
2014-05-05,73.5385,74.7122,73.1882,74.6175,1700556
2014-05-06,74.3998,75.1855,74.2673,74.8163,1701847
2014-05-07,74.5608,75.2328,74.22,75.176,1261666
2014-05-08,75.1666,76.1226,75.105,75.7629,1562823
2014-05-09,75.6588,76.3214,75.1666,76.3119,1263513
2014-05-12,76.4728,77.0408,76.2646,76.7662,1307709
2014-05-13,77.0597,77.0881,76.0421,76.0563,1379137
2014-05-14,75.9049,75.9333,75.053,75.8291,1688127
2014-05-15,75.5073,75.5357,74.6365,74.8921,1254236
2014-05-16,74.8069,75.8481,74.6743,75.8197,1420353
2014-05-19,75.318,76.0658,75.2139,75.8197,949617
2014-05-20,75.8954,76.2456,75.4411,75.7724,1498218
2014-05-21,75.8197,76.1226,75.6682,76.0753,701648
2014-05-22,76.0847,76.3214,75.6398,76.2835,853159
2014-05-23,76.1415,76.274,75.8386,75.9806,632496
2014-05-27,76.132,76.1794,75.6872,76.0658,732853
2014-05-28,79.038,79.3788,77.249,78.224,5572972
2014-05-29,78.773,79.4166,78.5647,79.4072,1452891
2014-05-30,80.8175,81.0352,78.6736,79.9751,3349383
2014-06-02,80.2023,80.543,79.7006,80.2969,1177705
2014-06-03,80.1928,81.1772,79.8875,80.8933,1687441
2014-06-04,80.8175,81.4801,80.543,80.9595,2347979
2014-06-05,80.8933,81.3571,80.685,81.1962,1083794
2014-06-06,81.1772,81.5133,80.7134,80.9879,1318397
2014-06-09,80.8365,80.9974,80.4389,80.9311,1051776
2014-06-10,81.1583,81.1583,80.1549,80.5525,1003456
2014-06-11,80.7229,80.7229,79.9372,80.2307,979594
2014-06-12,80.2875,80.2875,79.0475,79.303,1539082
2014-06-13,79.5302,79.5397,78.8298,78.9812,977097
2014-06-16,79.7006,81.8966,79.4829,80.0887,2338607
2014-06-17,79.7101,79.9183,79.1894,79.322,1152613
2014-06-18,79.0569,79.9562,79.0569,79.9183,935803
2014-06-19,80.0792,81.092,80.0792,81.0636,1298340
2014-06-20,81.6316,82.2847,81.4139,81.4801,2118813
2014-06-23,81.2908,81.641,80.5951,80.7039,890649
2014-06-24,80.5241,81.0163,80.136,80.2023,694398
2014-06-25,81.0258,81.0731,80.543,80.9311,1034693
2014-06-26,80.9644,80.9644,80.3184,80.3754,1083948
2014-06-27,80.2424,80.6034,79.6154,79.7674,1642215
2014-06-30,79.8814,80.2614,79.7009,80.0999,1586771
2014-07-01,80.7364,81.5913,80.4799,81.2208,1178372
2014-07-02,80.9549,81.3158,80.6414,81.1258,653308
2014-07-03,81.2493,81.4298,80.8504,81.3443,443447
2014-07-07,81.4013,81.6103,80.7459,81.2778,789657
2014-07-08,81.1923,81.1923,79.6534,79.7294,1326385
2014-07-09,79.8814,80.0666,79.3399,79.7769,951837
2014-07-10,79.2164,79.7104,78.542,79.4919,1088751
