date,open,high,low,close,volume
2014-01-02,54.656,55.2066,54.3205,54.3549,7426855
2014-01-03,54.7335,54.9658,54.5442,54.6216,4589380
2014-01-06,54.7851,54.7937,53.9162,54.2517,4609885
2014-01-07,54.2259,54.4496,53.8559,54.1226,5403263
2014-01-08,54.0366,54.0409,53.7054,53.9334,5541201
2014-01-09,54.1054,54.7077,54.0022,54.4926,7270275
2014-01-10,54.1054,54.7421,53.4774,53.8732,12966754
2014-01-13,53.443,53.5376,52.901,52.9096,8073831
2014-01-14,52.9182,53.1333,52.7117,53.0903,5569775
2014-01-15,53.2193,53.2279,52.9096,52.9612,4238988
2014-01-16,52.858,52.9526,52.1353,52.316,5297329
2014-01-17,52.4192,52.4192,51.5093,51.8256,8139717
2014-01-21,51.4471,51.4557,50.5867,50.9309,10609018
2014-01-22,51.4298,51.4643,50.5437,50.7416,7227545
2014-01-23,50.3286,50.5179,50.1222,50.4577,7062468
2014-01-24,50.3803,50.4147,49.6318,49.6576,7728360
2014-01-27,49.6619,49.8619,49.3651,49.649,6208487
2014-01-28,49.7694,50.148,49.6929,49.8038,4913698
2014-01-29,49.6146,49.778,48.8919,48.9435,5949178
2014-01-30,49.1328,49.2102,48.7327,48.7543,6214362
2014-01-31,48.5306,49.021,48.1435,48.7284,6327098
2014-02-03,48.9177,48.9263,47.5584,47.6703,6750194
2014-02-04,48.066,48.066,47.4036,47.4208,5976243
2014-02-05,47.3691,47.481,47.025,47.3777,8181429
2014-02-06,47.4294,48.1778,47.3907,48.0574,8923417
2014-02-07,48.2725,48.5306,47.7778,48.4617,6726249
2014-02-10,48.4704,48.7715,48.3241,48.6166,6018179
2014-02-11,48.7457,49.3651,48.651,49.1586,8200525
2014-02-12,49.1844,49.1844,48.7113,48.9951,7308029
2014-02-13,49.0123,49.3479,48.565,48.9177,7572143
2014-02-14,49.1171,49.1431,48.3369,48.5969,9387426
2014-02-18,48.909,49.0997,48.6923,48.883,6094867
2014-02-19,48.857,50.1226,48.8223,49.6805,8857137
2014-02-20,49.7586,49.7586,48.896,49.0824,8827006
2014-02-21,49.1691,49.2384,48.675,48.753,6606993
2014-02-24,48.7096,49.0997,48.0595,48.6663,9156944
2014-02-25,48.5103,49.0737,48.3802,48.987,8060198
2014-02-26,50.7815,53.031,50.3654,52.4372,24196667
2014-02-27,52.3765,52.6886,51.7957,52.5846,9475989
2014-02-28,52.5412,54.509,52.3592,54.2143,14247414
2014-03-03,53.6942,54.0973,53.4861,53.7115,6813252
2014-03-04,54.1883,54.223,53.096,53.1654,6422349
2014-03-05,53.4428,53.4514,52.3245,52.5326,7421206
2014-03-06,52.5412,52.9573,52.4632,52.6539,4856753
2014-03-07,52.7406,52.862,52.5066,52.6626,3840164
2014-03-10,52.7233,53.0874,52.6192,53.018,3678999
2014-03-11,53.096,53.3301,52.7666,52.8273,4496225
2014-03-12,52.4805,53.07,52.4632,52.966,3858235
2014-03-13,52.9487,53.4168,51.761,51.7784,6142607
2014-03-14,51.6657,52.0038,51.3796,51.4576,5631222
2014-03-17,51.657,51.9778,51.4056,51.7264,3430950
2014-03-18,51.8391,51.9604,51.631,51.7697,3128965
2014-03-19,51.8044,52.1945,51.1976,51.5617,4280675
2014-03-20,51.605,51.9257,51.3709,51.7524,3332061
2014-03-21,52.1165,52.1685,51.4576,51.5357,6006083
2014-03-24,51.9084,52.0471,51.2843,51.5443,4548983
2014-03-25,51.657,51.6657,50.7988,51.1976,5216838
2014-03-26,51.3363,52.0038,51.1976,51.3189,4438934
2014-03-27,51.6397,52.1338,51.1629,51.787,4416399
2014-03-28,51.787,52.1121,51.7524,51.9951,3063852
2014-03-31,52.2205,52.6886,51.9691,52.4545,4256116
2014-04-01,52.6539,52.7146,52.2725,52.5066,4245972
2014-04-02,52.4459,53.0033,52.4025,52.784,3970394
2014-04-03,53.1394,53.6422,52.6019,53.5035,4565338
2014-04-04,53.6855,53.9716,52.9617,53.0007,3823483
2014-04-07,52.9313,52.9313,52.4459,52.4459,4199113
2014-04-08,52.2985,53.3994,52.0991,53.3127,4527812
2014-04-09,53.5468,53.5468,52.8793,53.0613,4696235
2014-04-10,53.5988,53.5988,51.7264,51.7264,5904134
2014-04-11,51.6657,51.761,50.7815,51.0589,5330960
2014-04-14,51.3623,51.5703,51.0935,51.5096,4065946
2014-04-15,51.709,51.8217,51.2669,51.5617,3722925
2014-04-16,51.8997,52.0124,51.5963,51.9344,3539600
2014-04-17,51.761,52.0428,51.709,52.0124,3634685
2014-04-21,51.8997,51.9691,51.5963,51.8044,3704141
2014-04-22,51.8564,52.5932,51.8131,52.2898,4834624
2014-04-23,52.2898,52.7233,52.2898,52.6539,2974886
2014-04-24,52.7493,53.2781,52.6626,53.2694,3671072
2014-04-25,52.8706,53.148,52.4025,53.1047,5164698
2014-04-28,52.862,54.1623,52.862,53.9022,4895195
2014-04-29,54.0062,54.0408,53.5901,53.7202,4176374
2014-04-30,53.5988,53.6682,53.2261,53.5295,4526941
2014-05-01,53.6162,53.6335,53.1662,53.5208,3611601
2014-05-02,53.6248,54.301,53.5121,53.7549,3423849
2014-05-05,52.8966,53.3994,51.683,51.8997,16192494
2014-05-06,51.3449,51.397,49.9319,49.9666,13323407
2014-05-07,50.1573,50.4954,49.984,50.3914,6424711
2014-05-08,50.5301,50.9375,50.2614,50.5561,6808880
2014-05-09,50.5301,51.3623,50.5301,51.2583,6254776
2014-05-12,51.397,51.761,51.3796,51.7004,3719787
2014-05-13,51.683,51.8911,51.2843,51.631,4900352
2014-05-14,51.631,51.8391,51.2149,51.3796,4275245
2014-05-15,50.7901,50.8595,50.1053,50.4347,8248967
2014-05-16,50.5301,50.9982,50.3827,50.8335,6409246
2014-05-19,50.7986,51.078,50.6851,50.9034,3674488
2014-05-20,50.5802,50.598,49.3664,49.4363,9392629
2014-05-21,49.7681,50.1698,49.0171,49.9515,14802427
2014-05-22,49.838,49.8642,48.5717,48.8948,12411464
2014-05-23,49.0345,49.0957,48.6066,48.6328,7576126
2014-05-27,48.8075,48.8599,48.3883,48.7027,5639936
2014-05-28,48.9035,48.9035,48.2486,48.3272,5822954
2014-05-29,48.3796,48.8686,48.2923,48.7988,4829710
2014-05-30,48.8337,49.707,48.8075,49.5672,6312763
2014-06-02,49.6895,49.8118,49.2965,49.3315,3748754
2014-06-03,49.3664,49.7419,49.1568,49.5934,4517608
2014-06-04,49.4537,49.9515,49.3402,49.934,3633018
2014-06-05,50.0039,50.4667,49.8554,50.2047,4506097
2014-06-06,50.2135,50.4754,50.2047,50.3707,3572132
2014-06-09,50.458,50.8422,50.1873,50.3008,4424858
2014-06-10,50.2833,50.2833,49.4886,49.6546,6619619
2014-06-11,49.5236,50.0563,49.4363,49.8467,5346203
2014-06-12,49.8991,50.0868,49.8729,49.9864,5457921
2014-06-13,50.0825,50.1873,49.8205,49.9777,3718938
2014-06-16,49.9777,50.4667,49.8292,50.4231,5342589
2014-06-17,50.3008,51.1915,50.2222,50.7986,6618732
2014-06-18,50.9121,51.2963,50.7549,51.2614,3755130
2014-06-19,51.2789,51.8028,51.2614,51.2963,3900507
2014-06-20,51.2701,51.3575,50.7331,50.9034,5189078
2014-06-23,50.7549,51.0431,50.6981,51.0169,3749126
2014-06-24,50.8073,51.4011,50.6676,51.2614,4374539
2014-06-25,51.0955,51.0955,50.5802,50.7025,5998478
2014-06-26,50.7112,50.7357,50.327,50.5366,3547976
2014-06-27,50.4492,50.9296,50.4318,50.7549,8466044
2014-06-30,50.7287,51.0867,50.5104,50.6064,4864316
2014-07-01,50.9907,51.0431,50.6064,50.9732,3768487
2014-07-02,51.0867,51.6107,50.9994,51.3225,3067230
2014-07-03,51.6282,51.9862,51.471,51.9688,3014443
2014-07-07,51.8378,52.4403,51.7242,52.3879,4917276
2014-07-08,52.1783,52.3443,51.8552,52.222,4582341
2014-07-09,52.0211,52.5626,52.0211,52.4403,4276779
2014-07-10,51.9251,52.3792,51.9251,52.3355,3799907
2014-07-11,52.3617,52.4403,52.0911,52.3967,3109282
2014-07-14,52.5189,52.5626,52.353,52.5538,3809208
2014-07-15,52.877,53.0254,52.5975,53.0167,5722441
2014-07-16,53.0429,53.0429,52.2395,52.5189,6988443
2014-07-17,52.3879,52.5713,52.0211,52.1521,4559744
2014-07-18,52.2395,52.4316,51.96,52.4054,4736492
2014-07-21,52.3792,52.4141,51.5583,51.7854,4122948
