date,open,high,low,close,volume
2014-01-02,59.5927,60.505,59.4328,59.7055,2098457
2014-01-03,59.4986,60.3264,59.4892,59.8184,1651849
2014-01-06,60.0253,60.2134,59.1271,59.1694,3138566
2014-01-07,59.2541,60.1899,59.2071,59.4234,3146893
2014-01-08,59.5174,59.7808,59.1694,59.7244,3047954
2014-01-09,59.809,59.9971,59.4704,59.5551,2520529
2014-01-10,59.8748,60.2605,59.7244,60.2416,2880210
2014-01-13,60.11,60.552,59.0284,59.1694,3643873
2014-01-14,59.2541,59.4422,58.6803,59.1224,3442941
2014-01-15,59.1788,59.3011,58.6803,58.8308,2613129
2014-01-16,58.765,58.9907,58.3418,58.4358,3068606
2014-01-17,58.5205,58.7086,58.0817,58.1819,4818823
2014-01-21,57.721,58.1536,55.9622,56.63,7098301
2014-01-22,56.7146,56.724,55.6142,55.6706,7335463
2014-01-23,55.3696,55.5672,54.8241,54.9276,5476234
2014-01-24,54.5984,54.9934,54.3162,54.3162,4003077
2014-01-27,54.2034,54.8806,53.2534,54.6454,5630611
2014-01-28,54.7113,55.2615,54.6078,54.6925,4149568
2014-01-29,54.0905,54.5608,53.7143,53.846,4510231
2014-01-30,54.2692,54.3915,53.7801,54.0905,3555567
2014-01-31,53.4227,54.2833,53.1123,53.9494,4312882
2014-02-03,53.94,53.94,52.7079,52.896,5720850
2014-02-04,53.1688,53.2158,52.6045,52.6985,3511849
2014-02-05,52.6703,54.4949,52.501,54.3539,7653346
2014-02-06,54.5138,55.9622,54.2316,55.8587,6036685
2014-02-07,56.0656,56.4607,55.5483,55.8963,3858337
2014-02-10,55.9998,56.009,55.2098,55.7365,3035276
2014-02-11,55.892,56.7123,55.6988,56.5332,3418893
2014-02-12,56.6557,57.1649,56.486,56.6935,2637681
2014-02-13,56.4672,57.0612,56.3069,56.7312,3260731
2014-02-14,56.486,56.7312,56.0806,56.3729,3403534
2014-02-18,56.5709,56.9386,56.354,56.7877,3811386
2014-02-19,56.75,57.1932,56.3729,56.4295,3118909
2014-02-20,56.5992,56.882,55.9297,56.5897,3429654
2014-02-21,56.7029,57.0235,56.3352,56.6463,4093980
2014-02-24,56.6746,57.5137,56.552,56.9386,3940206
