date,open,high,low,close,volume
2014-01-02,108.738,109.1997,107.3627,107.6967,2559028
2014-01-03,108.0208,108.5317,107.736,108.1093,1486448
2014-01-06,108.6201,109.239,107.6967,108.1191,1891530
2014-01-07,109.1309,110.4964,108.7969,110.3294,2246999
2014-01-08,110.349,112.1271,110.2999,112.0289,2841941
2014-01-09,112.1566,112.7853,111.4886,111.9896,2196355
2014-01-10,111.577,112.5898,111.5681,112.4415,1492108
2014-01-13,112.0092,112.5692,110.6929,110.9974,2048786
2014-01-14,111.8914,112.8639,110.7322,112.7362,1693703
2014-01-15,113.0898,113.6694,112.5692,113.4828,1537151
2014-01-16,112.8246,114.1115,112.8246,114.0624,1847809
2014-01-17,113.7186,114.4455,113.5515,113.8463,2549551
2014-01-21,114.2392,114.4455,112.579,112.9228,2201626
2014-01-22,113.0407,113.3256,112.3629,112.6772,2012788
2014-01-23,112.3924,112.5201,110.015,110.8206,3400191
2014-01-24,111.1448,111.1448,107.9914,108.011,3895608
2014-01-27,107.9619,109.3372,107.1564,107.9324,2483881
2014-01-28,108.6397,110.4473,108.6397,110.3392,2526470
2014-01-29,109.2193,110.1624,108.3941,109.7793,2906375
2014-01-30,116.7668,119.1824,116.6485,118.8077,2126282
2014-01-31,112.5888,113.5024,111.5289,113.1095,3003668
2014-02-03,113.139,113.8265,110.909,111.1349,3775962
2014-02-04,111.7244,112.4022,110.4964,110.9679,3164042
2014-02-05,110.9974,111.2725,109.2488,111.2037,2826445
2014-02-06,111.5672,112.7558,111.2725,112.412,2483966
2014-02-07,113.1979,115.8306,113.0113,115.6931,3180691
2014-02-10,115.251,116.9014,115.1823,116.5183,4233031
2014-02-11,117.648,119.0724,116.6558,118.8661,3766772
2014-02-12,118.9349,119.7797,118.6107,119.377,3605738
2014-02-13,118.7384,121.2533,118.483,120.7326,2540570
2014-02-14,120.6246,121.8034,120.4674,121.5578,9596240
2014-02-18,121.5775,121.9802,120.5067,121.3712,2845489
2014-02-19,121.3712,122.1767,119.4556,119.6619,2884510
2014-02-20,122.1374,122.8094,120.3299,122.5107,3456946
2014-02-21,122.5107,122.6482,120.9095,121.0077,2646185
