date,open,high,low,close,volume
2014-01-02,72.8291,72.9815,71.6179,71.9403,1113643
2014-01-03,72.0274,72.9075,71.8488,72.5851,776894
2014-01-06,72.9075,73.1689,72.2104,72.4718,848395
2014-01-07,73.0295,73.4913,72.4021,73.0818,945927
2014-01-08,73.2386,73.3257,72.7768,73.1253,1131873
2014-01-09,73.195,73.3867,72.2017,72.5764,1134604
2014-01-10,72.8378,73.012,72.2714,72.6984,761099
2014-01-13,72.2714,72.5764,71.5046,71.7573,1216506
2014-01-14,72.1145,72.6112,71.6876,72.4892,1094456
2014-01-15,72.5851,73.1863,72.3672,73.1253,1027328
2014-01-16,73.5523,73.5523,72.3672,73.0295,872541
2014-01-17,73.0818,73.1428,71.4784,71.6963,3914352
2014-01-21,70.9556,71.7486,70.6594,71.2606,2032144
2014-01-22,71.5481,71.7834,70.5286,71.034,1653186
2014-01-23,70.3718,70.6681,69.3523,69.6398,2152201
2014-01-24,69.0386,69.1955,67.2784,67.4266,3172719
2014-01-27,67.444,68.0975,66.6598,66.6685,2278731
2014-01-28,69.849,70.9295,68.4984,70.3195,3468677
2014-01-29,70.2847,70.2847,68.4374,68.8033,2611289
2014-01-30,69.3523,69.7357,68.812,69.3174,1572074
2014-01-31,68.2457,69.2913,67.688,68.3502,1833166
2014-02-03,68.3851,68.5106,65.8494,65.9365,2122024
2014-02-04,66.4071,68.4374,66.0585,67.688,2285383
2014-02-05,67.3481,67.8492,66.4768,66.9212,1512021
2014-02-06,67.0867,67.5632,67.0083,67.4614,1019306
2014-02-07,68.054,69.3087,67.5573,69.1345,2077562
2014-02-10,69.239,69.4743,68.6901,69.2303,1332804
2014-02-11,69.117,70.154,68.8469,69.8664,1242714
2014-02-12,69.7793,70.6419,69.6224,70.3282,1518389
2014-02-13,69.8838,70.4813,69.361,70.2498,1079697
2014-02-14,70.215,70.6245,69.9535,70.4328,1106441
2014-02-18,70.3108,70.6419,69.8054,70.2847,876474
2014-02-19,69.8315,71.0253,69.544,69.6137,1014525
2014-02-20,69.91,70.1104,69.104,69.7967,851730
2014-02-21,69.9448,70.2803,69.4569,69.7096,875352
2014-02-24,69.727,70.9208,69.727,70.4589,1007459
2014-02-25,70.5199,70.6332,69.727,69.7967,931891
2014-02-26,69.7967,70.2324,69.0996,69.2913,1313667
2014-02-27,69.1519,70.2324,68.7423,70.0755,1167380
2014-02-28,70.1975,71.1822,69.8141,70.7291,1510986
2014-03-03,69.7967,69.9666,69.0299,69.5614,1226119
2014-03-04,70.5635,71.3216,70.3021,71.1735,1064226
2014-03-05,71.2083,71.3303,70.8511,71.0515,950047
2014-03-06,70.7203,72.2714,70.7203,71.7747,1447941
2014-03-07,72.2627,72.9118,71.7398,72.3237,1181781
2014-03-10,72.6461,72.9598,72.071,72.9423,1296432
2014-03-11,73.1079,73.1515,71.8357,72.0623,1380787
2014-03-12,71.7819,72.0447,71.1249,71.6855,1488216
2014-03-13,72.1673,72.7806,70.4591,70.7482,1333881
2014-03-14,70.792,71.5979,70.0386,70.3277,1470937
2014-03-17,71.046,71.7994,70.8621,71.4665,996755
2014-03-18,71.4753,71.9308,71.1432,71.5979,959296
2014-03-19,71.5804,71.8345,70.5905,70.8971,1506347
2014-03-20,70.8183,72.4126,70.6518,72.29,2124221
2014-03-21,73.2273,73.9369,72.2725,72.6404,3239952
2014-03-24,72.8419,73.1573,71.7819,72.106,1165569
2014-03-25,72.7455,73.385,71.4753,72.1849,1022716
2014-03-26,72.5353,72.7543,71.3789,71.3964,1111475
2014-03-27,71.265,71.6277,70.6869,70.9584,1493832
2014-03-28,71.1074,72.3163,70.6343,71.5454,917257
2014-03-31,72.1761,72.8068,71.9396,72.1411,1130126
2014-04-01,72.728,73.1222,72.3075,72.8769,1468576
2014-04-02,73.3237,73.6566,72.8594,73.5427,937076
2014-04-03,73.7705,74.226,72.6842,73.1485,837310
2014-04-04,73.5077,73.5077,71.3307,71.4665,1199654
2014-04-07,71.4227,72.0973,69.5831,69.6444,1850246
2014-04-08,69.7495,69.9781,69.294,69.7232,1913253
2014-04-09,69.9159,70.0824,69.6444,69.9685,2126699
2014-04-10,70.0649,70.5029,68.3391,68.4311,1972478
2014-04-11,67.9274,68.0762,67.2441,67.6733,1889190
2014-04-14,68.2865,68.5844,67.6733,68.3216,1258720
2014-04-15,68.4092,69.4604,67.9799,69.4254,2149552
2014-04-16,70.2313,70.6956,69.6181,70.3802,1512650
2014-04-17,70.5292,70.9409,70.3697,70.6343,1740715
2014-04-21,70.8183,70.9514,70.4065,70.6168,789652
2014-04-22,70.6168,71.4315,70.5029,71.1512,1331315
2014-04-23,72.6842,72.9733,70.6956,71.1161,1575003
2014-04-24,72.4302,73.9807,71.5191,71.6768,2316603
2014-04-25,72.3776,72.5353,70.792,71.265,2021488
2014-04-28,71.3351,71.9571,69.8108,70.9497,1722681
2014-04-29,71.5454,71.9221,71.1862,71.6593,1088368
2014-04-30,71.2913,72.0097,70.9759,71.9483,1269267
2014-05-01,71.9221,72.4039,71.1336,71.2738,1311807
2014-05-02,71.3614,72.4039,71.3001,71.6067,1164055
2014-05-05,70.8007,71.3439,70.3294,71.3088,1192449
2014-05-06,70.9935,71.3526,70.3277,70.354,781149
2014-05-07,70.6518,71.5454,70.1174,71.5016,850985
2014-05-08,71.5016,71.9659,70.9321,71.265,1083005
