date,open,high,low,close,volume
2014-01-02,73.4604,73.5702,72.0688,72.7031,855339
2014-01-03,72.4759,72.7693,72.0309,72.4001,743727
2014-01-06,72.8924,73.2591,71.3304,71.4345,675571
2014-01-07,71.8511,72.5232,71.6049,71.8795,733495
2014-01-08,72.4475,72.5516,71.3588,72.2771,780054
2014-01-09,72.58,72.8356,72.0215,72.6084,589324
2014-01-10,72.864,73.0817,72.2108,72.4948,582216
2014-01-13,72.5327,72.7163,69.191,69.4844,1452381
2014-01-14,69.5507,70.6204,68.7366,70.3838,982123
2014-01-15,70.4311,71.5008,70.2285,71.1695,762307
2014-01-16,71.0653,71.4487,69.7779,70.3459,855460
2014-01-17,71.5671,71.6901,69.9011,70.2134,2061000
2014-01-21,70.4216,70.9139,68.907,69.0206,2668881
2014-01-22,69.2004,69.6075,67.5723,69.2572,2519527
2014-01-23,68.4904,69.3803,67.4018,68.0361,30011483
2014-01-24,67.4681,67.7615,66.3699,66.4362,2583703
2014-01-27,66.8527,67.1367,66.3794,66.7013,1641714
2014-01-28,66.6539,67.1651,66.5025,66.9095,1306229
2014-01-29,66.9758,67.0847,65.0588,65.3144,2395564
2014-01-30,61.6461,64.524,61.1823,63.8613,5140125
2014-01-31,62.4129,63.3217,62.3561,62.962,2098723
2014-02-03,62.7253,62.7916,59.6676,60.0368,2283211
2014-02-04,60.3682,60.7279,59.9422,60.1599,1608993
2014-02-05,59.554,60.4628,58.7494,60.3398,1627305
2014-02-06,60.5196,61.7219,60.3682,61.6272,1627108
2014-02-07,61.7408,63.0945,61.5515,62.9715,1649097
2014-02-10,63.0472,63.1892,62.2615,62.4981,948251
2014-02-11,62.4413,62.9005,62.0816,62.1668,1272793
2014-02-12,62.0059,62.6212,62.0059,62.4792,998072
2014-02-13,62.11,63.1986,61.8355,62.6496,1148413
2014-02-14,60.7089,62.6875,60.6521,62.1952,1266434
2014-02-18,62.1668,63.0756,61.9301,62.9809,1230832
2014-02-19,62.7348,63.1702,62.0343,62.1195,1233436
2014-02-20,62.3945,62.6032,61.6736,62.385,1313405
2014-02-21,62.5178,63.3051,61.8728,62.9826,1190653
2014-02-24,62.9921,64.0165,62.6506,63.3336,916835
2014-02-25,64.4908,66.0179,64.377,65.6385,1917921
2014-02-26,65.7903,67.2795,65.2402,66.8337,1799156
2014-02-27,67.3079,67.3079,66.1981,66.7009,1013596
2014-02-28,66.7009,67.6115,66.4637,66.9285,945016
2014-03-03,66.3309,66.6724,65.4488,66.5396,1037266
2014-03-04,67.3079,68.4936,67.3079,68.0478,1301868
2014-03-05,67.7632,68.7592,67.7632,68.0478,851083
2014-03-06,68.3893,68.9679,67.583,68.5695,702243
2014-03-07,68.854,69.2335,68.3039,68.9774,802738
2014-03-10,68.9394,69.1171,68.3798,68.8161,880097
2014-03-11,68.9679,69.1007,68.3418,68.4082,937328
2014-03-12,68.1426,68.4082,67.7443,68.3798,621731
2014-03-13,68.5221,68.9015,66.9665,67.2226,696365
2014-03-14,67.2036,68.1711,67.1467,67.4028,772895
2014-03-17,67.8296,68.9489,67.5546,68.5979,989219
2014-03-18,68.892,70.2958,68.7212,70.201,1179660
