date,open,high,low,close,volume
2014-01-02,31.8646,31.8741,31.4558,31.5318,2001435
2014-01-03,31.6364,32.0024,31.3988,31.7695,1519196
2014-01-06,31.9881,32.0642,31.5413,31.5604,3024483
2014-01-07,31.7315,31.9596,31.5699,31.6649,4331369
2014-01-08,31.7029,32.6821,31.5508,32.2448,5028284
2014-01-09,32.2923,33.1954,32.2258,32.8912,4758159
2014-01-10,32.9007,33.1764,32.4634,33.1194,5312848
2014-01-13,32.9387,33.0148,32.1592,32.2258,3133433
2014-01-14,32.2353,32.9292,32.2353,32.7676,3135214
2014-01-15,32.9197,33.0718,32.7391,33.0623,2325625
2014-01-16,33.0433,33.9749,32.568,33.3095,6105657
2014-01-17,33.2524,33.357,32.7771,33.3095,2506579
2014-01-21,33.6802,33.7278,33.1954,33.262,4646589
2014-01-22,33.4331,33.9084,33.338,33.8228,2203521
2014-01-23,33.5757,33.742,33.3855,33.7087,2558452
2014-01-24,33.4711,33.4711,32.8818,33.0528,4412246
2014-01-27,33.1764,33.2524,32.5775,32.9387,3238263
2014-01-28,33.0813,33.281,32.7581,32.9483,3083103
2014-01-29,32.8247,33.0148,32.4587,32.6916,3003232
2014-01-30,32.8152,32.9007,32.568,32.7866,3770551
2014-01-31,33.9179,36.361,33.8513,35.5529,12041138
2014-02-03,35.5054,35.9237,34.165,34.2411,6871115
2014-02-04,34.4692,34.7164,33.4711,33.7182,6792090
2014-02-05,33.6897,34.089,33.5091,33.8323,3978400
2014-02-06,33.8894,34.1936,33.6327,33.9369,3298905
2014-02-07,33.9749,34.5073,33.7848,34.3076,3909633
2014-02-10,34.3076,34.8115,34.2126,34.6974,3592052
2014-02-11,34.6498,34.954,34.3647,34.9445,4236930
2014-02-12,34.916,35.32,34.6879,35.0681,3858230
2014-02-13,34.9635,35.7573,34.916,35.6195,3052551
2014-02-14,35.6195,35.8666,35.3913,35.8666,2422682
2014-02-18,36.0092,36.6271,36.0092,36.4465,3083520
2014-02-19,36.361,36.5131,36.0663,36.399,3180027
