date,open,high,low,close,volume
2014-01-02,36.4619,36.4619,35.9013,36.0055,1467225
2014-01-03,36.0551,36.6504,35.6087,36.0254,2379909
2014-01-06,36.2139,36.4917,35.8765,35.8765,3898798
2014-01-07,35.2217,35.7773,34.934,35.4797,3002626
2014-01-08,35.5591,35.7642,35.2416,35.4995,1961658
2014-01-09,35.7079,35.817,35.3209,35.5392,1224465
2014-01-10,35.5591,35.7178,35.2515,35.3904,1523646
2014-01-13,35.182,35.3309,34.3883,34.4776,2817427
2014-01-14,34.4578,34.9935,34.428,34.9241,2211965
2014-01-15,34.9638,35.5293,34.7554,35.3309,2034514
2014-01-16,35.2316,35.5094,35.1324,35.3705,1772141
2014-01-17,35.2812,35.9559,35.2316,35.817,3247039
2014-01-21,36.1841,36.204,35.4003,35.817,4928697
2014-01-22,36.3032,38.9324,36.3032,37.7021,6858035
2014-01-23,37.4243,37.7914,37.1709,37.4938,3567753
2014-01-24,36.9977,37.0919,36.0254,36.1246,3309570
2014-01-27,36.204,36.9183,35.6384,36.4818,3276602
2014-01-28,36.6008,36.8191,36.2635,36.5413,2213378
2014-01-29,36.0651,36.4619,35.6781,35.817,2257735
2014-01-30,36.2734,36.581,35.8666,36.1047,1699212
2014-01-31,35.4301,35.5987,35.1572,35.2217,4006628
2014-02-03,35.2812,35.4797,33.9418,34.0113,3191260
2014-02-04,34.1006,34.9687,33.5549,34.8248,2256921
2014-02-05,34.4081,34.8645,33.8823,34.557,1696121
2014-02-06,34.17,35.0828,34.17,34.9935,1025204
2014-02-07,35.1126,35.7277,35.0828,35.5392,1686376
2014-02-10,35.4598,35.569,34.8546,34.9439,2044702
2014-02-11,34.9737,35.8765,34.9737,35.8666,1779134
2014-02-12,35.8666,36.7,35.8666,36.5413,2073497
2014-02-13,36.1742,36.5859,35.9063,36.5512,933137
2014-02-14,36.4818,37.087,36.1841,37.0374,1112024
2014-02-18,37.1862,37.5831,37.0473,37.5335,1791150
2014-02-19,37.2656,37.5731,36.8786,36.9778,1872107
2014-02-20,37.0671,38.2577,37.0274,38.228,2668011
2014-02-21,37.9402,38.2379,37.7319,38.0097,3999544
2014-02-24,38.1585,39.2697,38.1089,38.8828,2463683
2014-02-25,38.8332,39.0515,38.4859,38.4958,2288653
2014-02-26,38.6248,38.9919,38.4066,38.4958,2512656
2014-02-27,38.5653,39.617,38.5554,39.5773,2595986
2014-02-28,39.5872,39.7658,38.9622,39.3888,1915577
2014-03-03,38.7935,39.0415,38.3976,38.8034,1239556
2014-03-04,39.359,39.8065,39.3491,39.5773,1436729
2014-03-05,39.6368,40.0635,39.3888,39.6567,1561272
2014-03-06,39.736,40.0833,39.6765,39.7956,1261559
2014-03-07,40.0337,40.2321,39.4086,39.865,1656817
2014-03-10,39.617,39.617,38.6645,39.3193,2607620
2014-03-11,39.3491,39.4781,38.7488,38.9126,1848904
2014-03-12,38.5453,38.7736,38.2872,38.5056,1599560
2014-03-13,38.7041,38.8431,37.3243,37.5427,1966149
2014-03-14,37.5129,37.9695,37.4236,37.4732,1340914
2014-03-17,37.9,38.4956,37.8504,38.1184,1509019
2014-03-18,38.1283,38.5949,38.0946,38.5056,1052894
2014-03-19,38.6942,39.0342,37.9497,38.2773,1685062
2014-03-20,38.2773,38.5552,38.0291,38.1879,1245404
2014-03-21,38.5651,38.7637,37.9199,38.1283,3761560
2014-03-24,38.2773,38.2822,37.1754,37.6122,2312476
2014-03-25,37.9596,38.8232,37.8703,38.6148,2743539
2014-03-26,38.7736,38.853,37.7114,37.7412,1974013
2014-03-27,37.6916,37.8107,37.225,37.503,1091939
2014-03-28,37.6519,38.4758,37.6519,38.2475,808925
2014-03-31,38.5552,39.1309,38.5056,39.0019,1093752
2014-04-01,39.1607,39.6273,39.0714,39.5975,1201851
2014-04-02,40.1534,40.2527,39.7861,40.1335,1559586
2014-04-03,40.1236,40.3518,39.4188,39.806,1622235
2014-04-04,40.1832,40.3619,38.6545,38.7934,1357155
2014-04-07,38.724,39.0019,37.6717,37.9397,2076335
2014-04-08,38.0092,38.307,37.7412,37.8901,2223024
2014-04-09,38.2078,39.0118,37.9298,39.0019,1122797
2014-04-10,38.992,38.992,37.6816,37.6916,1892544
2014-04-11,37.4136,37.4136,36.6592,36.689,2172730
2014-04-14,37.1258,37.498,36.6592,37.096,1151192
2014-04-15,37.1952,37.5923,36.4905,37.4335,1029903
2014-04-16,37.91,38.6445,37.632,38.6048,2052358
2014-04-17,38.6743,39.523,38.5006,39.2501,1739708
2014-04-21,39.3096,39.3989,38.9523,39.1508,1478194
2014-04-22,39.2798,39.9747,39.2798,39.7663,2171916
2014-04-23,39.806,40.0839,39.7265,39.8556,1363647
2014-04-24,40.4413,40.4413,39.1012,39.4387,1878834
2014-04-25,39.3593,39.3593,38.7184,38.9721,1042265
2014-04-28,39.2401,39.4982,38.3577,38.9721,1684497
2014-04-29,39.2501,39.7166,39.1012,39.6968,1474633
2014-04-30,39.5776,40.6001,39.3493,40.6001,3069284
2014-05-01,38.5353,39.8556,38.2177,38.6942,5341595
2014-05-02,38.7835,39.4387,38.5651,38.7637,2616160
2014-05-05,39.2203,39.2401,38.3964,39.0912,1743548
2014-05-06,38.9225,39.0317,38.6346,38.6644,1552001
2014-05-07,38.714,38.8629,38.2375,38.6644,1455690
2014-05-08,38.6545,39.2997,38.3864,38.4162,2050190
2014-05-09,38.3864,38.4956,37.9507,38.178,1732264
