date,open,high,low,close,volume
2014-01-02,19.9895,20.2125,19.8094,19.9552,1427884
2014-01-03,19.9209,20.3668,19.8971,20.3068,1429735
2014-01-06,20.3668,20.4783,20.2125,20.4526,1665920
2014-01-07,20.5726,20.5812,20.3411,20.3497,1799114
2014-01-08,20.302,20.4016,20.1375,20.2068,1570682
2014-01-09,20.3194,20.3973,20.0422,20.3194,1579338
2014-01-10,20.1288,20.4493,20.1288,20.406,1520768
2014-01-13,20.328,20.432,20.1375,20.2328,1522815
2014-01-14,20.2934,20.5575,20.2154,20.4406,1209575
2014-01-15,20.5186,20.7871,20.4753,20.6398,1393612
2014-01-16,20.6572,20.8477,20.6398,20.7611,1803988
2014-01-17,20.7264,20.7871,20.6052,20.7091,1734701
2014-01-21,20.7698,20.9343,20.7698,20.9343,1335323
2014-01-22,20.9863,21.1422,20.9257,20.9776,1640651
2014-01-23,20.8737,20.9257,20.7178,20.7611,1409173
2014-01-24,20.6572,20.9083,20.4623,20.5446,1280002
2014-01-27,20.5186,20.6398,20.2501,20.2674,1631746
2014-01-28,20.2674,20.6398,20.2674,20.5965,1740813
2014-01-29,20.5013,20.6658,20.4146,20.5532,1396622
2014-01-30,20.6485,21.3501,20.5879,21.1335,2397317
2014-01-31,20.9083,21.2201,20.839,21.0816,2608354
2014-02-03,21.0209,21.1249,20.7178,20.8304,3970520
2014-02-04,20.8217,21.3414,20.5705,20.969,4830980
2014-02-05,21.0036,21.5319,20.969,21.428,2903428
2014-02-06,21.5146,21.9477,21.4107,21.8784,2737347
2014-02-07,21.965,22.3374,21.9217,22.1642,2465388
2014-02-10,22.1642,22.4847,22.1209,22.3721,2179122
2014-02-11,22.4587,22.9697,22.3028,22.5626,2385157
2014-02-12,22.6059,22.6319,22.3634,22.3981,1504277
2014-02-13,22.3634,22.6146,22.3028,22.4241,1953048
2014-02-14,22.3894,22.463,22.3115,22.45,848865
2014-02-18,22.5193,22.5323,22.2335,22.4674,1054296
2014-02-19,22.4327,22.7445,22.4327,22.476,1458442
2014-02-20,22.45,22.6146,22.2508,22.3201,1104993
2014-02-21,22.3461,22.4067,22.1729,22.2508,1979441
2014-02-24,22.3288,22.4933,22.1902,22.2162,1568054
2014-02-25,22.2595,22.5367,22.1815,22.4067,1921658
2014-02-26,22.528,22.5548,22.2941,22.3634,1975909
2014-02-27,22.3894,22.4847,22.2162,22.3201,1117181
2014-02-28,22.2855,22.5193,22.2162,22.3548,3432522
2014-03-03,22.2162,22.7748,22.2075,22.6492,1650087
2014-03-04,22.8485,23.0477,22.7878,23.0044,1853433
2014-03-05,23.0217,23.1819,22.8138,23.065,1770973
2014-03-06,23.0563,23.0737,22.6492,22.7965,1172576
2014-03-07,22.7185,22.7792,22.3634,22.6059,1368694
2014-03-10,22.5453,22.6319,22.1556,22.2248,1606846
2014-03-11,22.2508,22.3721,22.1989,22.3461,1870102
2014-03-12,22.2595,22.502,22.2335,22.4067,1230223
2014-03-13,22.476,22.476,22.043,22.2162,1117308
2014-03-14,22.1989,22.5193,22.1989,22.2768,1249286
2014-03-17,22.3894,22.5367,22.2378,22.3374,723253
2014-03-18,22.3461,22.4587,22.2162,22.3634,833787
2014-03-19,22.3461,22.5713,21.7658,21.8004,1687670
2014-03-20,21.8004,22.056,21.7138,22.0516,1086288
2014-03-21,22.1296,22.2422,21.894,21.9217,3068320
2014-03-24,22.0256,22.1729,21.6879,21.8524,2487335
2014-03-25,21.9564,22.4241,21.9564,22.3721,1297443
2014-03-26,22.4414,22.502,22.1036,22.1556,1401833
2014-03-27,22.1123,22.2162,21.9087,22.1989,1354740
2014-03-28,22.2682,22.3634,22.1339,22.2422,1039885
2014-03-31,22.3115,22.4933,22.0776,22.3721,1371327
2014-04-01,22.3721,22.3981,22.0663,22.3981,1752298
2014-04-02,22.3894,22.4154,22.1123,22.3461,1427927
2014-04-03,22.3634,22.4933,22.2162,22.2682,1010235
2014-04-04,22.3808,22.4154,22.1729,22.3894,1475043
2014-04-07,22.3982,22.6431,22.3369,22.4157,1446374
2014-04-08,22.3019,22.7569,22.2757,22.7481,1529360
2014-04-09,22.7656,22.7656,22.3982,22.5994,1527489
2014-04-10,22.6169,22.7219,22.3369,22.4244,1450090
2014-04-11,22.3107,22.4857,22.1094,22.1182,2058402
2014-04-14,22.2057,22.2582,22.0307,22.1269,1502596
2014-04-15,22.1357,22.3675,22.1269,22.2932,1358179
2014-04-16,22.4332,22.5425,22.2512,22.4944,1091724
2014-04-17,22.4069,22.4682,22.1182,22.2494,1292821
2014-04-21,22.2494,22.4769,22.1007,22.4769,825616
2014-04-22,22.4857,22.5469,22.2144,22.5294,874392
2014-04-23,22.5207,22.5819,22.2932,22.3807,1356118
2014-04-24,22.4157,22.6256,22.3632,22.6081,793726
2014-04-25,22.5731,22.6694,22.4769,22.4769,1025372
2014-04-28,22.5556,22.6431,22.4332,22.5994,1900384
2014-04-29,22.7044,22.7919,22.4944,22.5994,1321867
2014-04-30,22.5906,22.6781,22.3545,22.6256,2209879
2014-05-01,22.7219,22.8181,22.3194,22.7044,2019534
2014-05-02,22.7044,22.9844,22.5994,22.9494,1977039
2014-05-05,22.8444,23.0981,22.7831,23.0456,1264700
2014-05-06,22.9931,23.1156,22.8006,23.0719,903908
2014-05-07,23.1331,23.4831,23.0456,23.4481,1794594
2014-05-08,23.4568,23.6493,23.3518,23.6056,1763397
2014-05-09,23.6056,23.7193,23.5268,23.6843,1716987
2014-05-12,23.7893,23.9818,23.7018,23.9818,1934605
2014-05-13,23.973,24.1655,23.8155,23.8943,2174014
2014-05-14,23.8855,24.0124,23.7455,23.8505,1594075
2014-05-15,23.7718,23.9555,23.6668,23.9468,1595422
2014-05-16,23.9118,24.1568,23.8418,24.1568,1626108
2014-05-19,24.1568,24.3143,24.0343,24.2705,1735499
2014-05-20,24.3055,24.393,24.1218,24.1743,1992527
2014-05-21,24.183,24.2618,24.0255,24.078,1886007
2014-05-22,24.1043,24.218,24.008,24.0255,1505522
2014-05-23,23.973,24.1305,23.973,24.113,1426513
2014-05-27,24.1393,24.253,24.0518,24.183,1337380
2014-05-28,24.1655,24.1655,23.903,24.0343,1314792
2014-05-29,24.0605,24.1218,23.973,24.0693,1233267
2014-05-30,24.008,24.1743,23.9293,24.078,2394595
2014-06-02,24.1043,24.2136,24.0343,24.148,1484615
2014-06-03,24.1043,24.2355,24.0343,24.2355,843297
2014-06-04,24.218,24.3405,24.1568,24.2793,939067
2014-06-05,24.3493,24.7255,24.2618,24.708,1320034
2014-06-06,24.778,24.778,24.4367,24.5155,1301913
2014-06-09,24.4805,24.568,23.9905,24.0255,1378903
2014-06-10,23.973,24.1305,23.7324,23.9118,1297640
2014-06-11,23.8943,23.973,23.6843,23.9293,937739
2014-06-12,23.9643,24.043,23.7368,24.0168,1136573
2014-06-13,24.043,24.1655,23.798,24.113,960214
2014-06-16,24.0693,24.2425,23.9818,24.0605,1098103
2014-06-17,24.0605,24.2355,23.973,24.078,1978130
2014-06-18,24.1305,24.3755,23.9643,24.2705,1439842
2014-06-19,24.323,24.5671,24.218,24.5592,1022146
2014-06-20,24.7342,24.7867,24.4717,24.743,1631775
2014-06-23,24.6817,24.8305,24.6205,24.6555,1000231
2014-06-24,24.638,24.7692,24.6205,24.673,1117511
