date,open,high,low,close,volume
2014-01-02,69.9808,70.3358,69.6071,69.6632,3066950
2014-01-03,69.878,70.7749,69.6912,70.1583,3206426
2014-01-06,70.4572,70.4572,69.2428,69.3549,3425634
2014-01-07,70.0088,72.2415,70.0088,71.4755,6545505
2014-01-08,71.3074,71.4288,70.5133,70.6441,6173225
2014-01-09,70.6721,71.2233,70.6721,71.0738,6291462
2014-01-10,71.1859,71.2793,69.6445,69.7846,6640391
2014-01-13,69.7566,70.0649,68.8271,69.0746,5248809
2014-01-14,69.1774,69.4483,68.8411,69.1494,5783945
2014-01-15,69.1213,69.9341,69.1213,69.9154,7044079
2014-01-16,69.2521,69.9154,67.4024,67.9723,8893571
2014-01-17,68.3086,68.3086,67.5444,67.7481,5555269
2014-01-21,67.9349,68.7757,67.6453,68.3459,6379381
2014-01-22,68.9672,69.0653,68.4207,68.5701,4920174
2014-01-23,67.9162,68.8411,67.72,68.3833,5050598
2014-01-24,68.0377,68.1217,66.6831,66.8886,5643803
2014-01-27,66.6177,67.4491,66.4589,66.9353,4233604
2014-01-28,66.9353,67.5986,66.7671,66.9914,2933050
2014-01-29,66.6924,68.1591,66.1786,66.571,6005149
2014-01-30,66.982,68.2338,66.8232,68.0096,4254018
2014-01-31,67.1408,67.5892,66.7485,67.5238,4291488
2014-02-03,67.3931,67.4585,65.9918,66.0852,4532683
2014-02-04,66.1412,66.3281,65.207,65.8703,4646147
2014-02-05,65.3378,66.5149,65.2397,66.1599,4394316
2014-02-06,66.1132,66.3841,65.478,66.2066,4765611
2014-02-07,65.861,66.9353,65.4966,66.6644,6954929
2014-02-10,66.244,66.3935,64.9922,65.151,7778767
2014-02-11,65.1697,66.2066,65.0015,65.9731,5547440
2014-02-12,66.244,66.6083,65.3752,65.6181,4120630
2014-02-13,65.5153,66.7765,65.3285,66.5243,3787957
2014-02-14,66.4775,68.9812,66.3281,68.6823,6868841
2014-02-18,68.6823,69.7099,68.6169,68.9719,5538437
2014-02-19,68.7103,69.4203,68.5888,68.7103,3926547
2014-02-20,68.757,69.2334,68.4113,68.6449,4134029
2014-02-21,68.5982,69.2241,68.5141,68.9532,4561973
2014-02-24,69.2615,71.7184,69.1307,71.0084,9569735
2014-02-25,70.9804,71.1299,70.1863,70.3638,3762240
2014-02-26,70.3732,71.1158,69.8593,71.0551,5433154
2014-02-27,70.7935,71.3821,70.6254,71.0177,4227261
2014-02-28,71.0364,72.5965,70.8122,72.1855,6176557
2014-03-03,71.653,72.363,71.4942,72.0267,3673405
2014-03-04,72.6246,73.4,72.4377,72.9889,5171180
2014-03-05,73.1104,73.3346,72.4751,72.8581,3934324
2014-03-06,73.0076,73.1851,72.4471,72.5311,4200499
2014-03-07,72.8768,72.9329,71.9706,72.3069,3434762
2014-03-10,72.1948,72.774,72.036,72.7554,2986435
2014-03-11,72.7834,73.2878,72.419,72.6619,3471320
2014-03-12,72.4557,72.8495,72.4088,72.7557,2875361
2014-03-13,72.9057,73.2245,72.1557,72.2025,3178656
2014-03-14,72.2119,72.2119,70.9274,70.9743,5128657
2014-03-17,71.3868,72.2119,71.34,71.9681,3517946
2014-03-18,72.165,73.1776,71.9775,73.1307,3670775
2014-03-19,73.1964,75.2872,73.0745,74.9684,9060088
2014-03-20,74.6121,76.4966,74.4715,76.4404,7786538
2014-03-21,77.0592,78.1186,76.2247,76.2622,11828107
2014-03-24,76.5529,76.6185,75.8122,76.206,5306212
2014-03-25,76.4966,77.0217,75.9247,76.0372,4590186
2014-03-26,76.3935,77.1623,76.0091,76.4497,6909988
2014-03-27,76.4872,76.7873,75.7372,75.9622,5453852
2014-03-28,76.3185,77.2091,76.1872,76.5247,4787407
2014-03-31,76.956,77.1342,76.3279,76.8716,3513665
2014-04-01,77.2092,77.8655,76.4872,76.731,4339860
2014-04-02,76.4497,76.6373,76.1966,76.5154,3832145
2014-04-03,76.5529,77.2092,76.506,77.1154,4215604
2014-04-04,77.528,77.753,76.2892,76.4404,4788119
2014-04-07,76.4122,76.8623,75.7091,76.0185,5290330
2014-04-08,76.0091,76.4591,75.109,75.6247,4048983
2014-04-09,75.7559,76.4685,75.4747,76.3091,3308856
2014-04-10,76.3372,76.8716,74.7996,74.9965,4850066
2014-04-11,74.7902,74.9778,73.8995,74.0214,3418743
2014-04-14,74.4808,74.7059,73.4874,74.2371,4013706
2014-04-15,74.4058,74.7434,73.187,74.5465,4719051
2014-04-16,74.5277,74.5746,72.6339,73.3089,8098381
2014-04-17,70.7305,71.865,69.0148,71.0493,13427199
2014-04-21,70.9743,71.7056,70.1211,70.2711,6912457
2014-04-22,70.4961,71.4337,70.2711,71.0306,6199367
2014-04-23,71.0774,71.3212,70.4211,70.6274,4645725
2014-04-24,71.3962,72.2682,71.1712,71.8088,4604993
2014-04-25,71.79,72.4651,70.5337,70.9368,5416238
2014-04-28,71.5837,71.7994,70.7118,71.0118,5346755
2014-04-29,71.2087,71.4525,70.2102,70.5055,4813169
2014-04-30,70.5524,71.4337,70.243,70.3555,6435883
2014-05-01,70.3649,70.693,69.6242,70.2711,4597953
2014-05-02,70.018,70.6274,69.8586,70.3461,3794748
2014-05-05,70.1586,70.6087,69.6617,70.5337,4476125
2014-05-06,70.4399,70.8806,70.2149,70.5618,4728216
2014-05-07,70.8712,73.0839,70.393,73.0463,6383483
2014-05-08,72.962,73.187,71.9494,72.09,4943133
2014-05-09,72.0244,72.4744,71.8369,72.1463,3465602
2014-05-12,72.3807,73.1495,72.2869,72.887,3110874
2014-05-13,72.9995,73.337,72.6901,73.1682,3059008
2014-05-14,73.1776,73.1776,72.1369,72.3525,2635300
