date,open,high,low,close,volume
2014-01-02,36.1258,36.307,35.7452,36.1439,7045826
2014-01-03,36.1258,36.4384,36.0443,36.298,4454991
2014-01-06,36.7691,37.0047,36.6966,36.7782,8097509
2014-01-07,37.0591,37.2493,36.9234,37.0863,11028056
2014-01-08,36.896,37.2765,36.8325,37.2312,10727645
2014-01-09,37.4215,37.6027,37.1225,37.4578,8862820
2014-01-10,37.4034,37.4215,36.9594,37.1678,7247647
2014-01-13,37.0409,37.2811,36.8869,36.9503,5954444
2014-01-14,37.0409,37.1406,36.7691,37.05,6808045
2014-01-15,37.3218,37.6662,37.2222,37.6027,12576690
2014-01-16,37.5393,37.5846,37.2577,37.5665,7951178
2014-01-17,37.7115,37.7477,37.4578,37.5574,9828005
2014-01-21,37.7658,37.9289,37.4578,37.6752,9951564
2014-01-22,37.5031,37.861,36.8325,37.5484,11035283
2014-01-23,37.3853,37.3853,36.5245,36.896,12424028
2014-01-24,36.6785,36.9141,36.3704,36.3704,9821144
2014-01-27,36.3433,36.6242,36.1892,36.2798,9297429
2014-01-28,36.3704,36.8416,36.3342,36.7329,8051834
2014-01-29,36.4973,36.7872,35.9627,36.0261,14158661
2014-01-30,36.3342,36.4157,36.0108,36.3523,8540140
2014-01-31,35.8902,36.3433,35.8359,35.9989,7186693
2014-02-03,35.9718,36.0307,35.0929,35.1382,10480150
2014-02-04,35.3284,35.5731,35.0838,35.4372,6699506
2014-02-05,35.3919,35.6184,35.2378,35.4372,6164551
2014-02-06,35.5459,36.0986,35.4462,36.0714,7214356
2014-02-07,36.1802,36.5381,36.0533,36.2436,8955919
2014-02-10,36.2708,36.4701,36.1258,36.3161,5770944
2014-02-11,36.3342,36.6423,36.2068,36.5064,7015360
2014-02-12,36.5245,36.8416,36.4112,36.5607,4348812
2014-02-13,36.3704,36.5607,36.2572,36.4882,4877754
2014-02-14,36.5064,37.0409,36.3886,36.9594,6994957
2014-02-18,36.9866,37.0681,36.7963,36.9141,5413115
2014-02-19,36.8054,36.8054,36.1439,36.1983,6904647
2014-02-20,36.1983,36.6332,36.1348,36.5335,6167858
2014-02-21,36.4792,36.8144,36.4611,36.5517,8437524
2014-02-24,36.5154,37.1044,36.5154,36.9685,6848026
2014-02-25,36.9232,37.1497,36.751,37.1044,9771721
2014-02-26,37.05,37.3762,36.9322,37.1225,6091691
2014-02-27,37.0953,37.2856,36.9413,37.2765,3964670
2014-02-28,37.2856,37.5755,37.1587,37.2765,7043726
2014-03-03,37.0409,37.0863,36.6966,36.8325,7528207
2014-03-04,37.195,37.5755,37.195,37.5302,5214815
2014-03-05,37.5846,37.7386,37.4306,37.5484,5224213
2014-03-06,37.7568,37.9108,37.6571,37.7386,5185196
2014-03-07,37.9561,38.4907,37.8655,38.2098,6202724
2014-03-10,38.083,38.4091,37.947,38.3729,5337146
2014-03-11,38.1826,38.3276,37.8836,38.0195,8809837
2014-03-12,37.8202,38.1872,37.8202,38.1373,5605275
2014-03-13,38.3004,38.3548,37.7386,37.7839,5465579
2014-03-14,37.6933,38.1826,37.5937,37.639,4899634
2014-03-17,37.9289,38.1011,37.8655,38.0195,3886597
2014-03-18,38.0739,38.468,38.0648,38.391,4458815
2014-03-19,38.4091,38.6357,38.1056,38.3638,7735563
2014-03-20,38.2279,38.9619,38.2279,38.8713,7872990
2014-03-21,39.2518,39.4602,38.7399,38.98,12116433
2014-03-24,39.2427,39.4783,39.0526,39.2518,11022611
2014-03-25,39.3334,39.4693,39.2427,39.3424,7456787
2014-03-26,39.5146,39.5599,38.835,38.8894,9788041
2014-03-27,39.0169,39.1261,38.2699,38.4977,10189906
2014-03-28,38.5797,38.8256,38.443,38.5341,4453475
2014-03-31,38.7163,39.108,38.7163,39.0442,6317938
2014-04-01,39.7093,39.7093,38.9714,39.1627,5759994
2014-04-02,39.1353,39.2538,38.8712,39.2173,7122137
2014-04-03,38.8803,39.272,38.689,39.19,8333756
2014-04-04,39.3449,39.518,38.7436,38.7618,7531530
2014-04-07,38.5523,38.7618,38.197,38.2608,6887308
2014-04-08,38.2244,38.5068,38.0331,38.0695,8906472
2014-04-09,38.2426,38.4157,37.9055,38.2699,7618902
2014-04-10,38.361,38.3883,37.1221,37.1494,11985709
2014-04-11,36.8852,37.3043,36.7122,36.9035,11312968
2014-04-14,37.3225,37.3772,36.6484,36.9946,7112233
2014-04-15,37.0948,37.3863,36.7213,37.3589,11086981
2014-04-16,37.6505,37.8053,36.3478,36.867,15665493
2014-04-17,36.785,36.8488,36.53,36.6666,13043743
2014-04-21,36.703,37.0219,36.5664,36.785,7437989
2014-04-22,36.7395,37.2679,36.6939,37.0219,7606461
2014-04-23,36.9399,37.3498,36.9399,37.2952,7023402
2014-04-24,37.3681,37.3681,36.9399,37.031,5749296
2014-04-25,36.9399,36.9672,36.5755,36.6393,5992634
2014-04-28,36.7668,36.785,36.3113,36.5846,8323924
2014-04-29,36.7395,37.031,36.6757,36.9581,6256955
2014-04-30,36.9308,37.2314,36.8488,37.1494,6922120
2014-05-01,37.1312,37.2132,36.6894,36.7759,5865503
2014-05-02,36.8761,37.1676,36.7122,36.7941,5057744
2014-05-05,36.6302,36.8579,36.366,36.8488,6441165
2014-05-06,36.7213,36.7668,36.4753,36.5755,7217729
2014-05-07,36.7577,36.8852,36.4616,36.8579,6869343
2014-05-08,36.8397,36.9217,36.6165,36.7395,5338745
2014-05-09,36.5755,36.8488,36.4935,36.7304,4670612
