date,open,high,low,close,volume
2014-01-02,53.6874,53.8062,53.1931,53.559,10668220
2014-01-03,53.7383,53.9177,53.37,53.5953,7809816
2014-01-06,53.6002,53.874,53.2149,53.273,8579560
2014-01-07,53.496,53.8256,53.4257,53.6802,8180204
2014-01-08,53.6583,54.0412,53.4693,53.8522,8487180
2014-01-09,54.1745,54.4096,53.7165,53.7771,8451228
2014-01-10,53.7601,53.9782,53.3167,53.5881,6430904
2014-01-13,53.8038,54.3284,52.9774,53.0477,13554716
2014-01-14,53.0089,53.9564,52.9095,53.9564,10851728
2014-01-15,54.0049,54.5017,53.7577,54.2254,11288588
2014-01-16,54.0873,54.2254,53.6268,53.7432,13516640
2014-01-17,53.811,56.2853,53.8086,56.2659,38361740
2014-01-21,56.8015,57.0705,55.9363,56.2053,19770128
2014-01-22,56.3192,56.6633,56.1447,56.4622,7254812
2014-01-23,56.1399,56.3023,55.1705,55.3135,13664840
2014-01-24,54.8652,55.0009,53.6172,53.6172,16094744
2014-01-27,53.8159,53.8159,52.1316,52.3982,19487536
2014-01-28,52.7375,53.8861,52.6842,53.5469,17866884
2014-01-29,53.0961,53.4942,52.466,52.6163,16824676
2014-01-30,54.7077,54.7683,52.42,53.5275,20050324
2014-01-31,52.3764,53.0477,52.129,52.2067,24471584
2014-02-03,52.4685,52.7896,51.3925,51.7318,21743148
2014-02-04,51.899,52.3158,51.2253,51.9911,14915444
2014-02-05,51.676,52.5242,51.6472,52.2504,13523608
2014-02-06,52.3643,53.0743,52.2916,53.0743,12728848
2014-02-07,53.3603,53.7989,52.941,53.7456,12580416
2014-02-10,53.7722,53.8304,53.3118,53.4475,10318436
2014-02-11,53.5881,54.0146,53.3263,53.8789,9817868
2014-02-12,54.2455,54.5999,54.1119,54.4227,14656320
2014-02-13,54.1022,54.5635,54.0076,54.3936,13158980
2014-02-14,54.447,54.9252,54.2625,54.867,12745548
2014-02-18,54.9835,55.469,54.7747,54.8815,13428924
2014-02-19,54.8354,55.3015,54.3037,54.3523,9342232
2014-02-20,54.4203,54.6169,54.0391,54.2503,8810584
2014-02-21,54.3159,54.5441,54.1338,54.226,9137596
2014-02-24,54.3159,55.2141,54.2515,54.9131,10879264
