date,open,high,low,close,volume
2014-01-02,78.6479,78.7558,77.9644,78.1982,1613286
2014-01-03,78.1443,78.4141,77.7665,77.8835,1554206
2014-01-06,78.3601,78.3871,76.8132,77.101,2331050
2014-01-07,77.4877,77.8969,77.2269,77.6406,1805977
2014-01-08,77.5147,78.1802,77.083,77.9464,2257414
2014-01-09,78.3061,78.3061,77.074,77.3438,1422315
2014-01-10,77.3169,77.6137,76.0668,76.8042,2186922
2014-01-13,76.7503,77.5237,75.6171,75.9229,2575205
2014-01-14,75.9589,76.3591,75.4552,76.1117,2246523
2014-01-15,76.0488,76.4895,75.5937,76.4085,2933206
2014-01-16,75.9319,76.7323,75.9319,76.3905,1512695
2014-01-17,75.788,76.2826,74.439,74.7178,4233262
2014-01-21,75.3293,75.4641,73.9803,74.2411,2939433
2014-01-22,74.2411,75.8959,74.1242,75.8329,2892057
2014-01-23,75.1315,75.5452,74.5019,75.1135,2464779
2014-01-24,74.8257,74.8257,73.054,73.2158,2710351
2014-01-27,73.1709,73.7375,72.4964,72.8831,2893712
2014-01-28,72.5143,74.0253,72.5143,73.9803,2493154
2014-01-29,73.1889,73.6116,72.6852,72.8201,3424735
2014-01-30,74.6458,76.7413,74.2051,75.5541,5672562
2014-01-31,73.8184,74.7267,73.1709,73.8364,6061238
2014-02-03,73.8814,73.9083,70.7426,70.8685,4095909
2014-02-04,71.3272,72.0737,70.7606,71.606,3360310
2014-02-05,71.1833,72.0377,70.5358,71.9028,2582240
2014-02-06,71.8308,73.1259,71.597,72.6043,1882913
2014-02-07,72.8921,73.9173,72.5863,73.6745,2104513
2014-02-10,73.8094,74.2951,73.6026,74.2591,1775486
2014-02-11,74.4749,75.0595,74.1961,74.7987,2127035
2014-02-12,75.1674,75.806,74.9426,75.788,2362371
2014-02-13,75.0595,76.8852,75.0595,76.1837,3183809
2014-02-14,75.9229,77.6496,75.9152,76.8762,2115470
2014-02-18,77.101,77.5597,76.1837,77.119,1960765
2014-02-19,76.8492,77.9554,76.8492,77.3618,2025652
2014-02-20,79.2954,79.2954,77.2359,77.8025,1782948
2014-02-21,78.513,78.5652,77.7665,78.1173,1759264
2014-02-24,78.1712,79.2595,77.8835,78.2252,2444489
2014-02-25,78.4231,78.8098,77.4743,77.7306,1904176
2014-02-26,78.0273,78.3151,77.0471,77.4698,1978034
2014-02-27,77.4248,78.2792,77.155,78.1173,2130888
2014-02-28,78.2522,79.5652,77.8025,78.8997,3059070
2014-03-03,78.54,78.576,76.7413,77.2539,2857160
2014-03-04,78.0543,78.6209,77.8475,78.1892,2431522
2014-03-05,78.5939,78.7019,77.6137,78.3601,1979798
2014-03-06,78.1623,79.4483,78.1443,79.1156,2353844
2014-03-07,79.5383,80.0779,79.0616,79.3854,2412223
2014-03-10,79.1425,79.9789,78.2972,79.952,2856290
2014-03-11,80.0059,80.2577,78.9717,79.3404,2526587
2014-03-12,78.6907,79.6292,78.4019,79.5931,2210081
2014-03-13,79.918,80.1887,78.3658,78.6004,1950515
2014-03-14,78.3027,79.2863,78.3027,78.5824,2372858
2014-03-17,79.4126,80.0172,79.1419,79.6292,1666032
2014-03-18,79.945,80.4685,79.2141,79.7826,1762294
2014-03-19,79.918,80.2428,78.9163,79.2773,1832139
2014-03-20,79.1419,79.539,78.3658,78.9795,1823529
2014-03-21,80.0263,80.5587,78.438,78.5373,4107723
2014-03-24,78.4019,78.7448,76.7054,77.4815,2600184
2014-03-25,77.5627,77.8469,76.1729,77.0844,2906688
2014-03-26,77.5085,77.68,76.3805,76.4076,2336272
2014-03-27,76.2181,76.4617,75.2796,75.803,2331423
2014-03-28,75.7037,77.0573,75.6495,76.4256,2014587
2014-03-31,76.8859,77.31,76.6603,76.6963,1660582
2014-04-01,77.6439,78.3027,77.328,78.2575,2740836
2014-04-02,78.8982,79.2863,78.1041,78.8441,3017323
2014-04-03,79.169,79.4397,78.3117,78.6546,2039187
2014-04-04,78.8802,79.187,76.2361,76.4707,2801522
2014-04-07,76.2812,76.5881,73.962,74.693,2996564
2014-04-08,74.6027,75.6766,74.1154,75.4691,3938661
2014-04-09,75.5683,77.6078,75.5683,77.5085,2375511
2014-04-10,77.3461,77.4093,74.7201,74.7471,2608115
2014-04-11,74.1967,74.9998,73.6913,73.944,2263517
