date,open,high,low,close,volume
2014-01-02,46.3835,46.6026,45.96,46.2776,1513084
2014-01-03,46.4487,46.5097,46.1229,46.2532,1163080
2014-01-06,46.9699,47.7762,46.5334,47.4016,2546754
2014-01-07,47.3934,47.6703,46.8841,47.4179,2504705
2014-01-08,47.2957,47.6866,46.8885,47.1491,1887291
2014-01-09,47.1328,47.7274,46.9536,47.2713,1488649
2014-01-10,47.654,49.6658,47.654,49.4377,3116412
2014-01-13,49.6739,49.7635,48.3545,48.7861,2836621
2014-01-14,48.9735,48.9735,48.5337,48.8187,2041275
2014-01-15,48.6966,49.2178,48.6966,49.1038,1692698
2014-01-16,49.0386,49.8531,48.9002,49.8449,1839504
2014-01-17,50.0078,50.0566,49.3156,49.6495,2215642
2014-01-21,49.8857,50.3825,49.6902,50.3336,2196197
2014-01-22,50.3336,50.692,50.0078,50.2033,2297886
2014-01-23,49.902,50.2033,49.902,50.0649,1916037
2014-01-24,49.9834,50.3906,49.8124,49.9997,2541051
2014-01-27,50.13,50.6268,49.9753,49.9753,1911131
2014-01-28,50.0649,50.6268,50.0567,50.3499,1448694
2014-01-29,49.9264,50.4721,49.7309,50.1707,1435385
2014-01-30,50.5209,50.9811,50.301,50.3581,1469087
2014-01-31,49.9508,51.0666,49.8775,50.8142,2408847
2014-02-03,50.8712,50.8842,49.9508,50.13,1664311
2014-02-04,50.2522,50.578,50.073,50.4884,1533747
2014-02-05,50.3743,50.6211,49.6821,50.1219,1589292
2014-02-06,50.13,50.5617,49.9753,50.3336,1846953
2014-02-07,50.4721,50.6431,49.9997,50.4476,1433514
2014-02-10,50.5454,51.3436,50.3743,51.2703,1509929
2014-02-11,51.1562,51.2377,50.4314,51.0096,1579449
2014-02-12,50.9445,51.0015,50.1952,50.3173,1934873
2014-02-13,50.0974,51.1807,50.0893,50.9852,1635347
2014-02-14,51.0666,51.3924,49.511,50.1056,2087901
2014-02-18,50.0974,50.1789,49.2097,50.0241,1967244
2014-02-19,49.9345,51.144,49.8694,50.4232,1751682
2014-02-20,50.4558,50.8956,49.6169,49.8042,1302170
2014-02-21,49.7879,50.0811,49.2993,49.3726,2154227
2014-02-24,49.4784,50.8549,49.4784,50.2603,2049083
2014-02-25,50.3499,50.6024,49.959,50.0811,1204334
2014-02-26,50.3173,50.6594,49.6821,50.4476,1703467
2014-02-27,50.4884,50.9648,50.4395,50.8549,1467808
2014-02-28,50.8549,51.0748,50.4965,50.8467,2178445
2014-03-03,50.5047,51.2214,50.5047,51.1399,1023164
2014-03-04,51.6205,51.9137,51.3761,51.8567,1302124
2014-03-05,51.8855,51.9679,51.4242,51.9267,1495143
2014-03-06,51.8937,52.0214,50.9628,51.0534,1451635
2014-03-07,50.9546,50.971,49.5046,49.8424,2658300
2014-03-10,49.8506,49.966,49.4469,49.8506,1521160
2014-03-11,49.8918,50.6086,49.8094,50.3861,1256256
2014-03-12,50.3614,50.9793,50.2543,50.4273,1072904
2014-03-13,50.5509,50.5509,49.8012,49.8259,1298575
2014-03-14,49.8259,50.5179,49.793,50.0566,1088948
2014-03-17,50.2461,50.4108,49.7106,49.9412,754288
2014-03-18,49.8259,50.1966,49.6447,50.1637,1171290
2014-03-19,50.2873,50.3696,48.3183,48.5407,2093015
2014-03-20,48.4254,48.7796,48.1123,48.7055,1372464
2014-03-21,49.0433,49.1668,48.4336,49.1256,2264368
2014-03-24,49.2904,49.3398,48.6149,48.9362,1106988
2014-03-25,49.2739,49.6529,48.8785,49.4799,1063030
2014-03-26,49.9495,50.0401,48.8785,48.9197,1375291
2014-03-27,48.862,49.5458,48.6066,49.381,943672
2014-03-28,49.5705,49.9495,49.4634,49.727,1007078
2014-03-31,50.0648,50.106,49.4387,49.9001,1535703
2014-04-01,49.9412,50.6003,49.7435,50.5756,1245486
2014-04-02,50.4191,50.9628,50.2543,50.4932,1327602
2014-04-03,50.5426,50.7074,50.106,50.5838,703318
2014-04-04,50.7816,51.4818,50.5756,51.0699,1499892
2014-04-07,50.971,52.2727,50.971,51.902,2164940
2014-04-08,52.0338,52.7917,51.8855,52.7341,1633800
2014-04-09,52.7753,52.8412,52.3633,52.3963,1688673
2014-04-10,52.3963,52.8329,51.9102,52.0091,1714845
2014-04-11,51.9432,52.5693,51.556,52.0256,2517757
2014-04-14,52.2727,52.8824,52.0091,52.8741,2325659
2014-04-15,52.8576,54.6207,52.7176,54.3735,2602651
2014-04-16,54.4724,54.5053,53.4961,53.9039,1960257
2014-04-17,53.7474,53.9204,53.3066,53.6568,1854258
2014-04-21,53.665,53.9356,53.3025,53.5497,937056
2014-04-22,53.4673,53.5538,52.6105,53.1377,1265852
2014-04-23,53.2696,53.3272,52.9071,53.2119,1693514
2014-04-24,53.1954,53.422,52.7917,52.9812,1700488
2014-04-25,53.1625,53.9616,52.7011,53.0142,1431623
2014-04-28,53.2778,54.1593,53.0224,54.1511,1771280
2014-04-29,54.2252,54.3817,53.9369,54.3076,2058033
2014-04-30,54.1428,54.4724,53.871,54.4394,1555790
2014-05-01,54.3653,54.909,54.1511,54.9008,1448648
2014-05-02,54.6701,54.8513,54.3653,54.8184,1430436
2014-05-05,54.5877,55.2797,54.4724,55.1809,1154674
