date,open,high,low,close,volume
2014-01-02,35.4945,35.5288,34.7833,34.9032,1355220
2014-01-03,34.9204,35.0652,34.629,34.8604,1209142
2014-01-06,34.7147,34.8004,34.4191,34.5433,2144693
2014-01-07,34.569,35.2374,34.5176,35.1346,2373788
2014-01-08,35.1432,35.1946,34.7918,34.869,1761270
2014-01-09,34.8861,35.0403,34.7061,34.9204,1434823
2014-01-10,35.1175,35.7516,35.1175,35.5117,1402345
2014-01-13,35.4945,35.5031,35.0489,35.126,1862474
2014-01-14,35.1432,35.2889,34.9761,35.126,1074950
2014-01-15,35.2717,35.3488,34.9075,35.0489,1395652
2014-01-16,35.0575,35.2289,34.8004,35.2203,1563134
2014-01-17,35.3403,35.4003,35.1775,35.2546,1193458
2014-01-21,35.4431,35.6401,35.3638,35.5631,1398428
2014-01-22,35.6316,35.7945,35.5717,35.7002,1306705
2014-01-23,35.5974,35.803,35.4431,35.6831,1298874
2014-01-24,35.6659,36.0772,35.486,35.5031,2613607
2014-01-27,35.486,35.7002,35.3917,35.4945,1519135
2014-01-28,35.5545,35.5974,35.2889,35.5374,1761425
2014-01-29,35.426,35.7516,35.3403,35.6231,1781606
2014-01-30,35.743,36.2829,35.7345,36.2315,1167827
2014-01-31,35.863,36.6,35.8459,36.5657,2166016
2014-02-03,36.6086,37.037,36.0772,36.1544,2261219
2014-02-04,36.3515,36.3515,35.803,36.1287,1899218
2014-02-05,36.0772,36.1287,35.7602,35.983,2499471
2014-02-06,35.9916,36.4029,35.7516,35.923,2555245
2014-02-07,36.0001,36.1372,35.6316,36.0772,2518298
2014-02-10,36.0515,36.57,35.8202,36.42,1679677
2014-02-11,36.4115,37.0713,36.3857,36.9942,1842251
2014-02-12,37.0374,37.1931,36.8212,37.0806,1931837
2014-02-13,36.925,37.4611,36.8731,37.4525,1389302
2014-02-14,37.3747,37.7638,37.2795,37.7206,1337481
2014-02-18,37.7638,38.0146,37.7292,37.9281,1423823
2014-02-19,37.833,38.0924,37.5519,37.5909,1700914
2014-02-20,37.6168,38.1529,37.5563,37.9541,1103397
2014-02-21,37.9713,38.3432,37.8935,37.98,1143946
2014-02-24,38.0146,38.2481,37.833,37.8416,1549598
2014-02-25,37.9368,38.1789,37.807,37.8849,1284055
2014-02-26,37.9886,38.0894,37.6817,37.7206,1422421
2014-02-27,37.7033,37.9195,37.4698,37.6427,1134341
2014-02-28,37.7206,38.0924,37.66,38.0146,1556161
2014-03-03,37.8589,38.0232,37.513,37.5822,1188257
2014-03-04,37.9368,38.3691,37.9108,38.2394,2308878
2014-03-05,38.1443,38.2178,37.8503,37.9195,1395901
2014-03-06,37.9541,38.0405,37.7162,37.7552,1188974
2014-03-07,37.7465,37.7725,37.3747,37.7552,1247224
2014-03-10,37.7811,37.9108,37.5649,37.8243,1247415
2014-03-11,37.8416,37.8935,37.4179,37.686,1345807
2014-03-12,37.6341,38.4037,37.6081,38.3864,1688837
2014-03-13,38.3864,39.035,38.3864,38.8966,1541146
2014-03-14,38.862,39.2858,38.741,39.182,1340529
2014-03-17,39.2685,39.6663,39.0782,39.4847,1084565
2014-03-18,39.5193,39.7118,39.4155,39.4587,1156340
2014-03-19,39.4587,39.6403,38.6891,38.9226,1604197
2014-03-20,38.6631,38.8707,38.4556,38.7842,1247115
2014-03-21,39.0869,39.4881,38.9572,39.0091,2052086
2014-03-24,39.0869,39.3809,38.9226,39.3031,1262608
2014-03-25,39.3463,39.7268,39.0091,39.6922,1680992
2014-03-26,39.6749,39.8219,39.3895,39.4328,1259034
2014-03-27,39.3722,39.7614,39.2166,39.7009,1516609
2014-03-28,39.7614,39.8306,39.5884,39.7268,1023503
2014-03-31,39.943,40.4359,39.917,40.2543,2071803
2014-04-01,40.2456,40.3148,39.9603,40.2889,1719854
2014-04-02,40.1332,40.4791,39.9776,40.2543,1668621
2014-04-03,40.2802,40.6175,40.1592,40.4964,1950242
2014-04-04,40.557,41.1714,40.4791,40.6348,2713896
2014-04-07,40.5397,40.972,40.4532,40.4791,2052042
2014-04-08,40.41,41.0672,40.09,40.972,1871674
2014-04-09,41.0066,41.0153,40.1678,40.6867,1659438
2014-04-10,40.6867,40.9418,40.3408,40.5483,2347146
2014-04-11,40.4532,40.9029,40.3581,40.5656,2325440
2014-04-14,40.6694,40.9245,40.4618,40.8423,1737912
2014-04-15,40.8337,41.6163,40.7991,41.5687,1927967
2014-04-16,41.7244,41.8714,41.4563,41.8714,1548646
2014-04-17,41.759,41.9224,41.0585,41.1709,2044779
2014-04-21,41.2401,41.4304,40.8077,41.0672,1424423
2014-04-22,40.8077,41.1709,40.7818,41.0931,1280318
2014-04-23,41.0153,41.6206,41.0066,41.1709,2106022
2014-04-24,41.1623,41.5514,40.8776,41.3006,1880234
2014-04-25,41.2574,42.0616,41.2574,42.053,2225690
2014-04-28,42.0097,42.2692,41.5255,41.8714,3028452
2014-04-29,41.9579,42.0789,41.5168,41.612,2338208
2014-04-30,41.6379,42.1308,41.612,41.9233,2844459
2014-05-01,42.174,42.5545,41.8109,42.3297,2110176
2014-05-02,41.9406,42.0011,41.0326,41.3179,2579321
2014-05-05,41.1882,41.6379,41.1709,41.5255,1697907
2014-05-06,41.3439,41.5687,41.1623,41.2142,1170215
2014-05-07,41.1536,41.906,41.1536,41.8973,1886741
2014-05-08,41.9579,41.9579,41.119,41.1363,2024315
2014-05-09,40.6867,40.9288,39.917,40.0641,3969932
2014-05-12,39.7675,40.1207,39.3838,39.5495,4706357
2014-05-13,39.4013,39.7937,39.035,39.3664,3671833
2014-05-14,39.5146,40.2036,39.4361,39.9332,2175372
2014-05-15,40.0379,40.317,39.6891,39.7239,2273766
2014-05-16,39.5495,39.6803,39.1135,39.567,4126111
2014-05-19,39.5234,39.5757,38.9827,39.0611,1985966
2014-05-20,39.1309,39.3489,38.7472,39.096,2216074
