date,open,high,low,close,volume
2014-01-02,39.7587,39.8908,39.5474,39.6442,17344590
2014-01-03,39.6178,40.0493,39.609,39.926,14693755
2014-01-06,40.0933,40.3399,39.9437,39.9965,18521241
2014-01-07,40.3311,40.3311,39.8204,39.9789,16963813
2014-01-08,39.9789,40.4632,39.9348,40.4368,20907314
2014-01-09,40.4808,40.6833,40.3311,40.6481,14389488
2014-01-10,40.5601,40.5601,40.1814,40.4544,15532776
2014-01-13,40.472,40.5997,40.0229,40.1198,21059377
2014-01-14,40.0493,40.3663,39.5562,40.1462,28526935
2014-01-15,40.4543,41.1589,40.2959,40.8595,27430537
2014-01-16,40.7714,40.9123,40.5689,40.8507,12893346
2014-01-17,40.9299,41.0004,40.6305,40.8507,15168194
2014-01-21,40.9563,41.245,40.7195,40.9475,15534175
2014-01-22,41.1589,41.2381,40.9475,41.0972,11817453
2014-01-23,40.8595,40.9035,40.5072,40.8154,19832320
2014-01-24,40.5425,40.6481,40.0493,40.0493,20323164
2014-01-27,40.0933,40.4016,39.8292,40.0933,21418026
2014-01-28,40.3223,40.7186,40.199,40.472,16150311
2014-01-29,40.1814,40.6922,40.0581,40.1462,20556137
2014-01-30,40.3751,40.6833,40.3003,40.5513,12714335
2014-01-31,39.9877,40.2519,39.8292,39.926,27381421
2014-02-03,39.8996,40.1726,39.0234,39.1247,29578408
2014-02-04,39.248,39.4681,38.9486,39.4241,20853251
2014-02-05,39.5394,39.5659,39.1581,39.2113,22141553
2014-02-06,39.3355,39.7078,39.2468,39.6989,21097185
2014-02-07,39.9383,40.2486,39.7521,40.222,16998725
2014-02-10,40.2397,40.4436,40.089,40.355,12522521
2014-02-11,40.3727,40.8603,40.3018,40.7539,13577163
2014-02-12,40.745,41.0021,40.6121,40.7716,12219422
2014-02-13,40.3904,40.8426,40.284,40.7628,14638566
2014-02-14,40.8071,41.0287,40.6121,40.8957,11372314
2014-02-18,41.0376,41.073,40.8426,40.8957,12151989
2014-02-19,40.8248,41.003,40.3195,40.3638,16219307
2014-02-20,40.2397,40.6475,40.1156,40.4525,13443399
2014-02-21,40.4436,40.8337,40.3195,40.4259,15452681
2014-02-24,40.5411,41.1583,40.5145,40.8514,14234573
2014-02-25,40.9578,41.011,40.7362,40.8514,13842818
2014-02-26,41.0908,41.1617,40.6121,40.8248,13918518
2014-02-27,40.7362,40.8514,40.4348,40.8248,13849543
2014-02-28,40.8692,41.3567,40.7894,41.1528,16349402
2014-03-03,40.878,40.9933,40.745,40.9135,16067568
2014-03-04,41.4188,41.4897,41.1617,41.4365,14951272
2014-03-05,41.5075,41.8709,41.3895,41.7468,13660688
2014-03-06,41.9241,42.1103,41.8177,41.9684,14726410
2014-03-07,42.3408,42.9791,42.1989,42.5092,20512670
2014-03-10,42.4649,42.7974,42.1812,42.6865,11860395
2014-03-11,42.855,42.8727,42.3053,42.3851,13430875
2014-03-12,42.2876,42.6688,42.1635,42.6599,13505134
2014-03-13,42.7575,42.8195,42.3231,42.4117,14813888
2014-03-14,42.1901,42.6156,41.9064,42.0216,15347268
2014-03-17,42.2876,42.7043,42.1812,42.6688,11085701
2014-03-18,42.7043,42.9525,42.6599,42.9082,9757390
2014-03-19,42.8904,42.917,42.0926,42.3851,28292983
